smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
dz;0.018182;0.018182;0.109091;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.163636;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
dg;0.000432;0.000432;0.886776;0.000432;0.000432;0.000864;0.000432;0.008643;0.012100;0.003889;0.019015;0.001296;0.026361;0.000432;0.000432;0.000432;0.000864;0.000432;0.000432;0.028090;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432;0.000432
dp;0.004367;0.004367;0.017467;0.165939;0.004367;0.087336;0.004367;0.349345;0.004367;0.004367;0.013100;0.008734;0.122271;0.004367;0.021834;0.004367;0.026201;0.004367;0.017467;0.004367;0.004367;0.004367;0.030568;0.004367;0.004367;0.004367;0.008734;0.004367;0.021834;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367
db;0.001406;0.001406;0.036568;0.016878;0.001406;0.025316;0.001406;0.209564;0.001406;0.344585;0.007032;0.081575;0.026723;0.001406;0.001406;0.001406;0.209564;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.002813;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406
d,;0.000102;0.000102;0.000102;0.898648;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.097692;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102;0.000102
dq;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.542169;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.024096;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
dj;0.010989;0.010989;0.032967;0.054945;0.010989;0.087912;0.043956;0.054945;0.010989;0.010989;0.263736;0.010989;0.098901;0.010989;0.010989;0.010989;0.010989;0.010989;0.021978;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.021978;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
d?;0.001541;0.001541;0.001541;0.269646;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.674884;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541;0.001541
d!;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.204082;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
dé;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
dö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
dá;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
dí;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
d#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
f(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fw;0.011765;0.011765;0.011765;0.035294;0.011765;0.082353;0.011765;0.423529;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.023529;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.047059;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
fe;0.000030;0.061275;0.116873;0.200223;0.072570;0.000030;0.008637;0.046749;0.000030;0.000030;0.001268;0.025156;0.009211;0.001057;0.000030;0.083260;0.123909;0.000060;0.030532;0.018905;0.030018;0.000060;0.134600;0.016066;0.000060;0.000151;0.000030;0.003201;0.015251;0.000030;0.000030;0.000483;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030
f ;0.000010;0.034956;0.016155;0.008746;0.012191;0.042470;0.317903;0.077080;0.005330;0.087260;0.013470;0.019484;0.063234;0.007226;0.032733;0.051169;0.014009;0.000241;0.046377;0.030626;0.018618;0.018974;0.002444;0.000433;0.000318;0.014365;0.036149;0.018647;0.000924;0.000674;0.007707;0.000019;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
fn;0.020833;0.020833;0.187500;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
fo;0.000012;0.123728;0.000210;0.099332;0.000792;0.034003;0.000023;0.000477;0.000035;0.000012;0.044554;0.043867;0.000361;0.000023;0.000175;0.008804;0.626592;0.007546;0.000652;0.000443;0.000093;0.000023;0.000757;0.004099;0.000012;0.002667;0.000116;0.000058;0.000396;0.000012;0.000012;0.000047;0.000012;0.000012;0.000012;0.000012;0.000012;0.000012
ft;0.000117;0.022674;0.400888;0.344437;0.000234;0.001636;0.000117;0.002454;0.000117;0.011454;0.000117;0.002338;0.109046;0.000117;0.012973;0.000468;0.001169;0.000117;0.015428;0.000234;0.000117;0.000117;0.023843;0.020687;0.000117;0.000117;0.000117;0.000234;0.025479;0.000117;0.000117;0.002104;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117
fa;0.000044;0.001188;0.000220;0.023754;0.040470;0.000044;0.054238;0.000044;0.098315;0.000044;0.010909;0.068887;0.050851;0.046716;0.000132;0.301280;0.089034;0.000264;0.050719;0.148375;0.001452;0.000044;0.002463;0.000660;0.000088;0.000396;0.000132;0.006114;0.002507;0.000132;0.000044;0.000176;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044
fk;0.005348;0.005348;0.032086;0.614973;0.005348;0.005348;0.005348;0.037433;0.005348;0.005348;0.005348;0.005348;0.026738;0.005348;0.005348;0.005348;0.005348;0.005348;0.010695;0.005348;0.005348;0.005348;0.053476;0.037433;0.005348;0.005348;0.005348;0.005348;0.026738;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348
fy;0.000601;0.000601;0.000601;0.530649;0.000601;0.000601;0.000601;0.000601;0.000601;0.000601;0.000601;0.000601;0.372596;0.000601;0.000601;0.001202;0.000601;0.000601;0.001202;0.000601;0.000601;0.000601;0.015024;0.031250;0.000601;0.000601;0.000601;0.005409;0.022837;0.000601;0.000601;0.002404;0.000601;0.000601;0.000601;0.000601;0.000601;0.000601
fu;0.000061;0.000061;0.073462;0.001045;0.235753;0.000061;0.056556;0.000061;0.000184;0.000061;0.000061;0.485953;0.000061;0.000061;0.000246;0.003012;0.024528;0.000061;0.094301;0.002029;0.000799;0.000184;0.000123;0.000123;0.003627;0.016291;0.000061;0.000307;0.000307;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
fl;0.000123;0.000738;0.100430;0.015489;0.000123;0.183036;0.000123;0.237984;0.000123;0.088384;0.277320;0.000123;0.086785;0.000123;0.000123;0.000123;0.000123;0.000123;0.001721;0.000123;0.000123;0.000123;0.001229;0.001844;0.000123;0.000123;0.000123;0.000123;0.001844;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123
fi;0.000031;0.000031;0.059719;0.001680;0.177538;0.001214;0.023931;0.004481;0.000031;0.000031;0.000031;0.138420;0.000031;0.063640;0.000031;0.127466;0.191137;0.007344;0.026670;0.000187;0.012479;0.004419;0.000124;0.000249;0.001556;0.117228;0.000062;0.039273;0.000467;0.000062;0.000218;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031
fv;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
fh;0.014493;0.014493;0.246377;0.014493;0.014493;0.028986;0.014493;0.202899;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.028986;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
fc;0.008929;0.008929;0.044643;0.071429;0.008929;0.133929;0.008929;0.026786;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.410714;0.008929;0.008929;0.026786;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
fr;0.000032;0.000032;0.287609;0.000776;0.000032;0.510353;0.000032;0.075542;0.000032;0.000874;0.024749;0.000032;0.098997;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000065;0.000065;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000032;0.000065;0.000032
fx;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fs;0.001887;0.001887;0.018868;0.558491;0.001887;0.005660;0.022642;0.005660;0.001887;0.001887;0.039623;0.001887;0.003774;0.001887;0.084906;0.003774;0.001887;0.001887;0.001887;0.001887;0.001887;0.001887;0.066038;0.054717;0.001887;0.001887;0.015094;0.022642;0.047170;0.001887;0.001887;0.007547;0.001887;0.001887;0.001887;0.001887;0.001887;0.001887
fm;0.008403;0.008403;0.016807;0.470588;0.008403;0.008403;0.008403;0.159664;0.008403;0.008403;0.008403;0.008403;0.016807;0.008403;0.008403;0.008403;0.008403;0.008403;0.025210;0.008403;0.008403;0.008403;0.008403;0.025210;0.008403;0.008403;0.008403;0.008403;0.025210;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
fd;0.005495;0.005495;0.219780;0.093407;0.005495;0.060440;0.005495;0.307692;0.005495;0.005495;0.016484;0.005495;0.032967;0.005495;0.005495;0.010989;0.065934;0.005495;0.010989;0.010989;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.021978;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
ff;0.000048;0.000241;0.265415;0.397978;0.000048;0.062960;0.000048;0.005584;0.000048;0.002551;0.001107;0.002696;0.128857;0.000048;0.000289;0.000048;0.002310;0.000048;0.015884;0.000144;0.000144;0.000048;0.057232;0.022142;0.000048;0.000048;0.000241;0.000048;0.031288;0.000048;0.000048;0.002022;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048
f.;0.000492;0.000492;0.000492;0.331856;0.000492;0.000492;0.000492;0.000985;0.001477;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.004431;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.007878;0.636632;0.000492;0.000492;0.000492;0.001477;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492
f);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fz;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fg;0.008929;0.017857;0.008929;0.008929;0.008929;0.053571;0.008929;0.017857;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929;0.580357;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
fp;0.004505;0.004505;0.009009;0.013514;0.004505;0.013514;0.004505;0.725225;0.004505;0.004505;0.018018;0.004505;0.004505;0.013514;0.004505;0.004505;0.063063;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.009009;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505
fb;0.000699;0.000699;0.000699;0.006993;0.000699;0.002797;0.000699;0.002098;0.000699;0.000699;0.000699;0.000699;0.964336;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699
f,;0.000701;0.000701;0.000701;0.880084;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.094670;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701
fq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fj;0.022727;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
f?;0.008403;0.008403;0.008403;0.235294;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.462185;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
f!;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fé;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
fö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fá;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fí;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
f#;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
.(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
.w;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.130435;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
.e;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.115385;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.173077;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
. ;0.000016;0.091255;0.011004;0.002478;0.024906;0.022350;0.190193;0.119559;0.002431;0.054207;0.005736;0.017285;0.189476;0.002463;0.045588;0.016225;0.008759;0.000499;0.065756;0.017269;0.014713;0.009601;0.001013;0.000031;0.000468;0.019467;0.013856;0.042160;0.000281;0.000546;0.010302;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
.n;0.010000;0.010000;0.260000;0.020000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.370000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
.o;0.002532;0.002532;0.002532;0.002532;0.007595;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.865823;0.002532;0.002532;0.002532;0.002532;0.002532;0.022785;0.002532;0.017722;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532
.t;0.019608;0.019608;0.019608;0.019608;0.019608;0.078431;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.196078;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
.a;0.009091;0.009091;0.009091;0.018182;0.018182;0.009091;0.018182;0.009091;0.009091;0.009091;0.027273;0.009091;0.054545;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.100000;0.009091;0.009091;0.481818;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
.k;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.486111;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
.y;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
.u;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.166667;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.307692;0.012821;0.012821;0.012821;0.076923;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
.l;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
.i;0.008130;0.008130;0.008130;0.008130;0.658537;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.016260;0.008130;0.008130;0.008130;0.040650;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130
.v;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.387097;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
.h;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
.c;0.000073;0.000073;0.000073;0.000073;0.000073;0.965288;0.000073;0.023604;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.008404;0.000073;0.000073;0.000073;0.000219;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073;0.000073
.r;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.212766;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
.x;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
.s;0.001134;0.001134;0.001134;0.164399;0.001134;0.001134;0.002268;0.001134;0.001134;0.001134;0.001134;0.003401;0.001134;0.001134;0.003401;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.781179;0.009070;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134
.m;0.003891;0.003891;0.007782;0.225681;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.626459;0.007782;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891
