smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
(p;0.000124;0.000124;0.212700;0.000124;0.000372;0.135433;0.000124;0.130969;0.000124;0.000620;0.070569;0.088553;0.025425;0.000248;0.018231;0.000248;0.305469;0.000124;0.006697;0.000124;0.000124;0.000124;0.000372;0.000124;0.000124;0.000248;0.000248;0.000124;0.000124;0.000620;0.000496;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124
(b;0.000054;0.000162;0.270298;0.003563;0.000054;0.052203;0.000054;0.062783;0.000054;0.041784;0.455517;0.023429;0.035629;0.000594;0.000054;0.000216;0.051015;0.000054;0.000270;0.000162;0.000054;0.000054;0.000108;0.000054;0.000054;0.000054;0.000648;0.000324;0.000216;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054
(,;0.005348;0.005348;0.005348;0.770053;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.026738;0.005348;0.005348;0.005348;0.005348;0.005348;0.016043;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348
(q;0.002119;0.002119;0.002119;0.010593;0.002119;0.002119;0.002119;0.010593;0.002119;0.002119;0.902542;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.004237;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119
(j;0.000387;0.000773;0.040974;0.001160;0.000387;0.218400;0.000387;0.063780;0.000387;0.000387;0.639351;0.000387;0.015848;0.000773;0.000387;0.000387;0.002319;0.000387;0.000387;0.000387;0.000387;0.004252;0.001933;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
(?;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(!;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(é;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(ö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(á;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
