smoothed;3
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
(.;0.021739;0.021739;0.021739;0.326087;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
(z;0.015873;0.015873;0.031746;0.015873;0.206349;0.015873;0.015873;0.015873;0.015873;0.095238;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.142857;0.015873;0.015873;0.095238;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
(q;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.035587;0.003559;0.003559;0.857651;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559
(,;0.011628;0.011628;0.011628;0.627907;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.023256;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628
(#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hh;0.016129;0.064516;0.048387;0.080645;0.032258;0.016129;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.080645;0.016129;0.016129;0.241935;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
hi;0.000037;0.000037;0.000073;0.009474;0.004847;0.000147;0.021738;0.000110;0.000698;0.003415;0.002056;0.000037;0.050380;0.062351;0.061910;0.021922;0.000588;0.411156;0.000624;0.001652;0.012522;0.012742;0.000037;0.002681;0.317960;0.000037;0.000257;0.000037;0.000367;0.000037;0.000037;0.000037
h ;0.000065;0.039621;0.139745;0.003502;0.011283;0.003048;0.023474;0.055120;0.032748;0.048765;0.018481;0.065430;0.013618;0.038260;0.036444;0.200246;0.008754;0.054082;0.000519;0.118086;0.023345;0.010894;0.011089;0.014266;0.019778;0.000130;0.007522;0.000259;0.000324;0.000584;0.000454;0.000065
he;0.000011;0.000011;0.025695;0.403991;0.001276;0.000404;0.137991;0.153151;0.000053;0.001892;0.005603;0.000319;0.015000;0.003678;0.027566;0.002477;0.000011;0.057939;0.086452;0.023059;0.000074;0.000021;0.000032;0.000074;0.053113;0.000021;0.000011;0.000011;0.000011;0.000032;0.000011;0.000011
hv;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
hr;0.000491;0.000491;0.200785;0.003436;0.333333;0.000491;0.000491;0.000491;0.000491;0.425135;0.000491;0.000491;0.000491;0.000491;0.000982;0.000491;0.000491;0.000491;0.000982;0.017182;0.000491;0.000491;0.006382;0.000491;0.000491;0.000491;0.000491;0.000491;0.000491;0.000491;0.000491;0.000491
hy;0.000338;0.000338;0.014890;0.823012;0.000338;0.000338;0.002030;0.000338;0.000677;0.000338;0.003384;0.000338;0.000338;0.000338;0.001015;0.000338;0.000338;0.012860;0.115736;0.002707;0.016244;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338
hb;0.008000;0.008000;0.008000;0.040000;0.048000;0.008000;0.008000;0.008000;0.008000;0.584000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.016000;0.008000;0.096000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000
ho;0.000057;0.000340;0.006127;0.162705;0.004709;0.001362;0.032507;0.001021;0.001475;0.032904;0.002269;0.281557;0.052306;0.004028;0.025869;0.010609;0.000057;0.122142;0.025132;0.002269;0.017643;0.000170;0.185795;0.000170;0.026040;0.000057;0.000397;0.000057;0.000057;0.000057;0.000057;0.000057
hd;0.012658;0.012658;0.139241;0.075949;0.012658;0.012658;0.151899;0.012658;0.012658;0.113924;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.177215;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
hw;0.016129;0.032258;0.016129;0.016129;0.064516;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.419355;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
hl;0.005464;0.005464;0.256831;0.005464;0.240437;0.005464;0.005464;0.256831;0.005464;0.076503;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.021858;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464
hc;0.012987;0.012987;0.012987;0.025974;0.025974;0.012987;0.012987;0.012987;0.012987;0.051948;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.532468;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
hm;0.001387;0.001387;0.009709;0.037448;0.447989;0.001387;0.001387;0.001387;0.001387;0.034674;0.001387;0.001387;0.001387;0.001387;0.385576;0.001387;0.001387;0.026352;0.011096;0.011096;0.001387;0.001387;0.004161;0.001387;0.001387;0.001387;0.001387;0.001387;0.001387;0.001387;0.001387;0.001387
ht;0.000140;0.000980;0.027856;0.738242;0.024636;0.000140;0.000280;0.012738;0.000280;0.000560;0.000280;0.014418;0.003219;0.003219;0.002800;0.000700;0.000280;0.038074;0.119961;0.005599;0.000140;0.000280;0.000700;0.003219;0.000140;0.000140;0.000140;0.000140;0.000280;0.000140;0.000140;0.000140
hj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hs;0.003106;0.006211;0.006211;0.723602;0.003106;0.003106;0.003106;0.003106;0.006211;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.012422;0.003106;0.003106;0.161491;0.003106;0.006211;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106;0.003106
h);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ha;0.000019;0.000989;0.003669;0.002263;0.001825;0.130580;0.023766;0.002928;0.001065;0.000133;0.033501;0.001084;0.010210;0.004069;0.004886;0.660963;0.000038;0.036999;0.000532;0.000019;0.031466;0.000190;0.000551;0.000076;0.047152;0.000019;0.000646;0.000019;0.000285;0.000019;0.000019;0.000019
hp;0.018182;0.018182;0.127273;0.090909;0.018182;0.018182;0.072727;0.018182;0.018182;0.090909;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.090909;0.018182;0.018182;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
hg;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hu;0.000451;0.044695;0.001354;0.008578;0.011738;0.000451;0.109255;0.000451;0.002257;0.000451;0.003160;0.000451;0.066817;0.106998;0.181038;0.079910;0.000451;0.037020;0.001806;0.001354;0.001806;0.069074;0.000451;0.032054;0.234312;0.000451;0.000903;0.000451;0.000451;0.000451;0.000451;0.000451
hf;0.016949;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.423729;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
hn;0.002320;0.002320;0.088167;0.473318;0.064965;0.002320;0.002320;0.002320;0.002320;0.092807;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.002320;0.102088;0.085847;0.002320;0.002320;0.002320;0.002320;0.002320;0.032483;0.002320;0.002320;0.002320;0.002320;0.004640;0.002320;0.002320
hx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
h.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hq;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
h,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
h#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
i(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ih;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.183673;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.163265;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
ii;0.006211;0.006211;0.204969;0.434783;0.006211;0.006211;0.006211;0.012422;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.055901;0.012422;0.006211;0.018634;0.099379;0.012422;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
i ;0.000076;0.062154;0.024634;0.000455;0.014477;0.002350;0.023801;0.007352;0.020390;0.006367;0.131812;0.142955;0.027136;0.043811;0.092094;0.129235;0.032290;0.065413;0.000076;0.051921;0.008489;0.046843;0.006443;0.014932;0.008110;0.000076;0.035322;0.000076;0.000076;0.000682;0.000076;0.000076
ie;0.000145;0.000435;0.000145;0.163188;0.000145;0.085217;0.043913;0.000145;0.001304;0.000145;0.101884;0.064348;0.015507;0.020290;0.000145;0.031304;0.000145;0.323913;0.034493;0.000145;0.000145;0.005507;0.002464;0.020870;0.083043;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145
iv;0.000163;0.000163;0.143182;0.000650;0.802860;0.000163;0.000163;0.000975;0.000163;0.003250;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000325;0.000325;0.044044;0.000163;0.000163;0.000650;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163
ir;0.000141;0.000141;0.012126;0.315567;0.186125;0.000141;0.006063;0.001551;0.000564;0.027214;0.058235;0.000705;0.012972;0.010434;0.026932;0.035251;0.000141;0.124083;0.067400;0.090243;0.003666;0.014664;0.001269;0.000423;0.002256;0.000141;0.000846;0.000141;0.000141;0.000141;0.000141;0.000141
iy;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ib;0.000511;0.000511;0.077670;0.003066;0.421053;0.000511;0.021461;0.040879;0.009709;0.001533;0.000511;0.000511;0.333674;0.000511;0.001533;0.000511;0.000511;0.004088;0.000511;0.009198;0.000511;0.000511;0.065917;0.000511;0.000511;0.000511;0.000511;0.000511;0.000511;0.000511;0.000511;0.000511
io;0.000088;0.000088;0.001751;0.017768;0.000350;0.000088;0.020744;0.000088;0.000088;0.000088;0.003851;0.002976;0.014705;0.000963;0.000263;0.010153;0.000088;0.001926;0.003851;0.000525;0.000438;0.000175;0.046827;0.000088;0.871422;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088
id;0.000083;0.000083;0.018312;0.390961;0.310055;0.000083;0.000083;0.000499;0.000416;0.002414;0.027634;0.000583;0.001165;0.000083;0.000166;0.002913;0.000083;0.022890;0.055435;0.044781;0.000083;0.005910;0.006326;0.000083;0.108290;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083
iw;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.054795;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.534247;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
il;0.000094;0.000094;0.107099;0.081845;0.097839;0.001216;0.000748;0.027126;0.000842;0.002993;0.047330;0.001684;0.550369;0.000094;0.005519;0.013002;0.000094;0.017865;0.015246;0.020391;0.000281;0.000094;0.005986;0.000187;0.000187;0.000094;0.001122;0.000187;0.000094;0.000094;0.000094;0.000094
ic;0.000066;0.134231;0.064849;0.141459;0.115046;0.000066;0.002102;0.016557;0.000131;0.011629;0.000066;0.000066;0.024047;0.000066;0.000131;0.057359;0.000066;0.031209;0.045269;0.262943;0.000066;0.000066;0.015834;0.000066;0.000131;0.000066;0.075953;0.000066;0.000197;0.000066;0.000066;0.000066
im;0.000098;0.000098;0.047875;0.398473;0.218621;0.000098;0.000098;0.000098;0.002643;0.006070;0.000098;0.000294;0.000098;0.000196;0.097611;0.000098;0.000098;0.017427;0.065303;0.070981;0.064030;0.000098;0.008028;0.000490;0.000294;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098
it;0.000030;0.154647;0.075132;0.312483;0.065204;0.000030;0.000865;0.056200;0.000149;0.005963;0.000745;0.000030;0.003727;0.003160;0.000865;0.045437;0.000060;0.177395;0.052682;0.030828;0.000089;0.000119;0.012224;0.000119;0.000388;0.000030;0.000298;0.000030;0.000984;0.000030;0.000030;0.000030
ij;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.176991;0.008850;0.008850;0.557522;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850
is;0.000030;0.024623;0.021062;0.605944;0.026403;0.000181;0.006699;0.000362;0.000332;0.013307;0.000362;0.000030;0.007966;0.012583;0.020760;0.100000;0.000030;0.024864;0.100573;0.009897;0.003259;0.002142;0.000332;0.000272;0.015480;0.000030;0.002112;0.000030;0.000030;0.000241;0.000030;0.000030
i);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ia;0.000142;0.000708;0.000142;0.317391;0.000425;0.000566;0.022499;0.000142;0.011745;0.000283;0.000425;0.000283;0.234470;0.009481;0.016131;0.053771;0.000142;0.016697;0.064384;0.000142;0.000991;0.002264;0.000142;0.000142;0.244658;0.000283;0.000425;0.000142;0.000566;0.000142;0.000142;0.000142
ip;0.000751;0.019520;0.009760;0.298048;0.117868;0.000751;0.003754;0.000751;0.001502;0.003003;0.000751;0.000751;0.152402;0.000751;0.007508;0.039790;0.000751;0.065315;0.051802;0.105105;0.085586;0.000751;0.024775;0.001502;0.001502;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751
