smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
(p;0.000468;0.018700;0.000468;0.000468;0.018700;0.000468;0.277232;0.212249;0.159888;0.175783;0.000468;0.000468;0.000468;0.000468;0.000935;0.000468;0.000935;0.000468;0.000468;0.020103;0.000468;0.000468;0.046283;0.000468;0.000468;0.059374;0.000468;0.000468;0.000468;0.000935;0.000468
(l;0.000881;0.401762;0.000881;0.000881;0.000881;0.001762;0.000881;0.225551;0.140088;0.189427;0.000881;0.000881;0.000881;0.000881;0.012335;0.000881;0.000881;0.000881;0.000881;0.000881;0.000881;0.000881;0.000881;0.000881;0.000881;0.007930;0.000881;0.000881;0.000881;0.000881;0.000881
(f;0.000860;0.149613;0.000860;0.000860;0.000860;0.000860;0.177128;0.074807;0.145314;0.337919;0.006019;0.000860;0.000860;0.001720;0.000860;0.000860;0.001720;0.000860;0.000860;0.000860;0.000860;0.000860;0.028375;0.000860;0.000860;0.059329;0.000860;0.000860;0.000860;0.000860;0.000860
(v;0.003040;0.237082;0.003040;0.003040;0.003040;0.003040;0.003040;0.404255;0.106383;0.148936;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.003040;0.012158;0.003040;0.003040;0.015198;0.003040;0.003040;0.003040;0.003040;0.003040
(u;0.001808;0.001808;0.010850;0.001808;0.151899;0.003617;0.012658;0.001808;0.001808;0.001808;0.009042;0.001808;0.462929;0.001808;0.001808;0.001808;0.001808;0.045208;0.005425;0.106691;0.001808;0.110307;0.032550;0.001808;0.001808;0.001808;0.001808;0.001808;0.001808;0.014467;0.001808
(x;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
(z;0.021739;0.065217;0.043478;0.021739;0.021739;0.021739;0.021739;0.173913;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.086957;0.021739;0.021739;0.021739;0.021739;0.021739
(q;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.847716;0.005076;0.005076;0.005076;0.005076;0.005076
(.;0.028571;0.028571;0.028571;0.142857;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(#;0.027027;0.027027;0.027027;0.189189;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
i(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ii;0.015625;0.187500;0.015625;0.281250;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.046875;0.015625;0.015625;0.046875;0.015625;0.031250;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
it;0.000081;0.091625;0.045123;0.290131;0.175377;0.000081;0.001380;0.067197;0.019721;0.002354;0.000325;0.000081;0.002191;0.000649;0.063301;0.050885;0.003246;0.000730;0.000162;0.164584;0.000081;0.000081;0.004139;0.000081;0.000081;0.015014;0.000081;0.000974;0.000081;0.000081;0.000081
i ;0.000202;0.030156;0.170816;0.000202;0.055454;0.044525;0.019632;0.004655;0.054442;0.005464;0.018215;0.012548;0.007084;0.150577;0.004857;0.000202;0.038656;0.090468;0.022667;0.061526;0.141469;0.007488;0.022870;0.024287;0.001417;0.007691;0.000202;0.000202;0.001619;0.000202;0.000202
is;0.000087;0.023575;0.112223;0.584428;0.027229;0.001914;0.005133;0.027316;0.012179;0.007916;0.000348;0.000261;0.009395;0.000261;0.001044;0.097434;0.022706;0.030535;0.002958;0.018791;0.000174;0.004263;0.005916;0.000609;0.000087;0.001740;0.000087;0.000087;0.001131;0.000087;0.000087
ig;0.000289;0.047991;0.000578;0.050014;0.001156;0.026019;0.013299;0.025441;0.070830;0.002602;0.000289;0.000289;0.154669;0.000289;0.000289;0.012431;0.000289;0.001156;0.000289;0.561723;0.000289;0.000289;0.000867;0.000289;0.000289;0.026597;0.000289;0.000289;0.000289;0.000289;0.000289
ir;0.000453;0.037171;0.052584;0.222121;0.131913;0.005893;0.020399;0.229374;0.070263;0.023572;0.000453;0.000453;0.000907;0.038531;0.004533;0.049411;0.025385;0.043971;0.000453;0.000453;0.000907;0.004533;0.032185;0.000453;0.000907;0.000453;0.000453;0.000453;0.000453;0.000453;0.000453
ie;0.000344;0.000344;0.034032;0.068065;0.253352;0.000344;0.049845;0.000344;0.000344;0.000344;0.000344;0.000344;0.191131;0.077690;0.000344;0.008250;0.023719;0.000344;0.000344;0.001031;0.107597;0.000688;0.024751;0.036782;0.116191;0.001375;0.000344;0.000344;0.000344;0.000344;0.000344
ia;0.000413;0.000413;0.093647;0.189356;0.018977;0.007838;0.016914;0.000825;0.000413;0.000413;0.013614;0.000413;0.230198;0.000413;0.000413;0.039191;0.000825;0.049917;0.000413;0.001238;0.000413;0.000413;0.330033;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413
io;0.000201;0.000402;0.006433;0.019501;0.001809;0.000402;0.017893;0.000804;0.000402;0.000201;0.000201;0.000201;0.839968;0.011862;0.000201;0.004021;0.001206;0.001608;0.000201;0.000201;0.002815;0.000603;0.013470;0.000201;0.000402;0.073382;0.000603;0.000201;0.000201;0.000201;0.000201
ib;0.001473;0.135493;0.001473;0.001473;0.002946;0.001473;0.013255;0.231222;0.016200;0.001473;0.002946;0.001473;0.001473;0.001473;0.002946;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.001473;0.466863;0.001473;0.001473;0.095729;0.001473;0.001473;0.001473;0.001473;0.001473
ij;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.232558;0.023256;0.023256;0.023256;0.023256;0.023256
in;0.000042;0.021255;0.073198;0.169119;0.023603;0.453192;0.000084;0.036012;0.021632;0.002180;0.000252;0.000293;0.005031;0.041462;0.000503;0.028173;0.026034;0.000084;0.059322;0.001300;0.000210;0.000587;0.004905;0.008888;0.015428;0.006834;0.000084;0.000084;0.000126;0.000042;0.000042
id;0.000239;0.023206;0.009091;0.361244;0.019617;0.011722;0.000239;0.372967;0.024641;0.000718;0.000478;0.000239;0.073684;0.015311;0.001196;0.055024;0.000239;0.000239;0.000239;0.000239;0.003589;0.000239;0.002871;0.000239;0.000239;0.021053;0.000239;0.000239;0.000239;0.000239;0.000239
iy;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
i);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ic;0.000173;0.068040;0.058345;0.131233;0.056267;0.000173;0.003809;0.092278;0.264197;0.007445;0.000173;0.000173;0.000173;0.000173;0.013850;0.040166;0.000693;0.000173;0.043975;0.170880;0.000173;0.000173;0.011427;0.000173;0.000173;0.034626;0.000173;0.000173;0.000173;0.000173;0.000173
im;0.000275;0.074787;0.000275;0.309321;0.038493;0.000275;0.000275;0.261754;0.064614;0.007424;0.006874;0.000275;0.000275;0.000275;0.000275;0.052791;0.000275;0.035744;0.000275;0.000275;0.000275;0.131702;0.000275;0.000275;0.000275;0.010998;0.000275;0.000275;0.000275;0.000275;0.000275
ik;0.000583;0.011079;0.000583;0.005248;0.000583;0.000583;0.000583;0.950437;0.003499;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.014577;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583
ih;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
iw;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ip;0.001642;0.008210;0.055829;0.338259;0.100164;0.001642;0.006568;0.016420;0.126437;0.006568;0.001642;0.001642;0.001642;0.001642;0.001642;0.064039;0.001642;0.006568;0.001642;0.008210;0.001642;0.055829;0.152709;0.001642;0.001642;0.026273;0.001642;0.001642;0.001642;0.001642;0.001642
il;0.000343;0.109777;0.016123;0.067581;0.027101;0.000343;0.001029;0.081647;0.030532;0.013379;0.001372;0.000343;0.000343;0.055575;0.066895;0.013722;0.000343;0.003087;0.000686;0.000343;0.000343;0.000343;0.500515;0.000343;0.003431;0.002401;0.000343;0.000343;0.000686;0.000343;0.000343
if;0.000391;0.131455;0.026995;0.484742;0.000391;0.000391;0.000391;0.062207;0.000782;0.010563;0.000391;0.000391;0.000391;0.000391;0.025822;0.070814;0.000391;0.000391;0.000391;0.000391;0.000391;0.000391;0.002347;0.171753;0.000391;0.004695;0.000391;0.000391;0.000391;0.000391;0.000391
iv;0.000464;0.146568;0.000464;0.003247;0.000464;0.000464;0.000464;0.774583;0.060761;0.002319;0.000464;0.000464;0.000464;0.000464;0.000464;0.000928;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464
iu;0.010000;0.010000;0.010000;0.010000;0.100000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.250000;0.010000;0.010000;0.010000;0.010000;0.370000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
ix;0.007299;0.043796;0.072993;0.496350;0.007299;0.007299;0.007299;0.109489;0.007299;0.021898;0.007299;0.007299;0.007299;0.007299;0.007299;0.072993;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299
iz;0.001852;0.070370;0.001852;0.005556;0.001852;0.001852;0.001852;0.561111;0.298148;0.009259;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.001852;0.009259;0.001852;0.001852;0.001852
iq;0.006494;0.006494;0.006494;0.272727;0.025974;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.071429;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.454545;0.006494;0.006494;0.006494;0.006494;0.006494
i.;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
i#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
t(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ti;0.000100;0.000400;0.022905;0.003101;0.014403;0.022705;0.017403;0.014203;0.029706;0.344169;0.002100;0.000100;0.182637;0.000600;0.000100;0.000900;0.134227;0.094319;0.000300;0.000100;0.000100;0.005001;0.028006;0.011902;0.061812;0.000100;0.000100;0.005501;0.002801;0.000100;0.000100
tt;0.000519;0.200207;0.000519;0.056535;0.008817;0.000519;0.015041;0.367739;0.043568;0.063278;0.000519;0.000519;0.000519;0.000519;0.065353;0.016079;0.000519;0.000519;0.000519;0.002075;0.000519;0.000519;0.150415;0.000519;0.000519;0.001037;0.000519;0.000519;0.000519;0.000519;0.000519
t ;0.000029;0.119807;0.185809;0.002770;0.051447;0.015705;0.022423;0.017620;0.098533;0.085332;0.037038;0.008633;0.019860;0.031646;0.027373;0.000589;0.025606;0.030733;0.011845;0.044670;0.085686;0.022453;0.019595;0.019948;0.003919;0.008457;0.000147;0.000059;0.001915;0.000177;0.000177
ts;0.000169;0.004913;0.000508;0.833136;0.000169;0.000169;0.000169;0.008809;0.000339;0.007454;0.000169;0.000169;0.000169;0.000169;0.001016;0.137896;0.000339;0.000508;0.000678;0.000678;0.000339;0.000508;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169
tg;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.180000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000
tr;0.000220;0.086085;0.000220;0.000220;0.000220;0.000220;0.000220;0.052400;0.177895;0.071554;0.000220;0.000220;0.000220;0.000220;0.086966;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.519595;0.000220;0.000220;0.000220;0.000220;0.000220
te;0.000105;0.003474;0.000211;0.170018;0.076113;0.006316;0.262238;0.014633;0.014107;0.000316;0.000316;0.000105;0.082851;0.170018;0.000211;0.028003;0.012738;0.032424;0.000211;0.000421;0.001053;0.008001;0.088220;0.000947;0.018949;0.000211;0.006843;0.000632;0.000105;0.000105;0.000105
ta;0.000206;0.060169;0.144241;0.018339;0.006800;0.019163;0.137029;0.000206;0.000412;0.000206;0.033587;0.000206;0.132289;0.000412;0.008036;0.002473;0.029878;0.004739;0.091284;0.000824;0.000206;0.020400;0.244179;0.006800;0.000824;0.006594;0.029672;0.000206;0.000206;0.000206;0.000206
to;0.000091;0.000725;0.014411;0.647149;0.000725;0.006254;0.081573;0.000363;0.000181;0.022206;0.001541;0.000091;0.023838;0.019396;0.000272;0.104958;0.002628;0.010061;0.000634;0.000091;0.008067;0.019759;0.020937;0.000634;0.000181;0.011330;0.001450;0.000181;0.000091;0.000091;0.000091
tb;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.217391;0.065217;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739
tj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
tn;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.520408;0.102041;0.081633;0.010204;0.010204;0.010204;0.010204;0.010204;0.020408;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
td;0.022727;0.022727;0.022727;0.227273;0.022727;0.022727;0.068182;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ty;0.000661;0.001323;0.001323;0.739418;0.003968;0.001323;0.001323;0.001323;0.000661;0.000661;0.000661;0.000661;0.003307;0.000661;0.001323;0.137566;0.000661;0.001323;0.000661;0.000661;0.000661;0.076720;0.015212;0.003307;0.000661;0.000661;0.000661;0.000661;0.000661;0.000661;0.000661
t);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
tc;0.003717;0.003717;0.003717;0.070632;0.003717;0.003717;0.003717;0.003717;0.003717;0.070632;0.003717;0.003717;0.003717;0.003717;0.007435;0.011152;0.003717;0.003717;0.003717;0.739777;0.003717;0.003717;0.007435;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717
tm;0.007407;0.007407;0.007407;0.014815;0.007407;0.007407;0.007407;0.600000;0.081481;0.096296;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.014815;0.007407;0.007407;0.007407;0.007407;0.007407
tk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
th;0.000026;0.145318;0.000205;0.056189;0.002102;0.000026;0.010766;0.511881;0.231242;0.028172;0.000077;0.000026;0.000103;0.000103;0.001077;0.010484;0.000436;0.000282;0.000026;0.000051;0.000051;0.000026;0.000282;0.000051;0.000026;0.000846;0.000026;0.000026;0.000026;0.000026;0.000026
tw;0.001217;0.232360;0.001217;0.001217;0.001217;0.001217;0.001217;0.369830;0.008516;0.356448;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217;0.001217
tp;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.073171;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390
tl;0.000998;0.016966;0.000998;0.000998;0.000998;0.000998;0.000998;0.374251;0.003992;0.003992;0.000998;0.000998;0.000998;0.000998;0.553892;0.000998;0.001996;0.000998;0.000998;0.000998;0.000998;0.000998;0.020958;0.000998;0.000998;0.000998;0.000998;0.000998;0.000998;0.000998;0.000998
tf;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.044444;0.011111;0.011111;0.400000;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.144444;0.011111;0.011111;0.111111;0.011111;0.011111;0.011111;0.011111;0.011111
tv;0.018519;0.018519;0.018519;0.407407;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.055556;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
