smoothed;2
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
a;0.000002;0.159349;0.003722;0.026951;0.081533;0.065155;0.028183;0.002431;0.032517;0.000409;0.042094;0.092214;0.000361;0.028558;0.199736;0.006092;0.016346;0.010193;0.001190;0.016364;0.002404;0.092857;0.024095;0.008478;0.013116;0.014333;0.025589;0.001499;0.000706;0.001156;0.002135;0.000002;0.000002;0.000002;0.000029;0.000165;0.000002;0.000002;0.000011;0.000002;0.000002;0.000002;0.000002;0.000005
y;0.000009;0.008061;0.000197;0.024390;0.031519;0.510523;0.001040;0.055614;0.004277;0.184300;0.002708;0.016141;0.007048;0.000314;0.007183;0.002681;0.000350;0.080515;0.000045;0.000789;0.000278;0.004770;0.002636;0.000493;0.000090;0.003354;0.007030;0.015423;0.000009;0.000018;0.026776;0.000009;0.000009;0.000009;0.000081;0.001237;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009
n;0.000003;0.114927;0.000617;0.040109;0.043072;0.211634;0.153443;0.066200;0.004178;0.065734;0.028777;0.000927;0.036321;0.012104;0.010458;0.000797;0.121567;0.032075;0.000822;0.007896;0.001215;0.004860;0.006749;0.005245;0.013920;0.000539;0.000585;0.005612;0.000302;0.000164;0.008400;0.000191;0.000003;0.000003;0.000038;0.000469;0.000005;0.000005;0.000003;0.000022;0.000003;0.000003;0.000003;0.000003
w;0.000008;0.000403;0.197449;0.105966;0.012640;0.106689;0.001118;0.223634;0.000650;0.083967;0.000099;0.009943;0.187268;0.002344;0.022698;0.000123;0.000025;0.015831;0.000008;0.000099;0.000008;0.001933;0.000016;0.000362;0.000313;0.000090;0.000288;0.006078;0.000008;0.000008;0.016251;0.000008;0.000008;0.000008;0.002697;0.000896;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008
g;0.000010;0.006198;0.093374;0.042406;0.020016;0.307654;0.000471;0.125979;0.001192;0.120204;0.000298;0.060203;0.067458;0.006361;0.021909;0.000336;0.008869;0.053380;0.000038;0.030990;0.000010;0.013789;0.000019;0.000365;0.000038;0.000154;0.000259;0.007428;0.000010;0.000010;0.009734;0.000010;0.000010;0.000010;0.000058;0.000634;0.000010;0.000010;0.000010;0.000038;0.000010;0.000010;0.000010;0.000019
);0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
j;0.000081;0.000323;0.000242;0.017116;0.000242;0.006055;0.000081;0.102131;0.000081;0.251009;0.000727;0.008316;0.102697;0.000081;0.000161;0.000081;0.000081;0.000969;0.000484;0.504360;0.000081;0.000161;0.000081;0.000484;0.000081;0.001615;0.000081;0.000646;0.000081;0.000081;0.000242;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081
u;0.000007;0.148657;0.002615;0.016282;0.147656;0.088823;0.022786;0.035853;0.044979;0.003762;0.027582;0.126031;0.033532;0.002728;0.112977;0.000127;0.031291;0.011153;0.000293;0.000087;0.001394;0.071613;0.002228;0.003215;0.000914;0.037841;0.015395;0.008111;0.000213;0.000327;0.001141;0.000013;0.000007;0.000007;0.000027;0.000247;0.000013;0.000007;0.000027;0.000013;0.000007;0.000007;0.000007;0.000007
z;0.000156;0.001401;0.001245;0.140856;0.003735;0.136809;0.000623;0.332296;0.002023;0.036420;0.000311;0.004358;0.194086;0.010739;0.000156;0.000623;0.000467;0.015409;0.000156;0.023813;0.008560;0.003891;0.000156;0.001089;0.000156;0.000156;0.003424;0.014319;0.001556;0.000156;0.012451;0.044514;0.000156;0.000156;0.000156;0.001712;0.000156;0.000467;0.000156;0.000156;0.000156;0.000156;0.000311;0.000156
l;0.000005;0.016304;0.000431;0.135389;0.028072;0.121130;0.056098;0.165126;0.006212;0.057579;0.002296;0.002414;0.088276;0.085041;0.001051;0.002296;0.000333;0.021614;0.000026;0.016253;0.000026;0.147023;0.006473;0.006412;0.018036;0.004070;0.000753;0.003203;0.000128;0.000005;0.007304;0.000056;0.000005;0.000005;0.000072;0.000195;0.000190;0.000067;0.000005;0.000005;0.000005;0.000005;0.000005;0.000005
v;0.000020;0.000020;0.000039;0.187654;0.000275;0.003629;0.000373;0.694657;0.000020;0.050233;0.000059;0.000255;0.055176;0.001589;0.000039;0.000020;0.000059;0.000608;0.000039;0.001805;0.000020;0.000785;0.000196;0.000020;0.000020;0.000078;0.000020;0.001608;0.000020;0.000020;0.000098;0.000177;0.000020;0.000020;0.000020;0.000118;0.000020;0.000020;0.000020;0.000059;0.000020;0.000020;0.000020;0.000020
f;0.000011;0.030624;0.000075;0.092843;0.001791;0.326875;0.000448;0.074812;0.000448;0.182807;0.000459;0.078267;0.059009;0.003263;0.000107;0.000213;0.001887;0.045531;0.000032;0.028086;0.000011;0.017061;0.000021;0.048367;0.000117;0.000235;0.002826;0.001248;0.000011;0.000011;0.002250;0.000011;0.000011;0.000011;0.000021;0.000107;0.000011;0.000011;0.000011;0.000021;0.000011;0.000011;0.000011;0.000011
k;0.000020;0.000703;0.008319;0.160658;0.042581;0.262198;0.001125;0.249558;0.000221;0.018588;0.000422;0.003014;0.021843;0.004441;0.144100;0.001326;0.002190;0.035307;0.000060;0.004582;0.000040;0.012017;0.000121;0.000804;0.001306;0.001969;0.000643;0.005948;0.000020;0.000020;0.014488;0.000040;0.000020;0.000020;0.000422;0.000703;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020
p;0.000010;0.019415;0.018982;0.035697;0.018035;0.068351;0.000373;0.198815;0.001713;0.143552;0.000292;0.146696;0.107483;0.002479;0.000171;0.000161;0.000141;0.010428;0.000081;0.044815;0.000010;0.116359;0.000040;0.000554;0.000312;0.057852;0.000403;0.003174;0.000010;0.000010;0.003184;0.000010;0.000010;0.000010;0.000060;0.000191;0.000010;0.000020;0.000010;0.000040;0.000010;0.000010;0.000010;0.000010
b;0.000013;0.002746;0.000400;0.057504;0.013543;0.008771;0.000973;0.313472;0.000840;0.162421;0.001480;0.049106;0.097986;0.058397;0.000053;0.000960;0.000227;0.001360;0.002346;0.118247;0.000013;0.096773;0.003639;0.000053;0.000040;0.000680;0.006145;0.000880;0.000013;0.000013;0.000653;0.000013;0.000013;0.000013;0.000013;0.000080;0.000027;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
.;0.000040;0.000317;0.000040;0.000159;0.039752;0.076172;0.000119;0.000357;0.001468;0.015750;0.002579;0.000159;0.000714;0.000159;0.002579;0.000198;0.000040;0.851028;0.000079;0.000040;0.000040;0.000119;0.000040;0.000040;0.000635;0.000119;0.001865;0.000555;0.000040;0.000040;0.004166;0.000040;0.000040;0.000040;0.000040;0.000119;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040
q;0.000283;0.000565;0.000283;0.013005;0.001696;0.039582;0.000565;0.000283;0.000283;0.000565;0.000283;0.000283;0.017529;0.000283;0.000283;0.000283;0.000283;0.007916;0.000283;0.884931;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.007068;0.005655;0.000283;0.011309;0.000283;0.000283;0.000283;0.000283;0.000848;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283
x;0.000126;0.164903;0.004661;0.118166;0.000756;0.107080;0.000504;0.061224;0.000756;0.007181;0.049257;0.000504;0.131519;0.010960;0.000378;0.001260;0.000504;0.017637;0.000126;0.065634;0.000126;0.000504;0.000126;0.013228;0.000126;0.231293;0.000126;0.002520;0.000504;0.001386;0.005165;0.000126;0.000126;0.000126;0.000126;0.000252;0.000126;0.000126;0.000126;0.000126;0.000126;0.000126;0.000126;0.000126
,;0.000030;0.000059;0.000030;0.000059;0.000059;0.858638;0.000030;0.000030;0.000030;0.000030;0.000059;0.000030;0.000030;0.000030;0.000030;0.000059;0.000030;0.139518;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000059;0.000030;0.000297;0.000030;0.000030;0.000149;0.000030;0.000030;0.000030;0.000030;0.000059;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030
á;0.002012;0.002012;0.002012;0.002012;0.012072;0.018109;0.002012;0.002012;0.002012;0.002012;0.092555;0.006036;0.002012;0.002012;0.173038;0.002012;0.004024;0.004024;0.002012;0.002012;0.014085;0.577465;0.024145;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.008048;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012
ö;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ã;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
!;0.001923;0.001923;0.001923;0.001923;0.026923;0.028846;0.001923;0.001923;0.001923;0.001923;0.001923;0.001923;0.003846;0.001923;0.001923;0.003846;0.001923;0.613462;0.001923;0.001923;0.003846;0.001923;0.001923;0.001923;0.001923;0.001923;0.003846;0.009615;0.001923;0.001923;0.234615;0.001923;0.001923;0.001923;0.003846;0.003846;0.001923;0.001923;0.001923;0.001923;0.001923;0.001923;0.001923;0.001923
?;0.000459;0.003215;0.000919;0.003675;0.000919;0.006890;0.000919;0.001378;0.001378;0.001378;0.000459;0.000919;0.005053;0.000459;0.001378;0.001837;0.000919;0.952687;0.000459;0.000459;0.000459;0.000919;0.000459;0.000919;0.000459;0.001378;0.001378;0.000459;0.000459;0.000459;0.000919;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459;0.000459
í;0.006494;0.006494;0.006494;0.006494;0.025974;0.012987;0.012987;0.006494;0.006494;0.019481;0.006494;0.012987;0.376623;0.006494;0.253247;0.006494;0.012987;0.012987;0.006494;0.006494;0.012987;0.006494;0.012987;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.025974;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
ó;0.011905;0.011905;0.011905;0.011905;0.023810;0.071429;0.011905;0.011905;0.011905;0.011905;0.011905;0.023810;0.011905;0.011905;0.261905;0.011905;0.011905;0.023810;0.011905;0.011905;0.011905;0.023810;0.011905;0.011905;0.011905;0.071429;0.011905;0.023810;0.011905;0.011905;0.047619;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.023810;0.011905;0.011905;0.011905;0.011905;0.011905
ñ;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.089286;0.017857;0.089286;0.017857;0.017857;0.071429;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
é;0.007092;0.099291;0.007092;0.007092;0.035461;0.156028;0.007092;0.035461;0.007092;0.007092;0.007092;0.276596;0.007092;0.007092;0.007092;0.007092;0.014184;0.007092;0.007092;0.007092;0.021277;0.042553;0.007092;0.007092;0.007092;0.007092;0.007092;0.021277;0.007092;0.007092;0.056738;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
à;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
¡;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ú;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
#;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
