smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
hy;0.001597;0.001597;0.001597;0.634185;0.001597;0.001597;0.001597;0.001597;0.001597;0.003195;0.001597;0.004792;0.001597;0.001597;0.001597;0.004792;0.086262;0.108626;0.001597;0.001597;0.001597;0.068690;0.001597;0.001597;0.001597;0.001597;0.014377;0.001597;0.001597;0.019169;0.006390;0.014377;0.001597
ho;0.000259;0.000259;0.018629;0.157050;0.004398;0.001811;0.062354;0.000259;0.034153;0.009314;0.150323;0.101164;0.003622;0.014230;0.008021;0.004916;0.018370;0.131953;0.000776;0.000259;0.003622;0.034411;0.231307;0.000517;0.000259;0.000259;0.005175;0.000259;0.000259;0.000259;0.000259;0.001035;0.000259
hn;0.006623;0.006623;0.311258;0.112583;0.033113;0.006623;0.006623;0.006623;0.311258;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.019868;0.019868;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.013245;0.013245;0.006623
hw;0.015152;0.196970;0.090909;0.015152;0.045455;0.015152;0.015152;0.015152;0.030303;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.212121;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
hl;0.011494;0.011494;0.045977;0.011494;0.195402;0.011494;0.011494;0.402299;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.022989;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
hc;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hm;0.011494;0.011494;0.011494;0.034483;0.321839;0.011494;0.011494;0.011494;0.034483;0.011494;0.011494;0.011494;0.011494;0.241379;0.011494;0.011494;0.022989;0.011494;0.011494;0.011494;0.034483;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
ht;0.000525;0.000525;0.007357;0.664740;0.028376;0.000525;0.000525;0.004204;0.001051;0.001576;0.003678;0.015765;0.000525;0.004204;0.000525;0.000525;0.095113;0.089858;0.011561;0.000525;0.002102;0.001051;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.017867;0.010510;0.032580;0.000525
hb;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.266667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
h);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hs;0.009615;0.028846;0.009615;0.538462;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.048077;0.009615;0.076923;0.009615;0.009615;0.009615;0.019231;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.028846;0.009615;0.009615;0.009615
hf;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.066667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.416667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
hq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ha;0.000067;0.000600;0.001599;0.000400;0.000733;0.110756;0.026923;0.000067;0.003798;0.049180;0.000600;0.009596;0.000267;0.004198;0.690124;0.002932;0.000267;0.028922;0.000067;0.000067;0.000067;0.035586;0.000533;0.000200;0.001000;0.000133;0.030921;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067
hp;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
