smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
in;0.000054;0.001882;0.023658;0.206313;0.038230;0.005807;0.000108;0.001237;0.002258;0.004732;0.000108;0.004355;0.023874;0.000161;0.073986;0.000323;0.022422;0.026239;0.006721;0.001129;0.020110;0.000161;0.006022;0.414668;0.067050;0.000054;0.045220;0.000054;0.000968;0.001075;0.000753;0.000215;0.000054
iw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
il;0.000401;0.000401;0.187325;0.067389;0.068993;0.000401;0.000802;0.085038;0.028480;0.000401;0.001604;0.319294;0.000401;0.024067;0.022864;0.001203;0.010028;0.016446;0.010028;0.000401;0.023666;0.000401;0.006418;0.000401;0.000401;0.000401;0.116326;0.000401;0.000401;0.002006;0.002407;0.000401;0.000401
ic;0.000215;0.161803;0.064378;0.150644;0.080258;0.000215;0.003219;0.004936;0.004721;0.000429;0.000215;0.010086;0.000215;0.000215;0.044635;0.000215;0.029828;0.027897;0.000215;0.000215;0.326824;0.000215;0.053433;0.000215;0.028112;0.000215;0.000215;0.000215;0.000215;0.003004;0.002361;0.000215;0.000215
im;0.000383;0.001533;0.070115;0.263602;0.218774;0.000383;0.000383;0.000383;0.004598;0.001149;0.000766;0.009579;0.000383;0.028736;0.000383;0.004215;0.034866;0.041762;0.000383;0.000383;0.126054;0.159004;0.022605;0.000383;0.000383;0.000383;0.000383;0.000383;0.000383;0.002682;0.002682;0.001533;0.000383
it;0.000090;0.159932;0.093691;0.242102;0.053281;0.000090;0.003150;0.114571;0.003960;0.000450;0.000090;0.004950;0.001710;0.001080;0.026280;0.000180;0.029970;0.212672;0.000810;0.000090;0.022230;0.000090;0.018720;0.000180;0.000090;0.001260;0.000360;0.000090;0.000090;0.002340;0.004320;0.000990;0.000090
ib;0.001218;0.001218;0.243605;0.001218;0.176614;0.001218;0.017052;0.002436;0.001218;0.001218;0.001218;0.421437;0.001218;0.002436;0.001218;0.002436;0.001218;0.002436;0.001218;0.001218;0.021924;0.001218;0.081608;0.001218;0.001218;0.001218;0.001218;0.001218;0.001218;0.001218;0.001218;0.001218;0.001218
i);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
is;0.000111;0.025841;0.021274;0.539096;0.031633;0.000446;0.002116;0.000111;0.008354;0.018824;0.000111;0.015371;0.031633;0.037870;0.135554;0.000891;0.067387;0.022945;0.001448;0.000334;0.007685;0.011807;0.002005;0.005012;0.003007;0.000111;0.003787;0.000111;0.000111;0.003007;0.001002;0.000891;0.000111
if;0.000421;0.000421;0.130215;0.396123;0.188369;0.000421;0.000843;0.037505;0.003371;0.000421;0.000421;0.000843;0.000421;0.000421;0.028234;0.000421;0.042984;0.000843;0.152128;0.000421;0.001264;0.000421;0.008007;0.000421;0.000421;0.000421;0.000421;0.000421;0.000421;0.000843;0.000421;0.000843;0.000421
iq;0.012500;0.012500;0.012500;0.087500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500;0.012500;0.012500;0.512500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
ia;0.000630;0.001889;0.000630;0.081864;0.000630;0.000630;0.047229;0.000630;0.000630;0.177582;0.000630;0.397985;0.003149;0.005668;0.163098;0.029597;0.021411;0.019521;0.000630;0.000630;0.000630;0.000630;0.000630;0.026448;0.000630;0.001259;0.001889;0.000630;0.000630;0.006927;0.002519;0.001889;0.000630
ip;0.002053;0.006160;0.008214;0.316222;0.043121;0.002053;0.010267;0.002053;0.018480;0.002053;0.002053;0.258727;0.002053;0.004107;0.059548;0.002053;0.034908;0.071869;0.002053;0.002053;0.051335;0.039014;0.030801;0.002053;0.002053;0.002053;0.002053;0.002053;0.002053;0.008214;0.004107;0.002053;0.002053
iu;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.354839;0.016129;0.016129;0.016129;0.145161;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
ig;0.000383;0.661821;0.097169;0.037873;0.025631;0.000383;0.008416;0.000383;0.003060;0.069243;0.000383;0.000383;0.000383;0.001913;0.000383;0.000383;0.005738;0.000383;0.000383;0.000383;0.022571;0.000383;0.043229;0.014920;0.000383;0.000383;0.000383;0.000383;0.000383;0.000383;0.000765;0.000383;0.000383
ik;0.000758;0.002273;0.006818;0.001515;0.961364;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.001515;0.001515;0.000758;0.000758;0.004545;0.000758;0.001515;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758
iz;0.001976;0.001976;0.092885;0.003953;0.600791;0.001976;0.001976;0.001976;0.021739;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.219368;0.001976;0.001976;0.001976;0.001976;0.007905;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976
id;0.000420;0.000420;0.024790;0.223109;0.507983;0.000420;0.000420;0.000420;0.013866;0.040756;0.000840;0.012185;0.000420;0.000840;0.002101;0.000420;0.026891;0.019748;0.000420;0.000420;0.021849;0.000420;0.070168;0.007143;0.000420;0.000420;0.013025;0.000420;0.000420;0.005462;0.002101;0.000840;0.000420
ix;0.008547;0.008547;0.042735;0.393162;0.102564;0.008547;0.008547;0.017094;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.094017;0.008547;0.102564;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.025641;0.008547;0.008547;0.008547
ij;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
i,;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
i.;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571
i?;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
i#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
 (;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 h;0.000154;0.000154;0.135131;0.000154;0.229430;0.000154;0.000308;0.005701;0.117720;0.000154;0.000154;0.000154;0.000154;0.001387;0.000154;0.000154;0.000154;0.000154;0.000154;0.000154;0.457473;0.000154;0.048998;0.000154;0.000154;0.000154;0.000154;0.000154;0.000154;0.000154;0.000154;0.000154;0.000154
 i;0.000051;0.000051;0.000308;0.156385;0.000103;0.012677;0.001540;0.000051;0.000103;0.266526;0.000051;0.004209;0.001180;0.045473;0.220283;0.000103;0.020889;0.189335;0.047013;0.000411;0.000205;0.000205;0.000051;0.001334;0.000103;0.000051;0.030692;0.000051;0.000051;0.000154;0.000103;0.000205;0.000051
  ;0.002132;0.021322;0.093817;0.027719;0.006397;0.008529;0.063966;0.132196;0.053305;0.010661;0.046908;0.008529;0.038380;0.085288;0.078891;0.021322;0.006397;0.049041;0.014925;0.006397;0.119403;0.042644;0.008529;0.002132;0.002132;0.002132;0.034115;0.002132;0.002132;0.002132;0.002132;0.002132;0.002132
 e;0.000248;0.001239;0.015865;0.000496;0.001735;0.238969;0.010164;0.009668;0.000496;0.150967;0.000248;0.045364;0.010412;0.055776;0.028012;0.000496;0.000248;0.058255;0.016857;0.020575;0.071889;0.002975;0.006197;0.004710;0.000496;0.000248;0.020079;0.225830;0.000496;0.000248;0.000248;0.000248;0.000248
 v;0.000751;0.000751;0.252252;0.000751;0.464715;0.000751;0.000751;0.001502;0.067568;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.183934;0.000751;0.009009;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.000751;0.001502
 r;0.000215;0.000644;0.195624;0.000215;0.600815;0.000215;0.000215;0.000429;0.044187;0.000215;0.000429;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215;0.095453;0.000215;0.056628;0.000215;0.000215;0.000215;0.000644;0.000215;0.000215;0.000215;0.000215;0.000215;0.000215
 y;0.000137;0.000137;0.000962;0.000412;0.090747;0.000137;0.000137;0.000137;0.901554;0.000137;0.000137;0.000137;0.000275;0.000137;0.000275;0.000137;0.000275;0.000137;0.000137;0.000137;0.001925;0.000137;0.000275;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137
 o;0.000079;0.005697;0.000870;0.000158;0.000079;0.016773;0.086795;0.000079;0.000079;0.170029;0.013134;0.008466;0.004905;0.001187;0.034655;0.017802;0.000158;0.000396;0.504391;0.000079;0.000079;0.020571;0.091700;0.000079;0.019384;0.000237;0.001345;0.000396;0.000079;0.000079;0.000079;0.000079;0.000079
 n;0.000281;0.000281;0.027513;0.000281;0.243964;0.000281;0.000281;0.001123;0.618192;0.000281;0.000281;0.000281;0.000281;0.000281;0.000281;0.000561;0.000281;0.000281;0.000281;0.000281;0.069624;0.000842;0.030039;0.000281;0.000561;0.000281;0.001123;0.000281;0.000281;0.000281;0.000281;0.000281;0.000281
 w;0.000072;0.280080;0.143955;0.000216;0.219524;0.000072;0.022700;0.000144;0.129229;0.000072;0.000144;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.202284;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072
 l;0.000208;0.000208;0.434620;0.000415;0.235367;0.000208;0.000208;0.003113;0.188045;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208;0.000415;0.000208;0.000208;0.126401;0.000208;0.006227;0.000415;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208;0.000208
 c;0.000143;0.102960;0.015015;0.003146;0.038181;0.000143;0.046761;0.002574;0.409695;0.000143;0.000143;0.053053;0.000143;0.000143;0.000143;0.001144;0.000429;0.000572;0.000143;0.000143;0.288002;0.000286;0.035321;0.000143;0.000143;0.000286;0.000143;0.000143;0.000143;0.000143;0.000143;0.000143;0.000143
 m;0.000147;0.000294;0.094511;0.000294;0.254476;0.000147;0.001174;0.089962;0.208982;0.000147;0.000147;0.000147;0.000440;0.001761;0.000147;0.000147;0.000147;0.000587;0.000147;0.000147;0.270326;0.000147;0.074112;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147
 t;0.000027;0.723082;0.012803;0.000054;0.018481;0.000750;0.025257;0.002786;0.186013;0.000027;0.007312;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.019927;0.000027;0.002919;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000054;0.000027;0.000027
 b;0.000121;0.000121;0.055852;0.002186;0.519913;0.000121;0.040068;0.074186;0.070058;0.000121;0.000121;0.018334;0.000121;0.000121;0.000121;0.000486;0.000607;0.000243;0.000121;0.000121;0.063502;0.000121;0.151773;0.000121;0.000121;0.000121;0.000121;0.000121;0.000121;0.000243;0.000243;0.000121;0.000121
 );0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 s;0.000081;0.061025;0.038070;0.004850;0.122373;0.000162;0.000081;0.012205;0.344730;0.001778;0.003314;0.006870;0.025865;0.006547;0.136437;0.000081;0.000889;0.000162;0.000081;0.000808;0.130294;0.039848;0.058277;0.000162;0.003476;0.000081;0.000081;0.000081;0.000242;0.000566;0.000242;0.000162;0.000081
 f;0.000175;0.000175;0.147486;0.000350;0.064985;0.000175;0.162901;0.000175;0.376423;0.000175;0.000175;0.015414;0.000350;0.000701;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.160448;0.000175;0.066912;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175
 q;0.002208;0.002208;0.002208;0.004415;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.039735;0.002208;0.889625;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208
 a;0.000039;0.000857;0.002843;0.167050;0.000467;0.002414;0.072466;0.000117;0.000039;0.392859;0.004167;0.068300;0.032943;0.009657;0.040653;0.058798;0.026596;0.065106;0.006347;0.000117;0.000156;0.008878;0.009423;0.015225;0.000273;0.000039;0.013006;0.000818;0.000039;0.000156;0.000039;0.000078;0.000039
 p;0.000150;0.022506;0.021755;0.000450;0.246362;0.000150;0.249512;0.000450;0.165041;0.000150;0.000150;0.066317;0.000150;0.000150;0.000300;0.000150;0.000150;0.021305;0.000150;0.000150;0.126632;0.000150;0.076069;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000300;0.000150;0.000150
 u;0.000460;0.047794;0.000460;0.000919;0.000460;0.001838;0.003217;0.000460;0.000460;0.389706;0.000460;0.009191;0.001379;0.038603;0.015625;0.001838;0.000460;0.218750;0.000919;0.000460;0.000919;0.253676;0.000460;0.001838;0.003217;0.000460;0.000460;0.000460;0.000460;0.000460;0.003217;0.000460;0.000460
 g;0.000285;0.001139;0.053831;0.000854;0.198804;0.000285;0.155796;0.000570;0.467958;0.000285;0.000285;0.006836;0.000285;0.000285;0.000285;0.000285;0.000285;0.000285;0.000285;0.000285;0.051552;0.000285;0.055825;0.000285;0.000285;0.000285;0.000570;0.000285;0.000285;0.000285;0.000285;0.000285;0.000285
 k;0.000539;0.002695;0.187062;0.000539;0.047439;0.000539;0.000539;0.000539;0.002695;0.725067;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.016173;0.000539;0.004852;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539;0.000539
 z;0.012346;0.012346;0.074074;0.012346;0.419753;0.012346;0.012346;0.037037;0.098765;0.012346;0.024691;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
 d;0.000176;0.000176;0.229413;0.000353;0.240346;0.000176;0.041086;0.003703;0.400458;0.000176;0.001058;0.000176;0.000353;0.000529;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.059249;0.000176;0.019397;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000353;0.000176;0.000176
 x;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027
 j;0.000888;0.000888;0.013321;0.001776;0.044405;0.000888;0.000888;0.000888;0.213144;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888;0.001776;0.000888;0.000888;0.000888;0.063055;0.000888;0.639432;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888;0.000888
 ,;0.013699;0.013699;0.013699;0.452055;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.109589;0.013699;0.013699;0.013699;0.027397;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
 .;0.016667;0.016667;0.016667;0.333333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.150000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
 ?;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316
 #;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
e(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
eh;0.004673;0.004673;0.079439;0.009346;0.154206;0.004673;0.004673;0.004673;0.154206;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.457944;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.004673;0.009346;0.014019;0.004673
ei;0.000752;0.000752;0.001504;0.001504;0.000752;0.024812;0.471429;0.000752;0.000752;0.312030;0.000752;0.005263;0.000752;0.003759;0.051128;0.000752;0.000752;0.033835;0.000752;0.000752;0.000752;0.000752;0.000752;0.072180;0.003008;0.002256;0.002256;0.000752;0.000752;0.000752;0.000752;0.000752;0.000752
e ;0.000027;0.028484;0.080730;0.001484;0.022388;0.007714;0.029724;0.025651;0.072450;0.021363;0.073151;0.023898;0.041727;0.032691;0.155122;0.040568;0.000324;0.067244;0.034202;0.002913;0.117926;0.044587;0.013190;0.020203;0.004289;0.000189;0.032368;0.000027;0.004747;0.000243;0.000324;0.000027;0.000027
ee;0.000329;0.000986;0.006901;0.217220;0.000329;0.000657;0.019389;0.000329;0.000329;0.235951;0.004272;0.043050;0.033191;0.109103;0.027933;0.000329;0.022675;0.011173;0.000657;0.000329;0.009530;0.082156;0.000329;0.000329;0.025304;0.001972;0.134735;0.000986;0.000329;0.005258;0.002629;0.000986;0.000329
ev;0.000438;0.000438;0.099036;0.000876;0.794040;0.000438;0.000438;0.000438;0.044698;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.004820;0.000438;0.000438;0.044259;0.000438;0.000876;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438
er;0.000071;0.005667;0.044630;0.233777;0.251204;0.018206;0.012610;0.078776;0.009564;0.034358;0.004605;0.008359;0.007226;0.017356;0.023803;0.000992;0.037971;0.124610;0.009776;0.000071;0.049306;0.007368;0.000071;0.007297;0.000283;0.000071;0.003117;0.000071;0.000071;0.004180;0.003613;0.000850;0.000071
ey;0.000528;0.000528;0.000528;0.605388;0.025357;0.020602;0.229794;0.000528;0.015848;0.001057;0.000528;0.014263;0.000528;0.001057;0.001057;0.000528;0.063920;0.003698;0.000528;0.000528;0.000528;0.000528;0.000528;0.000528;0.000528;0.000528;0.002641;0.000528;0.000528;0.003170;0.002113;0.000528;0.000528
eo;0.000607;0.000607;0.001820;0.029733;0.000607;0.000607;0.043083;0.000607;0.000607;0.089199;0.000607;0.062500;0.013350;0.007282;0.003034;0.000607;0.004248;0.014563;0.001820;0.000607;0.000607;0.677791;0.038835;0.000607;0.000607;0.000607;0.000607;0.000607;0.000607;0.000607;0.001214;0.000607;0.000607
en;0.000094;0.000755;0.018316;0.306458;0.043523;0.005004;0.000661;0.000566;0.017183;0.003588;0.000189;0.002644;0.084309;0.002266;0.318542;0.000283;0.036443;0.056174;0.001605;0.000094;0.006703;0.000283;0.004437;0.016900;0.000189;0.000094;0.065899;0.000094;0.002077;0.001699;0.001605;0.001227;0.000094
ew;0.001328;0.045153;0.039841;0.523240;0.062417;0.001328;0.006640;0.001328;0.023904;0.001328;0.001328;0.002656;0.005312;0.018592;0.002656;0.002656;0.059761;0.088977;0.001328;0.001328;0.043825;0.035857;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.010624;0.006640;0.001328;0.001328
el;0.000212;0.000212;0.131947;0.057488;0.050912;0.038608;0.000212;0.108613;0.030759;0.000212;0.000212;0.310776;0.006788;0.003818;0.010395;0.000849;0.008697;0.029062;0.105643;0.000212;0.057913;0.030972;0.001697;0.000212;0.000424;0.000212;0.010182;0.000212;0.000212;0.000849;0.000849;0.000424;0.000212
ec;0.000279;0.061281;0.084680;0.000557;0.069638;0.000279;0.006964;0.000836;0.109192;0.000279;0.000279;0.004457;0.009471;0.000279;0.251532;0.000279;0.000279;0.003621;0.000279;0.000279;0.363788;0.000279;0.020056;0.000279;0.008078;0.000279;0.000836;0.000279;0.000279;0.000279;0.000279;0.000279;0.000279
em;0.000338;0.000338;0.070946;0.269932;0.213514;0.000338;0.000338;0.008446;0.060473;0.001351;0.000338;0.000338;0.000676;0.003041;0.000338;0.060811;0.044595;0.132432;0.000338;0.000338;0.051014;0.063851;0.001014;0.000338;0.000338;0.000338;0.000338;0.000338;0.000338;0.003716;0.007095;0.001689;0.000338
et;0.000265;0.230810;0.060614;0.199312;0.095553;0.000265;0.009529;0.059555;0.002647;0.000529;0.059555;0.000794;0.007941;0.000529;0.095289;0.000529;0.024616;0.100847;0.000265;0.000265;0.036263;0.000529;0.005294;0.000265;0.000265;0.002912;0.000265;0.000265;0.000265;0.001323;0.002118;0.000265;0.000265
eb;0.004032;0.004032;0.008065;0.020161;0.068548;0.004032;0.153226;0.036290;0.181452;0.004032;0.004032;0.008065;0.004032;0.004032;0.012097;0.012097;0.008065;0.056452;0.004032;0.004032;0.314516;0.004032;0.040323;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032
e);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
es;0.000112;0.002473;0.018098;0.428844;0.066659;0.000225;0.000112;0.000562;0.006969;0.016524;0.000112;0.000450;0.013826;0.000225;0.139388;0.000225;0.058903;0.169177;0.000112;0.000225;0.001686;0.046763;0.009667;0.000112;0.000674;0.000112;0.000450;0.000112;0.000112;0.008318;0.007531;0.001012;0.000225
