smoothed;3
(;s;t;a;e; ;o;r;n;y;g;l;d;h;i;);c;p;u;f;k;w;m;b;v;z;j;x;,;q;.;#
nu;0.003891;0.050584;0.120623;0.038911;0.105058;0.011673;0.011673;0.031128;0.007782;0.003891;0.023346;0.003891;0.023346;0.003891;0.042802;0.003891;0.089494;0.015564;0.007782;0.027237;0.003891;0.003891;0.326848;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.003891;0.007782;0.003891
nf;0.003817;0.003817;0.003817;0.041985;0.221374;0.003817;0.286260;0.061069;0.003817;0.003817;0.003817;0.076336;0.003817;0.003817;0.122137;0.003817;0.003817;0.003817;0.095420;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817
nk;0.002212;0.134956;0.002212;0.017699;0.046460;0.462389;0.002212;0.004425;0.002212;0.008850;0.002212;0.042035;0.002212;0.002212;0.123894;0.081858;0.002212;0.002212;0.002212;0.008850;0.002212;0.004425;0.002212;0.008850;0.002212;0.002212;0.002212;0.002212;0.004425;0.002212;0.011062;0.002212
nw;0.023810;0.023810;0.023810;0.095238;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.119048;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
nm;0.008475;0.008475;0.008475;0.169492;0.550847;0.008475;0.025424;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.016949;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475
nb;0.019231;0.019231;0.019231;0.019231;0.134615;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.115385;0.019231;0.019231;0.019231;0.173077;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
nv;0.005263;0.005263;0.005263;0.021053;0.463158;0.005263;0.168421;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.200000;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263
nz;0.024390;0.024390;0.024390;0.048780;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.146341;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
nj;0.019608;0.019608;0.019608;0.058824;0.058824;0.019608;0.254902;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
nx;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
n,;0.010989;0.010989;0.010989;0.010989;0.010989;0.219780;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.450549;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
nq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
n.;0.011236;0.011236;0.011236;0.011236;0.011236;0.022472;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.584270;0.022472;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.011236;0.056180;0.011236
n#;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.227273;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455
y(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ys;0.002762;0.002762;0.154696;0.002762;0.035912;0.524862;0.013812;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.005525;0.069061;0.096685;0.002762;0.002762;0.002762;0.008287;0.002762;0.002762;0.002762;0.005525;0.002762;0.002762;0.002762;0.002762;0.019337;0.002762;0.008287;0.002762
yt;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.716418;0.059701;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463
ya;0.012987;0.025974;0.051948;0.012987;0.012987;0.051948;0.012987;0.077922;0.220779;0.051948;0.012987;0.142857;0.038961;0.025974;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
ye;0.001786;0.117857;0.083929;0.573214;0.032143;0.010714;0.001786;0.055357;0.001786;0.001786;0.001786;0.014286;0.044643;0.001786;0.001786;0.005357;0.001786;0.016071;0.001786;0.001786;0.001786;0.001786;0.007143;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.003571;0.001786
y ;0.000191;0.070543;0.133079;0.101621;0.021735;0.003622;0.046902;0.023642;0.031077;0.013346;0.027073;0.023832;0.044614;0.057769;0.075310;0.000572;0.056244;0.035844;0.008198;0.040229;0.007436;0.071687;0.032221;0.054147;0.004766;0.000381;0.010486;0.000572;0.000953;0.001335;0.000381;0.000191
yo;0.000469;0.002813;0.000469;0.000938;0.000469;0.001406;0.000938;0.022035;0.037975;0.000469;0.001406;0.000469;0.000469;0.000469;0.000469;0.000938;0.000469;0.000469;0.919362;0.000469;0.000469;0.000938;0.000469;0.000469;0.000469;0.000469;0.000469;0.000469;0.000938;0.000469;0.000469;0.000938
yr;0.007143;0.007143;0.007143;0.021429;0.707143;0.007143;0.035714;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.035714;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143
yn;0.020408;0.020408;0.061224;0.020408;0.122449;0.061224;0.061224;0.020408;0.040816;0.040816;0.020408;0.020408;0.020408;0.020408;0.102041;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
yy;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yg;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yl;0.012195;0.012195;0.012195;0.085366;0.158537;0.048780;0.073171;0.012195;0.012195;0.012195;0.012195;0.121951;0.012195;0.012195;0.036585;0.012195;0.012195;0.012195;0.109756;0.012195;0.036585;0.012195;0.012195;0.012195;0.048780;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
yd;0.022727;0.022727;0.022727;0.181818;0.045455;0.068182;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
yh;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yi;0.003745;0.011236;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.872659;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.007491;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745;0.003745
y);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yc;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.113636;0.022727;0.136364;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
yp;0.012987;0.012987;0.259740;0.012987;0.207792;0.025974;0.038961;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987;0.103896;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
yu;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
yf;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
yw;0.017544;0.017544;0.017544;0.228070;0.017544;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.210526;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
ym;0.010870;0.010870;0.010870;0.054348;0.184783;0.010870;0.282609;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.043478;0.010870;0.010870;0.065217;0.010870;0.010870;0.010870;0.010870;0.021739;0.076087;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
yb;0.010204;0.010204;0.010204;0.030612;0.428571;0.010204;0.244898;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
yv;0.018182;0.018182;0.018182;0.018182;0.436364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
yz;0.029412;0.029412;0.029412;0.029412;0.058824;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
yj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
y,;0.006410;0.006410;0.006410;0.006410;0.006410;0.333333;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.474359;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410
yq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
y.;0.008696;0.008696;0.008696;0.008696;0.008696;0.043478;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.626087;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.078261;0.008696
y#;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.232558;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
g(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gs;0.004032;0.004032;0.020161;0.004032;0.004032;0.673387;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.008065;0.004032;0.161290;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.004032;0.024194;0.004032;0.008065;0.004032
gt;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.269231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.115385;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
ga;0.002037;0.016293;0.207739;0.002037;0.002037;0.012220;0.004073;0.083503;0.122200;0.048880;0.034623;0.077393;0.010183;0.002037;0.193483;0.008147;0.002037;0.002037;0.004073;0.002037;0.002037;0.002037;0.077393;0.002037;0.044807;0.020367;0.002037;0.002037;0.002037;0.002037;0.002037;0.004073
ge;0.000811;0.083536;0.263585;0.001622;0.001622;0.237632;0.015410;0.126521;0.112733;0.001622;0.000811;0.017032;0.049473;0.001622;0.000811;0.055150;0.001622;0.000811;0.000811;0.001622;0.000811;0.000811;0.005677;0.001622;0.000811;0.000811;0.000811;0.000811;0.004055;0.000811;0.007299;0.000811
g ;0.000344;0.046735;0.228866;0.139175;0.019244;0.002405;0.054639;0.013746;0.016151;0.024055;0.013058;0.016495;0.018213;0.040206;0.095533;0.002405;0.039519;0.031271;0.014777;0.038832;0.002405;0.056014;0.028522;0.039519;0.006186;0.001375;0.005498;0.001031;0.001031;0.002062;0.000344;0.000344
go;0.001148;0.006889;0.149254;0.008037;0.037887;0.165327;0.161883;0.012629;0.101033;0.001148;0.003444;0.016073;0.026406;0.001148;0.163031;0.032147;0.001148;0.001148;0.002296;0.002296;0.001148;0.005741;0.001148;0.004592;0.076923;0.001148;0.001148;0.001148;0.008037;0.001148;0.001148;0.002296
gr;0.002070;0.002070;0.002070;0.289855;0.389234;0.002070;0.167702;0.002070;0.002070;0.022774;0.002070;0.002070;0.002070;0.002070;0.064182;0.002070;0.002070;0.002070;0.012422;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070
gn;0.004831;0.019324;0.004831;0.178744;0.140097;0.260870;0.024155;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.140097;0.082126;0.004831;0.004831;0.014493;0.004831;0.004831;0.004831;0.009662;0.004831;0.004831;0.004831;0.004831;0.004831;0.009662;0.004831;0.019324;0.004831
gy;0.012987;0.012987;0.012987;0.012987;0.012987;0.441558;0.012987;0.012987;0.077922;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.051948;0.012987;0.051948;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987
gg;0.007042;0.028169;0.007042;0.021127;0.436620;0.014085;0.007042;0.119718;0.007042;0.028169;0.007042;0.084507;0.007042;0.007042;0.098592;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042
gl;0.004695;0.004695;0.004695;0.098592;0.361502;0.004695;0.075117;0.004695;0.004695;0.234742;0.004695;0.004695;0.004695;0.004695;0.089202;0.004695;0.004695;0.004695;0.018779;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695
gd;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
gh;0.000887;0.018634;0.560781;0.006211;0.014197;0.154392;0.008873;0.001775;0.000887;0.000887;0.000887;0.013310;0.001775;0.001775;0.140195;0.037267;0.000887;0.003549;0.000887;0.000887;0.000887;0.001775;0.000887;0.010648;0.000887;0.000887;0.000887;0.000887;0.007098;0.000887;0.003549;0.001775
gi;0.002500;0.025000;0.042500;0.012500;0.010000;0.015000;0.030000;0.065000;0.280000;0.002500;0.027500;0.010000;0.002500;0.002500;0.002500;0.005000;0.037500;0.002500;0.110000;0.007500;0.002500;0.002500;0.022500;0.012500;0.242500;0.010000;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500
g);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gc;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gp;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
gu;0.002506;0.035088;0.005013;0.135338;0.192982;0.002506;0.002506;0.057644;0.090226;0.195489;0.002506;0.067669;0.002506;0.002506;0.122807;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.037594;0.007519;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506
gf;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
gk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gm;0.025641;0.025641;0.025641;0.076923;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
gb;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
gv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
gx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
g,;0.013514;0.013514;0.013514;0.013514;0.013514;0.162162;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.432432;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
gq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
g.;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.595238;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.047619;0.011905
g#;0.021277;0.021277;0.021277;0.021277;0.021277;0.106383;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.255319;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
l(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ls;0.002494;0.002494;0.007481;0.007481;0.122195;0.346633;0.299252;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.009975;0.002494;0.122195;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.014963;0.002494;0.012469;0.002494
lt;0.002967;0.062315;0.002967;0.008902;0.056380;0.163205;0.038576;0.029674;0.002967;0.109792;0.002967;0.008902;0.002967;0.237389;0.115727;0.038576;0.002967;0.002967;0.059347;0.002967;0.002967;0.002967;0.002967;0.005935;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.008902;0.005935
la;0.000685;0.078821;0.083619;0.000685;0.000685;0.020562;0.000685;0.145305;0.114462;0.033585;0.017820;0.003427;0.020562;0.007539;0.061001;0.002742;0.072653;0.015079;0.180260;0.000685;0.005483;0.061686;0.025360;0.019191;0.015764;0.002056;0.000685;0.006169;0.000685;0.000685;0.000685;0.000685
le;0.000364;0.073455;0.074545;0.121091;0.007636;0.353818;0.000364;0.022545;0.032727;0.006909;0.032364;0.001455;0.086182;0.000364;0.000727;0.070182;0.028727;0.002182;0.000727;0.011636;0.000727;0.004000;0.027636;0.007273;0.010909;0.000364;0.000364;0.003273;0.007636;0.000364;0.008364;0.001091
l ;0.000487;0.071046;0.144526;0.090024;0.022871;0.002920;0.071046;0.031144;0.024818;0.035523;0.028224;0.021411;0.030170;0.042336;0.067640;0.000487;0.047202;0.036983;0.007786;0.037956;0.009732;0.059367;0.031144;0.059854;0.007299;0.000487;0.011679;0.000487;0.000973;0.003406;0.000487;0.000487
lo;0.000795;0.073132;0.100954;0.012719;0.000795;0.008744;0.294913;0.033386;0.089825;0.027822;0.049285;0.001590;0.005564;0.002385;0.005564;0.003180;0.065183;0.011924;0.033386;0.001590;0.000795;0.096184;0.007154;0.010334;0.057234;0.000795;0.000795;0.000795;0.000795;0.000795;0.000795;0.000795
