smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
ly;0.000110;0.003526;0.000110;0.827218;0.003747;0.005289;0.000882;0.000220;0.000220;0.000110;0.000110;0.003636;0.000110;0.000220;0.000110;0.148320;0.000331;0.000441;0.001763;0.000441;0.000220;0.000110;0.000110;0.000110;0.000110;0.000110;0.001653;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110
lv;0.002278;0.002278;0.002278;0.002278;0.002278;0.075171;0.002278;0.002278;0.022779;0.002278;0.833713;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278
lj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lz;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.384615;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
lx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
l.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ms;0.000935;0.000935;0.020580;0.671656;0.000935;0.000935;0.021515;0.000935;0.000935;0.006548;0.144995;0.012161;0.000935;0.002806;0.000935;0.090739;0.002806;0.000935;0.000935;0.001871;0.002806;0.000935;0.001871;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935
mo;0.000199;0.167231;0.003189;0.004784;0.000399;0.000997;0.036875;0.001196;0.000598;0.010763;0.000199;0.148096;0.003388;0.033685;0.051425;0.001595;0.041658;0.004784;0.081523;0.003189;0.000199;0.322304;0.008770;0.000598;0.069763;0.000997;0.000199;0.000399;0.000199;0.000199;0.000199;0.000199;0.000199
m ;0.000134;0.070977;0.063315;0.003764;0.059148;0.100686;0.141014;0.034548;0.155128;0.039925;0.010485;0.051485;0.035757;0.019089;0.009544;0.000807;0.019895;0.031187;0.027289;0.021912;0.028902;0.015997;0.004167;0.034144;0.008200;0.011292;0.000134;0.000134;0.000403;0.000134;0.000134;0.000134;0.000134
mw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mi;0.000262;0.119129;0.000262;0.003411;0.000262;0.000525;0.057728;0.000262;0.012070;0.000262;0.008134;0.354500;0.091315;0.046969;0.000525;0.001574;0.103123;0.165836;0.001312;0.000525;0.000787;0.011021;0.006035;0.000262;0.000262;0.000262;0.004461;0.007610;0.000262;0.000262;0.000262;0.000262;0.000262
mt;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mh;0.004739;0.004739;0.052133;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.800948;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739;0.004739
ma;0.000161;0.032689;0.000483;0.025926;0.000161;0.037520;0.104670;0.001932;0.000805;0.001127;0.000161;0.236554;0.030918;0.045411;0.000805;0.004670;0.018357;0.055878;0.001288;0.007085;0.001127;0.090982;0.151369;0.110950;0.000483;0.017552;0.015942;0.004187;0.000161;0.000161;0.000161;0.000161;0.000161
mb;0.001297;0.018158;0.038911;0.031128;0.001297;0.071336;0.001297;0.001297;0.044099;0.001297;0.647211;0.001297;0.001297;0.001297;0.001297;0.007782;0.001297;0.067445;0.001297;0.001297;0.001297;0.042802;0.001297;0.001297;0.001297;0.001297;0.001297;0.001297;0.001297;0.001297;0.001297;0.001297;0.001297
me;0.000060;0.047057;0.017961;0.372807;0.005328;0.000120;0.081363;0.003832;0.115249;0.013471;0.006526;0.159552;0.000419;0.040232;0.000060;0.058373;0.001976;0.006945;0.022571;0.000120;0.000120;0.044723;0.000120;0.000120;0.000060;0.000060;0.000120;0.000359;0.000060;0.000060;0.000060;0.000060;0.000060
mn;0.010753;0.086022;0.010753;0.182796;0.010753;0.129032;0.010753;0.010753;0.032258;0.010753;0.236559;0.010753;0.010753;0.010753;0.010753;0.043011;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
mg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
md;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.255814;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
mu;0.000699;0.227273;0.000699;0.001399;0.000699;0.000699;0.013986;0.004895;0.000699;0.000699;0.001399;0.148252;0.004196;0.008392;0.000699;0.002098;0.463636;0.033566;0.037762;0.003497;0.000699;0.035664;0.001399;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699;0.000699
m);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mc;0.010000;0.030000;0.020000;0.040000;0.030000;0.020000;0.060000;0.010000;0.010000;0.010000;0.020000;0.010000;0.030000;0.060000;0.010000;0.010000;0.320000;0.020000;0.060000;0.010000;0.030000;0.010000;0.060000;0.010000;0.010000;0.010000;0.010000;0.010000;0.020000;0.010000;0.010000;0.010000;0.010000
ml;0.017544;0.017544;0.035088;0.017544;0.017544;0.070175;0.017544;0.017544;0.017544;0.017544;0.122807;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.105263;0.175439;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
mm;0.000818;0.000818;0.074468;0.123568;0.000818;0.135843;0.000818;0.133388;0.043372;0.000818;0.215221;0.000818;0.000818;0.000818;0.180033;0.039280;0.000818;0.000818;0.022095;0.000818;0.000818;0.000818;0.000818;0.013912;0.000818;0.000818;0.000818;0.000818;0.000818;0.000818;0.000818;0.000818;0.000818
mp;0.000406;0.024756;0.150974;0.128653;0.000406;0.030032;0.032062;0.010552;0.110795;0.002435;0.068588;0.000406;0.000406;0.000406;0.084416;0.022321;0.000406;0.282873;0.000406;0.000406;0.001218;0.042614;0.000406;0.000406;0.000406;0.000406;0.000406;0.000406;0.000406;0.000406;0.000406;0.000406;0.000406
mf;0.011628;0.011628;0.534884;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.093023;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.023256;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628
mr;0.015385;0.046154;0.015385;0.030769;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.430769;0.015385;0.015385;0.015385
mk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
my;0.000360;0.066259;0.000360;0.762333;0.000360;0.000360;0.006122;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.154843;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360;0.000360
mv;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
mj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
mz;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
mx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m.;0.020833;0.020833;0.020833;0.291667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
m,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mé;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
m#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ps;0.001681;0.001681;0.033613;0.473950;0.001681;0.026891;0.026891;0.026891;0.001681;0.001681;0.092437;0.001681;0.001681;0.001681;0.005042;0.099160;0.001681;0.001681;0.001681;0.005042;0.001681;0.001681;0.005042;0.168067;0.001681;0.001681;0.001681;0.001681;0.001681;0.001681;0.001681;0.001681;0.001681
po;0.000228;0.198451;0.022101;0.000911;0.055366;0.121896;0.018455;0.000228;0.000228;0.000228;0.003418;0.068125;0.000684;0.013443;0.009797;0.000228;0.006607;0.224197;0.000911;0.023012;0.000228;0.208020;0.011848;0.000228;0.009114;0.000228;0.000228;0.000456;0.000228;0.000228;0.000228;0.000228;0.000228
p ;0.000364;0.050545;0.090182;0.001455;0.080364;0.155636;0.146909;0.030909;0.143273;0.048000;0.012364;0.011273;0.018909;0.019636;0.016364;0.001091;0.022909;0.010909;0.018182;0.021455;0.032727;0.015273;0.004727;0.033455;0.003636;0.005091;0.000364;0.000364;0.001455;0.000364;0.001091;0.000364;0.000364
pw;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.227273;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
pi;0.000730;0.032117;0.016058;0.003650;0.000730;0.000730;0.084672;0.000730;0.023358;0.000730;0.143066;0.271533;0.014599;0.037226;0.000730;0.000730;0.174453;0.034307;0.001460;0.003650;0.000730;0.132847;0.009489;0.000730;0.001460;0.000730;0.003650;0.000730;0.001460;0.000730;0.000730;0.000730;0.000730
pt;0.001456;0.036390;0.037846;0.275109;0.001456;0.372635;0.001456;0.008734;0.032023;0.001456;0.119360;0.001456;0.001456;0.001456;0.034934;0.042213;0.004367;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.004367;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456;0.001456
ph;0.001058;0.005291;0.203175;0.024339;0.001058;0.289947;0.001058;0.001058;0.055026;0.001058;0.130159;0.001058;0.001058;0.019048;0.001058;0.003175;0.001058;0.003175;0.001058;0.001058;0.001058;0.062434;0.001058;0.180952;0.001058;0.001058;0.001058;0.001058;0.001058;0.001058;0.001058;0.001058;0.001058
pa;0.000343;0.068587;0.000343;0.001715;0.001372;0.049383;0.084362;0.000343;0.000343;0.007888;0.000343;0.079904;0.012689;0.007888;0.013374;0.000343;0.058642;0.023663;0.001715;0.013032;0.000343;0.507888;0.003086;0.056584;0.003086;0.000343;0.000343;0.000343;0.000343;0.000343;0.000343;0.000343;0.000343
pb;0.016949;0.135593;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.101695;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.237288;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
pe;0.000110;0.007138;0.409730;0.027235;0.000988;0.000110;0.025148;0.000110;0.049089;0.000220;0.046782;0.137492;0.000769;0.026905;0.000110;0.002855;0.069075;0.003953;0.000110;0.000329;0.005711;0.184823;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110
pn;0.016949;0.050847;0.118644;0.186441;0.016949;0.135593;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
pg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pd;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.265306;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.102041;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
pu;0.000603;0.152502;0.000603;0.000603;0.000603;0.000603;0.320072;0.000603;0.000603;0.294153;0.002411;0.033755;0.003617;0.003014;0.000603;0.000603;0.000603;0.095238;0.002411;0.003617;0.000603;0.072333;0.001206;0.000603;0.000603;0.000603;0.003617;0.000603;0.000603;0.000603;0.000603;0.000603;0.000603
p);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pc;0.013333;0.013333;0.146667;0.146667;0.013333;0.013333;0.013333;0.173333;0.066667;0.013333;0.013333;0.013333;0.013333;0.013333;0.026667;0.080000;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
pl;0.000161;0.000161;0.023522;0.000161;0.000161;0.026100;0.000161;0.000161;0.152892;0.000161;0.766071;0.000161;0.000161;0.000161;0.007411;0.000161;0.000483;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.019333;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161
pm;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.016949;0.016949;0.084746;0.016949;0.355932;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
pp;0.000504;0.002017;0.266263;0.004034;0.000504;0.044377;0.000504;0.000504;0.016641;0.000504;0.464448;0.000504;0.000504;0.000504;0.001513;0.001513;0.000504;0.055976;0.000504;0.000504;0.000504;0.075139;0.000504;0.056984;0.000504;0.000504;0.000504;0.000504;0.000504;0.000504;0.000504;0.000504;0.000504
pf;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
pr;0.000211;0.000211;0.496521;0.009488;0.000211;0.145478;0.000211;0.000211;0.023825;0.000211;0.313515;0.000211;0.000211;0.000211;0.001687;0.002530;0.000211;0.000211;0.000211;0.000211;0.000211;0.000211;0.000211;0.001687;0.000211;0.000211;0.000211;0.000211;0.000211;0.000211;0.000211;0.000211;0.000211
pk;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
py;0.005051;0.005051;0.005051;0.727273;0.005051;0.015152;0.005051;0.005051;0.015152;0.005051;0.005051;0.005051;0.010101;0.005051;0.005051;0.085859;0.005051;0.005051;0.005051;0.005051;0.005051;0.010101;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051
pv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
px;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p.;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
p,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
f(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fs;0.009009;0.009009;0.009009;0.585586;0.009009;0.009009;0.036036;0.018018;0.009009;0.009009;0.018018;0.009009;0.009009;0.009009;0.027027;0.063063;0.018018;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009
fo;0.000165;0.004298;0.016198;0.001488;0.000165;0.000826;0.000165;0.000165;0.000165;0.000165;0.000496;0.000661;0.000661;0.000165;0.059339;0.000165;0.019669;0.021818;0.000165;0.000165;0.000165;0.865289;0.000165;0.000165;0.000165;0.000165;0.000165;0.005785;0.000165;0.000165;0.000165;0.000165;0.000165
f ;0.000070;0.048231;0.030572;0.004048;0.051721;0.075452;0.294688;0.030921;0.079500;0.021219;0.016472;0.009842;0.014378;0.014937;0.013192;0.000698;0.038389;0.023592;0.039925;0.044671;0.022475;0.015844;0.004188;0.088574;0.006631;0.007608;0.000070;0.000070;0.001326;0.000140;0.000419;0.000070;0.000070
fw;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.190476;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
fi;0.000306;0.014382;0.000918;0.000918;0.000306;0.000306;0.033354;0.000306;0.004896;0.000612;0.039780;0.236230;0.115361;0.010710;0.000306;0.000612;0.139535;0.028458;0.001836;0.000306;0.013770;0.285802;0.000306;0.000306;0.055692;0.000306;0.000306;0.012546;0.000306;0.000306;0.000306;0.000306;0.000306
