smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
s(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ss;0.000238;0.000951;0.064447;0.330559;0.000713;0.242331;0.001189;0.000238;0.055410;0.000476;0.097979;0.000476;0.000476;0.000238;0.108442;0.054221;0.000238;0.006897;0.006897;0.001427;0.014031;0.008799;0.000238;0.000951;0.000238;0.000238;0.000238;0.000238;0.000238;0.000238;0.000238;0.000238;0.000238
so;0.000070;0.000141;0.003941;0.398072;0.000281;0.000141;0.000141;0.000070;0.000281;0.000563;0.000774;0.101048;0.000704;0.001830;0.017240;0.056576;0.040110;0.023221;0.240799;0.012455;0.002111;0.095138;0.000070;0.000352;0.003026;0.000211;0.000070;0.000211;0.000070;0.000070;0.000070;0.000070;0.000070
s ;0.000020;0.056270;0.067269;0.002427;0.069109;0.106981;0.151704;0.026599;0.181845;0.040064;0.013231;0.031687;0.023604;0.017654;0.007653;0.000372;0.021843;0.031942;0.020394;0.022371;0.024935;0.021569;0.006459;0.031550;0.006322;0.014288;0.000157;0.000059;0.001331;0.000039;0.000215;0.000020;0.000020
sw;0.003759;0.003759;0.030075;0.003759;0.003759;0.105263;0.003759;0.003759;0.067669;0.003759;0.680451;0.003759;0.003759;0.003759;0.011278;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759
si;0.000175;0.037406;0.121482;0.001748;0.000175;0.000175;0.182486;0.000175;0.026744;0.049991;0.007516;0.141409;0.028666;0.130047;0.000350;0.000699;0.132320;0.022549;0.029016;0.001224;0.002272;0.008915;0.001923;0.000175;0.050341;0.000175;0.005593;0.015382;0.000175;0.000175;0.000175;0.000175;0.000175
st;0.000057;0.025373;0.053135;0.379508;0.000398;0.112299;0.000057;0.000171;0.145580;0.000228;0.080953;0.000114;0.000057;0.000057;0.066560;0.067357;0.000284;0.005575;0.001820;0.000057;0.000171;0.056605;0.000114;0.002674;0.000171;0.000057;0.000057;0.000057;0.000057;0.000228;0.000057;0.000057;0.000057
sh;0.000260;0.002601;0.395839;0.088166;0.000520;0.145644;0.004421;0.000260;0.065540;0.005982;0.231730;0.002601;0.000260;0.000520;0.014304;0.016385;0.000260;0.001560;0.007802;0.001300;0.000260;0.006502;0.003381;0.001040;0.000780;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260
sa;0.000190;0.005886;0.000759;0.006455;0.035504;0.189482;0.072717;0.000759;0.000190;0.003797;0.000380;0.048035;0.041200;0.012911;0.008923;0.001899;0.009493;0.016518;0.086197;0.006265;0.011392;0.020505;0.001519;0.405734;0.011771;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190
sb;0.010204;0.010204;0.071429;0.010204;0.010204;0.173469;0.010204;0.010204;0.244898;0.010204;0.030612;0.010204;0.010204;0.010204;0.122449;0.020408;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.071429;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
