smoothed;3
(;);n;o;r;d;s;t;m; ;h;a;p;e;c;i;l;y;f;u;g;w;b;k;v;#
r(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
r);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
rn;0.001008;0.005040;0.001008;0.053427;0.001008;0.001008;0.051411;0.002016;0.162298;0.239919;0.002016;0.101815;0.001008;0.219758;0.001008;0.144153;0.001008;0.002016;0.002016;0.001008;0.001008;0.001008;0.001008;0.001008;0.001008;0.001008
ro;0.000233;0.000233;0.073721;0.030233;0.009302;0.029767;0.043488;0.036977;0.226047;0.012558;0.001163;0.027209;0.028605;0.002558;0.028140;0.001628;0.053488;0.004186;0.022326;0.169535;0.021860;0.038837;0.085116;0.011628;0.031628;0.009535
rr;0.001107;0.002215;0.001107;0.124031;0.001107;0.001107;0.001107;0.001107;0.001107;0.003322;0.001107;0.093023;0.001107;0.214839;0.001107;0.246955;0.001107;0.233666;0.001107;0.062016;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107
rd;0.000776;0.022498;0.000776;0.030256;0.003103;0.000776;0.153607;0.000776;0.000776;0.476338;0.000776;0.024050;0.000776;0.187742;0.000776;0.073701;0.012413;0.003103;0.000776;0.000776;0.000776;0.000776;0.001552;0.000776;0.000776;0.000776
rs;0.000332;0.034219;0.000332;0.112957;0.000332;0.006645;0.000332;0.144186;0.000332;0.494352;0.013621;0.025914;0.004983;0.098007;0.002658;0.040199;0.000332;0.002990;0.000332;0.014618;0.000332;0.000332;0.000332;0.000332;0.000332;0.000664
rt;0.000302;0.013273;0.007541;0.009955;0.004827;0.000302;0.058522;0.000302;0.031071;0.326998;0.085973;0.098944;0.000302;0.066667;0.000302;0.157768;0.006335;0.104676;0.000905;0.022021;0.000603;0.000603;0.000905;0.000302;0.000302;0.000302
rm;0.001134;0.009070;0.001134;0.055556;0.002268;0.001134;0.174603;0.001134;0.001134;0.222222;0.001134;0.239229;0.001134;0.158730;0.001134;0.089569;0.002268;0.027211;0.001134;0.002268;0.001134;0.001134;0.001134;0.001134;0.001134;0.001134
r ;0.000081;0.000081;0.018770;0.059223;0.026456;0.037945;0.067799;0.162298;0.035680;0.000081;0.043285;0.122816;0.052589;0.026375;0.048139;0.066909;0.023463;0.022087;0.043204;0.006230;0.018285;0.062217;0.032929;0.005097;0.006392;0.011570
rh;0.009009;0.009009;0.009009;0.162162;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.450450;0.009009;0.153153;0.009009;0.027027;0.009009;0.018018;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009
ra;0.000242;0.002177;0.104716;0.008948;0.009432;0.035067;0.025635;0.283918;0.040145;0.014510;0.006288;0.000242;0.027086;0.010641;0.107618;0.062636;0.123337;0.014268;0.004353;0.005804;0.034583;0.013059;0.021040;0.004111;0.025151;0.014994
rp;0.004566;0.004566;0.004566;0.315068;0.369863;0.004566;0.018265;0.013699;0.004566;0.022831;0.013699;0.004566;0.004566;0.045662;0.004566;0.045662;0.077626;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566
re;0.000056;0.012730;0.037851;0.000451;0.001239;0.043033;0.173707;0.019320;0.023713;0.397544;0.000732;0.139462;0.032556;0.031936;0.026473;0.002647;0.019489;0.000789;0.009744;0.000338;0.008449;0.003436;0.001408;0.000282;0.008561;0.004055
rc;0.001355;0.004065;0.001355;0.023035;0.004065;0.001355;0.001355;0.012195;0.001355;0.005420;0.299458;0.009485;0.001355;0.434959;0.001355;0.070461;0.050136;0.013550;0.001355;0.054201;0.001355;0.001355;0.001355;0.001355;0.001355;0.001355
ri;0.000216;0.000648;0.129290;0.042089;0.000216;0.023959;0.055472;0.121951;0.053961;0.005396;0.000216;0.033456;0.013814;0.098209;0.138571;0.000216;0.017267;0.000216;0.014030;0.001511;0.169868;0.000216;0.037557;0.006907;0.024822;0.009929
rl;0.002123;0.006369;0.002123;0.040340;0.002123;0.329087;0.016985;0.002123;0.002123;0.027601;0.002123;0.014862;0.004246;0.019108;0.002123;0.097665;0.002123;0.403397;0.008493;0.002123;0.002123;0.002123;0.002123;0.002123;0.002123;0.002123
ry;0.000387;0.034870;0.000387;0.021697;0.000387;0.003874;0.003100;0.025571;0.025184;0.764432;0.000387;0.006974;0.000775;0.000387;0.000387;0.073227;0.008911;0.000387;0.000387;0.000387;0.000387;0.006587;0.019760;0.000387;0.000387;0.000387
rf;0.005000;0.005000;0.005000;0.130000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.055000;0.005000;0.345000;0.005000;0.015000;0.005000;0.005000;0.005000;0.350000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000
ru;0.000591;0.000591;0.122340;0.000591;0.004728;0.010638;0.160165;0.037825;0.330378;0.004137;0.000591;0.003546;0.044917;0.089243;0.075650;0.024232;0.050827;0.000591;0.000591;0.000591;0.021277;0.000591;0.013002;0.000591;0.000591;0.001182
rg;0.001133;0.003398;0.001133;0.032843;0.002265;0.001133;0.002265;0.001133;0.001133;0.069083;0.069083;0.115515;0.001133;0.287656;0.001133;0.117780;0.001133;0.040770;0.001133;0.242356;0.001133;0.001133;0.001133;0.001133;0.001133;0.001133
rw;0.009901;0.009901;0.009901;0.069307;0.029703;0.009901;0.009901;0.009901;0.009901;0.009901;0.069307;0.495050;0.009901;0.039604;0.009901;0.099010;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
rb;0.007092;0.007092;0.007092;0.056738;0.007092;0.007092;0.021277;0.007092;0.007092;0.035461;0.007092;0.276596;0.007092;0.063830;0.007092;0.340426;0.028369;0.021277;0.007092;0.035461;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
rk;0.001325;0.039735;0.001325;0.010596;0.001325;0.001325;0.050331;0.001325;0.002649;0.535099;0.001325;0.038411;0.014570;0.152318;0.001325;0.128477;0.006623;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325;0.001325
rv;0.002169;0.002169;0.002169;0.021692;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169;0.342733;0.002169;0.245119;0.002169;0.342733;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169;0.002169
r#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.263158;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
d(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
d);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
dn;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992;0.842629;0.001992;0.001992;0.001992;0.043825;0.001992;0.063745;0.001992;0.005976;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992;0.001992
do;0.000242;0.006536;0.336238;0.011135;0.005326;0.000726;0.002179;0.049867;0.014524;0.230453;0.000242;0.000242;0.003631;0.125635;0.021060;0.060276;0.038974;0.000484;0.000484;0.015735;0.005568;0.066570;0.000726;0.000242;0.000484;0.002421
dr;0.001484;0.002967;0.001484;0.065282;0.001484;0.001484;0.001484;0.001484;0.001484;0.004451;0.001484;0.195846;0.001484;0.465875;0.001484;0.118694;0.001484;0.011869;0.001484;0.108309;0.001484;0.001484;0.001484;0.001484;0.001484;0.001484
dd;0.002717;0.016304;0.002717;0.013587;0.114130;0.002717;0.027174;0.002717;0.002717;0.141304;0.002717;0.008152;0.002717;0.173913;0.002717;0.258152;0.165761;0.038043;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717
ds;0.001174;0.056338;0.001174;0.007042;0.001174;0.001174;0.001174;0.069249;0.002347;0.822770;0.003521;0.002347;0.001174;0.007042;0.005869;0.002347;0.001174;0.001174;0.001174;0.001174;0.001174;0.003521;0.001174;0.001174;0.001174;0.001174
dt;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.151515;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dm;0.003861;0.003861;0.003861;0.007722;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.081081;0.003861;0.100386;0.003861;0.725869;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861;0.003861
d ;0.000044;0.000044;0.022440;0.077942;0.018219;0.023196;0.068610;0.198987;0.026929;0.000044;0.044437;0.119134;0.027062;0.016353;0.031461;0.097849;0.018530;0.025507;0.031328;0.010931;0.013598;0.053102;0.054701;0.004133;0.004044;0.011376
dh;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
da;0.000712;0.006410;0.087607;0.000712;0.085470;0.012821;0.007835;0.179487;0.063390;0.060541;0.001425;0.000712;0.002137;0.000712;0.007835;0.012108;0.022792;0.324786;0.000712;0.012821;0.002137;0.001425;0.006410;0.002137;0.096154;0.000712
dp;0.030303;0.030303;0.030303;0.181818;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
de;0.000177;0.005674;0.216489;0.011170;0.179965;0.043085;0.054610;0.011879;0.077660;0.120922;0.000177;0.087766;0.041135;0.012943;0.044858;0.000355;0.025709;0.000177;0.034574;0.000532;0.003901;0.000177;0.012234;0.000177;0.011702;0.001950
dc;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.380952;0.047619;0.190476;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
di;0.000300;0.000600;0.172621;0.012309;0.036926;0.210147;0.168718;0.051036;0.004503;0.011408;0.000300;0.037826;0.004803;0.037826;0.069048;0.000300;0.003002;0.000300;0.100270;0.000300;0.010207;0.000300;0.036325;0.000300;0.028220;0.002101
dl;0.004167;0.004167;0.004167;0.016667;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.008333;0.004167;0.325000;0.004167;0.158333;0.004167;0.404167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167
dy;0.001681;0.031933;0.016807;0.001681;0.001681;0.001681;0.030252;0.001681;0.005042;0.862185;0.001681;0.001681;0.001681;0.001681;0.001681;0.013445;0.003361;0.001681;0.001681;0.001681;0.006723;0.001681;0.001681;0.001681;0.001681;0.001681
df;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
du;0.002247;0.002247;0.020225;0.002247;0.164045;0.015730;0.047191;0.056180;0.049438;0.004494;0.002247;0.067416;0.006742;0.049438;0.424719;0.006742;0.051685;0.002247;0.002247;0.002247;0.004494;0.002247;0.004494;0.002247;0.002247;0.004494
dg;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.070707;0.005051;0.005051;0.005051;0.005051;0.787879;0.005051;0.020202;0.005051;0.010101;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051
dw;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.360000;0.020000;0.080000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
db;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.219512;0.024390;0.073171;0.048780;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
dk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.242424;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dv;0.006494;0.006494;0.006494;0.071429;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.402597;0.006494;0.155844;0.006494;0.227273;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
d#;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.358974;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
s(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
s);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
sn;0.001795;0.001795;0.001795;0.017953;0.001795;0.001795;0.001795;0.904847;0.001795;0.001795;0.001795;0.014363;0.001795;0.021544;0.001795;0.003591;0.001795;0.001795;0.001795;0.001795;0.001795;0.001795;0.001795;0.001795;0.001795;0.001795
so;0.000181;0.010658;0.133490;0.003974;0.061958;0.021857;0.000542;0.001084;0.231395;0.435694;0.000181;0.000903;0.003613;0.000361;0.020773;0.000903;0.028360;0.000181;0.001264;0.038837;0.000361;0.000542;0.001626;0.000181;0.000542;0.000542
sr;0.010753;0.010753;0.010753;0.064516;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.462366;0.010753;0.053763;0.010753;0.010753;0.010753;0.010753;0.010753;0.182796;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
sd;0.010753;0.010753;0.010753;0.043011;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.602151;0.010753;0.107527;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
ss;0.000353;0.023977;0.000705;0.028209;0.002116;0.000353;0.001410;0.000705;0.016220;0.376939;0.001410;0.052186;0.001410;0.102257;0.000353;0.265162;0.002821;0.009520;0.012694;0.097673;0.000353;0.001763;0.000353;0.000353;0.000353;0.000353
st;0.000109;0.008583;0.000109;0.065732;0.100934;0.000217;0.019883;0.000109;0.000978;0.385050;0.000109;0.137983;0.000326;0.074750;0.000109;0.166667;0.006519;0.002282;0.001521;0.024337;0.000109;0.003151;0.000109;0.000109;0.000109;0.000109
sm;0.002976;0.038690;0.002976;0.086310;0.002976;0.002976;0.023810;0.002976;0.002976;0.258929;0.002976;0.312500;0.002976;0.136905;0.002976;0.077381;0.002976;0.002976;0.002976;0.011905;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976
s ;0.000032;0.000032;0.034402;0.070675;0.023558;0.019460;0.046245;0.154904;0.024107;0.000032;0.030948;0.182819;0.028431;0.017556;0.029754;0.089199;0.035918;0.015329;0.025720;0.006325;0.024817;0.066189;0.043567;0.005551;0.007132;0.017298
sh;0.000361;0.004688;0.004688;0.352326;0.008655;0.000361;0.002164;0.000361;0.011900;0.132348;0.001082;0.059863;0.000361;0.253877;0.000721;0.149297;0.001442;0.003606;0.000361;0.008294;0.000361;0.000361;0.000361;0.001082;0.000721;0.000361
sa;0.000437;0.002620;0.150218;0.000437;0.026638;0.017031;0.012664;0.069869;0.061135;0.004367;0.000437;0.000437;0.009607;0.000437;0.007860;0.162882;0.023581;0.325328;0.019214;0.035371;0.027511;0.020087;0.004367;0.003493;0.013537;0.000437
sp;0.000887;0.000887;0.000887;0.226064;0.023936;0.000887;0.000887;0.000887;0.000887;0.002660;0.008865;0.069149;0.000887;0.498227;0.000887;0.112589;0.031915;0.003546;0.000887;0.008865;0.000887;0.000887;0.000887;0.000887;0.000887;0.000887
se;0.000124;0.011781;0.085689;0.000248;0.057044;0.058656;0.037822;0.027034;0.002728;0.416419;0.000744;0.023562;0.007440;0.113219;0.052579;0.000744;0.056300;0.002108;0.003100;0.000868;0.006944;0.001736;0.000124;0.000248;0.021205;0.011533
sc;0.001427;0.001427;0.001427;0.175464;0.159772;0.001427;0.001427;0.001427;0.001427;0.001427;0.186876;0.124108;0.001427;0.067047;0.001427;0.118402;0.034237;0.001427;0.001427;0.108417;0.001427;0.001427;0.001427;0.001427;0.001427;0.001427
si;0.000242;0.000242;0.153195;0.133107;0.008470;0.258712;0.029284;0.082527;0.016215;0.003630;0.000242;0.037754;0.002178;0.007986;0.060503;0.000242;0.012827;0.000242;0.007502;0.000242;0.051549;0.000242;0.054211;0.000484;0.031704;0.046467
sl;0.001250;0.001250;0.001250;0.066250;0.001250;0.001250;0.001250;0.001250;0.001250;0.001250;0.001250;0.453750;0.001250;0.126250;0.001250;0.112500;0.001250;0.210000;0.001250;0.006250;0.001250;0.001250;0.001250;0.001250;0.001250;0.001250
sy;0.002778;0.038889;0.019444;0.002778;0.025000;0.002778;0.250000;0.002778;0.108333;0.322222;0.002778;0.002778;0.002778;0.002778;0.044444;0.002778;0.141667;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778;0.002778
sf;0.009901;0.009901;0.009901;0.049505;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.039604;0.009901;0.049505;0.009901;0.029703;0.009901;0.277228;0.009901;0.356436;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
su;0.000510;0.000510;0.006122;0.000510;0.213265;0.012245;0.051531;0.000510;0.069388;0.001020;0.000510;0.037755;0.227551;0.107653;0.081122;0.028061;0.032143;0.000510;0.014286;0.000510;0.045408;0.000510;0.065816;0.000510;0.000510;0.001531
sg;0.020408;0.020408;0.020408;0.020408;0.102041;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.408163;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
sw;0.004878;0.004878;0.004878;0.048780;0.009756;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.117073;0.004878;0.609756;0.004878;0.112195;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878
sb;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.219697;0.007576;0.090909;0.007576;0.007576;0.007576;0.022727;0.007576;0.500000;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576
sk;0.002825;0.005650;0.002825;0.005650;0.002825;0.002825;0.019774;0.002825;0.002825;0.223164;0.002825;0.028249;0.002825;0.378531;0.002825;0.231638;0.002825;0.056497;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825
sv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.242424;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
s#;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.611940;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
t(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
t);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
tn;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.022222;0.011111;0.688889;0.011111;0.022222;0.011111;0.011111;0.011111;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
to;0.000099;0.006619;0.024995;0.019067;0.095633;0.008595;0.001284;0.011460;0.004643;0.776724;0.000099;0.000198;0.017487;0.000494;0.002173;0.000395;0.005631;0.000692;0.000099;0.005137;0.006520;0.008793;0.002173;0.000296;0.000198;0.000494
tr;0.000283;0.000283;0.000283;0.096235;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.265214;0.000283;0.095386;0.000283;0.133598;0.000283;0.142938;0.000283;0.260968;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283
td;0.027778;0.027778;0.027778;0.277778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ts;0.000192;0.023823;0.000192;0.000768;0.000192;0.000192;0.000192;0.000576;0.000384;0.937944;0.000384;0.000192;0.000192;0.006916;0.000384;0.008646;0.000192;0.000961;0.000192;0.004419;0.000192;0.000384;0.011720;0.000384;0.000192;0.000192
tt;0.000540;0.001620;0.000540;0.033477;0.022138;0.000540;0.035097;0.000540;0.000540;0.038337;0.001620;0.054536;0.000540;0.440605;0.000540;0.150108;0.161447;0.052916;0.000540;0.000540;0.000540;0.000540;0.000540;0.000540;0.000540;0.000540
tm;0.005102;0.005102;0.005102;0.030612;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.051020;0.005102;0.801020;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102
t ;0.000029;0.000029;0.014711;0.074832;0.020322;0.028694;0.058523;0.180859;0.028316;0.000029;0.053057;0.104340;0.025729;0.015873;0.034102;0.112684;0.025380;0.025874;0.027095;0.006628;0.018286;0.081402;0.037445;0.010350;0.004041;0.011367
th;0.000027;0.001826;0.000027;0.026819;0.012779;0.000644;0.001826;0.000027;0.000134;0.058792;0.000081;0.216805;0.000027;0.519141;0.000779;0.157020;0.000591;0.001342;0.000107;0.000940;0.000027;0.000107;0.000027;0.000027;0.000027;0.000054
ta;0.000255;0.002546;0.152240;0.000255;0.098778;0.000764;0.015275;0.158350;0.003819;0.025713;0.003310;0.000255;0.016293;0.000255;0.031823;0.084012;0.191191;0.014257;0.010438;0.004582;0.022658;0.000255;0.036405;0.096996;0.001273;0.028004
tp;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.058824;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
te;0.000118;0.010763;0.091662;0.000473;0.276878;0.145240;0.066824;0.000118;0.028031;0.212892;0.000473;0.023182;0.006860;0.041041;0.010408;0.002247;0.048965;0.000118;0.000473;0.000355;0.008870;0.001301;0.000118;0.000118;0.011118;0.011354
tc;0.002681;0.008043;0.002681;0.056300;0.002681;0.002681;0.002681;0.002681;0.002681;0.026810;0.844504;0.005362;0.002681;0.002681;0.002681;0.002681;0.002681;0.005362;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681
ti;0.000109;0.000218;0.162537;0.375614;0.008187;0.001092;0.020631;0.023469;0.068006;0.005676;0.000109;0.025434;0.002401;0.023142;0.146818;0.000109;0.026307;0.000109;0.014736;0.000218;0.022159;0.000109;0.000327;0.000109;0.066041;0.006331
tl;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.047853;0.001227;0.430675;0.001227;0.040491;0.004908;0.450307;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227;0.001227
ty;0.000569;0.039294;0.000569;0.000569;0.000569;0.000569;0.003986;0.000569;0.001708;0.924829;0.000569;0.000569;0.010251;0.000569;0.001708;0.001708;0.006264;0.000569;0.000569;0.000569;0.000569;0.000569;0.000569;0.000569;0.000569;0.000569
tf;0.014925;0.014925;0.014925;0.238806;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.208955;0.014925;0.044776;0.014925;0.014925;0.014925;0.179104;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
tu;0.000693;0.001387;0.038835;0.000693;0.358530;0.072122;0.011096;0.082524;0.009015;0.000693;0.000693;0.318308;0.013176;0.024272;0.004854;0.003467;0.002080;0.000693;0.048544;0.000693;0.000693;0.000693;0.004161;0.000693;0.000693;0.000693
tg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
tw;0.001111;0.001111;0.001111;0.477778;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.004444;0.006667;0.001111;0.412222;0.001111;0.075556;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111
tb;0.025641;0.025641;0.025641;0.051282;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.256410;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
tk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
tv;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.448980;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
t#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.194444;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
