smoothed;3
(;s;o; ;w;h;y;a;r;e;n;t;f;l;i;g;c;u;j;);m;p;d;b;k;v;x;#
yk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yv;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.325000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
yx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
y#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
a(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
as;0.000926;0.061111;0.015741;0.566667;0.000926;0.011111;0.008333;0.002778;0.000926;0.030556;0.017593;0.112037;0.000926;0.008333;0.037037;0.000926;0.008333;0.001852;0.000926;0.086111;0.001852;0.007407;0.000926;0.000926;0.012963;0.000926;0.000926;0.000926
ao;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
a ;0.000937;0.072165;0.009372;0.021556;0.055295;0.043112;0.016870;0.019681;0.029991;0.004686;0.040300;0.071228;0.052484;0.132146;0.021556;0.064667;0.069353;0.003749;0.011246;0.003749;0.046860;0.043112;0.043112;0.080600;0.011246;0.022493;0.000937;0.007498
aw;0.012346;0.037037;0.012346;0.234568;0.012346;0.012346;0.012346;0.283951;0.012346;0.074074;0.037037;0.012346;0.012346;0.012346;0.024691;0.012346;0.012346;0.012346;0.012346;0.049383;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
ah;0.002532;0.002532;0.007595;0.782278;0.002532;0.002532;0.002532;0.010127;0.002532;0.012658;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.126582;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.005063
ay;0.002008;0.160643;0.002008;0.546185;0.002008;0.002008;0.002008;0.004016;0.002008;0.030120;0.002008;0.002008;0.004016;0.002008;0.078313;0.002008;0.002008;0.002008;0.002008;0.088353;0.002008;0.002008;0.002008;0.048193;0.002008;0.002008;0.002008;0.002008
aa;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ar;0.000957;0.088995;0.024880;0.110048;0.000957;0.003828;0.024880;0.034450;0.022967;0.248804;0.026794;0.167464;0.001914;0.029665;0.044019;0.023923;0.016268;0.000957;0.000957;0.016268;0.015311;0.003828;0.058373;0.008612;0.019139;0.001914;0.002871;0.000957
ae;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.205882;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
an;0.000372;0.016003;0.014142;0.163379;0.000372;0.000744;0.051731;0.010421;0.000372;0.007443;0.009304;0.075549;0.000372;0.000372;0.017492;0.023446;0.014142;0.002233;0.000372;0.029773;0.000372;0.000372;0.552289;0.000372;0.007071;0.000372;0.000744;0.000372
at;0.000393;0.109320;0.008258;0.558002;0.000393;0.014943;0.000393;0.002359;0.002753;0.091624;0.000786;0.013370;0.000393;0.000786;0.074715;0.000393;0.012584;0.014943;0.000393;0.088478;0.001573;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.000786
af;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.019048;0.009524;0.123810;0.085714;0.009524;0.457143;0.085714;0.009524;0.019048;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524
al;0.000771;0.062452;0.015420;0.175019;0.028527;0.000771;0.003084;0.004626;0.012336;0.016962;0.000771;0.014649;0.015420;0.434850;0.058597;0.001542;0.013878;0.007710;0.000771;0.037779;0.025443;0.003084;0.001542;0.000771;0.060910;0.000771;0.000771;0.000771
ai;0.002584;0.018088;0.002584;0.020672;0.002584;0.002584;0.002584;0.002584;0.069767;0.002584;0.470284;0.067183;0.002584;0.077519;0.002584;0.020672;0.002584;0.002584;0.002584;0.005168;0.005168;0.002584;0.198966;0.002584;0.002584;0.002584;0.002584;0.002584
ag;0.005102;0.010204;0.137755;0.035714;0.005102;0.005102;0.005102;0.198980;0.051020;0.275510;0.030612;0.005102;0.005102;0.005102;0.096939;0.045918;0.005102;0.015306;0.005102;0.010204;0.010204;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102
ac;0.002070;0.002070;0.010352;0.004141;0.002070;0.105590;0.002070;0.006211;0.018634;0.134576;0.002070;0.310559;0.002070;0.002070;0.033126;0.002070;0.045549;0.008282;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.285714;0.002070;0.002070;0.004141
au;0.003584;0.713262;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.014337;0.003584;0.021505;0.025090;0.003584;0.017921;0.003584;0.057348;0.007168;0.003584;0.003584;0.003584;0.007168;0.003584;0.068100;0.003584;0.003584;0.003584;0.003584;0.003584
aj;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
a);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
am;0.002604;0.049479;0.072917;0.187500;0.002604;0.002604;0.002604;0.049479;0.002604;0.364583;0.028646;0.002604;0.002604;0.002604;0.054688;0.002604;0.002604;0.005208;0.002604;0.023438;0.023438;0.085938;0.002604;0.013021;0.002604;0.002604;0.002604;0.002604
ap;0.004525;0.022624;0.045249;0.058824;0.004525;0.013575;0.027149;0.045249;0.009050;0.144796;0.004525;0.027149;0.004525;0.004525;0.058824;0.004525;0.004525;0.004525;0.004525;0.009050;0.004525;0.466063;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525
ad;0.002433;0.012165;0.046229;0.484185;0.002433;0.002433;0.063260;0.014599;0.009732;0.094891;0.007299;0.002433;0.002433;0.009732;0.053528;0.007299;0.009732;0.019465;0.004866;0.058394;0.012165;0.004866;0.055961;0.002433;0.002433;0.009732;0.002433;0.002433
ab;0.002941;0.038235;0.520588;0.020588;0.002941;0.002941;0.014706;0.002941;0.014706;0.014706;0.002941;0.002941;0.002941;0.188235;0.091176;0.002941;0.002941;0.008824;0.002941;0.014706;0.002941;0.002941;0.002941;0.023529;0.002941;0.002941;0.002941;0.002941
ak;0.004132;0.024793;0.004132;0.061983;0.004132;0.004132;0.008264;0.004132;0.004132;0.603306;0.004132;0.004132;0.024793;0.004132;0.169421;0.004132;0.004132;0.004132;0.004132;0.020661;0.004132;0.004132;0.004132;0.004132;0.004132;0.004132;0.004132;0.004132
av;0.002463;0.002463;0.022167;0.002463;0.002463;0.002463;0.009852;0.034483;0.002463;0.805419;0.002463;0.002463;0.002463;0.002463;0.071429;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463;0.002463
ax;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a#;0.010526;0.010526;0.042105;0.010526;0.010526;0.010526;0.452632;0.010526;0.010526;0.042105;0.010526;0.010526;0.010526;0.010526;0.189474;0.010526;0.010526;0.010526;0.010526;0.010526;0.031579;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526
r(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
rs;0.002208;0.002208;0.081678;0.419426;0.002208;0.004415;0.002208;0.030905;0.002208;0.094923;0.002208;0.161148;0.002208;0.002208;0.046358;0.002208;0.002208;0.017660;0.002208;0.086093;0.002208;0.015453;0.004415;0.002208;0.002208;0.002208;0.002208;0.002208
ro;0.001538;0.026154;0.083077;0.012308;0.064615;0.006154;0.001538;0.030769;0.006154;0.003077;0.067692;0.020000;0.018462;0.029231;0.015385;0.052308;0.021538;0.147692;0.003077;0.004615;0.195385;0.041538;0.021538;0.083077;0.009231;0.029231;0.003077;0.001538
r ;0.000706;0.079746;0.053634;0.007763;0.047989;0.038109;0.042343;0.122795;0.018349;0.024700;0.023289;0.156669;0.035286;0.048694;0.075512;0.017643;0.029640;0.005646;0.004940;0.001411;0.034580;0.031052;0.035992;0.049400;0.005646;0.007057;0.000706;0.000706
rw;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.171429;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
rh;0.025641;0.025641;0.256410;0.025641;0.025641;0.025641;0.051282;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ry;0.002506;0.007519;0.047619;0.508772;0.012531;0.002506;0.002506;0.007519;0.002506;0.002506;0.002506;0.087719;0.002506;0.005013;0.095238;0.002506;0.002506;0.005013;0.002506;0.117794;0.002506;0.005013;0.007519;0.055138;0.002506;0.002506;0.002506;0.002506
ra;0.001887;0.037736;0.003774;0.013208;0.007547;0.001887;0.022642;0.001887;0.016981;0.001887;0.116981;0.133962;0.001887;0.084906;0.183019;0.022642;0.052830;0.003774;0.001887;0.007547;0.054717;0.041509;0.043396;0.026415;0.001887;0.015094;0.003774;0.094340
rr;0.011628;0.011628;0.058140;0.011628;0.011628;0.011628;0.186047;0.116279;0.011628;0.081395;0.011628;0.011628;0.011628;0.011628;0.290698;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628
re;0.000418;0.120718;0.001253;0.385965;0.005430;0.001671;0.000418;0.164160;0.001253;0.040936;0.042189;0.016291;0.006683;0.012114;0.001253;0.004595;0.017544;0.000418;0.000835;0.071429;0.040936;0.007519;0.043442;0.001671;0.000835;0.007937;0.000418;0.001671
rn;0.006711;0.060403;0.033557;0.161074;0.006711;0.006711;0.006711;0.053691;0.006711;0.228188;0.006711;0.013423;0.006711;0.006711;0.268456;0.006711;0.006711;0.006711;0.006711;0.020134;0.033557;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711
rt;0.002538;0.086294;0.007614;0.294416;0.005076;0.088832;0.017766;0.111675;0.012690;0.121827;0.015228;0.002538;0.002538;0.005076;0.114213;0.002538;0.002538;0.025381;0.002538;0.048223;0.010152;0.002538;0.002538;0.002538;0.002538;0.005076;0.002538;0.002538
rf;0.022222;0.022222;0.177778;0.022222;0.022222;0.022222;0.022222;0.044444;0.044444;0.066667;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.133333;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
rl;0.009434;0.018868;0.009434;0.075472;0.009434;0.009434;0.216981;0.018868;0.009434;0.037736;0.009434;0.009434;0.018868;0.009434;0.066038;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.358491;0.009434;0.009434;0.009434;0.009434;0.009434
ri;0.001451;0.058055;0.050798;0.001451;0.001451;0.001451;0.001451;0.030479;0.001451;0.100145;0.140784;0.069666;0.008708;0.008708;0.001451;0.245283;0.074020;0.010160;0.020319;0.001451;0.018868;0.031930;0.033382;0.036284;0.001451;0.039187;0.002903;0.007257
rg;0.010000;0.010000;0.050000;0.050000;0.010000;0.010000;0.080000;0.150000;0.010000;0.360000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.090000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
rc;0.009346;0.009346;0.037383;0.009346;0.009346;0.196262;0.018692;0.018692;0.009346;0.355140;0.009346;0.009346;0.009346;0.018692;0.149533;0.009346;0.009346;0.018692;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346
ru;0.006369;0.063694;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.006369;0.108280;0.133758;0.057325;0.006369;0.044586;0.038217;0.280255;0.089172;0.006369;0.006369;0.006369;0.031847;0.019108;0.019108;0.012739;0.006369;0.006369;0.006369;0.006369
rj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
r);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
rm;0.007874;0.094488;0.055118;0.165354;0.007874;0.015748;0.015748;0.299213;0.007874;0.031496;0.007874;0.007874;0.007874;0.007874;0.125984;0.007874;0.007874;0.007874;0.007874;0.047244;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874
rp;0.019608;0.019608;0.176471;0.019608;0.019608;0.117647;0.019608;0.019608;0.078431;0.078431;0.019608;0.019608;0.019608;0.098039;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
rd;0.005208;0.083333;0.020833;0.458333;0.010417;0.005208;0.005208;0.088542;0.005208;0.109375;0.005208;0.005208;0.005208;0.005208;0.046875;0.005208;0.005208;0.010417;0.005208;0.072917;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
rb;0.024390;0.048780;0.170732;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
rk;0.006711;0.140940;0.013423;0.355705;0.006711;0.006711;0.006711;0.013423;0.006711;0.161074;0.006711;0.006711;0.006711;0.006711;0.080537;0.006711;0.006711;0.006711;0.006711;0.080537;0.006711;0.020134;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711
rv;0.016667;0.016667;0.033333;0.016667;0.016667;0.016667;0.016667;0.050000;0.016667;0.200000;0.016667;0.016667;0.016667;0.016667;0.316667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
rx;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
r#;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
e(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
es;0.000730;0.106647;0.005844;0.482104;0.000730;0.002191;0.000730;0.000730;0.000730;0.102264;0.021914;0.118335;0.000730;0.001461;0.016070;0.000730;0.015340;0.010226;0.000730;0.086194;0.000730;0.018992;0.002191;0.000730;0.000730;0.000730;0.000730;0.000730
eo;0.003145;0.012579;0.003145;0.025157;0.003145;0.003145;0.003145;0.003145;0.022013;0.003145;0.072327;0.003145;0.003145;0.009434;0.003145;0.006289;0.003145;0.009434;0.003145;0.009434;0.012579;0.764151;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145
e ;0.000150;0.066687;0.061129;0.008411;0.074046;0.031241;0.040102;0.100030;0.023280;0.017873;0.020877;0.149144;0.031691;0.030339;0.096425;0.023731;0.033193;0.014118;0.008862;0.002103;0.040553;0.034395;0.033343;0.044608;0.008411;0.003755;0.000300;0.001202
ew;0.006024;0.102410;0.036145;0.530120;0.006024;0.012048;0.006024;0.024096;0.006024;0.018072;0.006024;0.006024;0.006024;0.006024;0.030120;0.006024;0.006024;0.006024;0.006024;0.108434;0.018072;0.012048;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024
eh;0.020833;0.020833;0.145833;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.187500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ey;0.001821;0.009107;0.010929;0.617486;0.001821;0.001821;0.001821;0.001821;0.140255;0.014572;0.001821;0.001821;0.001821;0.012750;0.001821;0.001821;0.001821;0.001821;0.001821;0.131148;0.001821;0.001821;0.005464;0.001821;0.001821;0.023679;0.001821;0.001821
ea;0.000697;0.045328;0.000697;0.023013;0.001395;0.248257;0.000697;0.000697;0.140865;0.000697;0.096234;0.137378;0.002092;0.135286;0.000697;0.002789;0.022315;0.004184;0.000697;0.006276;0.035565;0.005579;0.047420;0.002092;0.025802;0.011855;0.000697;0.000697
er;0.000450;0.090050;0.009455;0.283206;0.001351;0.000900;0.097704;0.028366;0.004502;0.307969;0.011256;0.015759;0.006754;0.002251;0.033318;0.005853;0.016209;0.001351;0.000450;0.051778;0.011706;0.001801;0.002701;0.000900;0.000450;0.012607;0.000450;0.000450
ee;0.001592;0.025478;0.001592;0.184713;0.001592;0.001592;0.001592;0.001592;0.012739;0.001592;0.146497;0.038217;0.001592;0.105096;0.015924;0.001592;0.009554;0.001592;0.001592;0.025478;0.036624;0.197452;0.097134;0.001592;0.079618;0.001592;0.001592;0.003185
en;0.000680;0.056463;0.014966;0.377551;0.000680;0.000680;0.002041;0.008163;0.001361;0.042857;0.004762;0.255102;0.002041;0.004082;0.020408;0.013605;0.064626;0.004762;0.002041;0.051020;0.001361;0.000680;0.056463;0.002041;0.000680;0.007483;0.000680;0.002721
et;0.001437;0.056034;0.004310;0.344828;0.044540;0.196839;0.015805;0.014368;0.008621;0.053161;0.001437;0.122126;0.007184;0.001437;0.061782;0.001437;0.004310;0.002874;0.001437;0.044540;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437
ef;0.006410;0.006410;0.211538;0.032051;0.006410;0.006410;0.006410;0.006410;0.019231;0.064103;0.006410;0.185897;0.108974;0.038462;0.160256;0.006410;0.006410;0.051282;0.006410;0.012821;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410
el;0.001439;0.038849;0.014388;0.107914;0.001439;0.001439;0.087770;0.033094;0.001439;0.056115;0.001439;0.028777;0.041727;0.368345;0.107914;0.001439;0.004317;0.007194;0.001439;0.021583;0.002878;0.038849;0.007194;0.005755;0.002878;0.011511;0.001439;0.001439
ei;0.004237;0.008475;0.004237;0.008475;0.004237;0.004237;0.004237;0.004237;0.326271;0.004237;0.266949;0.025424;0.004237;0.016949;0.004237;0.233051;0.004237;0.004237;0.004237;0.004237;0.008475;0.004237;0.004237;0.004237;0.008475;0.016949;0.004237;0.008475
eg;0.010989;0.021978;0.032967;0.021978;0.010989;0.010989;0.010989;0.208791;0.076923;0.109890;0.021978;0.010989;0.010989;0.010989;0.208791;0.021978;0.010989;0.054945;0.010989;0.010989;0.032967;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
ec;0.001876;0.001876;0.136961;0.001876;0.001876;0.030019;0.001876;0.373358;0.016886;0.061914;0.001876;0.193246;0.001876;0.009381;0.088180;0.001876;0.001876;0.022514;0.001876;0.001876;0.001876;0.001876;0.003752;0.001876;0.031895;0.001876;0.001876;0.001876
eu;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.244444;0.022222;0.022222;0.111111;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ej;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
e);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
em;0.002469;0.086420;0.054321;0.286420;0.002469;0.002469;0.004938;0.032099;0.002469;0.227160;0.002469;0.002469;0.002469;0.002469;0.059259;0.002469;0.002469;0.002469;0.002469;0.049383;0.004938;0.024691;0.002469;0.128395;0.002469;0.002469;0.002469;0.002469
ep;0.004132;0.037190;0.020661;0.438017;0.004132;0.012397;0.008264;0.037190;0.041322;0.057851;0.004132;0.157025;0.004132;0.020661;0.037190;0.004132;0.004132;0.008264;0.004132;0.057851;0.004132;0.004132;0.004132;0.004132;0.008264;0.004132;0.004132;0.004132
ed;0.001085;0.011931;0.011931;0.736443;0.001085;0.001085;0.003254;0.006508;0.002169;0.014100;0.001085;0.001085;0.001085;0.003254;0.049892;0.007592;0.001085;0.020607;0.001085;0.105206;0.001085;0.001085;0.006508;0.005423;0.001085;0.001085;0.001085;0.001085
eb;0.016129;0.032258;0.209677;0.080645;0.016129;0.016129;0.016129;0.112903;0.096774;0.064516;0.016129;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
ek;0.012658;0.253165;0.012658;0.316456;0.012658;0.012658;0.012658;0.012658;0.012658;0.025316;0.012658;0.012658;0.012658;0.037975;0.025316;0.012658;0.012658;0.012658;0.012658;0.063291;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
ev;0.002283;0.002283;0.027397;0.002283;0.002283;0.002283;0.002283;0.027397;0.002283;0.849315;0.002283;0.002283;0.002283;0.002283;0.041096;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283
ex;0.004425;0.004425;0.004425;0.044248;0.004425;0.013274;0.004425;0.247788;0.004425;0.044248;0.004425;0.216814;0.004425;0.004425;0.075221;0.004425;0.070796;0.017699;0.004425;0.008850;0.004425;0.181416;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425
e#;0.017544;0.017544;0.035088;0.035088;0.017544;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.473684;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
n(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ns;0.002924;0.002924;0.008772;0.350877;0.011696;0.023392;0.005848;0.011696;0.002924;0.149123;0.002924;0.122807;0.008772;0.005848;0.087719;0.008772;0.049708;0.032164;0.002924;0.073099;0.008772;0.008772;0.002924;0.002924;0.002924;0.002924;0.002924;0.002924
no;0.000956;0.007648;0.003824;0.115679;0.486616;0.000956;0.002868;0.000956;0.029637;0.000956;0.017208;0.251434;0.000956;0.009560;0.005736;0.002868;0.003824;0.014340;0.000956;0.019120;0.007648;0.002868;0.002868;0.005736;0.000956;0.001912;0.000956;0.000956
n ;0.000448;0.043907;0.049731;0.007168;0.055556;0.037634;0.067204;0.108423;0.013441;0.023297;0.010753;0.227599;0.026434;0.033154;0.134857;0.010305;0.014785;0.010305;0.004928;0.002240;0.036738;0.019265;0.021505;0.029122;0.007616;0.001344;0.000896;0.001344
nw;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
nh;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ny;0.005618;0.005618;0.039326;0.404494;0.028090;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.174157;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.123596;0.078652;0.005618;0.005618;0.033708;0.005618;0.005618;0.005618;0.005618
na;0.003058;0.009174;0.003058;0.287462;0.003058;0.006116;0.003058;0.003058;0.064220;0.003058;0.018349;0.192661;0.003058;0.168196;0.012232;0.018349;0.003058;0.003058;0.006116;0.036697;0.055046;0.033639;0.009174;0.036697;0.003058;0.009174;0.003058;0.003058
nr;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.142857;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
