smoothed;3
(;s;t;a;i;c;);v;.;o; ;n;l;r;h;e;y;,;f;u;d;g;m;p;j;w;!;k;b;x;?;q;z;#
( ;0.002597;0.057143;0.098701;0.033766;0.163636;0.023377;0.002597;0.010390;0.005195;0.051948;0.010390;0.036364;0.031169;0.007792;0.046753;0.007792;0.038961;0.002597;0.012987;0.018182;0.031169;0.033766;0.025974;0.015584;0.012987;0.179221;0.002597;0.005195;0.015584;0.002597;0.002597;0.002597;0.005195;0.002597
(n;0.007194;0.007194;0.007194;0.057554;0.021583;0.007194;0.007194;0.007194;0.007194;0.589928;0.007194;0.007194;0.007194;0.007194;0.007194;0.115108;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194
(l;0.006623;0.006623;0.006623;0.079470;0.278146;0.006623;0.006623;0.006623;0.006623;0.264901;0.019868;0.006623;0.006623;0.006623;0.006623;0.145695;0.006623;0.006623;0.006623;0.019868;0.006623;0.013245;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623;0.006623
(r;0.010753;0.010753;0.010753;0.172043;0.096774;0.010753;0.010753;0.010753;0.010753;0.053763;0.010753;0.010753;0.010753;0.010753;0.010753;0.344086;0.010753;0.010753;0.010753;0.021505;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
(h;0.006098;0.006098;0.006098;0.250000;0.103659;0.006098;0.006098;0.006098;0.006098;0.140244;0.006098;0.006098;0.006098;0.012195;0.006098;0.231707;0.024390;0.006098;0.006098;0.060976;0.006098;0.006098;0.018293;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098
(e;0.009615;0.019231;0.009615;0.048077;0.048077;0.038462;0.009615;0.192308;0.009615;0.009615;0.009615;0.086538;0.048077;0.009615;0.009615;0.009615;0.009615;0.009615;0.048077;0.028846;0.019231;0.009615;0.019231;0.028846;0.009615;0.009615;0.009615;0.009615;0.009615;0.153846;0.009615;0.028846;0.009615;0.009615
(y;0.006024;0.006024;0.006024;0.012048;0.012048;0.006024;0.006024;0.006024;0.006024;0.704819;0.006024;0.006024;0.006024;0.006024;0.006024;0.084337;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.012048;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024
(,;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(f;0.007812;0.007812;0.007812;0.078125;0.085938;0.007812;0.007812;0.007812;0.007812;0.312500;0.007812;0.007812;0.015625;0.132812;0.015625;0.031250;0.007812;0.007812;0.007812;0.125000;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812
(u;0.014085;0.084507;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.239437;0.014085;0.014085;0.042254;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.070423;0.070423;0.098592;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
(d;0.008403;0.008403;0.008403;0.109244;0.168067;0.008403;0.008403;0.008403;0.008403;0.268908;0.008403;0.008403;0.008403;0.092437;0.008403;0.109244;0.016807;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
(g;0.010000;0.010000;0.010000;0.060000;0.050000;0.010000;0.010000;0.010000;0.010000;0.240000;0.010000;0.010000;0.040000;0.100000;0.020000;0.200000;0.010000;0.010000;0.010000;0.030000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
(m;0.006250;0.006250;0.006250;0.206250;0.050000;0.006250;0.006250;0.006250;0.006250;0.181250;0.006250;0.006250;0.006250;0.006250;0.006250;0.181250;0.143750;0.006250;0.006250;0.050000;0.006250;0.006250;0.018750;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250
(p;0.006061;0.018182;0.006061;0.090909;0.018182;0.006061;0.006061;0.006061;0.006061;0.212121;0.006061;0.006061;0.042424;0.157576;0.030303;0.242424;0.006061;0.006061;0.006061;0.036364;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061
(j;0.018182;0.018182;0.018182;0.054545;0.036364;0.018182;0.018182;0.018182;0.018182;0.145455;0.018182;0.018182;0.018182;0.018182;0.018182;0.072727;0.018182;0.018182;0.018182;0.163636;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
(w;0.002732;0.002732;0.002732;0.049180;0.076503;0.002732;0.002732;0.002732;0.005464;0.098361;0.002732;0.002732;0.002732;0.005464;0.404372;0.286885;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732;0.002732
(!;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(k;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.119048;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
(b;0.003115;0.003115;0.003115;0.056075;0.021807;0.003115;0.003115;0.003115;0.003115;0.040498;0.003115;0.003115;0.040498;0.040498;0.003115;0.224299;0.040498;0.003115;0.003115;0.454829;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115;0.003115
(x;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(?;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(q;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(z;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
s(;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ss;0.002273;0.013636;0.002273;0.056818;0.197727;0.002273;0.040909;0.002273;0.052273;0.063636;0.293182;0.013636;0.009091;0.002273;0.009091;0.097727;0.013636;0.043182;0.002273;0.036364;0.004545;0.002273;0.009091;0.002273;0.002273;0.004545;0.002273;0.002273;0.002273;0.002273;0.004545;0.002273;0.002273;0.002273
st;0.000708;0.065156;0.000708;0.118980;0.085694;0.001416;0.023371;0.000708;0.019122;0.051700;0.320822;0.000708;0.009207;0.078612;0.011331;0.106941;0.005666;0.014873;0.000708;0.026912;0.000708;0.000708;0.036827;0.002125;0.000708;0.000708;0.002125;0.000708;0.000708;0.000708;0.008499;0.000708;0.000708;0.000708
sa;0.003663;0.018315;0.084249;0.003663;0.054945;0.018315;0.003663;0.040293;0.003663;0.003663;0.007326;0.032967;0.054945;0.040293;0.003663;0.003663;0.289377;0.007326;0.010989;0.007326;0.036630;0.091575;0.109890;0.014652;0.003663;0.007326;0.003663;0.007326;0.007326;0.010989;0.003663;0.003663;0.003663;0.003663
si;0.001949;0.040936;0.130604;0.029240;0.001949;0.122807;0.001949;0.052632;0.001949;0.105263;0.001949;0.153996;0.019493;0.025341;0.001949;0.011696;0.001949;0.001949;0.001949;0.003899;0.081871;0.062378;0.038986;0.005848;0.001949;0.001949;0.001949;0.001949;0.068226;0.009747;0.001949;0.001949;0.005848;0.001949
sc;0.005435;0.005435;0.005435;0.108696;0.250000;0.005435;0.005435;0.005435;0.010870;0.038043;0.005435;0.005435;0.010870;0.190217;0.081522;0.065217;0.005435;0.005435;0.005435;0.103261;0.005435;0.005435;0.010870;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435
s);0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
sv;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
s.;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.849162;0.002793;0.016760;0.002793;0.044693;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.005587;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793;0.002793
so;0.001389;0.001389;0.001389;0.002778;0.002778;0.086111;0.005556;0.012500;0.004167;0.008333;0.270833;0.166667;0.031944;0.059722;0.008333;0.004167;0.002778;0.026389;0.011111;0.031944;0.009722;0.008333;0.169444;0.051389;0.001389;0.002778;0.001389;0.001389;0.006944;0.001389;0.001389;0.001389;0.001389;0.001389
s ;0.000338;0.046346;0.141407;0.177605;0.087618;0.032138;0.001015;0.009811;0.000677;0.076455;0.001691;0.039919;0.027064;0.020974;0.024019;0.021651;0.013532;0.000338;0.024357;0.012855;0.022666;0.021313;0.036536;0.033153;0.014885;0.071380;0.000338;0.004736;0.031800;0.000338;0.000338;0.002030;0.000338;0.000338
sn;0.010638;0.010638;0.489362;0.053191;0.031915;0.010638;0.010638;0.010638;0.010638;0.042553;0.010638;0.010638;0.010638;0.010638;0.010638;0.074468;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
sl;0.011364;0.011364;0.011364;0.193182;0.102273;0.011364;0.011364;0.011364;0.011364;0.045455;0.011364;0.011364;0.011364;0.011364;0.011364;0.068182;0.170455;0.011364;0.011364;0.102273;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
sr;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
sh;0.002994;0.005988;0.002994;0.083832;0.227545;0.002994;0.014970;0.002994;0.020958;0.287425;0.083832;0.002994;0.005988;0.002994;0.002994;0.140719;0.011976;0.011976;0.002994;0.026946;0.005988;0.002994;0.002994;0.002994;0.002994;0.002994;0.002994;0.002994;0.005988;0.002994;0.008982;0.002994;0.002994;0.002994
se;0.001160;0.067285;0.018561;0.010441;0.001160;0.019722;0.034803;0.009281;0.011601;0.001160;0.324826;0.064965;0.102088;0.053364;0.001160;0.081206;0.003480;0.020882;0.003480;0.002320;0.075406;0.015081;0.006961;0.003480;0.001160;0.001160;0.003480;0.001160;0.001160;0.045244;0.002320;0.008121;0.001160;0.001160
sy;0.013333;0.213333;0.013333;0.013333;0.013333;0.146667;0.013333;0.013333;0.013333;0.013333;0.106667;0.013333;0.026667;0.013333;0.013333;0.013333;0.013333;0.026667;0.013333;0.013333;0.013333;0.013333;0.106667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
s,;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.230978;0.002717;0.002717;0.002717;0.682065;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717;0.002717
sf;0.022727;0.022727;0.022727;0.068182;0.068182;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.068182;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
su;0.004587;0.068807;0.009174;0.045872;0.045872;0.105505;0.004587;0.004587;0.004587;0.004587;0.004587;0.009174;0.032110;0.224771;0.004587;0.041284;0.004587;0.004587;0.027523;0.004587;0.009174;0.032110;0.059633;0.146789;0.004587;0.004587;0.004587;0.004587;0.055046;0.004587;0.004587;0.004587;0.004587;0.004587
sd;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
sg;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.254902;0.019608;0.019608;0.019608;0.098039;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
sm;0.004219;0.008439;0.004219;0.101266;0.025316;0.004219;0.067511;0.004219;0.118143;0.037975;0.350211;0.004219;0.004219;0.004219;0.004219;0.037975;0.004219;0.113924;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.008439;0.004219;0.004219;0.004219;0.033755;0.004219;0.004219;0.004219
sp;0.005464;0.005464;0.005464;0.054645;0.098361;0.005464;0.005464;0.005464;0.005464;0.142077;0.005464;0.005464;0.016393;0.032787;0.060109;0.437158;0.005464;0.005464;0.005464;0.016393;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464
sj;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
sw;0.015625;0.015625;0.015625;0.031250;0.078125;0.015625;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.015625;0.015625;0.031250;0.343750;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
s!;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
sk;0.011494;0.011494;0.011494;0.011494;0.091954;0.011494;0.022989;0.011494;0.022989;0.011494;0.080460;0.011494;0.011494;0.011494;0.011494;0.195402;0.045977;0.034483;0.011494;0.206897;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
sb;0.024390;0.024390;0.024390;0.024390;0.195122;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
sx;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
s?;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.525000;0.012500;0.012500;0.012500;0.062500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500
sq;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.214286;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
sz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
s#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
t(;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ts;0.001511;0.001511;0.001511;0.001511;0.009063;0.003021;0.067976;0.001511;0.052870;0.004532;0.717523;0.001511;0.001511;0.001511;0.006042;0.018127;0.001511;0.074018;0.001511;0.001511;0.001511;0.003021;0.003021;0.001511;0.001511;0.001511;0.001511;0.003021;0.001511;0.001511;0.004532;0.003021;0.001511;0.001511
tt;0.003731;0.003731;0.055970;0.037313;0.115672;0.003731;0.003731;0.003731;0.007463;0.033582;0.033582;0.003731;0.126866;0.111940;0.007463;0.246269;0.138060;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731
ta;0.001730;0.013841;0.096886;0.001730;0.039792;0.020761;0.001730;0.001730;0.001730;0.001730;0.025952;0.160900;0.287197;0.095156;0.001730;0.001730;0.005190;0.003460;0.001730;0.006920;0.001730;0.025952;0.006920;0.010381;0.001730;0.001730;0.001730;0.093426;0.076125;0.001730;0.001730;0.001730;0.001730;0.001730
ti;0.000864;0.040587;0.029361;0.032815;0.000864;0.135579;0.001727;0.060449;0.000864;0.294473;0.000864;0.171848;0.042314;0.008636;0.000864;0.028497;0.000864;0.000864;0.044041;0.000864;0.001727;0.005181;0.075130;0.006045;0.000864;0.001727;0.000864;0.000864;0.003454;0.000864;0.000864;0.000864;0.003454;0.000864
tc;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.045455;0.015152;0.015152;0.015152;0.015152;0.439394;0.045455;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
t);0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
tv;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
t.;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.751055;0.004219;0.012658;0.004219;0.105485;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219
to;0.000852;0.004259;0.014480;0.003407;0.001704;0.001704;0.027257;0.000852;0.004259;0.039182;0.718910;0.014480;0.004259;0.071550;0.001704;0.001704;0.001704;0.001704;0.000852;0.007666;0.009370;0.009370;0.009370;0.027257;0.000852;0.010221;0.000852;0.001704;0.000852;0.003407;0.001704;0.000852;0.000852;0.000852
t ;0.000315;0.041877;0.173804;0.101385;0.095718;0.039043;0.000315;0.005353;0.000315;0.085013;0.004723;0.018892;0.027078;0.030856;0.033060;0.027078;0.031486;0.001259;0.023615;0.012909;0.027393;0.021411;0.044081;0.029912;0.009131;0.067380;0.000315;0.011650;0.032746;0.000315;0.000315;0.000630;0.000315;0.000315
tn;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
