smoothed;3
(;b;u;t; ;o;c;h;a;n;g;e;p;i;s;j;y;w;r;);l;k;v;m;f;d;x;#
ho;0.000130;0.003249;0.244055;0.021053;0.179077;0.041715;0.004678;0.000130;0.004808;0.034308;0.002339;0.004029;0.028070;0.009097;0.094087;0.000130;0.000390;0.186355;0.036127;0.004288;0.067316;0.001170;0.001429;0.027290;0.000910;0.003509;0.000130;0.000130
hc;0.010101;0.010101;0.010101;0.010101;0.020202;0.020202;0.010101;0.010101;0.696970;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.020202;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
hh;0.031250;0.031250;0.031250;0.031250;0.031250;0.156250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ha;0.000053;0.002056;0.000738;0.604174;0.002214;0.001687;0.001212;0.000105;0.000053;0.061825;0.000316;0.002583;0.026986;0.007273;0.048859;0.000053;0.000264;0.001160;0.032151;0.000474;0.010594;0.001845;0.143256;0.007432;0.000369;0.041796;0.000053;0.000422
hn;0.003559;0.003559;0.003559;0.003559;0.615658;0.064057;0.003559;0.003559;0.003559;0.024911;0.003559;0.046263;0.003559;0.088968;0.071174;0.003559;0.010676;0.003559;0.003559;0.007117;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559
hg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
he;0.000026;0.000079;0.000079;0.003598;0.534230;0.001654;0.002206;0.000026;0.019774;0.047950;0.000105;0.002390;0.000131;0.027179;0.054489;0.000026;0.103175;0.000499;0.148237;0.008298;0.010320;0.000026;0.000210;0.029411;0.000420;0.005278;0.000026;0.000158
hp;0.030303;0.030303;0.030303;0.030303;0.060606;0.060606;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hi;0.000074;0.000670;0.000074;0.061453;0.001788;0.003203;0.059143;0.000074;0.002756;0.326331;0.014749;0.006927;0.015419;0.000298;0.377132;0.000149;0.000074;0.000074;0.021304;0.000596;0.047821;0.000223;0.000745;0.054749;0.002086;0.001862;0.000074;0.000149
hs;0.007092;0.007092;0.007092;0.021277;0.702128;0.007092;0.021277;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.085106;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
hj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
hy;0.001340;0.002681;0.001340;0.001340;0.793566;0.001340;0.001340;0.001340;0.002681;0.002681;0.001340;0.001340;0.044236;0.002681;0.060322;0.001340;0.001340;0.001340;0.002681;0.036193;0.005362;0.001340;0.001340;0.006702;0.001340;0.018767;0.001340;0.001340
hw;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.061224;0.244898;0.020408;0.020408;0.081633;0.020408;0.102041;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
hr;0.001072;0.001072;0.005359;0.001072;0.002144;0.461951;0.001072;0.001072;0.028939;0.001072;0.001072;0.320472;0.001072;0.156484;0.001072;0.001072;0.002144;0.001072;0.001072;0.001072;0.001072;0.001072;0.001072;0.001072;0.001072;0.001072;0.001072;0.001072
h);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
hl;0.007092;0.014184;0.007092;0.007092;0.007092;0.021277;0.007092;0.007092;0.021277;0.007092;0.007092;0.276596;0.007092;0.234043;0.007092;0.007092;0.276596;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
hk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
hv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
hm;0.009346;0.009346;0.028037;0.009346;0.074766;0.028037;0.009346;0.009346;0.149533;0.009346;0.009346;0.467290;0.009346;0.009346;0.028037;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.028037;0.009346;0.009346;0.009346;0.009346
hf;0.029412;0.029412;0.147059;0.029412;0.029412;0.058824;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hd;0.017857;0.017857;0.017857;0.017857;0.053571;0.035714;0.017857;0.017857;0.375000;0.017857;0.017857;0.017857;0.017857;0.053571;0.017857;0.017857;0.017857;0.017857;0.071429;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
hx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
h#;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
a(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ab;0.000269;0.007792;0.010210;0.000269;0.017464;0.603170;0.000269;0.000537;0.005642;0.000269;0.000269;0.008866;0.000269;0.050779;0.054272;0.000269;0.020419;0.000269;0.004299;0.001075;0.210102;0.000269;0.000269;0.000269;0.000269;0.001612;0.000269;0.000269
au;0.000398;0.001592;0.000398;0.053721;0.005173;0.000398;0.016713;0.000398;0.000398;0.012734;0.090728;0.001990;0.000398;0.000398;0.679268;0.000398;0.000398;0.000398;0.022682;0.000398;0.043374;0.000398;0.000796;0.005173;0.000796;0.058894;0.000398;0.001194
at;0.000050;0.000150;0.009876;0.024916;0.552464;0.008222;0.013436;0.026420;0.003760;0.000201;0.000050;0.128841;0.000050;0.112047;0.091593;0.000050;0.000451;0.000050;0.002807;0.020655;0.001604;0.000050;0.000050;0.001153;0.000852;0.000050;0.000050;0.000100
a ;0.000088;0.073016;0.005008;0.074071;0.000791;0.017661;0.083121;0.039012;0.031192;0.026535;0.056058;0.004305;0.070644;0.024866;0.092435;0.013795;0.014937;0.054125;0.044899;0.000439;0.092610;0.007732;0.019594;0.048238;0.058343;0.041912;0.000088;0.004481
ao;0.013333;0.013333;0.013333;0.053333;0.026667;0.013333;0.013333;0.026667;0.013333;0.013333;0.013333;0.013333;0.013333;0.040000;0.413333;0.013333;0.013333;0.013333;0.106667;0.026667;0.026667;0.026667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
ac;0.000226;0.000226;0.003844;0.365589;0.004522;0.005200;0.065792;0.095184;0.008139;0.000226;0.000226;0.126837;0.000226;0.040922;0.000678;0.000226;0.022609;0.000226;0.017183;0.000452;0.004070;0.234004;0.000226;0.000226;0.000452;0.000452;0.000226;0.001809
ah;0.000479;0.000957;0.003830;0.000479;0.798947;0.018669;0.000479;0.000479;0.008617;0.000479;0.000479;0.011010;0.000479;0.000479;0.002393;0.000479;0.000479;0.000479;0.000479;0.142173;0.001436;0.000479;0.000479;0.002393;0.000479;0.001436;0.000479;0.000479
aa;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.051282;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641
an;0.000039;0.000158;0.000987;0.088507;0.202765;0.011769;0.021880;0.000395;0.010071;0.009281;0.022354;0.007662;0.000039;0.016548;0.030450;0.000158;0.056556;0.000316;0.000039;0.009163;0.000237;0.015008;0.001066;0.000039;0.000118;0.493760;0.000434;0.000197
ag;0.000436;0.000436;0.020070;0.000436;0.058028;0.070681;0.000436;0.003927;0.279232;0.014834;0.027923;0.332897;0.000873;0.084642;0.012216;0.000436;0.000436;0.000436;0.070244;0.008726;0.006981;0.000436;0.000436;0.003054;0.000436;0.000436;0.000436;0.000436
ae;0.005495;0.005495;0.005495;0.016484;0.016484;0.010989;0.005495;0.005495;0.005495;0.005495;0.010989;0.005495;0.005495;0.005495;0.038462;0.005495;0.005495;0.005495;0.027473;0.016484;0.697802;0.005495;0.005495;0.005495;0.005495;0.060440;0.005495;0.005495
ap;0.000588;0.000588;0.001176;0.022928;0.098765;0.066432;0.000588;0.042328;0.049971;0.000588;0.000588;0.106996;0.453263;0.087008;0.042328;0.000588;0.002352;0.000588;0.004115;0.008818;0.004703;0.001176;0.000588;0.000588;0.000588;0.000588;0.000588;0.000588
ai;0.000288;0.000288;0.000288;0.040276;0.002877;0.000288;0.000575;0.000288;0.000863;0.399597;0.063291;0.000288;0.000288;0.002014;0.034235;0.000575;0.000288;0.000288;0.096951;0.000863;0.102417;0.000575;0.002589;0.014384;0.000288;0.234465;0.000288;0.000288
as;0.000102;0.000102;0.006250;0.096311;0.586783;0.020799;0.007480;0.025205;0.002254;0.015266;0.000102;0.049283;0.002561;0.046619;0.088217;0.000102;0.012295;0.000102;0.000205;0.013934;0.000512;0.023463;0.000102;0.001537;0.000102;0.000102;0.000102;0.000102
aj;0.008130;0.008130;0.008130;0.008130;0.016260;0.747967;0.008130;0.008130;0.024390;0.008130;0.008130;0.016260;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130
ay;0.000215;0.040860;0.000215;0.001075;0.590968;0.004086;0.001720;0.000215;0.002581;0.001290;0.001505;0.030753;0.000645;0.074409;0.176774;0.000215;0.000215;0.000215;0.000215;0.065806;0.001935;0.000215;0.000215;0.001935;0.000215;0.001075;0.000215;0.000215
aw;0.001089;0.004357;0.001089;0.002179;0.383442;0.001089;0.001089;0.005447;0.267974;0.021786;0.001089;0.039216;0.001089;0.009804;0.056645;0.001089;0.045752;0.001089;0.003268;0.037037;0.013072;0.021786;0.001089;0.002179;0.070806;0.003268;0.001089;0.001089
ar;0.000084;0.007826;0.000168;0.139263;0.110401;0.025665;0.015146;0.000168;0.031134;0.016156;0.029283;0.305200;0.001767;0.043672;0.053433;0.000084;0.035931;0.000337;0.030882;0.010182;0.027600;0.025328;0.004207;0.011696;0.001094;0.069842;0.003029;0.000421
a);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
al;0.000074;0.002063;0.004053;0.027780;0.233218;0.010758;0.001916;0.000074;0.007000;0.000368;0.000958;0.020780;0.001547;0.065949;0.057697;0.000074;0.003095;0.019085;0.014737;0.008327;0.427971;0.061234;0.001326;0.009874;0.007295;0.012527;0.000074;0.000147
ak;0.000546;0.000546;0.000546;0.000546;0.069945;0.005464;0.000546;0.003279;0.007104;0.001639;0.000546;0.712568;0.000546;0.165574;0.012568;0.000546;0.001639;0.000546;0.000546;0.005464;0.000546;0.000546;0.000546;0.000546;0.003825;0.002186;0.000546;0.000546
av;0.000275;0.000275;0.000551;0.000275;0.001376;0.050372;0.000275;0.000275;0.026424;0.000275;0.000275;0.820259;0.000275;0.084778;0.000275;0.000275;0.008808;0.000275;0.001376;0.000275;0.000551;0.000275;0.000551;0.000275;0.000275;0.000275;0.000275;0.000275
am;0.000271;0.025203;0.001355;0.000813;0.133333;0.038211;0.000271;0.000542;0.087263;0.013279;0.000271;0.451491;0.103794;0.088618;0.020325;0.000271;0.000813;0.000542;0.000542;0.013550;0.000542;0.000271;0.000271;0.016802;0.000271;0.000542;0.000271;0.000271
af;0.001550;0.001550;0.001550;0.486822;0.009302;0.001550;0.001550;0.001550;0.004651;0.001550;0.010853;0.077519;0.001550;0.035659;0.001550;0.001550;0.001550;0.001550;0.116279;0.004651;0.001550;0.001550;0.001550;0.001550;0.224806;0.001550;0.001550;0.001550
ad;0.000250;0.001000;0.013253;0.000250;0.471618;0.016754;0.001500;0.002501;0.016504;0.004251;0.002251;0.147787;0.001750;0.067767;0.030008;0.001250;0.064516;0.001000;0.001750;0.028257;0.016504;0.000250;0.025256;0.027757;0.000500;0.054764;0.000250;0.000500
ax;0.004717;0.004717;0.004717;0.004717;0.537736;0.009434;0.004717;0.004717;0.037736;0.004717;0.004717;0.202830;0.028302;0.047170;0.004717;0.004717;0.023585;0.004717;0.004717;0.018868;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717
a#;0.002564;0.002564;0.038462;0.002564;0.146154;0.043590;0.002564;0.002564;0.038462;0.002564;0.002564;0.030769;0.002564;0.428205;0.005128;0.002564;0.156410;0.002564;0.002564;0.023077;0.002564;0.002564;0.002564;0.002564;0.002564;0.005128;0.002564;0.041026
n(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
nb;0.015152;0.015152;0.060606;0.015152;0.015152;0.166667;0.060606;0.015152;0.075758;0.015152;0.015152;0.257576;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.045455;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
nu;0.002114;0.002114;0.004228;0.169133;0.006342;0.010571;0.027484;0.002114;0.052854;0.014799;0.010571;0.118393;0.002114;0.114165;0.033827;0.002114;0.002114;0.002114;0.044397;0.002114;0.006342;0.008457;0.002114;0.312896;0.021142;0.019027;0.004228;0.002114
nt;0.000082;0.000082;0.010283;0.000082;0.535291;0.054870;0.000082;0.016206;0.031507;0.000165;0.000082;0.088763;0.000082;0.078644;0.057338;0.000082;0.024679;0.000082;0.052484;0.027558;0.018838;0.000082;0.000082;0.002057;0.000247;0.000082;0.000082;0.000082
n ;0.000042;0.033718;0.007826;0.219040;0.000375;0.062190;0.030887;0.044624;0.135745;0.012904;0.016193;0.027057;0.033967;0.089248;0.046289;0.008159;0.034425;0.056196;0.017317;0.000042;0.024393;0.006119;0.004995;0.029680;0.033260;0.023144;0.000167;0.001998
no;0.000128;0.008180;0.025562;0.288983;0.111452;0.002428;0.007924;0.000128;0.000383;0.015976;0.000256;0.000511;0.001150;0.006391;0.004473;0.000128;0.002045;0.434305;0.041922;0.005368;0.004090;0.000128;0.005879;0.030291;0.000256;0.000639;0.000767;0.000256
nc;0.000442;0.000442;0.005750;0.021230;0.001769;0.050420;0.000442;0.112782;0.013268;0.000442;0.000442;0.568333;0.000442;0.080495;0.001327;0.000442;0.037594;0.000442;0.053516;0.000885;0.045997;0.000442;0.000442;0.000442;0.000442;0.000442;0.000442;0.000442
nh;0.012821;0.012821;0.051282;0.012821;0.012821;0.025641;0.012821;0.012821;0.294872;0.012821;0.012821;0.307692;0.012821;0.012821;0.025641;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
na;0.000342;0.023973;0.011301;0.236644;0.108219;0.000342;0.008219;0.001370;0.000342;0.043493;0.026370;0.001027;0.011644;0.015753;0.011986;0.000342;0.000685;0.001712;0.050342;0.010274;0.312329;0.006849;0.007877;0.084589;0.002397;0.008562;0.000342;0.012671
nn;0.000953;0.000953;0.007626;0.000953;0.035272;0.100095;0.000953;0.000953;0.180172;0.000953;0.000953;0.251668;0.000953;0.240229;0.018112;0.000953;0.147760;0.000953;0.000953;0.000953;0.000953;0.000953;0.000953;0.000953;0.000953;0.000953;0.000953;0.000953
ng;0.000063;0.000251;0.003206;0.004148;0.846700;0.001069;0.000063;0.001069;0.002891;0.000314;0.000063;0.032181;0.000063;0.006977;0.041420;0.000063;0.000251;0.000251;0.010371;0.031804;0.014959;0.000063;0.000063;0.000063;0.001006;0.000503;0.000063;0.000063
ne;0.000124;0.000494;0.001729;0.034461;0.398592;0.006423;0.015193;0.000124;0.010252;0.006176;0.008152;0.052742;0.000865;0.008029;0.082016;0.000124;0.044343;0.081275;0.062871;0.026062;0.012105;0.000124;0.045702;0.008029;0.006670;0.063859;0.021492;0.001976
np;0.013158;0.013158;0.052632;0.013158;0.013158;0.118421;0.013158;0.013158;0.092105;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.302632;0.013158;0.131579;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
ni;0.000321;0.002249;0.009319;0.134319;0.005784;0.056555;0.099614;0.002892;0.053342;0.306877;0.054627;0.039524;0.005784;0.000321;0.082905;0.000321;0.000321;0.000321;0.002249;0.000643;0.003213;0.002249;0.031491;0.023136;0.026992;0.001607;0.005463;0.047558
ns;0.000272;0.000544;0.035879;0.146235;0.468062;0.012232;0.010601;0.016581;0.020114;0.000544;0.001087;0.116064;0.018483;0.078554;0.000272;0.000272;0.005436;0.018211;0.000544;0.036695;0.003262;0.002175;0.000272;0.000544;0.006252;0.000272;0.000272;0.000272
nj;0.007937;0.007937;0.190476;0.007937;0.007937;0.468254;0.007937;0.007937;0.095238;0.007937;0.007937;0.055556;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937
ny;0.000572;0.028604;0.000572;0.143021;0.609840;0.081808;0.000572;0.000572;0.008009;0.000572;0.000572;0.001716;0.000572;0.003432;0.002860;0.000572;0.000572;0.050915;0.000572;0.030892;0.000572;0.000572;0.000572;0.028032;0.000572;0.001716;0.000572;0.000572
nw;0.017544;0.017544;0.017544;0.017544;0.017544;0.035088;0.017544;0.122807;0.263158;0.017544;0.017544;0.017544;0.017544;0.140351;0.017544;0.017544;0.017544;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
nr;0.014706;0.014706;0.014706;0.014706;0.014706;0.073529;0.014706;0.014706;0.058824;0.014706;0.014706;0.250000;0.014706;0.073529;0.014706;0.014706;0.205882;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
n);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
nl;0.001353;0.001353;0.001353;0.001353;0.001353;0.012179;0.001353;0.001353;0.005413;0.001353;0.001353;0.060893;0.001353;0.108254;0.001353;0.001353;0.782138;0.001353;0.001353;0.001353;0.001353;0.001353;0.001353;0.001353;0.001353;0.001353;0.001353;0.001353
nk;0.000456;0.000456;0.000456;0.000456;0.759799;0.001367;0.000456;0.000456;0.000912;0.002279;0.000456;0.034184;0.000456;0.080219;0.061531;0.000456;0.004102;0.000456;0.005925;0.022789;0.018232;0.000456;0.000456;0.000456;0.001367;0.000456;0.000456;0.000456
nv;0.002688;0.002688;0.005376;0.002688;0.002688;0.131720;0.002688;0.002688;0.123656;0.002688;0.002688;0.438172;0.002688;0.236559;0.002688;0.002688;0.005376;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688
nm;0.003484;0.003484;0.003484;0.003484;0.003484;0.006969;0.003484;0.003484;0.020906;0.003484;0.003484;0.881533;0.003484;0.006969;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484
nf;0.002538;0.002538;0.078680;0.002538;0.002538;0.253807;0.007614;0.002538;0.068528;0.002538;0.002538;0.096447;0.002538;0.129442;0.002538;0.002538;0.002538;0.002538;0.104061;0.002538;0.210660;0.002538;0.002538;0.002538;0.002538;0.002538;0.002538;0.002538
nd;0.000061;0.000244;0.004573;0.000122;0.812611;0.008049;0.000244;0.000061;0.014757;0.000488;0.000061;0.048418;0.000793;0.028721;0.029880;0.000061;0.001585;0.000427;0.018843;0.023172;0.003659;0.000122;0.000061;0.001951;0.000793;0.000122;0.000061;0.000061
nx;0.021739;0.021739;0.021739;0.021739;0.195652;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.239130;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
n#;0.014493;0.014493;0.405797;0.014493;0.057971;0.028986;0.014493;0.014493;0.028986;0.014493;0.014493;0.086957;0.014493;0.057971;0.014493;0.014493;0.028986;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
g(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gb;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
gu;0.000564;0.001691;0.000564;0.012401;0.000564;0.002818;0.001127;0.000564;0.059752;0.044532;0.000564;0.169109;0.000564;0.033822;0.023112;0.000564;0.496618;0.000564;0.061443;0.000564;0.040586;0.000564;0.000564;0.044532;0.000564;0.000564;0.000564;0.000564
gt;0.010638;0.010638;0.010638;0.010638;0.010638;0.553191;0.010638;0.148936;0.010638;0.010638;0.010638;0.010638;0.010638;0.031915;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
g ;0.000070;0.036522;0.016550;0.265782;0.000419;0.070391;0.031634;0.032402;0.141480;0.010894;0.014455;0.015642;0.028701;0.086383;0.041550;0.006494;0.020251;0.045251;0.016550;0.000070;0.026955;0.003771;0.005936;0.026187;0.035475;0.018575;0.000070;0.001536
go;0.000191;0.000766;0.000574;0.169761;0.158660;0.126890;0.000191;0.000191;0.010144;0.047081;0.001722;0.053589;0.000383;0.291483;0.003062;0.000191;0.000766;0.000191;0.009378;0.012823;0.016268;0.000191;0.048230;0.000191;0.000383;0.046316;0.000191;0.000191
gc;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
gh;0.000279;0.012273;0.000279;0.656346;0.235146;0.010321;0.000279;0.000279;0.011715;0.000279;0.000279;0.019526;0.000279;0.004742;0.003347;0.000279;0.000279;0.002510;0.000558;0.021199;0.016457;0.000279;0.000279;0.000279;0.000558;0.001395;0.000279;0.000279
ga;0.000517;0.006198;0.004649;0.068698;0.017045;0.000517;0.006198;0.000517;0.000517;0.136364;0.028926;0.002066;0.008781;0.295971;0.029442;0.000517;0.010847;0.000517;0.096074;0.002066;0.083678;0.000517;0.034091;0.140496;0.001033;0.003099;0.000517;0.020145
gn;0.001949;0.001949;0.001949;0.003899;0.444444;0.050682;0.001949;0.001949;0.085770;0.001949;0.001949;0.128655;0.001949;0.155945;0.054581;0.001949;0.001949;0.001949;0.001949;0.031189;0.001949;0.001949;0.001949;0.007797;0.001949;0.001949;0.001949;0.001949
gg;0.003067;0.003067;0.003067;0.003067;0.046012;0.009202;0.003067;0.006135;0.018405;0.003067;0.003067;0.503067;0.003067;0.107362;0.030675;0.003067;0.012270;0.003067;0.049080;0.009202;0.156442;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
ge;0.000225;0.000225;0.000225;0.401351;0.242793;0.020721;0.000225;0.000901;0.005180;0.095045;0.000225;0.006081;0.000225;0.001126;0.058559;0.000225;0.000676;0.000225;0.093243;0.018243;0.018919;0.000225;0.000450;0.005180;0.000225;0.028829;0.000225;0.000225
gp;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
gi;0.000609;0.017052;0.001827;0.032278;0.001827;0.033496;0.070646;0.000609;0.032887;0.330694;0.007917;0.021924;0.000609;0.000609;0.051157;0.000609;0.000609;0.000609;0.056638;0.000609;0.037759;0.000609;0.265530;0.006699;0.010353;0.003654;0.000609;0.011571
gs;0.001202;0.001202;0.001202;0.018029;0.889423;0.001202;0.001202;0.003606;0.001202;0.001202;0.001202;0.001202;0.001202;0.002404;0.001202;0.001202;0.002404;0.006010;0.001202;0.051683;0.002404;0.001202;0.001202;0.001202;0.001202;0.001202;0.001202;0.001202
gj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
gy;0.004505;0.009009;0.004505;0.004505;0.662162;0.004505;0.004505;0.004505;0.009009;0.013514;0.004505;0.004505;0.036036;0.004505;0.004505;0.004505;0.004505;0.004505;0.013514;0.076577;0.004505;0.004505;0.004505;0.090090;0.004505;0.004505;0.004505;0.004505
gw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
