smoothed;3
(;w;h;o;s; ;l;i;b;e;r;a;c;);y;u;m;n;k;p;d;t;g;x;v;f;j;q;z;.;,;#
(m;0.000593;0.000593;0.000593;0.167753;0.001186;0.001186;0.001186;0.125667;0.000593;0.178423;0.004149;0.234736;0.013041;0.000593;0.070539;0.181387;0.007706;0.000593;0.000593;0.000593;0.001186;0.000593;0.000593;0.000593;0.001186;0.000593;0.000593;0.000593;0.000593;0.000593;0.000593;0.000593
(n;0.001020;0.002041;0.001020;0.606122;0.002041;0.001020;0.001020;0.044898;0.002041;0.203061;0.002041;0.062245;0.001020;0.001020;0.002041;0.048980;0.001020;0.001020;0.001020;0.001020;0.003061;0.001020;0.001020;0.001020;0.001020;0.001020;0.001020;0.001020;0.001020;0.001020;0.001020;0.001020
(k;0.001742;0.001742;0.005226;0.017422;0.001742;0.001742;0.003484;0.212544;0.001742;0.064460;0.010453;0.043554;0.001742;0.001742;0.003484;0.001742;0.001742;0.599303;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742;0.001742
(p;0.000592;0.000592;0.024275;0.152753;0.002368;0.000592;0.071640;0.031972;0.000592;0.243339;0.296625;0.105980;0.000592;0.000592;0.000592;0.056246;0.000592;0.001184;0.000592;0.000592;0.000592;0.000592;0.000592;0.000592;0.000592;0.000592;0.001184;0.000592;0.000592;0.000592;0.000592;0.000592
(d;0.000684;0.000684;0.000684;0.441176;0.000684;0.002052;0.000684;0.240082;0.000684;0.168947;0.046512;0.062244;0.001368;0.000684;0.002052;0.016416;0.000684;0.004104;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684;0.000684
(t;0.000172;0.012241;0.725862;0.120000;0.000345;0.000345;0.000172;0.017069;0.000172;0.028966;0.044655;0.037069;0.000517;0.000172;0.003103;0.005690;0.000345;0.000172;0.000172;0.000172;0.000345;0.000345;0.000345;0.000172;0.000172;0.000172;0.000172;0.000172;0.000172;0.000172;0.000172;0.000172
(g;0.001013;0.002026;0.001013;0.392097;0.001013;0.004053;0.020263;0.068896;0.001013;0.191489;0.125633;0.042553;0.001013;0.001013;0.002026;0.126646;0.001013;0.001013;0.001013;0.002026;0.002026;0.001013;0.001013;0.001013;0.001013;0.001013;0.001013;0.001013;0.001013;0.001013;0.001013;0.001013
(x;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(v;0.003086;0.003086;0.003086;0.092593;0.006173;0.003086;0.003086;0.401235;0.003086;0.320988;0.003086;0.089506;0.003086;0.003086;0.003086;0.009259;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086
(f;0.000781;0.000781;0.000781;0.300781;0.000781;0.000781;0.024219;0.198437;0.003906;0.085156;0.160938;0.153906;0.000781;0.000781;0.000781;0.053906;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781;0.000781
(j;0.002299;0.002299;0.002299;0.135632;0.002299;0.002299;0.002299;0.029885;0.004598;0.050575;0.006897;0.071264;0.002299;0.002299;0.002299;0.643678;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299
(q;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.012658;0.006329;0.006329;0.006329;0.797468;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329
(z;0.022727;0.022727;0.022727;0.068182;0.022727;0.113636;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
(.;0.027027;0.027027;0.027027;0.027027;0.027027;0.162162;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(,;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
w(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ww;0.027778;0.027778;0.027778;0.055556;0.027778;0.055556;0.027778;0.055556;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
wh;0.000167;0.000167;0.000167;0.195252;0.000167;0.000167;0.000167;0.112003;0.000167;0.244066;0.000167;0.352056;0.000167;0.000167;0.092110;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167;0.000167
wo;0.000368;0.018021;0.000368;0.012872;0.000736;0.070614;0.006988;0.000368;0.000368;0.001471;0.268849;0.001103;0.000368;0.012137;0.000368;0.386907;0.154101;0.051122;0.003678;0.000736;0.000736;0.001103;0.000368;0.000368;0.000736;0.000736;0.002574;0.000368;0.000368;0.000368;0.000368;0.000368
ws;0.001876;0.009381;0.005629;0.003752;0.001876;0.752345;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.005629;0.136961;0.001876;0.022514;0.001876;0.001876;0.001876;0.018762;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876
w ;0.000212;0.124363;0.045840;0.028226;0.043506;0.001273;0.019312;0.157683;0.034593;0.013158;0.010611;0.095713;0.019312;0.000637;0.074915;0.016129;0.040535;0.014219;0.003183;0.016553;0.030560;0.169992;0.008489;0.000424;0.002971;0.016978;0.007216;0.001910;0.000637;0.000212;0.000424;0.000212
wl;0.012500;0.012500;0.012500;0.012500;0.012500;0.087500;0.012500;0.087500;0.012500;0.337500;0.012500;0.012500;0.012500;0.037500;0.112500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
wi;0.000347;0.000347;0.000347;0.000347;0.031956;0.000347;0.127475;0.000347;0.000347;0.001737;0.002779;0.000347;0.005557;0.000347;0.000347;0.000347;0.005557;0.101771;0.001042;0.003473;0.004515;0.681487;0.002084;0.000347;0.003126;0.020841;0.000347;0.000347;0.000695;0.000347;0.000347;0.000347
wb;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.048780;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
we;0.000163;0.000163;0.000163;0.000163;0.012518;0.325801;0.176719;0.014794;0.003902;0.062754;0.231670;0.025037;0.000163;0.049911;0.000163;0.000163;0.000163;0.029426;0.000163;0.000325;0.028938;0.001301;0.000488;0.000163;0.033653;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163
wr;0.003268;0.003268;0.003268;0.486928;0.003268;0.003268;0.003268;0.323529;0.003268;0.052288;0.003268;0.042484;0.003268;0.003268;0.003268;0.006536;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268
wa;0.000192;0.000192;0.000192;0.000192;0.454965;0.000577;0.031755;0.015589;0.001732;0.000192;0.057929;0.000192;0.000385;0.000192;0.188799;0.000192;0.000770;0.173788;0.002309;0.000577;0.001540;0.056774;0.005966;0.000770;0.002694;0.000192;0.000192;0.000192;0.000385;0.000192;0.000192;0.000192
wc;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
w);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wy;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.582418;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.087912;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
wu;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.225000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
wm;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.319149;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
wn;0.001506;0.003012;0.001506;0.001506;0.016566;0.716867;0.004518;0.012048;0.001506;0.069277;0.001506;0.001506;0.001506;0.125000;0.001506;0.001506;0.001506;0.001506;0.001506;0.004518;0.001506;0.009036;0.001506;0.001506;0.001506;0.006024;0.001506;0.001506;0.001506;0.001506;0.001506;0.001506
wk;0.023810;0.166667;0.023810;0.023810;0.023810;0.095238;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
wp;0.025000;0.025000;0.025000;0.225000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
wd;0.008000;0.008000;0.008000;0.008000;0.032000;0.136000;0.008000;0.024000;0.008000;0.536000;0.008000;0.008000;0.008000;0.048000;0.008000;0.008000;0.008000;0.016000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000
wt;0.023810;0.023810;0.214286;0.047619;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
wg;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wf;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.304348;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
wj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
w.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
w,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
w#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
h(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hw;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.111111;0.022222;0.155556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
hh;0.024390;0.024390;0.024390;0.097561;0.024390;0.048780;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.048780;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
ho;0.000182;0.208825;0.000545;0.062284;0.093336;0.134374;0.071908;0.015253;0.003632;0.004903;0.035228;0.003995;0.004177;0.024514;0.000182;0.189758;0.039041;0.033594;0.001453;0.032686;0.005448;0.027783;0.001997;0.000182;0.002724;0.000908;0.000182;0.000182;0.000182;0.000182;0.000182;0.000182
hs;0.007042;0.007042;0.007042;0.007042;0.007042;0.633803;0.007042;0.007042;0.007042;0.028169;0.007042;0.007042;0.007042;0.112676;0.007042;0.014085;0.007042;0.007042;0.007042;0.021127;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042
h ;0.000159;0.073756;0.037673;0.049754;0.058337;0.004292;0.019552;0.149261;0.038945;0.010650;0.014147;0.104594;0.033222;0.000159;0.082340;0.008425;0.045939;0.026069;0.008266;0.018280;0.017008;0.158957;0.011922;0.000159;0.002702;0.014783;0.008584;0.001272;0.000159;0.000318;0.000159;0.000159
hl;0.012048;0.012048;0.012048;0.024096;0.012048;0.024096;0.012048;0.156627;0.012048;0.180723;0.012048;0.024096;0.012048;0.012048;0.277108;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
hi;0.000117;0.000117;0.000234;0.001755;0.397005;0.002573;0.032986;0.000117;0.000702;0.006200;0.011463;0.001170;0.052872;0.000468;0.000117;0.000117;0.049947;0.364487;0.000117;0.015323;0.002924;0.032168;0.021874;0.000117;0.001872;0.001638;0.000234;0.000117;0.000819;0.000117;0.000117;0.000117
hb;0.014925;0.014925;0.014925;0.432836;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.029851;0.074627;0.014925;0.014925;0.014925;0.044776;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
he;0.000041;0.000289;0.000041;0.000660;0.047136;0.412141;0.009526;0.021279;0.000082;0.001691;0.183018;0.024743;0.003382;0.081694;0.110355;0.000082;0.027754;0.063137;0.000206;0.000124;0.007341;0.004578;0.000041;0.000041;0.000165;0.000206;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041
hr;0.001739;0.001739;0.001739;0.419130;0.001739;0.003478;0.001739;0.180870;0.001739;0.307826;0.001739;0.029565;0.003478;0.001739;0.001739;0.010435;0.001739;0.001739;0.001739;0.001739;0.001739;0.003478;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739
ha;0.000066;0.001587;0.000331;0.000132;0.032004;0.001851;0.010778;0.004034;0.000793;0.001322;0.024797;0.000066;0.000529;0.000463;0.000066;0.001058;0.003769;0.072737;0.000397;0.026582;0.042121;0.610329;0.000132;0.000066;0.163129;0.000264;0.000132;0.000066;0.000198;0.000066;0.000066;0.000066
hc;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.152542;0.338983;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
h);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
hy;0.001337;0.001337;0.001337;0.001337;0.042781;0.728610;0.001337;0.001337;0.009358;0.001337;0.002674;0.006684;0.001337;0.136364;0.001337;0.001337;0.001337;0.001337;0.001337;0.034759;0.006684;0.001337;0.001337;0.001337;0.001337;0.001337;0.001337;0.001337;0.001337;0.001337;0.001337;0.001337
hu;0.001684;0.001684;0.030303;0.001684;0.031987;0.005051;0.006734;0.001684;0.003367;0.005051;0.195286;0.003367;0.011785;0.001684;0.001684;0.001684;0.296296;0.178451;0.001684;0.003367;0.003367;0.067340;0.106061;0.003367;0.001684;0.023569;0.001684;0.001684;0.001684;0.001684;0.001684;0.001684
hm;0.009174;0.009174;0.009174;0.064220;0.055046;0.027523;0.009174;0.036697;0.009174;0.155963;0.009174;0.128440;0.009174;0.009174;0.009174;0.009174;0.302752;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174;0.009174
hn;0.006803;0.006803;0.006803;0.122449;0.034014;0.333333;0.006803;0.170068;0.006803;0.013605;0.006803;0.013605;0.006803;0.068027;0.006803;0.013605;0.006803;0.074830;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803;0.006803
hk;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hp;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hd;0.019231;0.019231;0.019231;0.019231;0.038462;0.134615;0.019231;0.057692;0.019231;0.019231;0.038462;0.192308;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
