smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
cé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
c#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ow;0.000193;0.000193;0.044693;0.008669;0.000385;0.000578;0.000193;0.672125;0.001348;0.000193;0.006357;0.033327;0.016374;0.000193;0.000193;0.014641;0.000193;0.002119;0.090541;0.102292;0.000578;0.000963;0.000771;0.000193;0.000193;0.001156;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193
oe;0.001312;0.001312;0.001312;0.013123;0.001312;0.001312;0.001312;0.087927;0.001312;0.001312;0.003937;0.784777;0.001312;0.015748;0.002625;0.001312;0.001312;0.007874;0.034121;0.018373;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312;0.001312
ol;0.000399;0.000399;0.132535;0.153293;0.000399;0.041916;0.001198;0.081836;0.013573;0.000399;0.136926;0.015968;0.023952;0.041118;0.000399;0.252695;0.000399;0.000798;0.000798;0.017166;0.009581;0.049501;0.006387;0.013972;0.000399;0.001198;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399;0.000399
oc;0.000829;0.000829;0.104478;0.002488;0.021559;0.011609;0.000829;0.003317;0.037313;0.000829;0.000829;0.000829;0.046434;0.000829;0.413765;0.103648;0.000829;0.019071;0.000829;0.003317;0.000829;0.116915;0.002488;0.097844;0.000829;0.000829;0.000829;0.000829;0.000829;0.000829;0.000829;0.000829;0.000829
oo;0.000478;0.000478;0.000956;0.102723;0.004300;0.000478;0.041089;0.068801;0.048256;0.039656;0.222647;0.016722;0.000478;0.000956;0.035834;0.000478;0.000478;0.002389;0.034878;0.016245;0.004778;0.000478;0.000478;0.346871;0.003822;0.001433;0.000956;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478
om;0.000217;0.000217;0.451592;0.000866;0.000217;0.004115;0.103097;0.182370;0.000217;0.076890;0.000217;0.002166;0.036387;0.000217;0.000217;0.081871;0.000217;0.000217;0.002599;0.031189;0.004982;0.000217;0.008447;0.000217;0.000217;0.009313;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217
o ;0.000081;0.074406;0.016363;0.027027;0.037366;0.022550;0.046809;0.001954;0.159394;0.036307;0.049739;0.070498;0.068707;0.006594;0.028167;0.078965;0.008955;0.049739;0.017665;0.000407;0.024585;0.008792;0.044041;0.013269;0.038098;0.066509;0.000163;0.000163;0.002198;0.000081;0.000244;0.000081;0.000081
ot;0.000205;0.000819;0.177687;0.001228;0.000614;0.003071;0.000205;0.461412;0.024360;0.000409;0.000205;0.010850;0.018833;0.000205;0.000409;0.051996;0.000205;0.177073;0.000409;0.063664;0.000205;0.000819;0.001228;0.000205;0.000205;0.002047;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205
op;0.000431;0.000431;0.149569;0.570259;0.000431;0.016810;0.006034;0.055603;0.011207;0.066810;0.000431;0.015517;0.011207;0.000431;0.009052;0.024138;0.000431;0.015948;0.000431;0.012931;0.000431;0.023276;0.003448;0.000862;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431
od;0.000721;0.010094;0.087239;0.002884;0.028839;0.003605;0.001442;0.389329;0.000721;0.000721;0.018025;0.019466;0.148522;0.000721;0.002163;0.009373;0.000721;0.000721;0.002163;0.075703;0.002884;0.032444;0.152848;0.000721;0.002163;0.000721;0.000721;0.000721;0.000721;0.000721;0.000721;0.000721;0.000721
os;0.000479;0.000479;0.380633;0.000959;0.004314;0.002876;0.001438;0.085810;0.249760;0.016779;0.000479;0.114094;0.009588;0.000479;0.000479;0.094439;0.000479;0.007191;0.001438;0.014382;0.000479;0.005273;0.002397;0.000959;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479;0.000479
oa;0.003268;0.003268;0.003268;0.150327;0.120915;0.003268;0.006536;0.022876;0.140523;0.003268;0.238562;0.035948;0.003268;0.003268;0.104575;0.003268;0.003268;0.003268;0.068627;0.003268;0.003268;0.003268;0.003268;0.009804;0.003268;0.009804;0.003268;0.022876;0.003268;0.003268;0.003268;0.003268;0.003268
ov;0.000688;0.000688;0.870702;0.000688;0.000688;0.001376;0.000688;0.004814;0.000688;0.000688;0.000688;0.000688;0.033012;0.000688;0.000688;0.070151;0.000688;0.000688;0.000688;0.000688;0.000688;0.000688;0.001376;0.000688;0.000688;0.000688;0.000688;0.000688;0.000688;0.000688;0.000688;0.000688;0.000688
or;0.000101;0.005168;0.136488;0.021988;0.012767;0.003344;0.042558;0.305806;0.137096;0.005877;0.040024;0.030500;0.014085;0.000101;0.032830;0.033033;0.000101;0.001723;0.023103;0.051677;0.000203;0.000811;0.027561;0.052690;0.019050;0.000507;0.000101;0.000101;0.000203;0.000101;0.000101;0.000101;0.000101
oi;0.000758;0.000758;0.000758;0.020455;0.045455;0.000758;0.000758;0.000758;0.003788;0.000758;0.012879;0.011364;0.002273;0.000758;0.006818;0.000758;0.000758;0.000758;0.875758;0.000758;0.000758;0.000758;0.000758;0.000758;0.002273;0.001515;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758
oj;0.015873;0.015873;0.317460;0.015873;0.015873;0.031746;0.015873;0.142857;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.047619;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
oh;0.001592;0.001592;0.191083;0.001592;0.001592;0.022293;0.004777;0.248408;0.001592;0.001592;0.001592;0.004777;0.006369;0.001592;0.003185;0.015924;0.001592;0.001592;0.409236;0.057325;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592
on;0.000073;0.000588;0.143603;0.016021;0.014184;0.009407;0.001470;0.342691;0.098405;0.000441;0.024105;0.106857;0.055339;0.011097;0.000073;0.005953;0.000147;0.000073;0.052620;0.053134;0.010068;0.000735;0.004483;0.000735;0.046447;0.000073;0.000294;0.000294;0.000220;0.000147;0.000073;0.000073;0.000073
o);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
of;0.000162;0.000162;0.002762;0.000325;0.000325;0.001137;0.000162;0.762833;0.009422;0.000162;0.000162;0.000162;0.000487;0.000162;0.000162;0.001949;0.000162;0.000162;0.000162;0.140351;0.076023;0.000650;0.000325;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162
ou;0.000068;0.000068;0.000068;0.120986;0.001290;0.000068;0.000068;0.278023;0.218752;0.012900;0.004006;0.055605;0.000068;0.005635;0.136669;0.000339;0.000068;0.000883;0.064363;0.042230;0.000136;0.000068;0.000136;0.000068;0.052074;0.004753;0.000136;0.000068;0.000136;0.000068;0.000068;0.000068;0.000068
oy;0.006536;0.006536;0.143791;0.006536;0.084967;0.026144;0.039216;0.254902;0.006536;0.006536;0.006536;0.058824;0.098039;0.006536;0.006536;0.058824;0.006536;0.006536;0.006536;0.071895;0.013072;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
ok;0.000867;0.000867;0.209887;0.021683;0.000867;0.001735;0.000867;0.403296;0.000867;0.000867;0.000867;0.046834;0.163053;0.000867;0.000867;0.081526;0.000867;0.000867;0.000867;0.045100;0.000867;0.000867;0.006071;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867
og;0.002469;0.002469;0.145679;0.019753;0.002469;0.007407;0.002469;0.019753;0.002469;0.002469;0.002469;0.017284;0.022222;0.002469;0.291358;0.133333;0.002469;0.002469;0.079012;0.009877;0.002469;0.069136;0.101235;0.002469;0.034568;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469
ob;0.000809;0.000809;0.069579;0.135922;0.000809;0.038026;0.000809;0.140777;0.006472;0.000809;0.000809;0.065534;0.341424;0.078479;0.001618;0.015372;0.016181;0.000809;0.002427;0.020227;0.000809;0.001618;0.000809;0.000809;0.000809;0.051780;0.000809;0.000809;0.000809;0.000809;0.000809;0.000809;0.000809
oz;0.017241;0.017241;0.327586;0.017241;0.017241;0.051724;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.068966;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
ox;0.006897;0.006897;0.055172;0.006897;0.006897;0.006897;0.006897;0.565517;0.006897;0.006897;0.006897;0.006897;0.013793;0.006897;0.006897;0.075862;0.006897;0.013793;0.013793;0.068966;0.006897;0.006897;0.020690;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897
oq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mw;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
me;0.000128;0.002684;0.018916;0.005879;0.001406;0.021600;0.029780;0.287704;0.057515;0.000128;0.052147;0.064673;0.111963;0.000128;0.080649;0.000128;0.000128;0.006007;0.183027;0.050613;0.000383;0.000128;0.008436;0.000128;0.000511;0.007157;0.000256;0.007157;0.000128;0.000128;0.000128;0.000128;0.000128
ml;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mc;0.003984;0.003984;0.003984;0.003984;0.689243;0.003984;0.031873;0.007968;0.003984;0.003984;0.011952;0.019920;0.003984;0.007968;0.007968;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.027888;0.099602;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984
mo;0.000379;0.000379;0.003407;0.010598;0.182059;0.009841;0.036336;0.010220;0.023467;0.001514;0.022332;0.125284;0.000757;0.073808;0.290689;0.003407;0.000757;0.000757;0.149129;0.001893;0.000757;0.034822;0.000379;0.004542;0.003407;0.006056;0.000379;0.000757;0.000379;0.000379;0.000379;0.000379;0.000379
mm;0.001188;0.001188;0.157957;0.001188;0.001188;0.047506;0.013064;0.054632;0.001188;0.001188;0.001188;0.007126;0.051069;0.001188;0.001188;0.302850;0.001188;0.033254;0.001188;0.010689;0.001188;0.153207;0.142518;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188
m ;0.000290;0.060940;0.012768;0.030760;0.022925;0.063552;0.017411;0.004353;0.183111;0.022925;0.026407;0.066454;0.132618;0.007835;0.019153;0.089669;0.032501;0.036274;0.035984;0.000580;0.024086;0.011898;0.024086;0.004353;0.024956;0.039756;0.000871;0.000580;0.001451;0.000290;0.000580;0.000290;0.000290
mt;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mp;0.000384;0.000384;0.045752;0.106882;0.000384;0.079200;0.000384;0.398693;0.013456;0.000384;0.000384;0.076894;0.148404;0.000384;0.028835;0.008843;0.000384;0.005767;0.000384;0.074202;0.000384;0.004614;0.000769;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384
md;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ms;0.001733;0.001733;0.221837;0.001733;0.001733;0.001733;0.001733;0.594454;0.017331;0.001733;0.003466;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733;0.006932;0.105719;0.003466;0.001733;0.001733;0.001733;0.001733;0.003466;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733
ma;0.000271;0.000271;0.000271;0.037992;0.015468;0.000271;0.000543;0.055088;0.137042;0.002714;0.057259;0.039349;0.001357;0.000543;0.096879;0.027137;0.017910;0.002714;0.193758;0.012212;0.000271;0.000814;0.099322;0.151425;0.032293;0.001085;0.011669;0.002714;0.000271;0.000271;0.000271;0.000271;0.000271
mv;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
mr;0.016129;0.016129;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.435484;0.016129;0.016129;0.016129
mi;0.000407;0.000407;0.006098;0.123171;0.099187;0.000407;0.001220;0.006911;0.133333;0.000407;0.049187;0.113008;0.008130;0.000407;0.020325;0.000407;0.000407;0.000407;0.325203;0.000813;0.000813;0.000813;0.000407;0.009350;0.090244;0.000407;0.002033;0.004065;0.000407;0.000407;0.000407;0.000407;0.000407
mj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mh;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.466667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
mn;0.011111;0.011111;0.155556;0.011111;0.011111;0.011111;0.011111;0.311111;0.011111;0.011111;0.011111;0.033333;0.022222;0.011111;0.011111;0.155556;0.011111;0.011111;0.011111;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
m);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mf;0.018182;0.018182;0.018182;0.018182;0.018182;0.400000;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
mu;0.001239;0.001239;0.001239;0.234201;0.344486;0.001239;0.039653;0.001239;0.006196;0.001239;0.004957;0.095415;0.002478;0.001239;0.069393;0.001239;0.001239;0.001239;0.158612;0.001239;0.002478;0.001239;0.001239;0.001239;0.007435;0.008674;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239;0.001239
my;0.001495;0.001495;0.002990;0.001495;0.001495;0.004484;0.001495;0.745889;0.001495;0.001495;0.001495;0.074738;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495;0.128550;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495;0.002990;0.001495;0.001495;0.001495
mk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
mg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mb;0.001704;0.001704;0.626917;0.047700;0.001704;0.017036;0.001704;0.047700;0.001704;0.001704;0.001704;0.006814;0.102215;0.001704;0.017036;0.051107;0.001704;0.001704;0.001704;0.013629;0.001704;0.028961;0.003407;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704
mz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m.;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.272727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
m,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 (;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 w;0.000057;0.000113;0.268832;0.000057;0.000057;0.094969;0.000057;0.000679;0.000057;0.000057;0.000057;0.000057;0.217896;0.000057;0.014828;0.117947;0.000057;0.282981;0.000057;0.000226;0.000057;0.000113;0.000170;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
 e;0.000293;0.000293;0.000293;0.103630;0.023712;0.000878;0.039813;0.000585;0.009368;0.013173;0.015515;0.026639;0.057963;0.300059;0.016393;0.031030;0.000293;0.000293;0.144906;0.000293;0.024297;0.008489;0.008489;0.000878;0.007319;0.000293;0.000585;0.159251;0.003806;0.000293;0.000293;0.000293;0.000293
 l;0.000157;0.000157;0.170330;0.000942;0.000157;0.224804;0.000157;0.000314;0.000157;0.000157;0.000157;0.000157;0.120094;0.000157;0.000157;0.465306;0.000157;0.000157;0.000157;0.000157;0.000157;0.006279;0.007692;0.000157;0.000471;0.000157;0.000157;0.000157;0.000157;0.000157;0.000157;0.000157;0.000157
 c;0.000124;0.000124;0.019955;0.062469;0.000248;0.426004;0.000124;0.000248;0.000248;0.000496;0.000124;0.000248;0.272558;0.000124;0.068047;0.020947;0.000124;0.093951;0.002231;0.000248;0.000124;0.026153;0.003842;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124
 o;0.000079;0.012815;0.000079;0.006211;0.002359;0.000393;0.001101;0.000393;0.030427;0.017926;0.001101;0.000708;0.001101;0.028933;0.078780;0.000314;0.000157;0.013366;0.220615;0.000079;0.434389;0.107241;0.000079;0.013680;0.000079;0.026889;0.000157;0.000157;0.000079;0.000079;0.000079;0.000079;0.000079
 m;0.000140;0.000140;0.264270;0.000280;0.023223;0.193900;0.005036;0.000280;0.000420;0.000140;0.000140;0.002518;0.261332;0.000140;0.003917;0.116816;0.000140;0.000140;0.000140;0.000140;0.000140;0.070229;0.054980;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140
  ;0.001653;0.079339;0.021488;0.016529;0.036364;0.061157;0.057851;0.016529;0.066116;0.080992;0.019835;0.066116;0.107438;0.021488;0.018182;0.085950;0.001653;0.033058;0.008264;0.014876;0.014876;0.004959;0.097521;0.004959;0.004959;0.044628;0.001653;0.001653;0.003306;0.001653;0.001653;0.001653;0.001653
 t;0.000025;0.011347;0.015473;0.000025;0.000025;0.181108;0.000025;0.000098;0.000025;0.000049;0.000025;0.000025;0.028269;0.000982;0.052019;0.015940;0.000025;0.689901;0.000025;0.000049;0.000025;0.003340;0.000909;0.000025;0.000025;0.000049;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025
 p;0.000136;0.000136;0.208305;0.058624;0.000136;0.198670;0.000136;0.000950;0.000136;0.000271;0.000271;0.000679;0.153752;0.000136;0.256480;0.026055;0.000407;0.010856;0.000136;0.000271;0.001628;0.078572;0.000543;0.000136;0.000271;0.000136;0.000136;0.000136;0.000136;0.001357;0.000136;0.000136;0.000136
 d;0.000133;0.000266;0.211395;0.000399;0.005059;0.448216;0.000266;0.000133;0.000266;0.000133;0.000133;0.000266;0.078009;0.000133;0.037007;0.193956;0.000133;0.000399;0.001464;0.000133;0.000133;0.018770;0.001864;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133
 s;0.000074;0.004530;0.127497;0.005866;0.024579;0.275860;0.008614;0.002005;0.144724;0.039950;0.000149;0.000149;0.145467;0.000074;0.000074;0.046855;0.000074;0.097052;0.000965;0.000594;0.000074;0.063860;0.007426;0.002302;0.000074;0.000074;0.000074;0.000074;0.000594;0.000074;0.000074;0.000074;0.000074
 a;0.000040;0.006023;0.000080;0.080850;0.026285;0.000040;0.019584;0.184157;0.044713;0.009134;0.014838;0.052930;0.000319;0.001954;0.067369;0.003031;0.000040;0.000838;0.334530;0.043995;0.014000;0.002513;0.000120;0.000160;0.019345;0.072355;0.000040;0.000519;0.000040;0.000040;0.000040;0.000040;0.000040
 v;0.000698;0.000698;0.357990;0.006978;0.000698;0.293789;0.000698;0.008374;0.000698;0.001396;0.000698;0.003489;0.078856;0.000698;0.000698;0.217027;0.000698;0.000698;0.000698;0.002791;0.000698;0.013259;0.000698;0.000698;0.000698;0.000698;0.000698;0.000698;0.000698;0.000698;0.000698;0.000698;0.000698
