smoothed;3
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
(t;0.000103;0.749560;0.021215;0.000103;0.118597;0.000103;0.014074;0.000103;0.000103;0.000103;0.000103;0.037669;0.033737;0.000103;0.000103;0.005692;0.002380;0.000103;0.000103;0.000207;0.000310;0.000103;0.000103;0.000207;0.014074;0.000103;0.000103;0.000207;0.000103;0.000103;0.000103;0.000103;0.000103
();0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(y;0.000341;0.000341;0.247103;0.000341;0.737219;0.000682;0.001363;0.000341;0.000341;0.000341;0.000341;0.000341;0.003067;0.000682;0.000341;0.000341;0.001022;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341
(u;0.001087;0.061957;0.001087;0.014130;0.001087;0.003261;0.001087;0.142391;0.001087;0.428261;0.003261;0.004348;0.001087;0.038043;0.001087;0.001087;0.002174;0.003261;0.003261;0.103261;0.166304;0.001087;0.002174;0.001087;0.001087;0.001087;0.001087;0.001087;0.001087;0.001087;0.004348;0.001087;0.001087
(k;0.001200;0.001200;0.050420;0.002401;0.007203;0.001200;0.264106;0.001200;0.001200;0.625450;0.001200;0.003601;0.007203;0.001200;0.001200;0.004802;0.003601;0.002401;0.001200;0.001200;0.001200;0.001200;0.001200;0.001200;0.002401;0.001200;0.001200;0.001200;0.001200;0.001200;0.001200;0.001200;0.001200
(c;0.000313;0.125625;0.032500;0.039688;0.476562;0.000313;0.015312;0.000313;0.000313;0.001250;0.000313;0.045625;0.205937;0.000313;0.000313;0.000937;0.048750;0.000313;0.000625;0.000625;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313;0.000313
(p;0.000316;0.042668;0.315424;0.053413;0.166245;0.000632;0.020544;0.000316;0.000316;0.000316;0.000316;0.262958;0.074905;0.000316;0.000316;0.000316;0.050569;0.000632;0.000316;0.000316;0.004741;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316;0.000632;0.000316;0.000316
(s;0.000206;0.064788;0.106541;0.012546;0.314480;0.001234;0.038462;0.006993;0.000206;0.002262;0.000206;0.000206;0.124434;0.151995;0.000206;0.008227;0.090703;0.003085;0.027149;0.037433;0.000411;0.000206;0.000206;0.000206;0.005142;0.000411;0.000823;0.000206;0.000206;0.000206;0.000206;0.000206;0.000206
(f;0.000632;0.000632;0.103034;0.027813;0.307838;0.001264;0.163085;0.000632;0.000632;0.001264;0.000632;0.163717;0.149178;0.000632;0.000632;0.000632;0.065107;0.000632;0.000632;0.000632;0.000632;0.000632;0.003161;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632
(b;0.000335;0.000335;0.466689;0.044526;0.044191;0.000670;0.033813;0.000335;0.000335;0.000335;0.000335;0.049883;0.103113;0.000335;0.000335;0.026113;0.222297;0.000335;0.000335;0.000335;0.000670;0.000335;0.000670;0.000335;0.000335;0.000335;0.000335;0.000335;0.000335;0.000335;0.000335;0.000335;0.000335
(v;0.001949;0.001949;0.350877;0.001949;0.081871;0.003899;0.374269;0.001949;0.001949;0.001949;0.001949;0.001949;0.132554;0.001949;0.003899;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949
(w;0.000209;0.330273;0.206551;0.000209;0.157939;0.000417;0.111204;0.000209;0.000209;0.000209;0.000209;0.016274;0.171917;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209
(z;0.023256;0.023256;0.139535;0.023256;0.139535;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(q;0.004975;0.004975;0.009950;0.004975;0.004975;0.004975;0.009950;0.004975;0.004975;0.004975;0.004975;0.009950;0.009950;0.004975;0.004975;0.004975;0.820896;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
(j;0.001538;0.001538;0.049231;0.001538;0.067692;0.001538;0.006154;0.001538;0.001538;0.001538;0.001538;0.001538;0.026154;0.001538;0.001538;0.001538;0.803077;0.003077;0.001538;0.001538;0.001538;0.003077;0.003077;0.001538;0.001538;0.001538;0.001538;0.001538;0.001538;0.001538;0.001538;0.001538;0.001538
(x;0.027778;0.027778;0.055556;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(,;0.022727;0.022727;0.022727;0.022727;0.022727;0.250000;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
(.;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hh;0.014925;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.492537;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
he;0.000029;0.000057;0.001000;0.008312;0.002713;0.383422;0.021965;0.027506;0.006084;0.086773;0.000029;0.193682;0.022736;0.008997;0.080375;0.101083;0.000057;0.000086;0.001542;0.000086;0.052726;0.000171;0.000057;0.000114;0.000171;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029
hl;0.010753;0.010753;0.215054;0.010753;0.064516;0.021505;0.118280;0.010753;0.010753;0.010753;0.010753;0.010753;0.021505;0.010753;0.021505;0.258065;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
ho;0.000140;0.000560;0.005324;0.103965;0.051282;0.067535;0.015273;0.017374;0.001962;0.036990;0.000701;0.032226;0.003223;0.015413;0.013591;0.000140;0.283312;0.000280;0.001821;0.017094;0.091215;0.000280;0.001401;0.001401;0.236374;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140;0.000140
h ;0.000098;0.028580;0.011452;0.027993;0.063130;0.006460;0.171087;0.045121;0.014388;0.019575;0.011354;0.015464;0.098855;0.152980;0.002055;0.080161;0.006460;0.002838;0.025154;0.020652;0.068415;0.013409;0.045512;0.003132;0.057845;0.000392;0.001370;0.005187;0.000196;0.000294;0.000196;0.000098;0.000098
hi;0.000063;0.000063;0.003863;0.050858;0.000887;0.001647;0.000063;0.032554;0.001393;0.477421;0.014124;0.005257;0.000380;0.039648;0.000253;0.000063;0.000063;0.000127;0.055545;0.013490;0.299322;0.000570;0.000633;0.000380;0.000063;0.000570;0.000063;0.000317;0.000063;0.000063;0.000063;0.000063;0.000063
hm;0.005882;0.005882;0.288235;0.005882;0.005882;0.047059;0.017647;0.405882;0.005882;0.005882;0.005882;0.005882;0.023529;0.005882;0.035294;0.005882;0.017647;0.005882;0.005882;0.005882;0.017647;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882
hd;0.019231;0.019231;0.019231;0.019231;0.038462;0.211538;0.019231;0.019231;0.019231;0.019231;0.019231;0.057692;0.057692;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
hn;0.004184;0.004184;0.029289;0.004184;0.276151;0.138075;0.405858;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.033473;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184
hg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hr;0.001007;0.001007;0.272910;0.001007;0.391742;0.001007;0.262840;0.001007;0.001007;0.001007;0.001007;0.001007;0.042296;0.001007;0.001007;0.001007;0.002014;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007;0.001007
ha;0.000034;0.000440;0.000271;0.005079;0.000102;0.002574;0.002743;0.002438;0.020826;0.047814;0.000068;0.029461;0.000068;0.715045;0.000610;0.000102;0.000372;0.000711;0.000440;0.019437;0.022790;0.000034;0.000677;0.127256;0.000237;0.000135;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034
ht;0.000225;0.000899;0.017990;0.010344;0.001799;0.785248;0.004497;0.001349;0.000225;0.000450;0.000225;0.000225;0.001799;0.000225;0.125253;0.004722;0.001124;0.000450;0.000450;0.000899;0.032381;0.002024;0.000225;0.000225;0.003598;0.000225;0.000225;0.000225;0.000225;0.000225;0.000450;0.001349;0.000225
h);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hy;0.000588;0.000588;0.000588;0.001764;0.000588;0.706643;0.000588;0.001764;0.004115;0.000588;0.000588;0.000588;0.001176;0.001176;0.104056;0.000588;0.000588;0.000588;0.000588;0.092299;0.071723;0.000588;0.000588;0.000588;0.001764;0.000588;0.000588;0.000588;0.000588;0.000588;0.000588;0.000588;0.000588
hu;0.001163;0.080233;0.001163;0.005814;0.001163;0.003488;0.001163;0.388372;0.002326;0.166279;0.140698;0.098837;0.002326;0.044186;0.001163;0.001163;0.001163;0.001163;0.002326;0.002326;0.032558;0.001163;0.006977;0.001163;0.001163;0.002326;0.001163;0.001163;0.001163;0.001163;0.001163;0.001163;0.001163
hk;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hc;0.019608;0.019608;0.019608;0.019608;0.137255;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.235294;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
hp;0.026316;0.026316;0.026316;0.052632;0.026316;0.052632;0.052632;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
hs;0.007143;0.007143;0.007143;0.007143;0.007143;0.657143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.014286;0.078571;0.007143;0.014286;0.007143;0.007143;0.028571;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.014286;0.007143;0.007143
hf;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.244444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
hb;0.017857;0.017857;0.035714;0.035714;0.357143;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
hv;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hw;0.023256;0.116279;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.116279;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
hz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hj;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h,;0.011765;0.011765;0.011765;0.011765;0.011765;0.611765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.023529;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
h.;0.025641;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
h?;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
h#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
e(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
eh;0.003717;0.003717;0.092937;0.007435;0.252788;0.018587;0.185874;0.003717;0.003717;0.007435;0.003717;0.003717;0.330855;0.003717;0.007435;0.007435;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717
ee;0.000183;0.000730;0.000365;0.125935;0.000183;0.262639;0.010951;0.101296;0.120095;0.161526;0.000365;0.009856;0.002373;0.038146;0.042343;0.000365;0.000183;0.021902;0.015514;0.059135;0.016244;0.001278;0.000365;0.000730;0.003468;0.002373;0.000183;0.000183;0.000365;0.000183;0.000183;0.000183;0.000183
el;0.000126;0.000252;0.036088;0.375773;0.013754;0.101199;0.115457;0.001388;0.007950;0.000126;0.000252;0.000379;0.039621;0.011987;0.015773;0.120757;0.003533;0.000252;0.003407;0.022082;0.042524;0.072429;0.000126;0.013249;0.000126;0.000126;0.000126;0.000126;0.000126;0.000379;0.000252;0.000126;0.000126
eo;0.000223;0.000223;0.000223;0.010275;0.000223;0.059862;0.000447;0.000223;0.001117;0.055841;0.002234;0.020773;0.000447;0.002904;0.010275;0.000223;0.005807;0.000223;0.001117;0.798526;0.022113;0.002680;0.000223;0.001564;0.000447;0.000223;0.000223;0.000223;0.000223;0.000223;0.000223;0.000223;0.000223
e ;0.000013;0.028480;0.020546;0.036779;0.060807;0.008487;0.108651;0.032265;0.029159;0.021124;0.023174;0.023639;0.107959;0.148887;0.001660;0.038564;0.012775;0.005583;0.035043;0.039796;0.062895;0.024896;0.039105;0.007507;0.072174;0.000163;0.002226;0.007092;0.000277;0.000138;0.000113;0.000013;0.000013
ei;0.000466;0.000466;0.000466;0.004196;0.000466;0.000466;0.000466;0.000932;0.002797;0.374825;0.096970;0.386014;0.002797;0.067133;0.000466;0.000466;0.000466;0.000466;0.000466;0.000932;0.020513;0.000466;0.000466;0.030769;0.000466;0.002331;0.000466;0.000466;0.000466;0.000466;0.000466;0.000466;0.000466
em;0.000233;0.000233;0.197766;0.000698;0.072127;0.318288;0.053048;0.002559;0.000233;0.002559;0.000233;0.000233;0.054444;0.000233;0.051419;0.002792;0.001163;0.000233;0.000233;0.057934;0.126803;0.000233;0.053979;0.000233;0.000233;0.000233;0.000233;0.000233;0.000233;0.000233;0.000233;0.000233;0.000233
ed;0.000115;0.000115;0.023299;0.006083;0.016642;0.728337;0.056123;0.000115;0.006427;0.001148;0.018249;0.000689;0.001722;0.000115;0.109721;0.002295;0.017790;0.000115;0.000115;0.000115;0.008264;0.000115;0.000918;0.000115;0.000230;0.000115;0.000115;0.000115;0.000115;0.000230;0.000115;0.000115;0.000115
en;0.000058;0.000175;0.048387;0.001519;0.011454;0.321003;0.012740;0.000409;0.066620;0.001870;0.013499;0.000526;0.006253;0.334561;0.045991;0.002279;0.004909;0.000175;0.074158;0.000058;0.039797;0.002688;0.000058;0.004091;0.000058;0.001110;0.000058;0.005143;0.000058;0.000058;0.000117;0.000058;0.000058
eg;0.000931;0.000931;0.092179;0.003724;0.090317;0.007449;0.178771;0.008380;0.000931;0.020484;0.013966;0.109870;0.383613;0.000931;0.000931;0.008380;0.052142;0.000931;0.000931;0.000931;0.012104;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931;0.000931
er;0.000038;0.001248;0.283012;0.002686;0.005409;0.266142;0.039225;0.019178;0.001853;0.023490;0.003140;0.007830;0.043651;0.022695;0.045202;0.077732;0.000227;0.000794;0.014449;0.003934;0.112494;0.006620;0.001210;0.014449;0.002534;0.000038;0.000038;0.000189;0.000038;0.000151;0.000227;0.000038;0.000038
ea;0.000068;0.213548;0.000068;0.206727;0.000068;0.025191;0.000135;0.031472;0.065239;0.144189;0.003242;0.101641;0.000068;0.057946;0.004322;0.000068;0.001688;0.021206;0.018370;0.003174;0.090093;0.000810;0.001688;0.007834;0.000405;0.000203;0.000068;0.000068;0.000068;0.000068;0.000135;0.000068;0.000068
et;0.000132;0.198337;0.063473;0.001584;0.006202;0.257192;0.059910;0.000132;0.000396;0.001320;0.000132;0.008841;0.020058;0.156242;0.038005;0.036817;0.011349;0.000132;0.005278;0.001320;0.100422;0.000528;0.000396;0.000132;0.030615;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132
e);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ey;0.000246;0.000246;0.016458;0.014984;0.007369;0.633260;0.000737;0.000737;0.005158;0.000246;0.000246;0.187423;0.000491;0.000246;0.107590;0.000246;0.000246;0.000246;0.000246;0.000246;0.003193;0.000246;0.000491;0.016704;0.000246;0.000246;0.000246;0.000246;0.000246;0.000491;0.000491;0.000246;0.000246
