smoothed;3
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
(f;0.000193;0.000193;0.000193;0.148120;0.000386;0.000771;0.000386;0.072131;0.000193;0.360463;0.000771;0.192478;0.144262;0.000386;0.000193;0.000193;0.000193;0.000193;0.000193;0.036066;0.000193;0.031630;0.000193;0.000193;0.000193;0.000193;0.006172;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193
(k;0.000562;0.000562;0.025843;0.273596;0.000562;0.000562;0.000562;0.093258;0.000562;0.054494;0.001124;0.011236;0.086517;0.000562;0.416292;0.000562;0.000562;0.000562;0.000562;0.015730;0.000562;0.002809;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562
(p;0.000137;0.000137;0.021474;0.022432;0.004377;0.000137;0.000137;0.199699;0.000274;0.159486;0.000137;0.318835;0.150321;0.000684;0.000410;0.000137;0.000137;0.000137;0.000274;0.064697;0.000137;0.051429;0.000137;0.000547;0.000137;0.000137;0.000410;0.000684;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000274;0.000137;0.000137;0.000137;0.000137
(b;0.000131;0.000263;0.000788;0.046225;0.000394;0.000263;0.000263;0.356533;0.000131;0.076953;0.000394;0.068680;0.097045;0.056336;0.000131;0.000131;0.000131;0.000131;0.000263;0.255548;0.000131;0.035588;0.000131;0.000131;0.000131;0.000394;0.000394;0.000263;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131
(.;0.012346;0.012346;0.012346;0.012346;0.012346;0.172840;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.283951;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.037037;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
(q;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.007752;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.883721;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584;0.002584
(x;0.016949;0.016949;0.016949;0.101695;0.016949;0.050847;0.016949;0.084746;0.016949;0.016949;0.016949;0.033898;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
(,;0.006289;0.006289;0.006289;0.006289;0.006289;0.685535;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.018868;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.025157;0.006289;0.006289;0.018868;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289
(á;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.254237;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
(ö;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
