smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
yh;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
yt;0.011111;0.011111;0.011111;0.011111;0.011111;0.111111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.511111;0.011111;0.011111;0.044444;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
ys;0.005988;0.005988;0.005988;0.383234;0.005988;0.005988;0.005988;0.041916;0.005988;0.005988;0.005988;0.017964;0.005988;0.005988;0.005988;0.161677;0.017964;0.095808;0.005988;0.059880;0.017964;0.059880;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988
ye;0.004310;0.004310;0.004310;0.034483;0.004310;0.008621;0.004310;0.004310;0.004310;0.004310;0.211207;0.392241;0.012931;0.004310;0.004310;0.060345;0.030172;0.008621;0.112069;0.008621;0.004310;0.017241;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.012931
yd;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yi;0.009091;0.009091;0.009091;0.009091;0.700000;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.018182;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
y.;0.008850;0.008850;0.008850;0.097345;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.035398;0.601770;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850
y);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
yc;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.282609;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
ym;0.023256;0.023256;0.023256;0.046512;0.023256;0.139535;0.023256;0.023256;0.023256;0.046512;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
yg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
yf;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.054054;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yv;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.304348;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
yx;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
yz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
yj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
yq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
y?;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.195122;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
y#;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
 (;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 b;0.000689;0.000689;0.085399;0.000689;0.000689;0.091598;0.000689;0.001377;0.114325;0.000689;0.042011;0.127410;0.041322;0.000689;0.000689;0.000689;0.000689;0.423554;0.000689;0.056474;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689;0.000689
 y;0.001704;0.001704;0.001704;0.001704;0.001704;0.770017;0.001704;0.001704;0.001704;0.001704;0.001704;0.003407;0.001704;0.005111;0.001704;0.001704;0.001704;0.172061;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704
  ;0.005525;0.033149;0.071823;0.005525;0.005525;0.060773;0.033149;0.005525;0.005525;0.066298;0.005525;0.038674;0.022099;0.005525;0.055249;0.077348;0.071823;0.022099;0.033149;0.060773;0.005525;0.005525;0.033149;0.182320;0.011050;0.027624;0.011050;0.005525;0.005525;0.011050;0.005525;0.005525;0.005525
 n;0.001689;0.001689;0.003378;0.001689;0.001689;0.547297;0.001689;0.001689;0.025338;0.001689;0.001689;0.081081;0.001689;0.001689;0.001689;0.001689;0.001689;0.236486;0.001689;0.060811;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689
 o;0.000481;0.017316;0.000481;0.000481;0.202501;0.000962;0.017316;0.000481;0.086099;0.015392;0.078884;0.000481;0.013468;0.004329;0.008658;0.038961;0.001443;0.000481;0.001924;0.000481;0.000481;0.000481;0.002405;0.001443;0.000481;0.472342;0.028379;0.000962;0.000481;0.000481;0.000481;0.000481;0.000481
 w;0.000493;0.000493;0.000493;0.000493;0.000493;0.131164;0.000493;0.000493;0.000493;0.000493;0.039941;0.266765;0.000493;0.000493;0.282051;0.000493;0.000493;0.144970;0.000493;0.121795;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493;0.000493
 ,;0.021277;0.021277;0.021277;0.148936;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.191489;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
 u;0.002410;0.002410;0.002410;0.002410;0.238554;0.002410;0.002410;0.002410;0.002410;0.265060;0.009639;0.002410;0.009639;0.004819;0.089157;0.019277;0.279518;0.002410;0.004819;0.002410;0.002410;0.002410;0.004819;0.021687;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410
 p;0.000900;0.001800;0.002700;0.001800;0.000900;0.122412;0.000900;0.000900;0.055806;0.000900;0.214221;0.144014;0.140414;0.000900;0.016202;0.000900;0.009901;0.226823;0.002700;0.038704;0.000900;0.000900;0.004500;0.000900;0.000900;0.000900;0.001800;0.000900;0.000900;0.000900;0.000900;0.000900;0.000900
 r;0.001063;0.001063;0.001063;0.001063;0.001063;0.053135;0.001063;0.001063;0.167906;0.002125;0.001063;0.056323;0.001063;0.001063;0.001063;0.001063;0.001063;0.596174;0.004251;0.090329;0.002125;0.001063;0.001063;0.001063;0.001063;0.001063;0.001063;0.001063;0.001063;0.001063;0.001063;0.001063;0.002125
 a;0.000283;0.062783;0.000283;0.246041;0.283371;0.000283;0.011312;0.000566;0.005656;0.016120;0.064197;0.000283;0.086256;0.000283;0.001414;0.038744;0.057410;0.000848;0.009898;0.002545;0.000848;0.012161;0.050339;0.011312;0.017534;0.011878;0.004808;0.000848;0.000566;0.000283;0.000283;0.000283;0.000283
 l;0.000976;0.000976;0.001951;0.000976;0.000976;0.273171;0.000976;0.000976;0.010732;0.000976;0.000976;0.120976;0.000976;0.000976;0.000976;0.000976;0.001951;0.175610;0.000976;0.389268;0.000976;0.000976;0.000976;0.000976;0.001951;0.000976;0.000976;0.000976;0.000976;0.000976;0.000976;0.000976;0.000976
 k;0.002755;0.002755;0.005510;0.002755;0.424242;0.044077;0.002755;0.005510;0.002755;0.002755;0.008264;0.035813;0.002755;0.002755;0.002755;0.002755;0.002755;0.071625;0.002755;0.336088;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755
 h;0.000717;0.000717;0.002867;0.001434;0.000717;0.168459;0.000717;0.000717;0.059498;0.000717;0.000717;0.401434;0.000717;0.001434;0.000717;0.000717;0.000717;0.200000;0.000717;0.145520;0.002151;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717
 t;0.000194;0.000194;0.002322;0.000387;0.000194;0.204374;0.009096;0.000194;0.008516;0.000194;0.026901;0.023998;0.000194;0.000194;0.659570;0.000194;0.000194;0.030772;0.000194;0.029030;0.000581;0.000194;0.000194;0.000387;0.000194;0.000194;0.000194;0.000194;0.000194;0.000194;0.000194;0.000194;0.000194
 s;0.000477;0.000477;0.006673;0.005243;0.001907;0.246425;0.009056;0.003337;0.058151;0.081983;0.000477;0.071973;0.012869;0.015729;0.070543;0.176835;0.000477;0.128694;0.000477;0.050524;0.001430;0.000477;0.039085;0.009533;0.000953;0.000477;0.000477;0.000477;0.000477;0.001430;0.000953;0.000477;0.001430
 e;0.001140;0.004561;0.003421;0.001140;0.133409;0.001140;0.001140;0.001140;0.003421;0.042189;0.006842;0.108324;0.033067;0.001140;0.002281;0.013683;0.036488;0.003421;0.039909;0.022805;0.001140;0.001140;0.006842;0.018244;0.005701;0.045610;0.280502;0.168757;0.001140;0.001140;0.006842;0.001140;0.001140
 d;0.000865;0.000865;0.019031;0.000865;0.001730;0.357266;0.000865;0.000865;0.012976;0.000865;0.053633;0.112457;0.004325;0.003460;0.001730;0.000865;0.000865;0.183391;0.000865;0.230969;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865;0.000865
 i;0.000376;0.000376;0.000376;0.152804;0.289801;0.000376;0.000376;0.001129;0.000376;0.000753;0.002258;0.000753;0.006022;0.000376;0.000376;0.258562;0.151298;0.000376;0.020700;0.000753;0.001129;0.010162;0.000753;0.050433;0.003387;0.028980;0.014302;0.000376;0.000376;0.000376;0.000376;0.000753;0.000376
 .;0.017544;0.017544;0.017544;0.192982;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.052632;0.228070;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
 );0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 c;0.000722;0.000722;0.002886;0.001443;0.000722;0.388167;0.000722;0.000722;0.040404;0.000722;0.058442;0.255411;0.067821;0.000722;0.127706;0.009380;0.000722;0.018038;0.001443;0.012987;0.000722;0.001443;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722
 m;0.000760;0.000760;0.082890;0.001521;0.000760;0.195437;0.000760;0.000760;0.074525;0.000760;0.001521;0.282129;0.000760;0.000760;0.000760;0.000760;0.000760;0.206084;0.000760;0.134601;0.000760;0.000760;0.003042;0.000760;0.000760;0.000760;0.000760;0.000760;0.000760;0.000760;0.000760;0.000760;0.000760
 g;0.001025;0.001025;0.002049;0.002049;0.001025;0.312500;0.003074;0.001025;0.055328;0.002049;0.098361;0.268443;0.026639;0.001025;0.007172;0.001025;0.001025;0.148566;0.002049;0.051230;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025;0.001025
 f;0.000793;0.000793;0.000793;0.002379;0.000793;0.314036;0.000793;0.000793;0.093577;0.000793;0.114988;0.147502;0.022205;0.000793;0.000793;0.000793;0.000793;0.079302;0.000793;0.206186;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793;0.000793
 v;0.003472;0.003472;0.003472;0.006944;0.003472;0.065972;0.003472;0.003472;0.006944;0.003472;0.006944;0.142361;0.003472;0.003472;0.003472;0.003472;0.006944;0.270833;0.003472;0.406250;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472;0.003472
 x;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
 z;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
 j;0.003268;0.003268;0.003268;0.006536;0.003268;0.143791;0.003268;0.003268;0.692810;0.003268;0.003268;0.042484;0.003268;0.003268;0.003268;0.003268;0.003268;0.022876;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268
 q;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.762590;0.007194;0.007194;0.014388;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194
 ?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 #;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
n(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nb;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.055556;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ny;0.004630;0.013889;0.004630;0.449074;0.004630;0.050926;0.087963;0.018519;0.004630;0.023148;0.004630;0.004630;0.004630;0.004630;0.004630;0.152778;0.009259;0.004630;0.004630;0.004630;0.018519;0.027778;0.004630;0.032407;0.004630;0.004630;0.004630;0.009259;0.004630;0.004630;0.004630;0.009259;0.009259
n ;0.000449;0.042247;0.012135;0.012135;0.005843;0.060225;0.045393;0.001348;0.012584;0.025169;0.021573;0.139326;0.020225;0.004494;0.044944;0.205393;0.053933;0.031011;0.017978;0.087640;0.002697;0.001798;0.032809;0.036854;0.018876;0.044045;0.004494;0.000449;0.000449;0.007640;0.004944;0.000449;0.000449
nn;0.005208;0.005208;0.093750;0.010417;0.005208;0.046875;0.005208;0.010417;0.005208;0.005208;0.005208;0.218750;0.005208;0.005208;0.005208;0.005208;0.031250;0.291667;0.005208;0.166667;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
no;0.001508;0.001508;0.003017;0.082956;0.025641;0.001508;0.315234;0.025641;0.054299;0.004525;0.055807;0.001508;0.015083;0.001508;0.001508;0.316742;0.013575;0.001508;0.001508;0.015083;0.010558;0.006033;0.007541;0.009050;0.004525;0.001508;0.004525;0.003017;0.001508;0.001508;0.001508;0.001508;0.007541
nw;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.078947;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
n,;0.006711;0.006711;0.006711;0.369128;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.422819;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711
nu;0.009901;0.009901;0.009901;0.019802;0.009901;0.009901;0.009901;0.019802;0.009901;0.009901;0.019802;0.059406;0.009901;0.009901;0.009901;0.297030;0.029703;0.099010;0.009901;0.069307;0.009901;0.009901;0.009901;0.138614;0.009901;0.019802;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
np;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.073171;0.024390;0.048780;0.073171;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
nr;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
na;0.002941;0.029412;0.002941;0.147059;0.091176;0.002941;0.005882;0.005882;0.011765;0.023529;0.047059;0.002941;0.258824;0.002941;0.002941;0.088235;0.035294;0.002941;0.014706;0.008824;0.002941;0.020588;0.017647;0.094118;0.044118;0.002941;0.011765;0.002941;0.002941;0.002941;0.002941;0.002941;0.002941
nl;0.009901;0.009901;0.485149;0.009901;0.009901;0.049505;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.049505;0.009901;0.128713;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
nk;0.004444;0.004444;0.008889;0.497778;0.004444;0.008889;0.008889;0.013333;0.004444;0.004444;0.008889;0.004444;0.004444;0.004444;0.004444;0.004444;0.111111;0.084444;0.004444;0.075556;0.031111;0.053333;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444
nh;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.111111;0.022222;0.022222;0.022222;0.022222;0.022222;0.177778;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
nt;0.000783;0.000783;0.007831;0.432263;0.000783;0.063430;0.001566;0.014096;0.019577;0.000783;0.029757;0.054033;0.031323;0.000783;0.018011;0.000783;0.052467;0.115114;0.000783;0.083790;0.017228;0.043853;0.000783;0.001566;0.000783;0.000783;0.000783;0.000783;0.000783;0.000783;0.000783;0.001566;0.000783
ns;0.001802;0.001802;0.001802;0.432432;0.001802;0.023423;0.021622;0.043243;0.019820;0.027027;0.001802;0.009009;0.003604;0.003604;0.034234;0.093694;0.001802;0.072072;0.001802;0.072072;0.016216;0.064865;0.018018;0.009009;0.001802;0.005405;0.001802;0.001802;0.001802;0.001802;0.001802;0.003604;0.003604
ne;0.001151;0.001151;0.018412;0.334868;0.004603;0.002301;0.056387;0.020713;0.003452;0.003452;0.096663;0.013809;0.016110;0.001151;0.005754;0.027618;0.079402;0.033372;0.085155;0.008055;0.019563;0.042578;0.013809;0.004603;0.003452;0.002301;0.049482;0.035673;0.001151;0.001151;0.002301;0.006904;0.003452
