smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
(j;0.012821;0.012821;0.012821;0.012821;0.012821;0.179487;0.012821;0.012821;0.282051;0.012821;0.012821;0.128205;0.012821;0.012821;0.012821;0.012821;0.012821;0.038462;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
(q;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.304348;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
(?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bb;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.055556;0.018519;0.018519;0.018519;0.018519;0.055556;0.018519;0.314815;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
by;0.005181;0.005181;0.005181;0.704663;0.005181;0.005181;0.005181;0.041451;0.005181;0.010363;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.067358;0.005181;0.005181;0.005181;0.025907;0.005181;0.010363;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181
b ;0.014706;0.029412;0.014706;0.014706;0.014706;0.029412;0.058824;0.014706;0.044118;0.044118;0.014706;0.088235;0.044118;0.014706;0.073529;0.117647;0.044118;0.014706;0.014706;0.044118;0.014706;0.014706;0.014706;0.029412;0.029412;0.029412;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
bn;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bo;0.002288;0.004577;0.020595;0.011442;0.027460;0.102975;0.006865;0.002288;0.494279;0.002288;0.027460;0.018307;0.009153;0.002288;0.004577;0.057208;0.045767;0.002288;0.041190;0.016018;0.002288;0.004577;0.002288;0.057208;0.004577;0.002288;0.006865;0.006865;0.002288;0.002288;0.002288;0.004577;0.002288
