smoothed;3
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
();0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(i;0.000172;0.000344;0.251936;0.022888;0.168301;0.000172;0.000172;0.012390;0.000172;0.001377;0.000172;0.002065;0.013251;0.142660;0.000172;0.087248;0.001377;0.000172;0.235416;0.000172;0.000688;0.000344;0.000344;0.000172;0.045087;0.000172;0.000344;0.011358;0.000172;0.000172;0.000172;0.000172;0.000172
(h;0.000287;0.340987;0.000287;0.000287;0.000287;0.000287;0.347302;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000574;0.122560;0.001148;0.000287;0.035878;0.000287;0.000287;0.000287;0.139782;0.000287;0.004592;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287
(y;0.000358;0.003933;0.000358;0.000358;0.001073;0.000358;0.201287;0.000715;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.782624;0.000358;0.000358;0.000715;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358;0.000358
(f;0.000433;0.175910;0.000433;0.002166;0.001300;0.000433;0.066724;0.186742;0.001300;0.000433;0.000433;0.000433;0.029896;0.000433;0.298094;0.000433;0.000433;0.071057;0.000433;0.000433;0.000433;0.156846;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433
(x;0.025641;0.051282;0.025641;0.025641;0.102564;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
(q;0.005495;0.027473;0.005495;0.005495;0.010989;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.796703;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
(v;0.001912;0.072658;0.001912;0.001912;0.001912;0.001912;0.246654;0.001912;0.001912;0.001912;0.001912;0.001912;0.017208;0.001912;0.216061;0.001912;0.001912;0.007648;0.001912;0.001912;0.001912;0.388145;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912
(z;0.021739;0.043478;0.021739;0.021739;0.043478;0.021739;0.086957;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.130435;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
(.;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(,;0.016129;0.016129;0.016129;0.016129;0.483871;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
(ö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
aa;0.018868;0.018868;0.075472;0.018868;0.075472;0.018868;0.018868;0.132075;0.037736;0.018868;0.018868;0.018868;0.018868;0.075472;0.018868;0.075472;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
an;0.000026;0.007051;0.011099;0.518555;0.158288;0.000731;0.008122;0.000026;0.000104;0.023791;0.010211;0.018098;0.000235;0.036771;0.008697;0.000052;0.000052;0.001541;0.102087;0.000026;0.030660;0.013110;0.000157;0.050012;0.000078;0.000078;0.000026;0.000131;0.000078;0.000026;0.000026;0.000026;0.000026
ad;0.000195;0.019871;0.002727;0.059614;0.409702;0.000390;0.147477;0.001364;0.001753;0.000584;0.000195;0.000974;0.012468;0.022404;0.010520;0.050847;0.003312;0.010131;0.000390;0.001169;0.062537;0.072472;0.001948;0.082603;0.000195;0.000195;0.000390;0.022599;0.000195;0.000195;0.000195;0.000195;0.000195
a ;0.000064;0.033185;0.022378;0.055054;0.017737;0.055690;0.004323;0.042530;0.077050;0.062746;0.007629;0.072409;0.100191;0.082708;0.021233;0.043929;0.060076;0.004387;0.069167;0.007502;0.004450;0.029053;0.047616;0.017419;0.039034;0.000064;0.003433;0.017419;0.001081;0.000254;0.000064;0.000064;0.000064
aw;0.000906;0.315217;0.018116;0.002717;0.321558;0.000906;0.056159;0.001812;0.008152;0.000906;0.074275;0.002717;0.007246;0.071558;0.000906;0.010870;0.000906;0.000906;0.000906;0.000906;0.060688;0.008152;0.001812;0.019022;0.005435;0.000906;0.000906;0.000906;0.000906;0.000906;0.000906;0.000906;0.000906
ae;0.003067;0.033742;0.006135;0.107362;0.006135;0.006135;0.006135;0.003067;0.003067;0.003067;0.003067;0.003067;0.730061;0.003067;0.003067;0.003067;0.012270;0.003067;0.006135;0.003067;0.003067;0.015337;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
ar;0.000062;0.028210;0.011532;0.060946;0.117490;0.000062;0.325749;0.024490;0.004154;0.013578;0.016926;0.045508;0.018352;0.054002;0.024986;0.016430;0.001736;0.000062;0.118978;0.000062;0.022444;0.040362;0.000434;0.048794;0.000558;0.000930;0.000310;0.002542;0.000062;0.000062;0.000062;0.000062;0.000062
ab;0.000189;0.014728;0.000189;0.003210;0.006042;0.000189;0.023225;0.003021;0.008686;0.001322;0.000189;0.000189;0.261707;0.034177;0.577039;0.000189;0.000189;0.006420;0.000189;0.000189;0.001133;0.044940;0.000566;0.010385;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189
ac;0.000135;0.010950;0.001217;0.000135;0.013384;0.000135;0.124780;0.022442;0.000135;0.065162;0.259159;0.000135;0.000811;0.002569;0.005272;0.000135;0.000135;0.001893;0.357037;0.000135;0.001757;0.029471;0.062187;0.038124;0.000270;0.000135;0.001487;0.000135;0.000135;0.000135;0.000135;0.000135;0.000135
ak;0.000298;0.006550;0.002382;0.005954;0.051801;0.000595;0.697231;0.001191;0.000298;0.000298;0.000893;0.000298;0.000893;0.039893;0.001786;0.006847;0.000298;0.000298;0.000595;0.000298;0.009229;0.165525;0.000893;0.001191;0.002084;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298
ag;0.000264;0.380237;0.009750;0.000791;0.026614;0.000264;0.265876;0.148880;0.000264;0.000264;0.000264;0.027141;0.000264;0.006588;0.051383;0.002108;0.000264;0.013175;0.000264;0.000264;0.005270;0.055336;0.001845;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264
al;0.000053;0.009889;0.000053;0.025038;0.172426;0.020146;0.026984;0.019357;0.000473;0.002472;0.069223;0.002104;0.419757;0.049813;0.011257;0.019199;0.001210;0.004997;0.028562;0.000053;0.038557;0.062964;0.000053;0.004208;0.009416;0.000053;0.000999;0.000421;0.000053;0.000053;0.000053;0.000053;0.000053
as;0.000074;0.002058;0.020288;0.000074;0.510438;0.000074;0.062482;0.000074;0.000221;0.005734;0.026830;0.000074;0.000368;0.091444;0.035578;0.000588;0.004190;0.004925;0.075493;0.000074;0.078359;0.047927;0.027492;0.004484;0.000074;0.000074;0.000074;0.000074;0.000074;0.000074;0.000074;0.000074;0.000074
ao;0.015625;0.015625;0.015625;0.015625;0.046875;0.015625;0.015625;0.234375;0.015625;0.015625;0.078125;0.015625;0.031250;0.093750;0.015625;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.046875;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
am;0.000191;0.111365;0.026888;0.000191;0.125667;0.000191;0.434783;0.000381;0.008772;0.000191;0.000191;0.000191;0.000572;0.014683;0.046339;0.011060;0.128909;0.000953;0.000191;0.000191;0.021930;0.061785;0.000191;0.002288;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000381
ap;0.000387;0.030948;0.000387;0.002321;0.044874;0.000387;0.062669;0.006963;0.000387;0.000387;0.000774;0.000387;0.002708;0.028240;0.101741;0.000387;0.587621;0.000774;0.017795;0.000387;0.010058;0.084333;0.010832;0.000387;0.000774;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
au;0.000234;0.000234;0.014517;0.065090;0.002341;0.000234;0.000234;0.013346;0.000234;0.008429;0.000468;0.045891;0.043550;0.762117;0.000234;0.000937;0.000234;0.000234;0.035823;0.000234;0.000937;0.000702;0.000234;0.000234;0.000937;0.000702;0.000234;0.000234;0.000234;0.000234;0.000234;0.000234;0.000234
at;0.000028;0.002225;0.000197;0.000338;0.475170;0.000028;0.121123;0.002056;0.000141;0.009098;0.000056;0.000056;0.000958;0.147151;0.011070;0.000451;0.000028;0.005690;0.020394;0.000028;0.077575;0.108504;0.013521;0.000254;0.003408;0.000028;0.000028;0.000056;0.000225;0.000028;0.000028;0.000028;0.000028
aj;0.005263;0.021053;0.005263;0.005263;0.015789;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.752632;0.005263;0.005263;0.015789;0.005263;0.010526;0.005263;0.042105;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263
a);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ai;0.000184;0.000184;0.434526;0.260605;0.000738;0.000184;0.000184;0.085208;0.000553;0.000184;0.000184;0.054224;0.063445;0.043158;0.000369;0.016046;0.000184;0.000184;0.030247;0.000184;0.000369;0.002582;0.000184;0.000184;0.000184;0.000184;0.000184;0.004426;0.000184;0.000184;0.000184;0.000184;0.000184
ah;0.000387;0.014336;0.000775;0.000775;0.819062;0.000775;0.024022;0.001550;0.000387;0.000387;0.000387;0.000387;0.000387;0.001937;0.005812;0.001162;0.000387;0.009686;0.000387;0.000387;0.108098;0.000775;0.003100;0.001162;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
ay;0.000115;0.002305;0.000922;0.000692;0.588242;0.000576;0.018674;0.000115;0.054179;0.001729;0.000115;0.000115;0.000692;0.121268;0.002421;0.001614;0.000231;0.000231;0.000807;0.000115;0.090720;0.112622;0.000115;0.000115;0.000231;0.000115;0.000115;0.000115;0.000231;0.000115;0.000115;0.000115;0.000115
af;0.001024;0.003071;0.001024;0.001024;0.004094;0.001024;0.081883;0.050154;0.001024;0.001024;0.001024;0.049130;0.002047;0.001024;0.005118;0.001024;0.001024;0.001024;0.490276;0.001024;0.002047;0.031730;0.001024;0.001024;0.257932;0.001024;0.001024;0.001024;0.001024;0.001024;0.001024;0.001024;0.001024
ax;0.001385;0.002770;0.001385;0.001385;0.508310;0.002770;0.281163;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385;0.024931;0.001385;0.001385;0.001385;0.105263;0.034626;0.001385;0.001385;0.005540;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385;0.001385
aq;0.006211;0.006211;0.006211;0.006211;0.658385;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.018634;0.006211;0.006211;0.093168;0.049689;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
av;0.000187;0.011042;0.000187;0.000187;0.000187;0.000187;0.848587;0.000187;0.000187;0.000187;0.000187;0.000187;0.000561;0.000936;0.062325;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.065881;0.000187;0.005428;0.000187;0.000187;0.000187;0.000561;0.000187;0.000187;0.000187;0.000187;0.000187
az;0.001642;0.029557;0.001642;0.003284;0.003284;0.001642;0.067323;0.001642;0.001642;0.001642;0.001642;0.001642;0.001642;0.001642;0.070608;0.001642;0.001642;0.001642;0.001642;0.001642;0.001642;0.412151;0.001642;0.354680;0.001642;0.001642;0.001642;0.001642;0.008210;0.001642;0.001642;0.011494;0.001642
a.;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
a,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
aö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
n(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
na;0.000155;0.000155;0.026772;0.006809;0.359177;0.001548;0.000155;0.025843;0.021975;0.007892;0.002167;0.006654;0.209687;0.004952;0.000155;0.058186;0.003714;0.007273;0.149335;0.000619;0.056175;0.019653;0.005107;0.000310;0.011452;0.000619;0.000155;0.004643;0.008047;0.000155;0.000155;0.000155;0.000155
nn;0.000258;0.642912;0.000258;0.000258;0.042086;0.000258;0.092177;0.000258;0.000258;0.000258;0.000258;0.000258;0.000258;0.005939;0.057578;0.000258;0.000516;0.001291;0.000258;0.000258;0.010070;0.102505;0.000258;0.038988;0.000258;0.000258;0.000258;0.000258;0.000258;0.000258;0.000258;0.000258;0.000258
nd;0.000039;0.019743;0.000078;0.000117;0.709034;0.000662;0.060086;0.013824;0.000506;0.000312;0.000117;0.000117;0.003037;0.021145;0.011721;0.004517;0.000350;0.004245;0.000350;0.000039;0.106893;0.037072;0.000039;0.004361;0.001207;0.000039;0.000039;0.000039;0.000117;0.000039;0.000039;0.000039;0.000039
n ;0.000029;0.113321;0.012833;0.024493;0.007174;0.057990;0.019120;0.016577;0.032925;0.022178;0.004687;0.014405;0.022921;0.049701;0.056846;0.031095;0.032124;0.006259;0.233273;0.005545;0.001829;0.110978;0.043185;0.046586;0.028923;0.000257;0.000429;0.003744;0.000057;0.000143;0.000314;0.000029;0.000029
nw;0.008475;0.254237;0.008475;0.008475;0.008475;0.008475;0.033898;0.008475;0.008475;0.008475;0.008475;0.008475;0.016949;0.008475;0.050847;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.152542;0.262712;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475
ne;0.000090;0.008415;0.011582;0.081343;0.290445;0.084238;0.055917;0.042074;0.000543;0.015563;0.000633;0.008415;0.024339;0.107039;0.012848;0.007962;0.001176;0.005519;0.033478;0.000090;0.044517;0.003529;0.000090;0.076366;0.007962;0.022439;0.001448;0.049493;0.002081;0.000090;0.000090;0.000090;0.000090
nr;0.009259;0.231481;0.009259;0.009259;0.009259;0.009259;0.314815;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.037037;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.111111;0.009259;0.046296;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259
nb;0.004651;0.069767;0.004651;0.004651;0.004651;0.004651;0.269767;0.004651;0.004651;0.469767;0.004651;0.004651;0.004651;0.009302;0.032558;0.004651;0.004651;0.013953;0.004651;0.004651;0.004651;0.013953;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651
nc;0.000283;0.012450;0.000283;0.000283;0.038766;0.000283;0.554612;0.042728;0.000283;0.000283;0.001132;0.000283;0.052915;0.001132;0.056310;0.000283;0.000283;0.004810;0.043577;0.000283;0.004810;0.076118;0.073005;0.032258;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283
nk;0.000297;0.002076;0.000890;0.000297;0.718861;0.000297;0.028173;0.012159;0.000297;0.000297;0.000297;0.000297;0.010380;0.061684;0.001186;0.000297;0.000297;0.000593;0.000297;0.000297;0.099348;0.051008;0.000297;0.004448;0.003262;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297
ng;0.000046;0.001805;0.000139;0.000231;0.753887;0.000139;0.037988;0.009300;0.000093;0.000879;0.000046;0.000139;0.015501;0.043633;0.000602;0.000185;0.000093;0.003424;0.005969;0.000046;0.117388;0.006015;0.001481;0.000185;0.000370;0.000046;0.000046;0.000093;0.000046;0.000046;0.000046;0.000046;0.000046
nl;0.001206;0.015682;0.001206;0.001206;0.004825;0.001206;0.048251;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206;0.009650;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206;0.091677;0.001206;0.797346;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206;0.001206
ns;0.000142;0.016522;0.000142;0.000142;0.443527;0.027774;0.099274;0.000142;0.000142;0.008831;0.006552;0.000855;0.001282;0.000285;0.017804;0.000285;0.024356;0.026634;0.181028;0.000142;0.071357;0.059963;0.007691;0.001852;0.002136;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142
no;0.000064;0.001782;0.015657;0.000509;0.111125;0.451438;0.000127;0.029977;0.013493;0.008783;0.000064;0.000191;0.002037;0.003246;0.000700;0.017503;0.002164;0.020303;0.295634;0.000064;0.016421;0.002100;0.000191;0.003119;0.001018;0.000382;0.000064;0.001464;0.000064;0.000127;0.000064;0.000064;0.000064
nm;0.001658;0.033167;0.001658;0.001658;0.001658;0.001658;0.892206;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.021559;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.004975;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658
