smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
(h;0.000217;0.126654;0.001735;0.000217;0.365430;0.000217;0.000217;0.130340;0.043158;0.000217;0.000434;0.320104;0.000217;0.000217;0.000217;0.000434;0.000217;0.000217;0.000217;0.005639;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217
(e;0.000349;0.023702;0.049495;0.000349;0.044615;0.085744;0.001046;0.000349;0.013245;0.009411;0.000697;0.002091;0.052980;0.033461;0.000349;0.000349;0.007668;0.020216;0.137679;0.002788;0.018822;0.013594;0.005577;0.014291;0.241548;0.001743;0.212966;0.000349;0.001743;0.000349;0.000349;0.000349;0.000349;0.000349;0.000349;0.000349;0.000349
(s;0.000121;0.050997;0.008459;0.005559;0.105136;0.009547;0.000121;0.245921;0.083505;0.163021;0.097160;0.121934;0.000242;0.030453;0.000604;0.004350;0.049305;0.000121;0.002659;0.012568;0.000121;0.000121;0.000121;0.001571;0.000121;0.000121;0.000121;0.004834;0.000121;0.000121;0.000121;0.000121;0.000121;0.000121;0.000121;0.000121;0.000121
(c;0.000158;0.019800;0.000317;0.000158;0.206716;0.055758;0.000317;0.498812;0.025503;0.000158;0.082370;0.039601;0.000475;0.000158;0.000158;0.000158;0.000158;0.000158;0.000950;0.003485;0.000317;0.061460;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000634;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158
();0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(w;0.000122;0.125198;0.000122;0.000365;0.194671;0.000122;0.000122;0.117046;0.000122;0.000122;0.305147;0.239080;0.000122;0.000122;0.000122;0.000365;0.000122;0.000122;0.000122;0.000365;0.000122;0.014357;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122
(p;0.000177;0.026535;0.000177;0.000177;0.130196;0.052008;0.000531;0.190341;0.060853;0.001238;0.018397;0.217053;0.004069;0.000177;0.000177;0.000177;0.000177;0.000177;0.000531;0.001061;0.000177;0.292411;0.000177;0.000177;0.000177;0.000531;0.000177;0.000177;0.000177;0.000177;0.000354;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177
(d;0.000220;0.239956;0.000659;0.000439;0.065203;0.000439;0.000220;0.341164;0.017783;0.000878;0.000220;0.284962;0.001976;0.001537;0.000220;0.001098;0.000439;0.000220;0.000878;0.005049;0.000220;0.032711;0.000220;0.000220;0.000220;0.000439;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220
(n;0.000387;0.042215;0.000387;0.000387;0.105732;0.000387;0.001162;0.517816;0.041053;0.000387;0.000387;0.276143;0.001549;0.000387;0.000387;0.000387;0.000775;0.000775;0.000387;0.000775;0.000387;0.001936;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
(y;0.000295;0.000590;0.000295;0.000885;0.005015;0.000295;0.000295;0.767847;0.001180;0.000295;0.000295;0.215044;0.000295;0.000590;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295;0.000295
(f;0.000293;0.149722;0.000293;0.000879;0.157926;0.033695;0.003516;0.322590;0.064752;0.000293;0.000293;0.075007;0.000293;0.000586;0.000293;0.000293;0.000293;0.001465;0.000293;0.000586;0.000293;0.181951;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293
(r;0.000254;0.219680;0.000254;0.000254;0.079329;0.000254;0.000254;0.052886;0.051869;0.000509;0.004577;0.579964;0.000509;0.000254;0.000254;0.000509;0.000254;0.000509;0.000254;0.002288;0.000254;0.000254;0.000254;0.000254;0.000254;0.000763;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000509;0.000254;0.000254
(g;0.000341;0.054608;0.000683;0.000683;0.043345;0.021160;0.000341;0.439249;0.113652;0.000341;0.002048;0.192150;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.001024;0.000341;0.122184;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000341;0.000683;0.000341;0.000341;0.000341;0.000341
(q;0.002611;0.002611;0.002611;0.007833;0.013055;0.002611;0.002611;0.002611;0.887728;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.005222;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611;0.002611
(x;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.166667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
(j;0.000808;0.020194;0.000808;0.001616;0.083199;0.000808;0.000808;0.193861;0.605008;0.000808;0.000808;0.067851;0.000808;0.001616;0.000808;0.000808;0.001616;0.000808;0.000808;0.000808;0.001616;0.001616;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808
(v;0.001183;0.234320;0.001183;0.001183;0.110059;0.005917;0.001183;0.207101;0.004734;0.001183;0.002367;0.396450;0.002367;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.003550;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183;0.001183
(k;0.000591;0.167357;0.000591;0.001183;0.043170;0.003548;0.000591;0.018924;0.009462;0.000591;0.006505;0.071555;0.000591;0.000591;0.000591;0.001183;0.000591;0.000591;0.647546;0.004140;0.000591;0.007688;0.000591;0.000591;0.000591;0.000591;0.000591;0.002957;0.001183;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591
(z;0.012048;0.204819;0.012048;0.024096;0.048193;0.012048;0.012048;0.072289;0.048193;0.012048;0.036145;0.204819;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
(,;0.012346;0.012346;0.012346;0.543210;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.024691;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
(.;0.022727;0.022727;0.022727;0.181818;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
(í;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(ö;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(á;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(é;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(ä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
i(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ii;0.004292;0.278970;0.051502;0.424893;0.012876;0.004292;0.004292;0.004292;0.004292;0.017167;0.004292;0.004292;0.008584;0.008584;0.060086;0.004292;0.004292;0.004292;0.012876;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.008584;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292
im;0.000104;0.055291;0.045558;0.341271;0.084386;0.000207;0.006005;0.008180;0.010975;0.000104;0.000311;0.228929;0.023711;0.000104;0.059433;0.000104;0.132326;0.000104;0.000207;0.000104;0.000932;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104
i ;0.000060;0.033028;0.160643;0.000480;0.045495;0.019900;0.015105;0.004436;0.006294;0.162201;0.052628;0.004376;0.044237;0.038602;0.000120;0.123779;0.008871;0.121261;0.006534;0.007073;0.020380;0.014746;0.054187;0.000599;0.000120;0.023557;0.001439;0.029191;0.000180;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060
ia;0.000187;0.000187;0.012327;0.178185;0.000187;0.385506;0.019051;0.000187;0.001307;0.096190;0.000747;0.002055;0.014008;0.001494;0.035301;0.000187;0.000934;0.002802;0.210123;0.000187;0.000374;0.028950;0.006724;0.000187;0.000187;0.000187;0.000187;0.000187;0.000374;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187
il;0.000112;0.123700;0.008500;0.077732;0.025501;0.484398;0.002796;0.012638;0.006599;0.016888;0.001007;0.089587;0.018342;0.000112;0.014652;0.002349;0.000112;0.053126;0.000224;0.055587;0.000224;0.001342;0.000336;0.000224;0.000112;0.000112;0.002013;0.000559;0.000112;0.000112;0.000224;0.000112;0.000112;0.000112;0.000112;0.000112;0.000112
ib;0.000520;0.102391;0.000520;0.004678;0.021830;0.433472;0.010395;0.002079;0.112786;0.000520;0.000520;0.277547;0.003119;0.000520;0.001040;0.000520;0.000520;0.000520;0.000520;0.003119;0.000520;0.014553;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520
io;0.000075;0.004130;0.000676;0.022152;0.000150;0.018247;0.000601;0.000075;0.082451;0.007359;0.000075;0.000826;0.003604;0.000976;0.004355;0.000676;0.001652;0.009762;0.820305;0.000075;0.000150;0.018998;0.001352;0.000075;0.000075;0.000075;0.000150;0.000075;0.000075;0.000075;0.000225;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075
iu;0.005208;0.005208;0.473958;0.020833;0.005208;0.161458;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.166667;0.005208;0.005208;0.005208;0.005208;0.005208;0.010417;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
it;0.000028;0.095543;0.001496;0.282509;0.026645;0.004290;0.000480;0.006520;0.014451;0.040137;0.148127;0.069660;0.175873;0.005504;0.045810;0.000028;0.000056;0.000423;0.001129;0.077733;0.000226;0.001129;0.000085;0.000028;0.000028;0.000028;0.000028;0.000931;0.000819;0.000028;0.000028;0.000028;0.000028;0.000028;0.000056;0.000028;0.000028
ih;0.015873;0.095238;0.015873;0.015873;0.126984;0.047619;0.015873;0.174603;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
ie;0.000148;0.000148;0.000591;0.082483;0.000148;0.024095;0.001035;0.000148;0.001922;0.052919;0.000887;0.000148;0.325795;0.044346;0.012712;0.060754;0.000148;0.081153;0.139690;0.000148;0.035625;0.043459;0.002217;0.000148;0.000148;0.000148;0.087361;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148
is;0.000028;0.024084;0.026754;0.608464;0.006362;0.006845;0.000341;0.008236;0.000426;0.106504;0.019114;0.024056;0.024169;0.015223;0.102158;0.000028;0.004658;0.000568;0.008520;0.000682;0.000795;0.006078;0.003124;0.000170;0.000028;0.000057;0.000028;0.002244;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028
ic;0.000059;0.061215;0.000118;0.125670;0.295705;0.008543;0.000177;0.013787;0.029223;0.043363;0.144995;0.097861;0.042361;0.001178;0.063041;0.000059;0.000354;0.000059;0.000118;0.023213;0.000059;0.002475;0.000059;0.000059;0.000059;0.000059;0.000059;0.045543;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059
i);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
iw;0.016667;0.083333;0.016667;0.016667;0.316667;0.016667;0.016667;0.033333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
ip;0.000579;0.007532;0.008111;0.357474;0.093859;0.133835;0.000579;0.005794;0.023754;0.043453;0.012167;0.042874;0.096176;0.008111;0.057358;0.001159;0.093859;0.000579;0.000579;0.000579;0.000579;0.002317;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579;0.000579
id;0.000104;0.031503;0.000104;0.332435;0.053264;0.002591;0.000104;0.001244;0.013782;0.004870;0.000104;0.366943;0.033264;0.001036;0.047047;0.001865;0.000207;0.024145;0.077513;0.000829;0.000518;0.000104;0.004974;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104
in;0.000015;0.021994;0.000258;0.210628;0.018117;0.004893;0.000242;0.002302;0.006650;0.065771;0.001000;0.034203;0.027781;0.021888;0.033416;0.000106;0.000151;0.041308;0.006301;0.000848;0.007559;0.000030;0.414393;0.000242;0.000015;0.000560;0.011164;0.067967;0.000061;0.000015;0.000015;0.000015;0.000015;0.000030;0.000015;0.000015;0.000015
iy;0.023256;0.046512;0.023256;0.046512;0.093023;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
if;0.000168;0.113258;0.000168;0.483448;0.003697;0.002016;0.000168;0.021677;0.005041;0.043186;0.000168;0.071249;0.000168;0.000168;0.069064;0.000168;0.000168;0.000168;0.000168;0.035792;0.147034;0.000336;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168
ir;0.000161;0.028341;0.030918;0.282609;0.056361;0.030113;0.001127;0.036876;0.000644;0.031723;0.000644;0.168116;0.141224;0.025121;0.062158;0.000805;0.004670;0.050564;0.002254;0.003060;0.000322;0.016103;0.017230;0.000161;0.000161;0.000161;0.001449;0.005475;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161
ig;0.000106;0.021590;0.001164;0.046777;0.048153;0.000741;0.001058;0.008678;0.020320;0.000212;0.671500;0.016298;0.001799;0.000106;0.009101;0.000106;0.000106;0.000106;0.096201;0.000106;0.000317;0.030585;0.023389;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106
iq;0.003906;0.003906;0.003906;0.164062;0.003906;0.003906;0.003906;0.003906;0.667969;0.003906;0.003906;0.003906;0.015625;0.003906;0.015625;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.011719;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906
ix;0.002066;0.041322;0.006198;0.429752;0.008264;0.002066;0.002066;0.165289;0.002066;0.103306;0.002066;0.101240;0.002066;0.002066;0.074380;0.004132;0.004132;0.002066;0.002066;0.006198;0.004132;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066
ij;0.019231;0.057692;0.019231;0.019231;0.057692;0.019231;0.019231;0.057692;0.153846;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
iv;0.000162;0.146397;0.000162;0.001781;0.060729;0.000324;0.000162;0.009555;0.000324;0.000162;0.000162;0.774251;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.001619;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000486;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162
ik;0.000105;0.005241;0.000105;0.001363;0.001887;0.000105;0.000105;0.000314;0.000105;0.000210;0.000524;0.985431;0.000314;0.000105;0.000210;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000314;0.000105;0.000105;0.000105;0.000105;0.000105;0.001467;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105
iz;0.000622;0.113114;0.001243;0.007458;0.197017;0.001243;0.000622;0.047856;0.000622;0.000622;0.000622;0.603480;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.010566;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622;0.000622
i,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
i.;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ií;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
iö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
iá;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ié;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
iä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
