smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
(u;0.000663;0.170424;0.007958;0.000663;0.204907;0.000663;0.000663;0.551724;0.006631;0.001326;0.000663;0.007958;0.000663;0.000663;0.003979;0.001989;0.000663;0.000663;0.000663;0.001326;0.001326;0.000663;0.000663;0.000663;0.000663;0.011273;0.005305;0.009284;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663
(m;0.000199;0.000199;0.002586;0.217227;0.003382;0.124726;0.000199;0.000199;0.000398;0.000199;0.079172;0.001790;0.289636;0.044957;0.000199;0.000199;0.000199;0.211259;0.000199;0.000398;0.017903;0.000199;0.000199;0.001591;0.000199;0.000597;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199
(a;0.000078;0.035506;0.077539;0.000155;0.046383;0.003574;0.027970;0.299821;0.041955;0.087173;0.009479;0.043742;0.000311;0.000078;0.001088;0.040246;0.008779;0.000078;0.000078;0.081812;0.072644;0.000233;0.000388;0.004817;0.015461;0.098982;0.000622;0.000388;0.000078;0.000078;0.000078;0.000078;0.000078;0.000078;0.000078;0.000078
(y;0.000309;0.000309;0.000309;0.142239;0.000309;0.001237;0.000309;0.000309;0.000309;0.000618;0.000618;0.000309;0.003711;0.000309;0.000309;0.000309;0.000309;0.842301;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309
(h;0.000175;0.000175;0.000175;0.311240;0.000175;0.150973;0.000526;0.000175;0.000351;0.000175;0.040505;0.000351;0.340172;0.005962;0.000175;0.000175;0.000351;0.144661;0.000175;0.000175;0.000175;0.000175;0.000175;0.000526;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175;0.000175
(g;0.000301;0.000903;0.140837;0.190491;0.000301;0.061390;0.001204;0.000602;0.000301;0.000602;0.110743;0.000602;0.040927;0.000602;0.000903;0.000301;0.000602;0.425820;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301;0.017454;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301;0.000301
(w;0.000119;0.000119;0.018991;0.208309;0.000119;0.156677;0.000119;0.000119;0.000119;0.000475;0.000119;0.000119;0.204629;0.000237;0.297448;0.000119;0.000593;0.109436;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119;0.000119
(o;0.000162;0.035048;0.075775;0.000487;0.001136;0.000487;0.002109;0.177511;0.034561;0.000162;0.102385;0.003570;0.000325;0.000162;0.012007;0.000162;0.016388;0.000325;0.000162;0.063605;0.008924;0.000162;0.000325;0.054519;0.329547;0.009411;0.069122;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162
();0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(b;0.000155;0.000311;0.081988;0.423758;0.000621;0.054969;0.000311;0.000155;0.000311;0.000621;0.164596;0.000155;0.122981;0.034006;0.000155;0.000155;0.000155;0.069410;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.042547;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155
(c;0.000137;0.000412;0.053505;0.025929;0.000137;0.019756;0.000137;0.004116;0.000137;0.000549;0.023323;0.000137;0.195363;0.003293;0.113184;0.000137;0.000549;0.483331;0.000137;0.000686;0.000686;0.000137;0.000137;0.000137;0.000137;0.072438;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137
(z;0.007519;0.007519;0.007519;0.248120;0.007519;0.345865;0.007519;0.007519;0.007519;0.022556;0.052632;0.007519;0.037594;0.007519;0.007519;0.007519;0.007519;0.067669;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
(x;0.024390;0.024390;0.024390;0.097561;0.024390;0.048780;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
(v;0.001193;0.004773;0.001193;0.279236;0.002387;0.389021;0.001193;0.001193;0.001193;0.005967;0.007160;0.003580;0.126492;0.001193;0.002387;0.001193;0.001193;0.130072;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.019093;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193;0.001193
(f;0.000218;0.000218;0.182550;0.066797;0.000218;0.183203;0.000653;0.000218;0.000435;0.000870;0.048738;0.000653;0.156223;0.000218;0.000218;0.000218;0.000218;0.304830;0.000218;0.016536;0.000435;0.000218;0.000218;0.000218;0.000435;0.032855;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218
(l;0.000292;0.000292;0.000292;0.271137;0.000292;0.355685;0.000292;0.000292;0.000292;0.000292;0.013411;0.000292;0.132945;0.006122;0.000292;0.000875;0.000292;0.211370;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292
(k;0.000819;0.000819;0.013923;0.103194;0.000819;0.230958;0.000819;0.431613;0.000819;0.008190;0.009009;0.000819;0.108927;0.004914;0.001638;0.000819;0.001638;0.058968;0.000819;0.001638;0.000819;0.000819;0.000819;0.000819;0.000819;0.005733;0.001638;0.000819;0.000819;0.000819;0.000819;0.000819;0.000819;0.000819;0.000819;0.000819
(.;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.280000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
(j;0.000728;0.000728;0.005822;0.090975;0.000728;0.021106;0.000728;0.000728;0.000728;0.000728;0.569869;0.000728;0.072052;0.000728;0.000728;0.000728;0.000728;0.214702;0.000728;0.000728;0.001456;0.000728;0.000728;0.001456;0.002911;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728
(q;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.914607;0.002247;0.004494;0.006742;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247;0.002247
(,;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.555556;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.024691;0.012346;0.012346;0.012346;0.012346;0.012346
(é;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(á;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(ä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(í;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
p(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pp;0.000199;0.000199;0.087381;0.350119;0.003384;0.092158;0.000199;0.000199;0.000199;0.014928;0.000597;0.000199;0.095740;0.034037;0.000199;0.000199;0.000199;0.222134;0.004180;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.090366;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199
pr;0.000081;0.000081;0.000081;0.496661;0.000081;0.097247;0.000081;0.000081;0.000081;0.002769;0.003909;0.000081;0.015475;0.000652;0.000081;0.000081;0.000081;0.380111;0.000489;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000489;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081
pe;0.000072;0.001010;0.220779;0.021934;0.015296;0.000577;0.042496;0.165440;0.022944;0.040909;0.000072;0.000072;0.063636;0.000361;0.000072;0.000505;0.000433;0.288600;0.008225;0.000072;0.093506;0.000144;0.000144;0.000144;0.001587;0.010173;0.000144;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072;0.000072
ps;0.000636;0.001271;0.000636;0.089638;0.001907;0.026065;0.000636;0.000636;0.011443;0.648442;0.004450;0.000636;0.001271;0.029879;0.006993;0.000636;0.003814;0.013986;0.130960;0.000636;0.000636;0.000636;0.000636;0.000636;0.000636;0.000636;0.000636;0.015893;0.000636;0.000636;0.000636;0.000636;0.000636;0.000636;0.000636;0.000636
pi;0.000238;0.005005;0.271449;0.096282;0.043851;0.000238;0.053146;0.222831;0.088656;0.001192;0.000238;0.000953;0.010010;0.000477;0.000238;0.003575;0.000238;0.006673;0.000477;0.000238;0.159676;0.002860;0.004290;0.000477;0.000238;0.022402;0.001668;0.000238;0.000238;0.000477;0.000238;0.000238;0.000238;0.000238;0.000238;0.000238
pd;0.011905;0.023810;0.011905;0.023810;0.011905;0.011905;0.011905;0.011905;0.011905;0.023810;0.023810;0.011905;0.535714;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
pn;0.004762;0.004762;0.004762;0.009524;0.004762;0.014286;0.004762;0.004762;0.004762;0.614286;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.090476;0.123810;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762
pt;0.000710;0.000710;0.000710;0.138396;0.048261;0.334989;0.000710;0.000710;0.000710;0.292406;0.018453;0.000710;0.026260;0.018453;0.014904;0.000710;0.000710;0.028389;0.050390;0.000710;0.001419;0.000710;0.000710;0.000710;0.000710;0.010646;0.000710;0.000710;0.000710;0.000710;0.000710;0.000710;0.000710;0.000710;0.000710;0.000710
p ;0.000113;0.017603;0.047506;0.011735;0.057436;0.131460;0.029903;0.012300;0.147484;0.004852;0.008576;0.020199;0.132701;0.025389;0.053938;0.014218;0.062063;0.062740;0.001016;0.037350;0.045814;0.000451;0.000113;0.002483;0.040059;0.015459;0.004965;0.000113;0.006432;0.004852;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113
pu;0.000262;0.011521;0.111286;0.008641;0.105525;0.000262;0.002618;0.026709;0.261325;0.000262;0.000262;0.003928;0.000262;0.000262;0.000262;0.002357;0.000262;0.000262;0.000262;0.362399;0.000262;0.004975;0.000262;0.000262;0.000262;0.092433;0.000262;0.000262;0.000262;0.000262;0.000262;0.000262;0.000262;0.000262;0.000262;0.000262
pm;0.010204;0.010204;0.010204;0.602041;0.010204;0.010204;0.010204;0.010204;0.010204;0.051020;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
pa;0.000135;0.021150;0.452512;0.000135;0.059679;0.105483;0.009026;0.064933;0.048228;0.006062;0.027886;0.002155;0.000135;0.058197;0.000404;0.041223;0.000674;0.000539;0.001347;0.004985;0.072343;0.000404;0.000269;0.000943;0.000539;0.018456;0.000404;0.000135;0.000404;0.000404;0.000135;0.000135;0.000135;0.000135;0.000135;0.000135
py;0.003322;0.003322;0.016611;0.006645;0.003322;0.026578;0.003322;0.003322;0.003322;0.707641;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.013289;0.112957;0.003322;0.016611;0.003322;0.003322;0.003322;0.003322;0.006645;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322
ph;0.000705;0.000705;0.042283;0.144468;0.011276;0.187456;0.002819;0.000705;0.000705;0.038760;0.000705;0.000705;0.042988;0.168428;0.000705;0.000705;0.000705;0.336857;0.002819;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.004228;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705
pg;0.019231;0.019231;0.326923;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
pw;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.212766;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
po;0.000099;0.029196;0.172803;0.003959;0.196556;0.092340;0.013460;0.117280;0.018013;0.001584;0.010491;0.001979;0.001089;0.000099;0.000099;0.000396;0.042953;0.013064;0.000396;0.000297;0.006433;0.000099;0.000099;0.004454;0.000099;0.259897;0.011876;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099
p);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pb;0.018868;0.018868;0.132075;0.037736;0.056604;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.037736;0.150943;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
pc;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.070175;0.017544;0.017544;0.228070;0.035088;0.017544;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
pz;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
px;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
pv;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
pf;0.014706;0.029412;0.073529;0.029412;0.014706;0.044118;0.014706;0.014706;0.014706;0.014706;0.323529;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.058824;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
pl;0.000110;0.000110;0.000110;0.603653;0.000110;0.039503;0.000110;0.000110;0.000110;0.000110;0.035431;0.000110;0.226452;0.054798;0.000110;0.000110;0.000110;0.036862;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110
pk;0.021277;0.021277;0.021277;0.127660;0.021277;0.127660;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
p.;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.723404;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.035461;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
pj;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
pq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
p,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
pí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
p#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
r(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
rp;0.001656;0.001656;0.241722;0.077815;0.013245;0.023179;0.001656;0.001656;0.039735;0.033113;0.009934;0.001656;0.023179;0.001656;0.039735;0.001656;0.001656;0.408940;0.004967;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.044702;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656
rr;0.000315;0.000315;0.000315;0.224464;0.000631;0.321248;0.000315;0.000315;0.000315;0.011980;0.041299;0.000315;0.071879;0.143758;0.000946;0.000315;0.000315;0.174023;0.001576;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315
