smoothed;3
(;t;h;e; ;r;a;m;i;n;s;b;u;g;w;o;v;);l;y;c;d;f;p;j;k;x;z;#
aj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.125000;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ak;0.022727;0.022727;0.022727;0.295455;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ax;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
az;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
a#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
m(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mt;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
me;0.009346;0.037383;0.009346;0.009346;0.158879;0.121495;0.074766;0.018692;0.009346;0.233645;0.093458;0.009346;0.009346;0.009346;0.009346;0.028037;0.009346;0.018692;0.009346;0.009346;0.018692;0.028037;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346
m ;0.012658;0.202532;0.075949;0.025316;0.012658;0.025316;0.063291;0.012658;0.088608;0.025316;0.037975;0.025316;0.025316;0.025316;0.050633;0.050633;0.012658;0.012658;0.012658;0.025316;0.025316;0.037975;0.012658;0.037975;0.012658;0.012658;0.012658;0.012658;0.012658
mr;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667
ma;0.010638;0.053191;0.010638;0.010638;0.021277;0.053191;0.010638;0.010638;0.031915;0.287234;0.074468;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.042553;0.010638;0.042553;0.074468;0.010638;0.010638;0.042553;0.074468;0.010638;0.010638;0.010638
mm;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mi;0.013514;0.054054;0.013514;0.027027;0.013514;0.027027;0.013514;0.027027;0.013514;0.148649;0.081081;0.013514;0.013514;0.148649;0.013514;0.013514;0.013514;0.013514;0.054054;0.013514;0.121622;0.013514;0.013514;0.013514;0.013514;0.013514;0.040541;0.027027;0.013514
mn;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ms;0.027027;0.027027;0.027027;0.054054;0.216216;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mb;0.026316;0.026316;0.026316;0.105263;0.026316;0.105263;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mu;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256
mg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mw;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mo;0.014925;0.044776;0.014925;0.014925;0.014925;0.149254;0.014925;0.014925;0.014925;0.134328;0.074627;0.014925;0.044776;0.014925;0.014925;0.014925;0.074627;0.014925;0.014925;0.014925;0.134328;0.029851;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
mv;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
m);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ml;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
my;0.029412;0.029412;0.029412;0.029412;0.147059;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
mc;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
md;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mf;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mp;0.016393;0.016393;0.016393;0.081967;0.049180;0.032787;0.065574;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.147541;0.016393;0.049180;0.196721;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
mj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mk;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mx;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mz;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
m#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
i(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
it;0.005650;0.016949;0.141243;0.073446;0.197740;0.005650;0.056497;0.005650;0.163842;0.005650;0.096045;0.005650;0.033898;0.005650;0.005650;0.005650;0.005650;0.039548;0.005650;0.073446;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
ih;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ie;0.017241;0.068966;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.206897;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.068966;0.155172;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
i ;0.017857;0.160714;0.017857;0.017857;0.017857;0.017857;0.053571;0.107143;0.017857;0.017857;0.071429;0.017857;0.017857;0.035714;0.089286;0.035714;0.017857;0.017857;0.017857;0.017857;0.035714;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
ir;0.018868;0.018868;0.018868;0.094340;0.245283;0.018868;0.056604;0.056604;0.018868;0.018868;0.056604;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
ia;0.017241;0.051724;0.017241;0.017241;0.155172;0.034483;0.017241;0.017241;0.017241;0.155172;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.155172;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
im;0.013158;0.013158;0.013158;0.092105;0.157895;0.013158;0.039474;0.013158;0.131579;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.052632;0.013158;0.013158;0.013158;0.013158;0.013158;0.223684;0.013158;0.013158;0.013158;0.013158;0.013158
ii;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
in;0.003115;0.080997;0.003115;0.024922;0.261682;0.003115;0.043614;0.003115;0.018692;0.006231;0.049844;0.003115;0.009346;0.277259;0.003115;0.003115;0.021807;0.049844;0.006231;0.006231;0.024922;0.024922;0.006231;0.003115;0.006231;0.046729;0.003115;0.003115;0.003115
is;0.006098;0.158537;0.024390;0.036585;0.439024;0.006098;0.012195;0.048780;0.024390;0.006098;0.018293;0.006098;0.006098;0.006098;0.006098;0.012195;0.006098;0.079268;0.012195;0.006098;0.024390;0.006098;0.006098;0.012195;0.006098;0.006098;0.006098;0.006098;0.006098
ib;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.113636;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
iu;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ig;0.012658;0.012658;0.341772;0.012658;0.063291;0.113924;0.037975;0.012658;0.025316;0.101266;0.012658;0.012658;0.012658;0.025316;0.012658;0.025316;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
iw;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
io;0.008696;0.017391;0.008696;0.008696;0.017391;0.017391;0.008696;0.008696;0.008696;0.652174;0.008696;0.008696;0.060870;0.008696;0.008696;0.008696;0.008696;0.008696;0.034783;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
iv;0.020000;0.020000;0.020000;0.340000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
i);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
il;0.017857;0.017857;0.017857;0.053571;0.125000;0.017857;0.035714;0.017857;0.142857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.053571;0.178571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
iy;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ic;0.008403;0.042017;0.067227;0.067227;0.117647;0.042017;0.210084;0.008403;0.058824;0.008403;0.033613;0.008403;0.058824;0.008403;0.008403;0.025210;0.008403;0.042017;0.025210;0.050420;0.016807;0.008403;0.008403;0.008403;0.008403;0.025210;0.008403;0.008403;0.008403
id;0.017241;0.017241;0.017241;0.206897;0.224138;0.017241;0.017241;0.017241;0.051724;0.068966;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
if;0.022222;0.022222;0.022222;0.044444;0.155556;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.177778;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ip;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.153846;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641
ij;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ik;0.027778;0.083333;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ix;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
iz;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.055556;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778
i#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
n(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
nt;0.005814;0.005814;0.017442;0.151163;0.325581;0.093023;0.017442;0.005814;0.087209;0.005814;0.087209;0.005814;0.005814;0.005814;0.005814;0.029070;0.005814;0.063953;0.017442;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814;0.005814
nh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ne;0.012821;0.038462;0.012821;0.051282;0.166667;0.064103;0.012821;0.012821;0.025641;0.012821;0.115385;0.012821;0.012821;0.025641;0.051282;0.012821;0.025641;0.038462;0.012821;0.012821;0.038462;0.102564;0.012821;0.012821;0.012821;0.012821;0.012821;0.051282;0.012821
n ;0.003058;0.149847;0.051988;0.042813;0.003058;0.051988;0.110092;0.012232;0.091743;0.009174;0.048930;0.036697;0.039755;0.015291;0.024465;0.070336;0.009174;0.003058;0.033639;0.021407;0.055046;0.018349;0.018349;0.061162;0.006116;0.003058;0.003058;0.003058;0.003058
nr;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
na;0.011905;0.202381;0.011905;0.011905;0.095238;0.071429;0.011905;0.023810;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.023810;0.309524;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
nm;0.027778;0.027778;0.027778;0.194444;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ni;0.013699;0.109589;0.013699;0.013699;0.013699;0.013699;0.027397;0.041096;0.013699;0.191781;0.041096;0.013699;0.013699;0.027397;0.013699;0.136986;0.027397;0.013699;0.013699;0.013699;0.068493;0.013699;0.027397;0.013699;0.013699;0.013699;0.013699;0.054795;0.013699
nn;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ns;0.012048;0.204819;0.012048;0.096386;0.240964;0.012048;0.012048;0.012048;0.060241;0.012048;0.012048;0.012048;0.012048;0.024096;0.012048;0.024096;0.012048;0.036145;0.012048;0.012048;0.012048;0.012048;0.036145;0.012048;0.012048;0.036145;0.012048;0.012048;0.012048
nb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
nu;0.027778;0.055556;0.027778;0.111111;0.027778;0.027778;0.055556;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ng;0.007299;0.007299;0.007299;0.014599;0.598540;0.007299;0.029197;0.007299;0.007299;0.014599;0.043796;0.007299;0.007299;0.007299;0.007299;0.021898;0.007299;0.102190;0.021898;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299
nw;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
no;0.008547;0.179487;0.008547;0.008547;0.025641;0.034188;0.008547;0.042735;0.008547;0.017094;0.008547;0.068376;0.017094;0.008547;0.418803;0.008547;0.008547;0.017094;0.008547;0.008547;0.008547;0.008547;0.008547;0.017094;0.008547;0.008547;0.008547;0.008547;0.008547
nv;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
n);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
nl;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.210526;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ny;0.021277;0.042553;0.021277;0.021277;0.340426;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
nc;0.010989;0.021978;0.065934;0.428571;0.010989;0.010989;0.010989;0.010989;0.131868;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.032967;0.010989;0.010989;0.021978;0.054945;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
nd;0.005618;0.005618;0.005618;0.157303;0.528090;0.011236;0.011236;0.005618;0.044944;0.005618;0.033708;0.005618;0.011236;0.005618;0.005618;0.016854;0.005618;0.067416;0.005618;0.005618;0.005618;0.005618;0.011236;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618
nf;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.162162;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
np;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
nj;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
nk;0.022222;0.022222;0.022222;0.022222;0.288889;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.066667;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
nx;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
nz;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
n#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
s(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
st;0.006024;0.006024;0.006024;0.102410;0.277108;0.120482;0.180723;0.006024;0.084337;0.006024;0.036145;0.006024;0.006024;0.006024;0.006024;0.030120;0.006024;0.036145;0.006024;0.012048;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024
