smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
)v;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ff;0.001047;0.026178;0.001047;0.003141;0.054450;0.001047;0.257592;0.001047;0.319372;0.001047;0.001047;0.001047;0.001047;0.253403;0.046073;0.001047;0.001047;0.013613;0.001047;0.001047;0.001047;0.002094;0.001047;0.007330;0.001047;0.001047
fr;0.000789;0.000789;0.000789;0.000789;0.681926;0.000789;0.000789;0.000789;0.080505;0.000789;0.000789;0.000789;0.000789;0.134964;0.000789;0.000789;0.000789;0.065509;0.000789;0.000789;0.000789;0.020521;0.000789;0.000789;0.000789;0.000789
fo;0.000341;0.000341;0.000341;0.840956;0.016041;0.000341;0.000341;0.000683;0.000683;0.000341;0.000341;0.000341;0.000341;0.000341;0.003072;0.015358;0.000341;0.000683;0.000341;0.000341;0.000683;0.083618;0.000341;0.029352;0.000341;0.003754
fm;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
f ;0.000179;0.000179;0.020171;0.019457;0.036237;0.033202;0.000179;0.013388;0.014459;0.048911;0.044627;0.004106;0.327205;0.047483;0.051053;0.050696;0.028918;0.084613;0.046591;0.028383;0.014281;0.012496;0.036594;0.015887;0.008568;0.012139
fn;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fe;0.000827;0.024814;0.000827;0.249793;0.000827;0.007444;0.086022;0.100910;0.155500;0.083540;0.000827;0.000827;0.009926;0.009926;0.023160;0.062862;0.012407;0.046319;0.000827;0.068652;0.001654;0.000827;0.000827;0.047974;0.001654;0.000827
fw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fy;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.485714;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.171429;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
fk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ft;0.001684;0.010101;0.001684;0.001684;0.003367;0.001684;0.173401;0.001684;0.648148;0.005051;0.058923;0.001684;0.001684;0.021886;0.008418;0.001684;0.001684;0.001684;0.040404;0.001684;0.001684;0.001684;0.001684;0.003367;0.001684;0.001684
fi;0.000584;0.000584;0.076563;0.216248;0.000584;0.000584;0.002338;0.183518;0.042081;0.000584;0.000584;0.000584;0.036821;0.000584;0.014611;0.198714;0.001753;0.004676;0.000584;0.015196;0.071888;0.000584;0.000584;0.053770;0.064874;0.010520
fs;0.014085;0.028169;0.014085;0.014085;0.014085;0.014085;0.619718;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
fc;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.404762;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
fb;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fa;0.001071;0.003212;0.001071;0.081370;0.001071;0.182013;0.031049;0.029979;0.001071;0.001071;0.002141;0.011777;0.046039;0.119914;0.043897;0.336188;0.006424;0.001071;0.001071;0.002141;0.001071;0.008565;0.001071;0.054604;0.026767;0.004283
fh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fd;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fg;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.576271;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
fu;0.002625;0.002625;0.002625;0.094488;0.002625;0.002625;0.005249;0.202100;0.041995;0.002625;0.002625;0.002625;0.057743;0.002625;0.055118;0.026247;0.002625;0.002625;0.002625;0.002625;0.015748;0.002625;0.002625;0.456693;0.002625;0.002625
fp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fl;0.003831;0.003831;0.003831;0.003831;0.199234;0.003831;0.011494;0.003831;0.134100;0.003831;0.130268;0.003831;0.003831;0.195402;0.003831;0.003831;0.003831;0.157088;0.003831;0.003831;0.003831;0.099617;0.003831;0.003831;0.003831;0.003831
fv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
r(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
r);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
rf;0.008197;0.008197;0.008197;0.008197;0.122951;0.008197;0.032787;0.008197;0.303279;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.065574;0.008197;0.008197;0.008197;0.303279;0.008197;0.008197;0.008197;0.008197
rr;0.001464;0.001464;0.001464;0.001464;0.225476;0.001464;0.001464;0.001464;0.221083;0.001464;0.146413;0.001464;0.001464;0.267936;0.001464;0.001464;0.001464;0.062958;0.005857;0.001464;0.001464;0.042460;0.001464;0.001464;0.001464;0.001464
ro;0.000254;0.001780;0.013733;0.025178;0.043489;0.229400;0.014242;0.066124;0.003815;0.040437;0.009410;0.006867;0.045270;0.003561;0.047050;0.028993;0.054425;0.022126;0.003561;0.027467;0.026958;0.166582;0.034334;0.045015;0.036114;0.003815
rm;0.001379;0.019310;0.004138;0.001379;0.033103;0.001379;0.208276;0.001379;0.131034;0.001379;0.022069;0.001379;0.001379;0.104828;0.146207;0.001379;0.001379;0.303448;0.001379;0.001379;0.001379;0.001379;0.001379;0.005517;0.001379;0.001379
r ;0.000106;0.000106;0.034848;0.024044;0.063553;0.038026;0.000106;0.020655;0.022561;0.062599;0.019595;0.005402;0.188222;0.063764;0.074357;0.045652;0.039191;0.116195;0.043639;0.026057;0.020866;0.006567;0.047135;0.018536;0.006249;0.011969
rn;0.000988;0.017787;0.000988;0.000988;0.053360;0.154150;0.179842;0.000988;0.256917;0.000988;0.001976;0.000988;0.001976;0.197628;0.035573;0.000988;0.000988;0.083992;0.001976;0.000988;0.000988;0.000988;0.000988;0.000988;0.000988;0.000988
re;0.000077;0.017492;0.007353;0.001006;0.000697;0.025542;0.376006;0.034985;0.037152;0.002632;0.000542;0.000155;0.026316;0.003483;0.173297;0.032353;0.001161;0.128715;0.001161;0.041718;0.014706;0.000464;0.041641;0.017802;0.008437;0.005108
rw;0.007937;0.007937;0.007937;0.015873;0.055556;0.007937;0.007937;0.007937;0.023810;0.007937;0.007937;0.007937;0.007937;0.039683;0.007937;0.007937;0.007937;0.634921;0.071429;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937
ry;0.000462;0.055889;0.000462;0.000462;0.029099;0.000462;0.748268;0.000462;0.000462;0.003695;0.000462;0.000462;0.032333;0.080831;0.004619;0.000462;0.019400;0.007390;0.000462;0.006467;0.000462;0.000462;0.002309;0.003233;0.000462;0.000462
rk;0.001538;0.038462;0.003077;0.001538;0.004615;0.003077;0.475385;0.004615;0.227692;0.001538;0.001538;0.001538;0.001538;0.136923;0.053846;0.001538;0.001538;0.020000;0.001538;0.001538;0.001538;0.001538;0.001538;0.009231;0.001538;0.001538
rt;0.000402;0.024498;0.001205;0.004418;0.004016;0.034940;0.311245;0.006426;0.132129;0.000803;0.077510;0.000402;0.000402;0.114859;0.060241;0.000402;0.001205;0.096787;0.081526;0.000402;0.000803;0.033735;0.000402;0.010442;0.000402;0.000402
ri;0.000249;0.000497;0.019393;0.000249;0.033068;0.041522;0.002238;0.129786;0.114868;0.000249;0.000497;0.006216;0.098956;0.000249;0.083292;0.140477;0.039284;0.038041;0.000249;0.032074;0.149180;0.000746;0.008454;0.017156;0.032819;0.010194
rs;0.000399;0.044276;0.000399;0.000399;0.072996;0.000798;0.546869;0.000399;0.069007;0.000399;0.001994;0.000399;0.156362;0.027922;0.000399;0.000798;0.000399;0.020742;0.018349;0.017950;0.000399;0.013163;0.003989;0.000399;0.000399;0.000399
rc;0.002037;0.002037;0.002037;0.008147;0.018330;0.002037;0.004073;0.002037;0.474542;0.002037;0.012220;0.002037;0.002037;0.054990;0.004073;0.002037;0.002037;0.010183;0.297352;0.002037;0.002037;0.063136;0.002037;0.022403;0.002037;0.002037
rb;0.005319;0.005319;0.005319;0.005319;0.063830;0.005319;0.042553;0.005319;0.106383;0.005319;0.026596;0.005319;0.005319;0.154255;0.053191;0.005319;0.005319;0.425532;0.005319;0.005319;0.005319;0.015957;0.005319;0.021277;0.005319;0.005319
ra;0.000315;0.015137;0.007253;0.010091;0.005046;0.040366;0.020814;0.123620;0.019868;0.011038;0.011984;0.000946;0.290129;0.054242;0.023021;0.077578;0.015453;0.000315;0.009461;0.045096;0.026490;0.003784;0.027121;0.128351;0.013560;0.018921
rh;0.010309;0.010309;0.010309;0.010309;0.226804;0.010309;0.010309;0.010309;0.113402;0.010309;0.010309;0.010309;0.010309;0.020619;0.010309;0.010309;0.010309;0.412371;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
rd;0.000967;0.047389;0.000967;0.000967;0.027079;0.002901;0.393617;0.000967;0.209865;0.000967;0.003868;0.000967;0.000967;0.098646;0.152805;0.001934;0.001934;0.036750;0.000967;0.000967;0.000967;0.000967;0.000967;0.009671;0.000967;0.000967
rg;0.001946;0.003891;0.001946;0.013619;0.023346;0.001946;0.064202;0.001946;0.515564;0.001946;0.042802;0.001946;0.001946;0.085603;0.001946;0.001946;0.001946;0.070039;0.003891;0.003891;0.001946;0.138132;0.001946;0.007782;0.001946;0.001946
ru;0.000674;0.000674;0.001348;0.010782;0.000674;0.286388;0.000674;0.108491;0.035714;0.000674;0.000674;0.000674;0.026280;0.014151;0.270889;0.072102;0.008086;0.010782;0.000674;0.017520;0.043801;0.000674;0.029650;0.056604;0.000674;0.000674
rp;0.007042;0.014085;0.007042;0.281690;0.323944;0.007042;0.021127;0.007042;0.084507;0.007042;0.007042;0.007042;0.014085;0.021127;0.014085;0.007042;0.007042;0.021127;0.042254;0.007042;0.007042;0.021127;0.007042;0.042254;0.007042;0.007042
rl;0.001894;0.003788;0.009470;0.001894;0.007576;0.001894;0.064394;0.001894;0.011364;0.001894;0.316288;0.001894;0.001894;0.106061;0.077652;0.001894;0.001894;0.018939;0.001894;0.354167;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894
rv;0.002681;0.002681;0.002681;0.002681;0.045576;0.002681;0.002681;0.002681;0.249330;0.002681;0.002681;0.002681;0.002681;0.410188;0.002681;0.002681;0.002681;0.235925;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681
r#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.176471;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412
