smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
e(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
e);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ef;0.001395;0.002789;0.145049;0.009763;0.256625;0.001395;0.064156;0.001395;0.171548;0.001395;0.002789;0.001395;0.103208;0.125523;0.001395;0.023710;0.001395;0.006974;0.001395;0.001395;0.001395;0.054393;0.001395;0.015342;0.001395;0.001395
er;0.000078;0.026809;0.006450;0.015774;0.006372;0.016940;0.319605;0.034735;0.226047;0.002409;0.066361;0.000544;0.019427;0.050975;0.111586;0.010490;0.001943;0.041650;0.003419;0.001710;0.008315;0.001632;0.002176;0.001710;0.022612;0.000233
eo;0.001005;0.004020;0.002010;0.052261;0.001005;0.001005;0.031156;0.105528;0.001005;0.002010;0.001005;0.001005;0.003015;0.001005;0.012060;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.010050;0.747739;0.012060;0.004020;0.001005
em;0.000424;0.047458;0.000424;0.000424;0.125000;0.001271;0.269915;0.003814;0.222458;0.000424;0.007627;0.000424;0.000424;0.042373;0.060593;0.000424;0.119068;0.055508;0.000424;0.000424;0.000424;0.001695;0.037288;0.000847;0.000424;0.000424
e ;0.000028;0.000028;0.035954;0.030368;0.060597;0.034461;0.000028;0.025251;0.019194;0.079376;0.015958;0.010150;0.133695;0.066322;0.072987;0.052410;0.039633;0.101529;0.045966;0.040048;0.025168;0.015267;0.053489;0.022679;0.007578;0.011837
en;0.000103;0.015595;0.002667;0.000410;0.008002;0.000308;0.313738;0.008926;0.044937;0.000103;0.001231;0.000103;0.386478;0.016313;0.038986;0.053452;0.000410;0.022879;0.001231;0.059813;0.010054;0.002360;0.000308;0.004822;0.004719;0.002052
ee;0.000308;0.012923;0.000615;0.015385;0.000308;0.055692;0.175692;0.331385;0.000308;0.000615;0.000308;0.056000;0.080615;0.015692;0.024000;0.008000;0.000308;0.000308;0.000308;0.090769;0.000615;0.000308;0.055077;0.071692;0.000308;0.002462
ew;0.001248;0.014981;0.002497;0.003745;0.009988;0.002497;0.661673;0.001248;0.041199;0.001248;0.001248;0.001248;0.001248;0.019975;0.172285;0.001248;0.003745;0.022472;0.024969;0.002497;0.001248;0.001248;0.001248;0.002497;0.001248;0.001248
ey;0.000474;0.021347;0.000474;0.109108;0.007590;0.002372;0.799810;0.000474;0.015180;0.000949;0.000474;0.000474;0.000474;0.000949;0.004744;0.000474;0.000474;0.000474;0.000474;0.005218;0.000474;0.000474;0.000474;0.005693;0.020398;0.000474
ek;0.004717;0.047170;0.004717;0.004717;0.004717;0.004717;0.391509;0.004717;0.094340;0.004717;0.009434;0.004717;0.004717;0.061321;0.297170;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.009434;0.004717;0.004717
et;0.000324;0.018494;0.000324;0.012005;0.005191;0.000324;0.322193;0.000649;0.083387;0.037962;0.017846;0.000324;0.150227;0.078196;0.067164;0.006814;0.001947;0.037638;0.142440;0.000324;0.000324;0.012330;0.000324;0.002596;0.000324;0.000324
ei;0.000803;0.000803;0.000803;0.462651;0.000803;0.003213;0.000803;0.231325;0.000803;0.000803;0.000803;0.000803;0.047390;0.000803;0.003213;0.002410;0.000803;0.000803;0.000803;0.003213;0.193574;0.000803;0.004819;0.012851;0.018474;0.005622
es;0.000116;0.027675;0.000116;0.000116;0.004516;0.000695;0.436429;0.013548;0.079782;0.000116;0.000232;0.002200;0.149027;0.110005;0.118805;0.012274;0.000116;0.000463;0.001621;0.010653;0.000116;0.010537;0.020264;0.000116;0.000116;0.000347
ec;0.000361;0.001083;0.000361;0.026354;0.136823;0.000361;0.001083;0.000361;0.057762;0.000361;0.001083;0.022744;0.284838;0.135740;0.000361;0.001444;0.000361;0.217690;0.032130;0.000361;0.000361;0.070397;0.000361;0.006498;0.000361;0.000361
eb;0.003413;0.013652;0.003413;0.088737;0.515358;0.003413;0.017065;0.003413;0.027304;0.003413;0.006826;0.003413;0.013652;0.003413;0.044369;0.003413;0.017065;0.170648;0.003413;0.003413;0.003413;0.034130;0.003413;0.003413;0.003413;0.003413
ea;0.000192;0.005943;0.000959;0.221434;0.000192;0.023198;0.038727;0.087807;0.000192;0.000383;0.000192;0.026074;0.105061;0.000192;0.085123;0.035851;0.000383;0.000192;0.055790;0.100460;0.012078;0.006135;0.012078;0.164110;0.017063;0.000192
eh;0.007519;0.007519;0.007519;0.015038;0.172932;0.015038;0.007519;0.015038;0.127820;0.007519;0.007519;0.007519;0.007519;0.338346;0.007519;0.007519;0.007519;0.172932;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
ed;0.000169;0.035218;0.000169;0.001355;0.004402;0.000677;0.839655;0.006942;0.021165;0.000339;0.008635;0.000169;0.000169;0.038605;0.007281;0.000169;0.000339;0.004402;0.000169;0.006095;0.008974;0.011006;0.000169;0.003386;0.000169;0.000169
eg;0.001368;0.004104;0.001368;0.079343;0.060192;0.013680;0.008208;0.060192;0.087551;0.001368;0.046512;0.001368;0.001368;0.166895;0.004104;0.001368;0.001368;0.322845;0.001368;0.001368;0.019152;0.109439;0.001368;0.001368;0.001368;0.001368
eu;0.009434;0.009434;0.009434;0.358491;0.009434;0.028302;0.009434;0.047170;0.018868;0.009434;0.009434;0.009434;0.283019;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.018868;0.009434;0.009434;0.037736;0.009434;0.037736;0.009434
ep;0.000861;0.005168;0.000861;0.056848;0.154177;0.000861;0.135228;0.000861;0.061154;0.000861;0.000861;0.000861;0.102498;0.044789;0.024117;0.001723;0.000861;0.116279;0.018088;0.000861;0.000861;0.218777;0.010336;0.040482;0.000861;0.000861
el;0.000322;0.012899;0.045469;0.000645;0.016446;0.004192;0.164141;0.000322;0.113512;0.000322;0.106740;0.000645;0.014189;0.093518;0.058691;0.012254;0.001290;0.045469;0.000322;0.017414;0.001612;0.001612;0.033860;0.225734;0.028055;0.000322
ev;0.000599;0.000599;0.000599;0.000599;0.022754;0.000599;0.000599;0.000599;0.843114;0.000599;0.002395;0.000599;0.000599;0.096407;0.000599;0.000599;0.000599;0.022156;0.000599;0.000599;0.000599;0.000599;0.000599;0.001198;0.000599;0.000599
e#;0.000995;0.001990;0.000995;0.001990;0.002985;0.000995;0.031841;0.000995;0.068657;0.000995;0.000995;0.000995;0.228856;0.042786;0.000995;0.057711;0.000995;0.147264;0.004975;0.000995;0.000995;0.151244;0.245771;0.000995;0.000995;0.000995
w(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
w);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
wf;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.341463;0.024390;0.024390;0.024390;0.024390
wr;0.004630;0.004630;0.004630;0.004630;0.462963;0.004630;0.004630;0.004630;0.037037;0.004630;0.004630;0.004630;0.004630;0.342593;0.004630;0.004630;0.004630;0.055556;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630
wo;0.000479;0.001916;0.000479;0.352969;0.005268;0.081418;0.184866;0.045019;0.000479;0.013410;0.000479;0.003352;0.000479;0.000479;0.000479;0.000479;0.000958;0.000479;0.000479;0.000479;0.000479;0.301724;0.000479;0.001916;0.000479;0.000479
wm;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.479167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
w ;0.000423;0.000423;0.021169;0.017358;0.033870;0.045301;0.000423;0.010584;0.023709;0.094835;0.059695;0.003810;0.194750;0.099915;0.047417;0.032176;0.035563;0.082134;0.065199;0.045301;0.013124;0.020745;0.022015;0.016088;0.005080;0.008891
wn;0.001658;0.048093;0.001658;0.003317;0.001658;0.003317;0.820896;0.001658;0.041459;0.001658;0.001658;0.001658;0.009950;0.009950;0.026534;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.001658;0.004975;0.004975;0.001658;0.001658
we;0.000270;0.001350;0.000270;0.311741;0.000270;0.000270;0.304723;0.077193;0.078812;0.000270;0.000540;0.000270;0.000540;0.009447;0.011606;0.000270;0.005938;0.028070;0.000270;0.034818;0.000270;0.000270;0.000540;0.107422;0.024291;0.000270
ww;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
wy;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.020202;0.010101;0.737374;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
wk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.151515;0.030303;0.030303;0.121212;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wt;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.218750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wi;0.000450;0.000450;0.012613;0.007207;0.000450;0.001351;0.000450;0.075225;0.001351;0.000450;0.000450;0.001351;0.613514;0.000450;0.025676;0.003604;0.000450;0.000450;0.000450;0.013514;0.000901;0.000450;0.000901;0.236486;0.000901;0.000450
ws;0.003300;0.026403;0.003300;0.019802;0.003300;0.003300;0.801980;0.003300;0.006601;0.003300;0.003300;0.003300;0.003300;0.003300;0.006601;0.006601;0.003300;0.003300;0.003300;0.003300;0.003300;0.042904;0.026403;0.006601;0.003300;0.003300
wc;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
wb;0.034483;0.034483;0.034483;0.034483;0.137931;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wa;0.000261;0.000521;0.000521;0.085766;0.000261;0.000261;0.000782;0.112617;0.000261;0.000261;0.166580;0.003128;0.032065;0.018509;0.508342;0.000521;0.000521;0.000261;0.000261;0.004432;0.012252;0.000261;0.001564;0.047445;0.002086;0.000261
wh;0.000235;0.000235;0.000235;0.000235;0.195535;0.000235;0.000235;0.000235;0.237838;0.000235;0.062750;0.000235;0.000235;0.149236;0.000235;0.000235;0.000235;0.349706;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235;0.000235
wd;0.017857;0.053571;0.017857;0.071429;0.053571;0.017857;0.267857;0.017857;0.125000;0.017857;0.035714;0.017857;0.017857;0.035714;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
wg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
wu;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
wp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
wl;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.097222;0.013889;0.472222;0.013889;0.069444;0.013889;0.013889;0.055556;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
wv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
w#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
y(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
y);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yf;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yr;0.003559;0.003559;0.003559;0.003559;0.007117;0.003559;0.003559;0.003559;0.818505;0.003559;0.003559;0.003559;0.007117;0.081851;0.003559;0.003559;0.003559;0.010676;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559
yo;0.000296;0.000591;0.000296;0.028968;0.000296;0.000296;0.000591;0.031038;0.000296;0.000296;0.000296;0.000296;0.000887;0.000296;0.000296;0.000296;0.000296;0.000296;0.000296;0.000296;0.000296;0.932013;0.000296;0.000296;0.000296;0.000296
ym;0.006579;0.006579;0.006579;0.006579;0.125000;0.006579;0.052632;0.078947;0.151316;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.052632;0.019737;0.006579;0.006579;0.006579;0.006579;0.394737;0.006579;0.006579;0.006579
y ;0.000081;0.000081;0.042753;0.020162;0.049069;0.036680;0.000081;0.024211;0.019271;0.082915;0.014899;0.007368;0.139919;0.073603;0.074494;0.051336;0.049069;0.113522;0.049960;0.044130;0.027611;0.010202;0.030364;0.020324;0.005830;0.012065
yn;0.012048;0.024096;0.012048;0.012048;0.024096;0.012048;0.060241;0.240964;0.036145;0.012048;0.012048;0.012048;0.024096;0.048193;0.012048;0.216867;0.012048;0.108434;0.012048;0.024096;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
ye;0.000977;0.000977;0.000977;0.116211;0.000977;0.003906;0.009766;0.001953;0.016602;0.000977;0.000977;0.000977;0.041992;0.001953;0.120117;0.000977;0.002930;0.605469;0.000977;0.058594;0.000977;0.000977;0.001953;0.005859;0.000977;0.000977
yw;0.018182;0.018182;0.018182;0.018182;0.072727;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.181818;0.309091;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
yy;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yt;0.004975;0.004975;0.004975;0.004975;0.009950;0.004975;0.004975;0.004975;0.014925;0.004975;0.004975;0.004975;0.004975;0.054726;0.004975;0.004975;0.004975;0.004975;0.810945;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
yi;0.002028;0.004057;0.002028;0.002028;0.002028;0.002028;0.002028;0.939148;0.008114;0.002028;0.002028;0.002028;0.002028;0.002028;0.004057;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028
ys;0.001410;0.040903;0.002821;0.001410;0.001410;0.001410;0.626234;0.001410;0.032440;0.001410;0.001410;0.001410;0.242595;0.022567;0.002821;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.001410;0.004231;0.001410;0.001410
yc;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.362069;0.017241;0.017241;0.017241;0.017241;0.172414;0.017241;0.017241
yb;0.005525;0.005525;0.005525;0.022099;0.364641;0.005525;0.005525;0.005525;0.486188;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525
ya;0.011494;0.011494;0.011494;0.057471;0.011494;0.011494;0.149425;0.252874;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.022989;0.011494;0.011494;0.011494;0.080460;0.022989;0.011494;0.011494;0.011494;0.195402;0.011494;0.011494
yh;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
yd;0.017857;0.035714;0.017857;0.035714;0.017857;0.017857;0.232143;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.250000;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
yg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.137931;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
yu;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yp;0.012346;0.012346;0.012346;0.012346;0.049383;0.012346;0.012346;0.012346;0.432099;0.012346;0.012346;0.012346;0.074074;0.123457;0.037037;0.012346;0.012346;0.037037;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
yl;0.011628;0.011628;0.011628;0.011628;0.023256;0.011628;0.023256;0.011628;0.104651;0.011628;0.011628;0.011628;0.011628;0.058140;0.011628;0.011628;0.011628;0.116279;0.011628;0.011628;0.011628;0.232558;0.011628;0.151163;0.081395;0.011628
yv;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.632353;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
y#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.137931;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
k(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
k);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
kf;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333
kr;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.170732;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.024390
ko;0.005000;0.005000;0.005000;0.610000;0.005000;0.025000;0.010000;0.195000;0.005000;0.005000;0.005000;0.015000;0.010000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.015000;0.030000;0.005000;0.005000;0.005000;0.005000
km;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
k ;0.000391;0.000391;0.028571;0.009785;0.084540;0.018004;0.000391;0.007436;0.009785;0.066928;0.067319;0.003131;0.230137;0.111155;0.037182;0.018004;0.022309;0.160861;0.039530;0.020352;0.006262;0.010176;0.020744;0.012133;0.003523;0.010959
kn;0.001160;0.001160;0.001160;0.001160;0.870070;0.001160;0.001160;0.001160;0.088167;0.001160;0.001160;0.001160;0.001160;0.015081;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160;0.001160
ke;0.000401;0.014842;0.000401;0.073004;0.001203;0.000401;0.503811;0.062575;0.049338;0.000401;0.015644;0.000401;0.034497;0.000401;0.056959;0.000401;0.000802;0.000401;0.000401;0.130365;0.000401;0.001203;0.016446;0.028480;0.006418;0.000401
kw;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.193548;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ky;0.015625;0.078125;0.015625;0.015625;0.031250;0.015625;0.468750;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.062500;0.031250;0.015625;0.015625
kk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
kt;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.166667;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ki;0.000735;0.000735;0.000735;0.007348;0.000735;0.030860;0.007348;0.734754;0.008817;0.000735;0.000735;0.000735;0.009552;0.002204;0.024247;0.006613;0.000735;0.002939;0.000735;0.069802;0.000735;0.000735;0.001470;0.084497;0.000735;0.000735
ks;0.002174;0.063043;0.002174;0.002174;0.015217;0.002174;0.834783;0.002174;0.017391;0.002174;0.002174;0.002174;0.017391;0.004348;0.002174;0.002174;0.002174;0.002174;0.004348;0.002174;0.004348;0.002174;0.002174;0.002174;0.002174;0.002174
kc;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
kb;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ka;0.004566;0.022831;0.004566;0.013699;0.004566;0.004566;0.118721;0.013699;0.004566;0.004566;0.534247;0.004566;0.027397;0.004566;0.004566;0.004566;0.109589;0.004566;0.004566;0.013699;0.045662;0.009132;0.009132;0.013699;0.009132;0.004566
kh;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
kd;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
kg;0.023810;0.023810;0.023810;0.404762;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
ku;0.023256;0.023256;0.023256;0.116279;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256
kp;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
kl;0.008065;0.008065;0.008065;0.008065;0.056452;0.008065;0.008065;0.008065;0.129032;0.008065;0.395161;0.008065;0.008065;0.016129;0.008065;0.008065;0.008065;0.217742;0.008065;0.008065;0.008065;0.024194;0.008065;0.008065;0.008065;0.008065
kv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
k#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
