smoothed;3
(;a;l;r;i;g;h;t; ;j;m;c;e;y;s;n;);o;k;v;b;f;w;u;d;p;#
rv;0.004425;0.327434;0.004425;0.004425;0.336283;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.199115;0.004425;0.004425;0.004425;0.004425;0.035398;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425
rb;0.010204;0.255102;0.010204;0.010204;0.112245;0.010204;0.010204;0.010204;0.040816;0.010204;0.010204;0.010204;0.091837;0.030612;0.040816;0.010204;0.010204;0.183673;0.010204;0.010204;0.010204;0.010204;0.010204;0.051020;0.010204;0.010204;0.010204
rf;0.012346;0.123457;0.012346;0.012346;0.074074;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.197531;0.012346;0.012346;0.012346;0.012346;0.061728;0.012346;0.012346;0.012346;0.012346;0.012346;0.271605;0.012346;0.012346;0.012346
rw;0.013158;0.381579;0.013158;0.013158;0.184211;0.013158;0.065789;0.013158;0.013158;0.013158;0.013158;0.013158;0.039474;0.013158;0.013158;0.013158;0.013158;0.039474;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
ru;0.000785;0.003925;0.036107;0.003925;0.016484;0.036892;0.000785;0.025903;0.000785;0.000785;0.481947;0.038462;0.063579;0.000785;0.124019;0.109890;0.000785;0.000785;0.000785;0.000785;0.015699;0.000785;0.000785;0.000785;0.013344;0.016484;0.003925
rd;0.001364;0.038199;0.008186;0.005457;0.030014;0.001364;0.001364;0.001364;0.455662;0.001364;0.001364;0.004093;0.238745;0.005457;0.122783;0.004093;0.042292;0.019100;0.001364;0.001364;0.004093;0.001364;0.001364;0.004093;0.001364;0.001364;0.001364
rp;0.010204;0.010204;0.051020;0.183673;0.020408;0.010204;0.010204;0.040816;0.061224;0.010204;0.010204;0.010204;0.081633;0.010204;0.040816;0.010204;0.010204;0.316327;0.010204;0.010204;0.010204;0.010204;0.010204;0.020408;0.010204;0.010204;0.010204
r#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778
i(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ia;0.000993;0.000993;0.229394;0.024826;0.000993;0.014896;0.001986;0.061569;0.356504;0.000993;0.004965;0.003972;0.000993;0.000993;0.017875;0.226415;0.027805;0.000993;0.000993;0.001986;0.011917;0.000993;0.000993;0.000993;0.001986;0.001986;0.000993
il;0.000651;0.020169;0.535459;0.001301;0.091737;0.000651;0.000651;0.018217;0.064411;0.000651;0.007157;0.000651;0.096291;0.044242;0.015615;0.000651;0.011061;0.005856;0.001952;0.001301;0.003253;0.000651;0.001952;0.007157;0.067014;0.000651;0.000651
ir;0.000814;0.048046;0.041531;0.012215;0.017101;0.019544;0.000814;0.087948;0.328990;0.000814;0.010586;0.013844;0.165309;0.002443;0.139251;0.001629;0.011401;0.039088;0.001629;0.001629;0.000814;0.002443;0.002443;0.000814;0.041531;0.006515;0.000814
ii;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.282051;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ig;0.000630;0.037177;0.000630;0.035287;0.024575;0.031506;0.649023;0.000630;0.076244;0.000630;0.003151;0.000630;0.011972;0.000630;0.000630;0.091367;0.003151;0.011342;0.000630;0.000630;0.000630;0.000630;0.000630;0.015753;0.000630;0.000630;0.000630
ih;0.029412;0.058824;0.029412;0.029412;0.176471;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
it;0.000165;0.013536;0.004787;0.000495;0.060416;0.000165;0.187686;0.038792;0.318092;0.000165;0.000495;0.006933;0.075768;0.054638;0.187025;0.000825;0.031694;0.003632;0.000165;0.000165;0.000165;0.000330;0.000165;0.012215;0.000165;0.000165;0.001155
i ;0.000333;0.053892;0.053560;0.021623;0.018629;0.042249;0.053892;0.180639;0.000333;0.019295;0.109115;0.046574;0.004325;0.003327;0.051564;0.012309;0.000333;0.007319;0.038922;0.001996;0.010978;0.018297;0.106121;0.006986;0.129741;0.006653;0.000998
ij;0.027778;0.083333;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.194444;0.027778;0.027778;0.027778
im;0.000462;0.059584;0.001386;0.000462;0.036952;0.000462;0.000924;0.000462;0.362587;0.000462;0.035566;0.000462;0.360739;0.000924;0.019861;0.000462;0.031871;0.004157;0.000462;0.000462;0.006005;0.000462;0.000462;0.005081;0.000462;0.068360;0.000462
ic;0.000395;0.330569;0.005134;0.005134;0.057662;0.000395;0.112559;0.060821;0.150079;0.000395;0.000395;0.000395;0.120063;0.014613;0.033175;0.000790;0.009084;0.011848;0.063586;0.000395;0.000395;0.000395;0.000395;0.020142;0.000395;0.000395;0.000395
ie;0.000622;0.000622;0.024876;0.023632;0.000622;0.004353;0.000622;0.033582;0.107587;0.000622;0.000622;0.012438;0.000622;0.000622;0.292289;0.180970;0.012438;0.000622;0.000622;0.092662;0.002488;0.085199;0.036070;0.000622;0.083333;0.000622;0.000622
iy;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
is;0.000175;0.009460;0.008059;0.003679;0.034513;0.002278;0.018921;0.115802;0.672214;0.000175;0.014191;0.020673;0.021374;0.001051;0.033111;0.011212;0.015767;0.009110;0.001752;0.000175;0.000526;0.000701;0.000175;0.001226;0.000175;0.003329;0.000175
in;0.000087;0.016980;0.002874;0.000174;0.020724;0.473703;0.000871;0.069140;0.195228;0.000522;0.000610;0.015848;0.039359;0.000958;0.020289;0.006705;0.006531;0.002874;0.073929;0.008098;0.000087;0.006357;0.000087;0.005399;0.032393;0.000087;0.000087
i);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
io;0.000554;0.000554;0.020487;0.028793;0.000554;0.000554;0.000554;0.018272;0.012735;0.000554;0.000554;0.001661;0.000554;0.000554;0.000554;0.841639;0.004430;0.000554;0.000554;0.000554;0.000554;0.000554;0.001661;0.054817;0.005537;0.001107;0.000554
ik;0.001080;0.002160;0.001080;0.001080;0.009719;0.001080;0.001080;0.001080;0.002160;0.001080;0.001080;0.001080;0.958963;0.001080;0.002160;0.001080;0.001080;0.001080;0.001080;0.001080;0.001080;0.001080;0.001080;0.002160;0.001080;0.001080;0.001080
iv;0.000962;0.051923;0.000962;0.000962;0.151923;0.000962;0.000962;0.000962;0.004808;0.000962;0.000962;0.000962;0.751923;0.000962;0.000962;0.000962;0.000962;0.018269;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962
ib;0.002625;0.028871;0.477690;0.020997;0.060367;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.270341;0.010499;0.007874;0.002625;0.002625;0.002625;0.002625;0.002625;0.018373;0.002625;0.002625;0.057743;0.002625;0.002625;0.002625
if;0.000913;0.001826;0.001826;0.000913;0.050228;0.000913;0.000913;0.082192;0.426484;0.000913;0.000913;0.000913;0.221918;0.013699;0.000913;0.000913;0.005479;0.035616;0.000913;0.000913;0.000913;0.133333;0.000913;0.012785;0.000913;0.000913;0.000913
iw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
iu;0.016129;0.016129;0.161290;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.354839;0.016129;0.016129;0.016129;0.096774;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
id;0.000445;0.026246;0.000890;0.000445;0.018683;0.002669;0.000445;0.006228;0.412367;0.000445;0.000445;0.000445;0.316281;0.002224;0.060943;0.080071;0.035142;0.002669;0.000445;0.000445;0.000445;0.000445;0.001779;0.005783;0.022687;0.000445;0.000445
ip;0.003937;0.094488;0.110236;0.003937;0.003937;0.003937;0.015748;0.023622;0.291339;0.003937;0.003937;0.003937;0.114173;0.003937;0.114173;0.003937;0.019685;0.011811;0.003937;0.003937;0.003937;0.003937;0.003937;0.007874;0.003937;0.133858;0.003937
i#;0.002336;0.084112;0.002336;0.002336;0.060748;0.002336;0.002336;0.137850;0.119159;0.002336;0.002336;0.002336;0.324766;0.002336;0.002336;0.002336;0.004673;0.032710;0.002336;0.002336;0.002336;0.002336;0.002336;0.177570;0.002336;0.002336;0.016355
g(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ga;0.001538;0.001538;0.073846;0.073846;0.284615;0.026154;0.001538;0.144615;0.009231;0.001538;0.060000;0.009231;0.004615;0.033846;0.076923;0.107692;0.001538;0.001538;0.001538;0.041538;0.003077;0.003077;0.001538;0.004615;0.001538;0.009231;0.020000
gl;0.006410;0.160256;0.006410;0.006410;0.070513;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.230769;0.179487;0.006410;0.006410;0.006410;0.192308;0.006410;0.006410;0.006410;0.006410;0.006410;0.032051;0.006410;0.006410;0.006410
gr;0.001111;0.210000;0.001111;0.001111;0.165556;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.446667;0.035556;0.001111;0.001111;0.001111;0.113333;0.001111;0.001111;0.001111;0.001111;0.001111;0.005556;0.001111;0.001111;0.001111
gi;0.001736;0.031250;0.013889;0.069444;0.001736;0.003472;0.001736;0.015625;0.001736;0.001736;0.003472;0.048611;0.008681;0.001736;0.057292;0.406250;0.001736;0.057292;0.001736;0.213542;0.008681;0.008681;0.001736;0.017361;0.003472;0.001736;0.015625
gg;0.007634;0.015267;0.061069;0.053435;0.122137;0.007634;0.007634;0.007634;0.015267;0.007634;0.007634;0.007634;0.511450;0.015267;0.030534;0.007634;0.007634;0.030534;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.015267;0.007634
gh;0.000700;0.005598;0.004899;0.000700;0.003499;0.000700;0.000700;0.764171;0.169349;0.000700;0.000700;0.000700;0.014696;0.000700;0.000700;0.002099;0.009797;0.006998;0.000700;0.000700;0.004899;0.000700;0.002799;0.000700;0.000700;0.000700;0.000700
gt;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.098039;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.411765;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
g ;0.000183;0.138298;0.021460;0.013390;0.086023;0.011005;0.029897;0.312179;0.000183;0.014674;0.021093;0.022744;0.012839;0.019993;0.030998;0.011005;0.000183;0.074835;0.003485;0.003668;0.031731;0.030448;0.051174;0.015407;0.019626;0.022927;0.000550
gj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
gm;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.230769;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
gc;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ge;0.000506;0.003036;0.011134;0.082996;0.001518;0.000506;0.000506;0.457996;0.217105;0.000506;0.003543;0.000506;0.003543;0.001518;0.045547;0.090587;0.020749;0.028340;0.000506;0.000506;0.000506;0.001012;0.000506;0.000506;0.025304;0.000506;0.000506
gy;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.510870;0.010870;0.043478;0.010870;0.010870;0.010870;0.010870;0.054348;0.119565;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.032609;0.010870
gs;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.885057;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.043103;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874;0.002874
gn;0.005155;0.036082;0.005155;0.005155;0.154639;0.005155;0.005155;0.005155;0.432990;0.005155;0.005155;0.005155;0.123711;0.005155;0.020619;0.005155;0.061856;0.067010;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155
g);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
go;0.000482;0.005304;0.011572;0.008197;0.283992;0.002411;0.000482;0.175506;0.205400;0.000482;0.000964;0.000482;0.030376;0.000482;0.002893;0.050627;0.013500;0.126326;0.000482;0.045323;0.001446;0.000482;0.001446;0.000964;0.029412;0.000482;0.000482
gk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
gv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
gb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
gf;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
gw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
gu;0.001745;0.048866;0.054101;0.048866;0.057592;0.001745;0.001745;0.017452;0.001745;0.001745;0.057592;0.001745;0.132635;0.406632;0.013962;0.127400;0.001745;0.001745;0.001745;0.001745;0.006981;0.001745;0.001745;0.001745;0.001745;0.001745;0.001745
gd;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258
gp;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
g#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
h(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ha;0.000126;0.000126;0.008704;0.027375;0.003911;0.000252;0.000126;0.602245;0.001388;0.000126;0.004920;0.002018;0.003785;0.000126;0.049325;0.059922;0.000126;0.000378;0.001388;0.154031;0.000883;0.000126;0.001766;0.000252;0.042765;0.033430;0.000378
hl;0.020408;0.040816;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.306122;0.142857;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
hr;0.002907;0.029070;0.002907;0.002907;0.151163;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.453488;0.002907;0.002907;0.002907;0.002907;0.293605;0.002907;0.002907;0.002907;0.002907;0.002907;0.008721;0.002907;0.002907;0.002907
hi;0.000198;0.002179;0.037837;0.024168;0.000396;0.014263;0.000198;0.047147;0.001387;0.000594;0.071315;0.045365;0.004358;0.000198;0.363114;0.365095;0.000990;0.002773;0.000396;0.000990;0.001189;0.001981;0.000198;0.000198;0.001981;0.011094;0.000396
hg;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ht;0.000894;0.001787;0.002681;0.000894;0.022341;0.000894;0.001787;0.000894;0.708668;0.000894;0.000894;0.002681;0.046470;0.028597;0.035746;0.003575;0.128686;0.000894;0.000894;0.000894;0.000894;0.002681;0.000894;0.001787;0.000894;0.000894;0.000894
h ;0.000307;0.090770;0.017479;0.025146;0.104569;0.013799;0.053971;0.168353;0.000613;0.004293;0.036799;0.045385;0.010733;0.036799;0.046305;0.011960;0.000307;0.051825;0.014413;0.003373;0.080037;0.019013;0.054584;0.005213;0.041398;0.061638;0.000920
hj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hm;0.017544;0.070175;0.017544;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.421053;0.017544;0.035088;0.017544;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
hc;0.028571;0.257143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
he;0.000068;0.022240;0.008349;0.175118;0.022856;0.000068;0.000068;0.003353;0.515226;0.000068;0.024293;0.002258;0.001437;0.094642;0.048176;0.069459;0.006159;0.001163;0.000068;0.000205;0.000068;0.000137;0.000342;0.000068;0.003969;0.000068;0.000068
hy;0.002915;0.002915;0.005831;0.002915;0.005831;0.002915;0.002915;0.005831;0.801749;0.002915;0.008746;0.002915;0.002915;0.002915;0.037901;0.002915;0.046647;0.002915;0.002915;0.002915;0.002915;0.002915;0.002915;0.002915;0.005831;0.029155;0.002915
hs;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.516129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.080645;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
hn;0.010000;0.020000;0.010000;0.010000;0.060000;0.010000;0.010000;0.010000;0.430000;0.010000;0.010000;0.010000;0.080000;0.010000;0.060000;0.030000;0.030000;0.100000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
h);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ho;0.000352;0.003172;0.064505;0.031724;0.002820;0.000352;0.000352;0.021854;0.188579;0.000352;0.021502;0.003877;0.006345;0.000352;0.077899;0.049700;0.002115;0.040536;0.000352;0.002115;0.003877;0.000352;0.192457;0.239337;0.001762;0.043003;0.000352
hk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hb;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.205882;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
hf;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.156250;0.031250;0.031250;0.031250
hw;0.030303;0.151515;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hu;0.003236;0.003236;0.006472;0.139159;0.003236;0.087379;0.009709;0.074434;0.009709;0.003236;0.168285;0.022654;0.003236;0.003236;0.038835;0.375405;0.003236;0.003236;0.003236;0.003236;0.003236;0.016181;0.003236;0.003236;0.003236;0.003236;0.003236
hd;0.028571;0.200000;0.028571;0.057143;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hp;0.030303;0.181818;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
t(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ta;0.000473;0.000473;0.192435;0.147045;0.048227;0.027423;0.001418;0.109220;0.034515;0.000473;0.002837;0.035934;0.000946;0.017021;0.008983;0.147045;0.002364;0.000473;0.100236;0.000473;0.029787;0.003783;0.000473;0.010402;0.001891;0.015603;0.060047
tl;0.002375;0.028504;0.007126;0.002375;0.014252;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.484561;0.410926;0.002375;0.002375;0.002375;0.004751;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375;0.002375
tr;0.000448;0.150673;0.000448;0.000448;0.098655;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.000448;0.108969;0.214798;0.000448;0.000448;0.000448;0.066816;0.000448;0.000448;0.000448;0.000448;0.000448;0.350673;0.000448;0.000448;0.000448
ti;0.000267;0.018722;0.034234;0.013373;0.000267;0.015245;0.000267;0.023536;0.005349;0.000267;0.162075;0.113667;0.031024;0.000267;0.022198;0.192297;0.000535;0.282963;0.000535;0.052955;0.001605;0.010163;0.000267;0.000267;0.002140;0.007756;0.007756
tg;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483
th;0.000051;0.191390;0.000458;0.012773;0.153834;0.000051;0.000051;0.000102;0.067579;0.000051;0.000102;0.000458;0.537937;0.000865;0.001578;0.000153;0.005496;0.025240;0.000051;0.000051;0.000051;0.000254;0.000204;0.000458;0.000407;0.000305;0.000051
tt;0.001145;0.111111;0.172967;0.013746;0.194731;0.001145;0.001145;0.001145;0.033219;0.001145;0.001145;0.001145;0.339061;0.063001;0.002291;0.001145;0.002291;0.048110;0.001145;0.001145;0.001145;0.001145;0.001145;0.001145;0.001145;0.001145;0.001145
t ;0.000054;0.105280;0.024471;0.019686;0.100277;0.026320;0.053293;0.173854;0.000054;0.007613;0.030997;0.034151;0.016097;0.032139;0.051444;0.018489;0.000054;0.066997;0.011094;0.003970;0.039698;0.021317;0.093045;0.008375;0.034858;0.024906;0.001468
tj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
tm;0.011494;0.160920;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.459770;0.011494;0.011494;0.011494;0.011494;0.080460;0.011494;0.011494;0.011494;0.011494;0.011494;0.034483;0.011494;0.011494;0.011494
tc;0.003247;0.006494;0.009740;0.003247;0.006494;0.003247;0.860390;0.003247;0.012987;0.003247;0.003247;0.003247;0.003247;0.006494;0.003247;0.003247;0.006494;0.029221;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247
