smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
md;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
my;0.005208;0.020833;0.015625;0.005208;0.005208;0.026042;0.822917;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
mu;0.004167;0.004167;0.008333;0.004167;0.004167;0.120833;0.004167;0.025000;0.004167;0.004167;0.008333;0.516667;0.004167;0.004167;0.041667;0.150000;0.004167;0.004167;0.054167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167;0.004167
mk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
m#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
e(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
e);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
et;0.000722;0.011544;0.132756;0.155844;0.064935;0.081530;0.342713;0.000722;0.053391;0.044733;0.000722;0.004329;0.007215;0.000722;0.023088;0.006494;0.001443;0.002165;0.002165;0.031025;0.000722;0.018038;0.010101;0.000722;0.000722;0.001443
eh;0.011765;0.011765;0.011765;0.011765;0.317647;0.011765;0.011765;0.011765;0.141176;0.105882;0.011765;0.011765;0.176471;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
ei;0.001848;0.001848;0.057301;0.001848;0.001848;0.005545;0.001848;0.014787;0.001848;0.001848;0.216266;0.001848;0.001848;0.001848;0.327172;0.251386;0.001848;0.001848;0.066543;0.001848;0.007394;0.001848;0.001848;0.003697;0.014787;0.007394
es;0.000267;0.012533;0.145333;0.000800;0.126933;0.140000;0.430400;0.001867;0.071467;0.000267;0.000267;0.006667;0.005600;0.000267;0.000267;0.014400;0.027200;0.000267;0.000267;0.000267;0.005333;0.000267;0.006933;0.001600;0.000267;0.000267
e ;0.000061;0.000061;0.128615;0.055760;0.067525;0.073958;0.000061;0.035662;0.017341;0.100674;0.023529;0.049449;0.061887;0.037255;0.031066;0.025306;0.053615;0.043566;0.024755;0.080699;0.037010;0.014032;0.011397;0.007292;0.006985;0.012439
em;0.000962;0.009625;0.000962;0.000962;0.027911;0.056785;0.187680;0.005775;0.168431;0.028874;0.000962;0.000962;0.358037;0.000962;0.000962;0.003850;0.033686;0.102021;0.000962;0.000962;0.000962;0.003850;0.000962;0.000962;0.000962;0.000962
ee;0.000645;0.005803;0.049001;0.000645;0.022566;0.019987;0.164410;0.050935;0.000645;0.000645;0.001289;0.012895;0.000645;0.001289;0.012895;0.311412;0.060606;0.000645;0.072211;0.000645;0.073501;0.000645;0.000645;0.132818;0.001289;0.001289
ea;0.000418;0.001673;0.109996;0.052279;0.000418;0.086993;0.035132;0.021330;0.000418;0.000418;0.005855;0.027185;0.000418;0.000418;0.230029;0.085738;0.005437;0.000418;0.175240;0.000418;0.096612;0.000418;0.010874;0.036386;0.015056;0.000418
eg;0.003731;0.003731;0.003731;0.014925;0.231343;0.014925;0.014925;0.022388;0.089552;0.279851;0.018657;0.003731;0.108209;0.003731;0.037313;0.007463;0.003731;0.003731;0.003731;0.003731;0.003731;0.022388;0.089552;0.003731;0.003731;0.003731
ec;0.000854;0.000854;0.268147;0.025619;0.122972;0.001708;0.001708;0.000854;0.074295;0.239966;0.000854;0.002562;0.110162;0.000854;0.037575;0.000854;0.000854;0.000854;0.007686;0.000854;0.001708;0.000854;0.063194;0.032451;0.000854;0.000854
eo;0.002165;0.002165;0.006494;0.002165;0.002165;0.004329;0.034632;0.002165;0.002165;0.002165;0.006494;0.002165;0.002165;0.002165;0.071429;0.093074;0.716450;0.002165;0.017316;0.002165;0.002165;0.002165;0.012987;0.002165;0.002165;0.002165
ef;0.003067;0.006135;0.104294;0.003067;0.104294;0.003067;0.042945;0.003067;0.138037;0.003067;0.003067;0.003067;0.340491;0.144172;0.006135;0.003067;0.003067;0.003067;0.021472;0.003067;0.003067;0.003067;0.042945;0.003067;0.003067;0.003067
er;0.000189;0.012483;0.018347;0.003215;0.038774;0.099111;0.332325;0.022319;0.274068;0.036694;0.005485;0.014186;0.005296;0.004918;0.009268;0.027615;0.003026;0.001702;0.000946;0.003972;0.005107;0.063363;0.000378;0.001135;0.015888;0.000189
en;0.000240;0.006969;0.386446;0.000481;0.020187;0.051430;0.315068;0.000481;0.041096;0.031002;0.013218;0.044941;0.004807;0.002163;0.001682;0.006969;0.000240;0.000240;0.001682;0.000240;0.061524;0.000481;0.003365;0.001202;0.002644;0.001202
ep;0.001449;0.004348;0.052174;0.015942;0.023188;0.015942;0.115942;0.001449;0.069565;0.094203;0.001449;0.001449;0.094203;0.001449;0.026087;0.001449;0.018841;0.001449;0.026087;0.001449;0.001449;0.001449;0.424638;0.001449;0.001449;0.001449
eb;0.005618;0.011236;0.089888;0.005618;0.011236;0.016854;0.005618;0.005618;0.033708;0.101124;0.005618;0.005618;0.471910;0.005618;0.117978;0.005618;0.005618;0.011236;0.005618;0.005618;0.005618;0.016854;0.033708;0.005618;0.005618;0.005618
el;0.000773;0.003094;0.011601;0.000773;0.077340;0.053364;0.116783;0.003094;0.167827;0.044857;0.000773;0.002320;0.014695;0.045630;0.001547;0.000773;0.037896;0.000773;0.276875;0.000773;0.020108;0.098221;0.002320;0.000773;0.016241;0.000773
ew;0.002688;0.016129;0.002688;0.032258;0.024194;0.247312;0.521505;0.002688;0.053763;0.016129;0.002688;0.002688;0.013441;0.002688;0.008065;0.018817;0.005376;0.002688;0.005376;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688;0.002688
ed;0.000498;0.017928;0.000498;0.000498;0.055279;0.008964;0.848108;0.000498;0.016434;0.002988;0.004980;0.000498;0.005478;0.000498;0.005976;0.004482;0.000498;0.000498;0.008466;0.000498;0.002988;0.005478;0.006474;0.000498;0.000498;0.000498
ey;0.001075;0.008602;0.001075;0.001075;0.002151;0.010753;0.764516;0.001075;0.018280;0.003226;0.001075;0.001075;0.007527;0.001075;0.118280;0.002151;0.001075;0.001075;0.005376;0.001075;0.013978;0.001075;0.001075;0.001075;0.030108;0.001075
eu;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.051282;0.025641;0.076923;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641
ek;0.004310;0.038793;0.004310;0.004310;0.012931;0.159483;0.573276;0.004310;0.060345;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.043103;0.004310;0.030172;0.004310;0.004310;0.004310;0.004310;0.004310
ev;0.001328;0.001328;0.001328;0.001328;0.075697;0.001328;0.001328;0.001328;0.856574;0.018592;0.001328;0.001328;0.019920;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328
e#;0.002151;0.006452;0.200000;0.002151;0.079570;0.002151;0.070968;0.002151;0.038710;0.234409;0.002151;0.079570;0.004301;0.002151;0.002151;0.002151;0.152688;0.002151;0.002151;0.002151;0.002151;0.002151;0.092473;0.002151;0.002151;0.008602
a(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
a);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
at;0.000185;0.011126;0.021139;0.012794;0.155572;0.088077;0.536065;0.001113;0.129427;0.004079;0.000185;0.013721;0.014092;0.001113;0.002781;0.000371;0.000185;0.000185;0.001113;0.000185;0.000185;0.000742;0.005006;0.000185;0.000185;0.000185
ah;0.004854;0.087379;0.004854;0.004854;0.004854;0.004854;0.669903;0.004854;0.048544;0.014563;0.004854;0.004854;0.014563;0.004854;0.004854;0.004854;0.004854;0.004854;0.067961;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854;0.004854
ai;0.001119;0.001119;0.030201;0.001119;0.001119;0.032438;0.001119;0.012304;0.001119;0.001119;0.098434;0.003356;0.001119;0.001119;0.097315;0.380313;0.001119;0.001119;0.065996;0.001119;0.260626;0.001119;0.001119;0.001119;0.001119;0.001119
as;0.000394;0.005512;0.135039;0.032677;0.031890;0.038189;0.596063;0.004331;0.064567;0.000787;0.000394;0.003543;0.019685;0.000394;0.000394;0.013780;0.001969;0.000394;0.000394;0.000394;0.000394;0.007087;0.010630;0.030315;0.000394;0.000394
a ;0.000378;0.000378;0.057801;0.038912;0.024178;0.079335;0.000378;0.054023;0.004156;0.037779;0.036645;0.065735;0.016245;0.043068;0.054023;0.037023;0.067624;0.060824;0.151114;0.055157;0.046845;0.011711;0.004156;0.004911;0.025312;0.022289
am;0.001199;0.003597;0.002398;0.001199;0.062350;0.015588;0.135492;0.008393;0.354916;0.115108;0.001199;0.001199;0.067146;0.001199;0.001199;0.003597;0.187050;0.023981;0.002398;0.001199;0.002398;0.002398;0.001199;0.001199;0.001199;0.001199
ae;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.471698;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868
aa;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ag;0.001828;0.003656;0.001828;0.003656;0.058501;0.003656;0.018282;0.012797;0.404022;0.224863;0.020110;0.001828;0.100548;0.001828;0.067642;0.027422;0.001828;0.001828;0.005484;0.001828;0.001828;0.001828;0.027422;0.001828;0.001828;0.001828
ac;0.000925;0.000925;0.339500;0.080481;0.014801;0.001850;0.004625;0.000925;0.196115;0.005550;0.000925;0.057354;0.003700;0.000925;0.022202;0.000925;0.000925;0.000925;0.002775;0.000925;0.000925;0.012026;0.004625;0.242368;0.000925;0.001850
ao;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.250000;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
af;0.005348;0.005348;0.518717;0.005348;0.005348;0.005348;0.010695;0.005348;0.074866;0.005348;0.005348;0.005348;0.005348;0.235294;0.048128;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348
ar;0.000341;0.006821;0.140518;0.000341;0.048772;0.045362;0.130969;0.014325;0.261596;0.033083;0.038199;0.015348;0.023533;0.001364;0.032060;0.013984;0.001364;0.003752;0.030355;0.000341;0.072988;0.056617;0.000341;0.024557;0.002046;0.001023
an;0.000161;0.004196;0.071970;0.000323;0.015491;0.049379;0.184605;0.000161;0.003873;0.008714;0.017751;0.024851;0.010328;0.000161;0.000161;0.015491;0.000161;0.000161;0.000161;0.000161;0.534452;0.040503;0.003389;0.012264;0.000161;0.000968
ap;0.002128;0.004255;0.012766;0.040426;0.053191;0.055319;0.057447;0.002128;0.055319;0.023404;0.002128;0.002128;0.038298;0.002128;0.012766;0.002128;0.614894;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128
ab;0.001044;0.002088;0.001044;0.001044;0.042797;0.028184;0.001044;0.001044;0.010438;0.016701;0.001044;0.001044;0.699374;0.001044;0.004175;0.001044;0.001044;0.005219;0.157620;0.001044;0.001044;0.010438;0.007307;0.001044;0.001044;0.001044
al;0.000317;0.007292;0.023462;0.000634;0.032340;0.072923;0.273621;0.011731;0.010463;0.006658;0.000317;0.001585;0.007926;0.005073;0.012365;0.000317;0.000951;0.000634;0.378567;0.014902;0.022511;0.004756;0.005707;0.104312;0.000317;0.000317
aw;0.004651;0.013953;0.004651;0.004651;0.027907;0.065116;0.386047;0.027907;0.023256;0.241860;0.004651;0.004651;0.004651;0.009302;0.004651;0.032558;0.004651;0.004651;0.018605;0.004651;0.004651;0.051163;0.004651;0.037209;0.004651;0.004651
ad;0.001096;0.010965;0.001096;0.001096;0.088816;0.014254;0.381579;0.048246;0.205044;0.009868;0.001096;0.012061;0.017544;0.001096;0.001096;0.004386;0.001096;0.001096;0.030702;0.001096;0.041667;0.055921;0.003289;0.001096;0.062500;0.002193
ay;0.000845;0.032095;0.001689;0.000845;0.105574;0.139358;0.613176;0.012669;0.019426;0.000845;0.000845;0.000845;0.009291;0.000845;0.000845;0.000845;0.000845;0.048142;0.004223;0.000845;0.001689;0.000845;0.000845;0.000845;0.000845;0.000845
au;0.002227;0.004454;0.062361;0.002227;0.002227;0.630290;0.035635;0.004454;0.002227;0.002227;0.048998;0.017817;0.002227;0.002227;0.015590;0.020045;0.002227;0.002227;0.080178;0.002227;0.046771;0.002227;0.002227;0.002227;0.002227;0.002227
ak;0.002326;0.009302;0.002326;0.002326;0.165116;0.013953;0.081395;0.002326;0.625581;0.034884;0.002326;0.002326;0.013953;0.004651;0.002326;0.006977;0.002326;0.002326;0.002326;0.002326;0.006977;0.002326;0.002326;0.002326;0.002326;0.002326
av;0.001209;0.001209;0.001209;0.001209;0.106409;0.001209;0.001209;0.001209;0.799274;0.026602;0.001209;0.001209;0.038694;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.001209;0.003628;0.001209;0.001209;0.001209;0.001209
a#;0.006993;0.020979;0.006993;0.006993;0.083916;0.006993;0.209790;0.006993;0.111888;0.013986;0.006993;0.006993;0.300699;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.118881;0.013986;0.006993;0.006993;0.006993
g(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
g);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gt;0.014925;0.014925;0.014925;0.179104;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.462687;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
gh;0.001269;0.002538;0.664975;0.001269;0.005076;0.006345;0.228426;0.001269;0.021574;0.007614;0.001269;0.001269;0.017766;0.001269;0.001269;0.002538;0.001269;0.002538;0.021574;0.001269;0.001269;0.001269;0.001269;0.001269;0.001269;0.001269
gi;0.003096;0.003096;0.052632;0.003096;0.003096;0.130031;0.003096;0.006192;0.009288;0.030960;0.003096;0.027864;0.006192;0.015480;0.043344;0.294118;0.003096;0.006192;0.006192;0.003096;0.003096;0.003096;0.068111;0.003096;0.232198;0.037152
gs;0.004065;0.028455;0.032520;0.004065;0.004065;0.004065;0.845528;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065
g ;0.000304;0.000304;0.305564;0.033141;0.079964;0.035573;0.000304;0.021587;0.013378;0.162055;0.008817;0.021283;0.065065;0.039526;0.014898;0.013682;0.025540;0.027668;0.018243;0.044694;0.020979;0.014594;0.018243;0.002432;0.004561;0.007601
gm;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.150000;0.250000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
ge;0.001008;0.012097;0.302419;0.001008;0.001008;0.069556;0.293347;0.007056;0.002016;0.008065;0.001008;0.001008;0.028226;0.001008;0.063508;0.127016;0.001008;0.001008;0.018145;0.001008;0.054435;0.001008;0.001008;0.001008;0.001008;0.001008
ga;0.002273;0.002273;0.279545;0.002273;0.293182;0.015909;0.004545;0.029545;0.002273;0.002273;0.084091;0.004545;0.002273;0.002273;0.040909;0.068182;0.013636;0.002273;0.106818;0.004545;0.002273;0.006818;0.002273;0.002273;0.018182;0.004545
gg;0.011905;0.011905;0.011905;0.011905;0.059524;0.035714;0.035714;0.011905;0.547619;0.011905;0.011905;0.011905;0.011905;0.011905;0.059524;0.011905;0.011905;0.011905;0.023810;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
gc;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
go;0.001006;0.015091;0.131791;0.001006;0.377264;0.007042;0.201207;0.001006;0.026157;0.009054;0.001006;0.001006;0.088531;0.001006;0.009054;0.041247;0.001006;0.001006;0.005030;0.002012;0.012072;0.001006;0.002012;0.001006;0.061368;0.001006
gf;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gr;0.002020;0.002020;0.002020;0.002020;0.040404;0.002020;0.002020;0.002020;0.529293;0.278788;0.002020;0.002020;0.098990;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.002020;0.004040;0.008081;0.002020;0.002020;0.002020
gn;0.004926;0.039409;0.004926;0.004926;0.118227;0.034483;0.467980;0.004926;0.103448;0.078818;0.004926;0.004926;0.059113;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.009852;0.004926;0.004926;0.004926
gp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gb;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gl;0.010417;0.010417;0.010417;0.010417;0.083333;0.010417;0.010417;0.010417;0.291667;0.083333;0.010417;0.010417;0.093750;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.208333;0.031250;0.010417;0.010417;0.010417
gw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gd;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gy;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.534483;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
gu;0.003367;0.003367;0.006734;0.003367;0.040404;0.026936;0.003367;0.124579;0.232323;0.094276;0.003367;0.003367;0.003367;0.003367;0.067340;0.101010;0.003367;0.006734;0.077441;0.003367;0.003367;0.171717;0.003367;0.003367;0.003367;0.003367
gk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
gv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
g#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
c(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
c);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ct;0.001164;0.006985;0.001164;0.001164;0.261932;0.060536;0.225844;0.003492;0.072177;0.010477;0.001164;0.001164;0.075669;0.001164;0.005821;0.001164;0.001164;0.001164;0.051222;0.001164;0.001164;0.001164;0.208382;0.001164;0.001164;0.001164
ch;0.000967;0.017408;0.000967;0.000967;0.100580;0.000967;0.482592;0.007737;0.086074;0.205029;0.000967;0.000967;0.034816;0.000967;0.015474;0.016441;0.000967;0.000967;0.001934;0.000967;0.000967;0.000967;0.017408;0.000967;0.000967;0.000967
ci;0.002193;0.002193;0.153509;0.002193;0.002193;0.103070;0.002193;0.004386;0.065789;0.307018;0.002193;0.002193;0.026316;0.067982;0.028509;0.085526;0.010965;0.002193;0.017544;0.002193;0.067982;0.002193;0.004386;0.002193;0.019737;0.013158
cs;0.005405;0.054054;0.005405;0.005405;0.005405;0.005405;0.816216;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405
c ;0.003356;0.003356;0.067114;0.013423;0.063758;0.080537;0.003356;0.043624;0.033557;0.090604;0.023490;0.063758;0.043624;0.026846;0.124161;0.030201;0.080537;0.033557;0.020134;0.063758;0.026846;0.010067;0.003356;0.003356;0.040268;0.003356
cm;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ce;0.000803;0.015261;0.000803;0.000803;0.007229;0.152610;0.439357;0.023293;0.002410;0.008835;0.000803;0.001606;0.004016;0.001606;0.089157;0.134137;0.017671;0.040964;0.008835;0.000803;0.042570;0.002410;0.001606;0.000803;0.000803;0.000803
ca;0.000443;0.001329;0.050066;0.000443;0.031458;0.076650;0.015064;0.082410;0.000443;0.000443;0.003101;0.000443;0.000443;0.000443;0.068232;0.334958;0.016393;0.007089;0.173682;0.000443;0.006203;0.000443;0.125831;0.000886;0.002215;0.000443
cg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cc;0.004785;0.004785;0.004785;0.004785;0.028708;0.004785;0.009569;0.004785;0.119617;0.363636;0.004785;0.004785;0.306220;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.076555;0.004785;0.004785;0.004785
co;0.000491;0.001474;0.034398;0.007371;0.001966;0.006880;0.011302;0.252580;0.001966;0.006388;0.002457;0.002457;0.013759;0.000983;0.054054;0.306634;0.004914;0.005405;0.025061;0.003440;0.001474;0.000491;0.215725;0.000491;0.037346;0.000491
cf;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cr;0.001715;0.001715;0.001715;0.001715;0.120069;0.001715;0.001715;0.001715;0.195540;0.518010;0.001715;0.001715;0.084048;0.001715;0.001715;0.001715;0.001715;0.001715;0.001715;0.001715;0.001715;0.006861;0.041166;0.001715;0.001715;0.001715
cn;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cb;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
cl;0.003135;0.003135;0.003135;0.003135;0.213166;0.003135;0.003135;0.003135;0.304075;0.137931;0.003135;0.003135;0.112853;0.003135;0.003135;0.003135;0.003135;0.003135;0.003135;0.003135;0.003135;0.012539;0.156740;0.003135;0.003135;0.003135
cw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
