,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
327,MCARTHUR,45-64,None
328,MCARTHUR,45-64,None
329,MCARTHUR,45-64,None
330,MCARTHUR,45-64,None
331,MCARTHUR,45-64,None
332,MCARTHUR,45-64,None
333,MCARTHUR,45-64,None
334,MCARTHUR,45-64,R
335,MCARTHUR,45-64,R
336,MCARTHUR,45-64,None
337,MCARTHUR,45-64,None
338,MCARTHUR,45-64,None
339,MCARTHUR,45-64,None
340,MCARTHUR,45-64,None
341,MCARTHUR,45-64,None
342,MCARTHUR,45-64,None
343,MCARTHUR,45-64,None
344,MCARTHUR,45-64,None
345,MCARTHUR,45-64,None
346,MCARTHUR,45-64,None
347,MCARTHUR,45-64,None
348,MCARTHUR,45-64,R
349,MCARTHUR,45-64,None
350,MCARTHUR,45-64,None
351,MCARTHUR,45-64,None
352,MCARTHUR,45-64,R
353,MCARTHUR,45-64,R
354,MCARTHUR,45-64,R
355,MCARTHUR,45-64,D
356,MCARTHUR,45-64,R
357,MCARTHUR,45-64,R
358,MCARTHUR,45-64,R
359,MCARTHUR,45-64,R
360,MCARTHUR,45-64,None
361,MCARTHUR,45-64,None
362,MCARTHUR,45-64,None
363,MCARTHUR,45-64,None
364,MCARTHUR,45-64,R
365,MCARTHUR,45-64,None
366,MCARTHUR,45-64,D
367,MCARTHUR,45-64,R
368,MCARTHUR,45-64,R
369,MCARTHUR,45-64,None
370,MCARTHUR,45-64,R
371,MCARTHUR,45-64,None
372,MCARTHUR,45-64,D
373,MCARTHUR,45-64,D
374,MCARTHUR,45-64,None
375,MCARTHUR,45-64,D
376,MCARTHUR,45-64,R
377,MCARTHUR,45-64,R
378,MCARTHUR,45-64,R
379,MCARTHUR,45-64,None
380,MCARTHUR,45-64,None
381,MCARTHUR,45-64,None
382,MCARTHUR,45-64,R
383,MCARTHUR,45-64,None
384,MCARTHUR,45-64,R
385,MCARTHUR,45-64,R
386,MCARTHUR,45-64,R
387,MCARTHUR,45-64,None
388,MCARTHUR,45-64,R
389,MCARTHUR,45-64,D
390,MCARTHUR,45-64,R
391,MCARTHUR,45-64,R
392,MCARTHUR,45-64,R
393,MCARTHUR,45-64,R
394,MCARTHUR,45-64,None
395,MCARTHUR,45-64,None
396,MCARTHUR,45-64,None
397,MCARTHUR,45-64,None
398,MCARTHUR,45-64,None
399,MCARTHUR,45-64,R
400,MCARTHUR,45-64,None
401,MCARTHUR,45-64,None
402,MCARTHUR,45-64,R
403,MCARTHUR,45-64,None
404,MCARTHUR,45-64,None
405,MCARTHUR,45-64,None
406,MCARTHUR,45-64,None
407,MCARTHUR,45-64,None
408,MCARTHUR,45-64,R
409,MCARTHUR,45-64,R
410,MCARTHUR,45-64,R
411,MCARTHUR,45-64,None
412,MCARTHUR,45-64,R
413,MCARTHUR,45-64,None
414,MCARTHUR,45-64,R
415,MCARTHUR,45-64,None
416,MCARTHUR,45-64,None
417,MCARTHUR,45-64,None
418,MCARTHUR,45-64,R
419,MCARTHUR,45-64,None
420,MCARTHUR,45-64,R
421,MCARTHUR,45-64,None
422,MCARTHUR,45-64,None
423,MCARTHUR,45-64,None
424,MCARTHUR,45-64,None
425,MCARTHUR,45-64,None
426,MCARTHUR,45-64,None
427,MCARTHUR,45-64,None
428,MCARTHUR,45-64,None
429,MCARTHUR,45-64,None
430,MCARTHUR,45-64,None
431,MCARTHUR,45-64,None
432,MCARTHUR,45-64,None
433,MCARTHUR,45-64,None
434,MCARTHUR,45-64,None
435,MCARTHUR,45-64,None
436,MCARTHUR,45-64,None
437,MCARTHUR,45-64,None
438,MCARTHUR,45-64,None
439,MCARTHUR,45-64,None
440,MCARTHUR,45-64,None
441,MCARTHUR,45-64,None
442,MCARTHUR,45-64,None
443,MCARTHUR,45-64,None
444,MCARTHUR,45-64,None
445,MCARTHUR,45-64,None
446,MCARTHUR,45-64,None
447,MCARTHUR,45-64,None
448,MCARTHUR,45-64,None
449,MCARTHUR,45-64,None
450,MCARTHUR,45-64,None
451,MCARTHUR,45-64,R
452,MCARTHUR,45-64,None
453,MCARTHUR,45-64,None
454,MCARTHUR,45-64,None
455,MCARTHUR,45-64,None
456,MCARTHUR,45-64,None
