,STREET,AGE_RANGE,PARTY_AFFILIATION
175,"E GREEN DR, ATHENS",24-44,None
176,"E GREEN DR, ATHENS",24-44,None
177,"E GREEN DR, ATHENS",0-24,None
178,"E GREEN DR, ATHENS",0-24,None
179,"E GREEN DR, ATHENS",24-44,None
180,"E GREEN DR, ATHENS",24-44,None
181,"E GREEN DR, ATHENS",24-44,None
182,"E GREEN DR, ATHENS",0-24,None
183,"E GREEN DR, ATHENS",24-44,None
184,"E GREEN DR, ATHENS",0-24,None
185,"E GREEN DR, ATHENS",24-44,None
186,"E GREEN DR, ATHENS",0-24,None
187,"N MCKINLEY AVE, ATHENS",0-24,None
188,"ADAMS ST, NELSONVILLE",24-44,None
189,"E OXBOW TRL, ATHENS",0-24,None
190,"HOME ST, ATHENS",24-44,None
191,"ROBBINS RD, NELSONVILLE",24-44,None
192,"SR 690, ATHENS",24-44,None
193,"PLEASANT HILL RD, ATHENS",45-64,None
194,"PLEASANT HILL RD, ATHENS",45-64,None
195,"MILL ST, ATHENS",0-24,None
196,"N MCKINLEY AVE, ATHENS",0-24,None
197,"HOCKING PARKWAY, NELSONVILLE",0-24,None
198,"HOCKING PARKWAY, NELSONVILLE",0-24,None
199,"N MCKINLEY AVE, ATHENS",0-24,None
200,"N MCKINLEY AVE, ATHENS",24-44,None
201,"HOCKING PARKWAY, NELSONVILLE",0-24,None
202,"N MCKINLEY AVE, ATHENS",24-44,None
203,"N MCKINLEY AVE, ATHENS",24-44,None
204,"N MCKINLEY AVE, ATHENS",24-44,None
205,"N MCKINLEY AVE, ATHENS",0-24,None
206,"S GREEN DR, ATHENS",0-24,None
207,"RUFUS ST, ATHENS",0-24,None
208,"1/2 S CONGRESS ST, ATHENS",0-24,None
209,"S COLLEGE ST, ATHENS",0-24,None
210,"1/2 N COURT ST, ATHENS",24-44,None
211,"1/2 N CONGRESS ST, ATHENS",24-44,None
212,"1/2 E STATE ST, ATHENS",24-44,None
213,"1/2 N COURT ST, ATHENS",24-44,D
214,"1/2 N COURT ST, ATHENS",24-44,None
215,"1/2 W WASHINGTON ST, ATHENS",24-44,None
216,"1/2 MORRIS AVE, ATHENS",24-44,None
217,"1/2 W STATE ST, ATHENS",24-44,None
218,"1/2 S COURT ST, ATHENS",24-44,None
219,"1/2 N COURT ST, ATHENS",24-44,None
220,"1/2 E STATE ST, ATHENS",24-44,None
221,"1/2 W UNION ST, ATHENS",24-44,None
222,"1/2 E STATE ST, ATHENS",24-44,None
223,"E STATE ST, ATHENS",45-64,None
224,"FRUM RD, ATHENS",45-64,None
225,"CONVERSE ST, CHAUNCEY",24-44,None
226,"COMMUNITY DR, ATHENS",0-24,None
227,"N HIGH ST, ATHENS",0-24,R
228,"JOHNSON RD, THE PLAINS",24-44,None
229,"HUDSON AVE, ATHENS",24-44,None
230,"SR 682, ATHENS",24-44,None
231,"N PLAINS RD, THE PLAINS",24-44,None
232,"RHORIC RD, ATHENS",24-44,None
233,"W UNION ST, ATHENS",24-44,None
234,"LAMAR DR, ATHENS",24-44,None
235,"WALNUT ST, NELSONVILLE",24-44,None
236,"E STIMSON AVE, ATHENS",0-24,None
237,"CARRIAGE HILL DR, ATHENS",24-44,None
238,"ANDOVER RD, ATHENS",24-44,None
239,"MAIN ST, MILLFIELD",24-44,None
240,"N CONGRESS ST, ATHENS",0-24,None
241,"N CONGRESS ST, ATHENS",0-24,None
242,"GROSVENOR ST, ATHENS",0-24,None
243,"N MCKINLEY AVE, ATHENS",24-44,None
244,"N CONGRESS ST, ATHENS",0-24,None
245,"E GREEN DR, ATHENS",24-44,None
246,"E GREEN DR, ATHENS",24-44,None
247,"E GREEN DR, ATHENS",24-44,None
248,"E GREEN DR, ATHENS",24-44,None
249,"JEFFERSON ST, NELSONVILLE",45-64,None
250,"UNIVERSITY ESTATES BLVD, ATHENS",24-44,None
251,"S GREEN DR, ATHENS",24-44,None
252,"S GREEN DR, ATHENS",0-24,None
253,"S GREEN DR, ATHENS",24-44,None
254,"S GREEN DR, ATHENS",24-44,None
255,"S GREEN DR, ATHENS",24-44,None
256,"S GREEN DR, ATHENS",24-44,None
257,"S GREEN DR, ATHENS",24-44,None
258,"S GREEN DR, ATHENS",24-44,None
259,"S GREEN DR, ATHENS",24-44,None
260,"S GREEN DR, ATHENS",24-44,None
261,"S GREEN DR, ATHENS",24-44,None
262,"S GREEN DR, ATHENS",24-44,None
263,"S GREEN DR, ATHENS",24-44,None
264,"S GREEN DR, ATHENS",24-44,None
265,"S GREEN DR, ATHENS",24-44,None
266,"S GREEN DR, ATHENS",24-44,None
267,"S GREEN DR, ATHENS",24-44,None
268,"S GREEN DR, ATHENS",0-24,None
269,"E GREEN DR, ATHENS",0-24,None
270,"N MCKINLEY AVE, ATHENS",0-24,None
271,"N MCKINLEY AVE, ATHENS",24-44,None
272,"N MCKINLEY AVE, ATHENS",24-44,None
273,"N MCKINLEY AVE, ATHENS",24-44,None
274,"N MCKINLEY AVE, ATHENS",24-44,None
275,"N MCKINLEY AVE, ATHENS",24-44,None
276,"N MCKINLEY AVE, ATHENS",24-44,None
277,"N MCKINLEY AVE, ATHENS",0-24,None
278,"N MCKINLEY AVE, ATHENS",24-44,None
279,"N MCKINLEY AVE, ATHENS",0-24,None
280,"N MCKINLEY AVE, ATHENS",0-24,None
281,"N MCKINLEY AVE, ATHENS",24-44,None
282,"N MCKINLEY AVE, ATHENS",24-44,None
283,"N MCKINLEY AVE, ATHENS",24-44,R
284,"MORRIS AVE, ATHENS",24-44,None
285,"N MCKINLEY AVE, ATHENS",24-44,None
286,"N MCKINLEY AVE, ATHENS",24-44,None
287,"N MCKINLEY AVE, ATHENS",24-44,None
288,"N MCKINLEY AVE, ATHENS",24-44,None
289,"N MCKINLEY AVE, ATHENS",24-44,None
290,"N MCKINLEY AVE, ATHENS",0-24,None
291,"N MCKINLEY AVE, ATHENS",24-44,None
292,"N MCKINLEY AVE, ATHENS",24-44,None
293,"E GREEN DR, ATHENS",24-44,None
294,"1/2 W UNION ST, ATHENS",24-44,None
295,"1/2 N COURT ST, ATHENS",24-44,None
296,"1/2 N COURT ST, ATHENS",24-44,None
297,"1/2 PALMER ST, ATHENS",24-44,None
298,"1/2 W STATE ST, ATHENS",24-44,None
299,"1/2 W WASHINGTON ST, ATHENS",24-44,None
300,"1/2 N COURT ST, ATHENS",24-44,None
301,"1/2 W UNION ST, ATHENS",24-44,None
302,"1/2 S COURT ST, ATHENS",24-44,None
303,"1/2 W WASHINGTON ST, ATHENS",24-44,None
304,"1/2 S COURT ST, ATHENS",24-44,None
305,"1/2 PALMER ST, ATHENS",24-44,None
306,"1/2 N COURT ST, ATHENS",24-44,None
307,"1/2 N CONGRESS ST, ATHENS",24-44,None
308,"1/2 W STATE ST, ATHENS",24-44,None
309,"1/2 N COURT ST, ATHENS",24-44,None
310,"1/2 N LANCASTER ST, ATHENS",24-44,None
311,"1/2 N COURT ST, ATHENS",24-44,None
312,"1/2 S COURT ST, ATHENS",24-44,None
313,"1/2 W STATE ST, ATHENS",24-44,None
314,"W WASHINGTON ST, NELSONVILLE",24-44,None
315,"W UNION ST, ATHENS",0-24,D
316,"N LANCASTER ST, ATHENS",24-44,None
317,"ERVIN RD, ATHENS",0-24,None
318,"MILL ST, ATHENS",0-24,None
319,"W UNION ST, ATHENS",0-24,None
320,"HOME ST, ATHENS",45-64,None
321,"ANDOVER RD, ATHENS",0-24,None
322,"BRIMSTONE RD, COOLVILLE",0-24,None
323,"FRANKLIN AVE, ATHENS",0-24,None
324,"LUHRIG RD, ATHENS",24-44,None
325,"MONTICELLO DR, ATHENS",24-44,None
326,"PLEASANT HILL RD, ATHENS",45-64,None
327,"CABLE LN, ATHENS",24-44,None
328,"RICHLAND AVE, ATHENS",0-24,None
329,"SR 550, AMESVILLE",45-64,None
330,"MILL ST, ATHENS",24-44,None
331,"MAY AVE, CHAUNCEY",24-44,None
332,"ELM ROCK RD, NELSONVILLE",24-44,None
333,"ANDOVER RD, ATHENS",0-24,None
334,"S GREEN DR, ATHENS",0-24,None
335,"S GREEN DR, ATHENS",24-44,None
336,"S GREEN DR, ATHENS",24-44,None
337,"S GREEN DR, ATHENS",24-44,None
338,"S GREEN DR, ATHENS",24-44,None
339,"S GREEN DR, ATHENS",24-44,None
340,"S GREEN DR, ATHENS",24-44,None
341,"S GREEN DR, ATHENS",24-44,None
342,"S GREEN DR, ATHENS",24-44,None
343,"S GREEN DR, ATHENS",24-44,None
344,"S GREEN DR, ATHENS",24-44,None
345,"S GREEN DR, ATHENS",24-44,None
346,"S GREEN DR, ATHENS",24-44,None
347,"S GREEN DR, ATHENS",24-44,None
348,"S GREEN DR, ATHENS",24-44,None
349,"S GREEN DR, ATHENS",24-44,None
350,"E OXBOW TRL, ATHENS",0-24,None
351,"E OXBOW TRL, ATHENS",0-24,None
352,"E OXBOW TRL, ATHENS",0-24,None
353,"E OXBOW TRL, ATHENS",0-24,None
354,"E OXBOW TRL, ATHENS",0-24,None
355,"E OXBOW TRL, ATHENS",0-24,None
356,"E OXBOW TRL, ATHENS",24-44,None
357,"E OXBOW TRL, ATHENS",24-44,None
358,"E OXBOW TRL, ATHENS",24-44,None
359,"E OXBOW TRL, ATHENS",0-24,None
360,"E GREEN DR, ATHENS",24-44,None
361,"E GREEN DR, ATHENS",24-44,None
362,"E GREEN DR, ATHENS",0-24,None
363,"E GREEN DR, ATHENS",24-44,None
364,"E GREEN DR, ATHENS",0-24,None
365,"E GREEN DR, ATHENS",24-44,None
366,"E GREEN DR, ATHENS",24-44,None
367,"E GREEN DR, ATHENS",24-44,None
368,"E GREEN DR, ATHENS",0-24,None
369,"E GREEN DR, ATHENS",0-24,None
370,"E GREEN DR, ATHENS",24-44,None
371,"E GREEN DR, ATHENS",24-44,None
372,"E GREEN DR, ATHENS",24-44,None
373,"E GREEN DR, ATHENS",24-44,None
374,"E GREEN DR, ATHENS",24-44,None
375,"E GREEN DR, ATHENS",24-44,None
376,"E GREEN DR, ATHENS",24-44,None
377,"E GREEN DR, ATHENS",24-44,None
378,"E GREEN DR, ATHENS",24-44,None
379,"E GREEN DR, ATHENS",0-24,None
380,"E GREEN DR, ATHENS",24-44,None
381,"E GREEN DR, ATHENS",0-24,D
382,"E GREEN DR, ATHENS",24-44,None
383,"E GREEN DR, ATHENS",24-44,None
384,"E GREEN DR, ATHENS",0-24,None
385,"1/2 S COURT ST, ATHENS",24-44,None
386,"1/2 S COURT ST, ATHENS",24-44,None
387,"1/2 N CONGRESS ST, ATHENS",24-44,None
388,"1/2 S COURT ST, ATHENS",24-44,None
389,"1/2 PALMER ST, ATHENS",24-44,None
390,"1/2 S COURT ST, ATHENS",24-44,None
391,"1/2 W WASHINGTON ST, ATHENS",24-44,None
392,"1/2 N COURT ST, ATHENS",24-44,None
393,"1/2 E STATE ST, ATHENS",24-44,D
394,"1/2 S COURT ST, ATHENS",24-44,None
395,"1/2 W WASHINGTON ST, ATHENS",24-44,None
396,"1/2 N COURT ST, ATHENS",24-44,None
397,"1/2 W STATE ST, ATHENS",24-44,None
398,"1/2 N CONGRESS ST, ATHENS",24-44,None
399,"1/2 N COURT ST, ATHENS",24-44,None
400,"PUBLIC SQ, NELSONVILLE",65+,None
401,"W UNION ST, ATHENS",24-44,None
402,"HIGHLAND AVE, GLOUSTER",24-44,None
403,"CHESTNUT ST, NELSONVILLE",24-44,None
404,"CHARLES ST, ATHENS",24-44,None
405,"POPLAR ST, NELSONVILLE",0-24,None
406,"POPLAR ST, NELSONVILLE",0-24,None
407,"S SHAFER ST, ATHENS",0-24,None
408,"S HARPER ST, NELSONVILLE",0-24,None
409,"SMITH ST, ATHENS",24-44,None
410,"UNIVERSITY ESTATES BLVD, ATHENS",24-44,None
411,"E FOURTH ST, THE PLAINS",24-44,None
412,"ANDOVER RD, ATHENS",24-44,None
413,"HOCKING PARKWAY, NELSONVILLE",0-24,None
414,"HOCKING PARKWAY, NELSONVILLE",0-24,None
415,"POMEROY RD, ATHENS",24-44,None
416,"S HARPER ST, NELSONVILLE",0-24,None
417,"HOCKING PARKWAY, NELSONVILLE",0-24,None
418,"SR 329, GUYSVILLE",24-44,None
419,"MILL ST, ATHENS",0-24,None
420,"1/2 N CONGRESS ST, ATHENS",0-24,None
421,"HOCKING PARKWAY, NELSONVILLE",0-24,None
