,STREET,AGE_RANGE,PARTY_AFFILIATION
236,"N MARKET ST, MCARTHUR",24-44,None
237,"ST RT 93 N, MCARTHUR",45-64,None
238,"S MARKET ST, MCARTHUR",65+,None
239,"GOOSECREEK RD, MCARTHUR",24-44,None
240,"HEADLEY RD, RAY",24-44,None
241,"WILKESVILLE ST, HAMDEN",24-44,None
242,"N MARKET ST, MCARTHUR",45-64,None
243,"GARRETT RIDGE RD, MCARTHUR",45-64,None
244,"US HIGHWAY 50, MCARTHUR",45-64,None
245,"ST RT 160, RADCLIFF",45-64,R
246,"GOOSECREEK RD, MCARTHUR",45-64,None
247,"ST RT 278, MCARTHUR",45-64,R
248,"MURPHY REMY RD, MCARTHUR",65+,R
249,"US HIGHWAY 50, MCARTHUR",24-44,R
250,"W HIGH ST, MCARTHUR",45-64,None
251,"FOUT RD, LONDONDERRY",24-44,None
252,"ROWLAND RD, HAMDEN",24-44,R
253,"N MARKET ST, MCARTHUR",65+,None
254,"OLD MCARTHUR RD, MCARTHUR",24-44,None
255,"WOODGEARD RD, CREOLA",45-64,None
256,"MT ZION RD, MCARTHUR",45-64,R
257,"MT ZION RD, MCARTHUR",45-64,R
258,"KELLY RD, RAY",0-24,None
259,"ST RT 160, HAMDEN",45-64,None
260,"CURRY RD, MCARTHUR",24-44,None
261,"N FIRST ST, ZALESKI",24-44,R
262,"ASHMORE RD, MCARTHUR",45-64,None
263,"OLD RT 50, LONDONDERRY",24-44,None
264,"OLD MCARTHUR RD, MCARTHUR",24-44,R
265,"BROOKS MARTIN RD, MCARTHUR",24-44,R
266,"W MAIN ST, MCARTHUR",45-64,D
267,"S MARKET ST, MCARTHUR",0-24,None
268,"US HIGHWAY 50, MCARTHUR",24-44,None
269,"WOLF HILL RD, MCARTHUR",45-64,None
270,"BROOKS MARTIN RD, MCARTHUR",24-44,R
271,"SAM RUSSELL RD, HAMDEN",24-44,None
272,"CREOLA RD, CREOLA",45-64,None
273,"THACKER AVE, HAMDEN",24-44,None
274,"CHILLICOTHE ST, HAMDEN",24-44,None
275,"BEECHGROVE RD, LONDONDERRY",45-64,None
276,"ROWLAND RD, HAMDEN",24-44,None
277,"STEVENS BRANCH RD, LONDONDERRY",45-64,None
278,"GRAVES RD, LONDONDERRY",45-64,None
279,"ST RT 683, MCARTHUR",45-64,None
280,"E MAIN ST, MCARTHUR",45-64,None
281,"WOLF HILL RD, MCARTHUR",24-44,None
282,"MURPHY REMY RD, MCARTHUR",0-24,None
283,"DONAHUE RD, VINTON",45-64,None
284,"HEADLEY RD, RAY",45-64,None
285,"PRATTSVILLE RD, MCARTHUR",0-24,None
286,"EAGLE MILLS RD, LONDONDERRY",65+,R
287,"FRAZEE LN, MCARTHUR",45-64,None
288,"SIVERLY CREEK RD, MCARTHUR",24-44,None
289,"S MARKET ST, MCARTHUR",24-44,None
290,"W SOUTH ST, MCARTHUR",0-24,R
291,"OLD STATE RD, MCARTHUR",24-44,R
292,"US HIGHWAY 50, MCARTHUR",24-44,None
293,"ENGLE DR, MCARTHUR",65+,R
294,"LAKEVIEW RD, HAMDEN",24-44,R
295,"PUMPKIN RIDGE RD, NEW PLYMOUTH",24-44,None
296,"S MARKET ST, MCARTHUR",45-64,None
297,"US HIGHWAY 50, MCARTHUR",45-64,None
298,"US HIGHWAY 50, MCARTHUR",65+,R
299,"S MAIN, HAMDEN",45-64,D
300,"ST RT 328, NEW PLYMOUTH",45-64,None
301,"SECOND ST, HAMDEN",24-44,None
