,STREET,AGE_RANGE,PARTY_AFFILIATION
3412,"US HIGHWAY 50, ALBANY",45-64,R
3413,"LOCUST GROVE RD, CREOLA",45-64,None
3414,"SIVERLY CREEK RD, MCARTHUR",45-64,R
3415,"SIVERLY CREEK RD, MCARTHUR",65+,D
3416,"ST RT 278, MCARTHUR",65+,D
3417,"NICHOLS RD, LONDONDERRY",24-44,None
3418,"ST RT 327, LONDONDERRY",45-64,None
3419,"ST RT 327, LONDONDERRY",45-64,None
3420,"S PEARL ST, MCARTHUR",24-44,R
3421,"DICKEY RD, RAY",65+,None
3422,"DICKEY RD, RAY",65+,None
3423,"KELLY RD, RAY",24-44,None
3424,"ST RT 328, NEW PLYMOUTH",24-44,None
3425,"GORRELL RD, HAMDEN",65+,R
3426,"US HIGHWAY 50, LONDONDERRY",24-44,None
3427,"WILKESVILLE ST, HAMDEN",65+,D
3428,"N SUGAR ST, MCARTHUR",45-64,R
3429,"ST RT 160, VINTON",65+,R
3430,"SIVERLY CREEK RD, MCARTHUR",24-44,R
3431,"PUMPKIN RIDGE RD, NEW PLYMOUTH",65+,None
3432,"LOCUST GROVE RD, CREOLA",24-44,None
3433,"CREOLA CEMETERY RD, CREOLA",65+,D
3434,"EAST FORK RD, LAURELVILLE",45-64,None
3435,"KNOX RD, RADCLIFF",45-64,D
3436,"GREY RD, VINTON",65+,None
3437,"ST RT 683, MCARTHUR",24-44,None
3438,"EAST FORK RD, LAURELVILLE",45-64,R
3439,"EAST FORK RD, LAURELVILLE",45-64,R
3440,"ST RT 327, LONDONDERRY",65+,None
3441,"PRETTY RUN RD, SOUTH BLOOMINGVILLE",24-44,R
3442,"N MARKET ST, MCARTHUR",65+,None
3443,"ST RT 683, MCARTHUR",24-44,D
3444,"STANTON AVE, HAMDEN",45-64,R
3445,"HAWK STATION RD, WELLSTON",45-64,R
3446,"PUMPKIN RIDGE RD, NEW PLYMOUTH",65+,D
3447,"OLD RT 50, LONDONDERRY",24-44,R
3448,"FRAZEE LN, MCARTHUR",24-44,None
3449,"PRETTY RUN RD, SOUTH BLOOMINGVILLE",65+,R
3450,"ENGLE DR, MCARTHUR",45-64,R
3451,"ST RT 683, MCARTHUR",24-44,None
3452,"E NORTH ST, MCARTHUR",45-64,R
3453,"WOODGEARD RD, CREOLA",45-64,R
3454,"MINERTON RD, VINTON",65+,D
3455,"W MILL ST, MCARTHUR",45-64,R
3456,"WOODGEARD RD, CREOLA",45-64,R
3457,"LOCKER PLANT RD, MCARTHUR",45-64,None
3458,"WEST JUNCTION RD, RAY",45-64,R
3459,"BOLAR RD, MCARTHUR",45-64,R
3460,"HARKINS CHAPEL RD, ALBANY",24-44,R
3461,"HARKINS CHAPEL RD, ALBANY",24-44,R
3462,"VINTON AVE, MCARTHUR",65+,R
3463,"ZION RD, HAMDEN",65+,None
3464,"N BOUNDARY AVE, MCARTHUR",45-64,None
3465,"ST RT 683, MCARTHUR",45-64,None
3466,"ST RT 683, MCARTHUR",45-64,None
3467,"S FIRST ST, ZALESKI",24-44,None
3468,"WILSON AVE, HAMDEN",24-44,R
3469,"CREOLA CEMETERY RD, CREOLA",45-64,None
3470,"MURPHY REMY RD, MCARTHUR",45-64,R
3471,"MURPHY REMY RD, MCARTHUR",65+,R
3472,"WILT RD, LONDONDERRY",45-64,None
3473,"HAWK STATION RD, VINTON",45-64,None
3474,"LAKEVIEW RD, HAMDEN",24-44,None
3475,"ST RT 689, ALBANY",24-44,D
3476,"ST RT 683, MCARTHUR",24-44,R
3477,"SIVERLY CREEK RD, MCARTHUR",24-44,R
3478,"LOCUST GROVE RD, MCARTHUR",45-64,None
3479,"LOCUST GROVE RD, MCARTHUR",65+,D
3480,"SIVERLY CREEK RD, MCARTHUR",45-64,R
3481,"ZION RD, HAMDEN",0-24,None
3482,"BEECHGROVE RD, LONDONDERRY",45-64,R
3483,"WOODGEARD RD, CREOLA",65+,None
3484,"CENTENARY RD, MCARTHUR",45-64,None
3485,"CARPENTER RD, RAY",45-64,R
3486,"WOLF HILL RD, MCARTHUR",65+,R
3487,"THOMPSON ST, MCARTHUR",24-44,R
3488,"E NORTH ST, MCARTHUR",24-44,None
3489,"US HIGHWAY 50, MCARTHUR",45-64,None
3490,"N WALNUT ST, MCARTHUR",24-44,R
3491,"MOUNT OLIVE RD, MCARTHUR",24-44,R
3492,"THOMPSON ST, MCARTHUR",24-44,None
3493,"CHILLICOTHE ST, HAMDEN",24-44,None
3494,"OLD RT 50, LONDONDERRY",45-64,R
3495,"ST RT 93 N, MCARTHUR",24-44,None
3496,"E HIGH ST, MCARTHUR",45-64,None
3497,"KNOX RD, RADCLIFF",45-64,R
3498,"S MAIN, HAMDEN",65+,None
3499,"ST RT 671, LONDONDERRY",45-64,None
3500,"N MAIN ST, HAMDEN",45-64,None
3501,"SIVERLY CREEK RD, MCARTHUR",45-64,None
3502,"ST RT 324, HAMDEN",45-64,R
3503,"LONG RUN RD, ALBANY",45-64,None
3504,"LONG RUN RD, ALBANY",24-44,None
3505,"ST RT 56, NEW PLYMOUTH",45-64,None
3506,"ST RT 160, RADCLIFF",65+,D
3507,"N WALNUT ST, MCARTHUR",24-44,None
3508,"E NORTH ST, MCARTHUR",65+,None
3509,"DICKEY RD, RAY",24-44,None
3510,"S MARKET ST, MCARTHUR",45-64,None
3511,"ST RT 689, ALBANY",24-44,R
3512,"S FIRST ST, ZALESKI",24-44,R
3513,"PRETTY RUN RD, SOUTH BLOOMINGVILLE",24-44,None
3514,"US HIGHWAY 50, MCARTHUR",45-64,None
3515,"LOCUST GROVE RD, MCARTHUR",45-64,None
3516,"BOLAR RD, MCARTHUR",24-44,None
3517,"ST RT 93 N, MCARTHUR",0-24,None
3518,"WOLF HILL RD, MCARTHUR",0-24,None
3519,"ZION RD, HAMDEN",24-44,None
3520,"ST RT 160, HAMDEN",45-64,None
3521,"W MILL ST, MCARTHUR",24-44,None
3522,"ST RT 324, HAMDEN",24-44,None
3523,"ZION RD, HAMDEN",0-24,None
3524,"SIVERLY CREEK RD, MCARTHUR",0-24,R
3525,"GRAVES RD, LONDONDERRY",0-24,None
3526,"MALONE RD, RADCLIFF",65+,None
3527,"ST RT 56, NEW PLYMOUTH",24-44,None
3528,"BOLAR RD, MCARTHUR",24-44,None
3529,"ST RT 93 S, HAMDEN",24-44,None
3530,"WOODGEARD RD, CREOLA",65+,R
3531,"PAINE ST, HAMDEN",24-44,None
3532,"MEEKSVILLE RD, MCARTHUR",24-44,R
3533,"SCOTT AVE, HAMDEN",45-64,R
3534,"W SOUTH ST, MCARTHUR",45-64,None
3535,"N MARKET ST, MCARTHUR",0-24,None
3536,"OLD RT 50, LONDONDERRY",0-24,None
3537,"LOCKER PLANT RD, MCARTHUR",24-44,None
3538,"EAST FORK RD, LAURELVILLE",45-64,None
3539,"BEECHGROVE RD, LONDONDERRY",24-44,None
3540,"NICHOLS RD, LONDONDERRY",24-44,None
3541,"MINNIE WHITE RD, NEW PLYMOUTH",45-64,None
3542,"W HIGH ST, MCARTHUR",0-24,R
3543,"WOODGEARD RD, CREOLA",45-64,None
3544,"WOODGEARD RD, CREOLA",45-64,None
3545,"ST RT 327, LONDONDERRY",0-24,None
3546,"LOCUST ST, MCARTHUR",45-64,R
3547,"US HIGHWAY 50, ALBANY",0-24,None
3548,"W MAIN ST, MCARTHUR",45-64,D
3549,"US HIGHWAY 50, MCARTHUR",45-64,None
3550,"DICKEY RD, RAY",65+,None
3551,"MAPLE DR, MCARTHUR",24-44,None
3552,"WHEELABOUT RD, MCARTHUR",45-64,None
3553,"OLD RT 50, LONDONDERRY",65+,R
3554,"OLD RT 50, LONDONDERRY",65+,R
3555,"ST RT 93, LOGAN",45-64,None
3556,"MADISON AVE, MCARTHUR",45-64,None
3557,"S MARKET ST, MCARTHUR",24-44,None
3558,"BUNKER HILL RD, MCARTHUR",45-64,R
3559,"SAM RUSSELL RD, HAMDEN",24-44,None
3560,"VETERANS MEMORIAL DR, MCARTHUR",45-64,None
3561,"WOLF HILL RD, MCARTHUR",24-44,None
3562,"GORRELL RD, HAMDEN",65+,None
3563,"ZIMMERMAN RD, ALBANY",24-44,None
3564,"FITZPATRICK RD, RADCLIFF",65+,R
3565,"MORGAN RD, MCARTHUR",24-44,None
3566,"N BOUNDARY AVE, MCARTHUR",24-44,None
3567,"PUMPKIN RIDGE RD, NEW PLYMOUTH",45-64,None
3568,"KELLY RD, RAY",24-44,None
3569,"WOLF HILL RD, MCARTHUR",24-44,R
3570,"MCARTHUR PARK DR, MCARTHUR",24-44,None
3571,"MOUNT OLIVE RD, MCARTHUR",24-44,None
3572,"WOODGEARD RD, CREOLA",24-44,None
3573,"ST RT 327, LONDONDERRY",24-44,None
3574,"ST RT 124, VINTON",0-24,None
3575,"ST RT 683, MCARTHUR",24-44,None
3576,"SIVERLY CREEK RD, MCARTHUR",24-44,None
3577,"MARTINDILL RD, MCARTHUR",0-24,None
3578,"SAM RUSSELL RD, HAMDEN",24-44,None
3579,"SCOTT RD, CREOLA",24-44,None
3580,"NEWSOM RD, VINTON",45-64,None
3581,"NEWSOM RD, VINTON",45-64,None
3582,"N MARKET ST, MCARTHUR",0-24,None
3583,"GOOSECREEK RD, MCARTHUR",24-44,R
3584,"TWO MILE RD, NEW PLYMOUTH",24-44,None
3585,"MURPHY REMY RD, MCARTHUR",65+,R
3586,"VANDYKE RD, NEW MARSHFIELD",45-64,None
3587,"NEWSOM RD, VINTON",24-44,R
3588,"NEWSOM RD, VINTON",24-44,D
3589,"N BOUNDARY AVE, MCARTHUR",24-44,None
3590,"ST RT 93, HAMDEN",0-24,None
3591,"W MAIN ST, MCARTHUR",24-44,R
3592,"HAWK STATION RD, VINTON",45-64,None
3593,"CHILLICOTHE ST, HAMDEN",45-64,R
3594,"N MARKET ST, MCARTHUR",24-44,None
3595,"SIVERLY CREEK RD, MCARTHUR",0-24,None
3596,"MCARTHUR AVE, MCARTHUR",45-64,R
3597,"OLD RT 50, LONDONDERRY",24-44,None
3598,"US HIGHWAY 50, MCARTHUR",0-24,None
3599,"W MAIN ST, MCARTHUR",0-24,None
3600,"ST RT 93, HAMDEN",0-24,None
3601,"ST RT 93, HAMDEN",45-64,None
3602,"EAGLE MILLS RD, LONDONDERRY",24-44,None
3603,"W HIGH ST, MCARTHUR",24-44,R
3604,"KELLY RD, RAY",24-44,None
3605,"NEWSOM RD, VINTON",65+,R
3606,"NEWSOM RD, VINTON",65+,R
3607,"SAM RUSSELL RD, HAMDEN",45-64,None
3608,"W MAIN ST, MCARTHUR",45-64,None
3609,"E HIGH ST, MCARTHUR",0-24,R
3610,"SCOTT RD, CREOLA",24-44,None
3611,"MORGAN RD, MCARTHUR",45-64,None
3612,"DUNCAN SQ, MCARTHUR",45-64,None
3613,"FAIRVIEW RD, RAY",45-64,R
3614,"ST RT 56, NEW PLYMOUTH",45-64,None
3615,"RADCLIFF RD, RADCLIFF",45-64,None
3616,"MOUNT OLIVE RD, MCARTHUR",65+,None
3617,"ALBRIGHT RD, LONDONDERRY",45-64,None
3618,"GOOSECREEK RD, MCARTHUR",45-64,None
3619,"CURRY RD, MCARTHUR",65+,None
3620,"ST RT 278, MCARTHUR",65+,None
3621,"ASHMORE RD, MCARTHUR",65+,R
3622,"GENG RD, CREOLA",45-64,None
3623,"SIVERLY CREEK RD, MCARTHUR",45-64,None
3624,"CLARK RD, RAY",65+,None
3625,"TWO MILE RD, NEW PLYMOUTH",45-64,None
3626,"ST RT 683, MCARTHUR",45-64,None
3627,"MOUND HILL RD, ALBANY",65+,None
3628,"NEWSOM RD, VINTON",45-64,None
3629,"OLD RT 50, LONDONDERRY",24-44,None
3630,"GOOSECREEK RD, MCARTHUR",65+,None
3631,"ST RT 327, LONDONDERRY",65+,None
3632,"EAST FORK RD, LAURELVILLE",45-64,None
3633,"MOUND HILL RD, ALBANY",65+,None
3634,"WHEELABOUT RD, MCARTHUR",24-44,None
3635,"N MAIN ST, HAMDEN",24-44,None
3636,"US HIGHWAY 50, MCARTHUR",24-44,None
3637,"ST RT 93, HAMDEN",65+,None
3638,"WHEELABOUT RD, MCARTHUR",24-44,None
3639,"CARPENTER RD, RAY",45-64,None
3640,"NICHOLS RD, LONDONDERRY",45-64,None
3641,"ST RT 327, LONDONDERRY",45-64,None
3642,"ST RT 56, NEW PLYMOUTH",45-64,None
3643,"SAM RUSSELL RD, HAMDEN",45-64,None
3644,"OLD STATE RD, MCARTHUR",65+,None
3645,"MEEKSVILLE RD, MCARTHUR",24-44,None
3646,"US HIGHWAY 50, LONDONDERRY",24-44,None
3647,"OLD RT 50, LONDONDERRY",24-44,None
3648,"CURRY RD, MCARTHUR",45-64,None
3649,"ST RT 160, HAMDEN",24-44,None
3650,"MOUND HILL RD, ALBANY",45-64,None
3651,"MARTINDILL RD, MCARTHUR",45-64,None
3652,"N MCKINNIS AVE, HAMDEN",24-44,None
3653,"PAINE ST, HAMDEN",24-44,None
3654,"KNOX RD, RADCLIFF",24-44,None
3655,"US HIGHWAY 50, MCARTHUR",65+,None
3656,"ST RT 160, HAMDEN",0-24,None
3657,"WOLF HILL RD, MCARTHUR",0-24,D
3658,"KELLY RD, RAY",45-64,None
3659,"ST RT 327, LONDONDERRY",45-64,None
3660,"N PEARL ST, MCARTHUR",45-64,None
3661,"BOLAR RD, MCARTHUR",24-44,None
3662,"MAIN ST, WILKESVILLE",45-64,None
3663,"LONG RUN RD, ALBANY",24-44,None
3664,"HARKINS CHAPEL RD, ALBANY",24-44,None
3665,"HARKINS CHAPEL RD, ALBANY",65+,None
3666,"DUNKLE CREEK RD, CREOLA",24-44,None
3667,"BLEDSOE RD, RAY",24-44,None
3668,"CLARK RD, RAY",65+,None
3669,"US HIGHWAY 50, MCARTHUR",0-24,None
3670,"N MAIN ST, HAMDEN",45-64,None
3671,"NICHOLS RD, LONDONDERRY",45-64,None
3672,"TWO MILE RD, NEW PLYMOUTH",24-44,None
3673,"E MAIN ST, MCARTHUR",45-64,None
3674,"MURPHY REMY RD, MCARTHUR",0-24,None
3675,"W MAIN ST, MCARTHUR",0-24,None
3676,"OLD STATE RD, MCARTHUR",45-64,None
3677,"ST RT 683, MCARTHUR",45-64,None
3678,"N FIRST ST, ZALESKI",24-44,None
3679,"ST RT 683, MCARTHUR",24-44,None
3680,"HART RIDGE RD, MCARTHUR",24-44,None
3681,"WOLF HILL RD, MCARTHUR",24-44,None
3682,"ST RT 324, HAMDEN",45-64,R
3683,"ST RT 93 S, CREOLA",45-64,None
3684,"W HIGH ST, MCARTHUR",24-44,None
3685,"ST RT 278, MCARTHUR",45-64,None
3686,"OLD RT 50, LONDONDERRY",65+,None
3687,"LOCUST GROVE RD, CREOLA",45-64,None
3688,"DUNCAN SQ, MCARTHUR",45-64,None
3689,"N MAIN ST, HAMDEN",45-64,None
3690,"N MARKET ST, MCARTHUR",65+,None
3691,"US HIGHWAY 50, MCARTHUR",24-44,None
3692,"ST RT 93 N, MCARTHUR",24-44,None
3693,"ST RT 93 N, MCARTHUR",45-64,None
3694,"SAM RUSSELL RD, HAMDEN",45-64,None
3695,"COOPER RD, RADCLIFF",24-44,None
3696,"MURPHY REMY RD, MCARTHUR",24-44,None
3697,"CLARK RD, RAY",24-44,None
3698,"N PEARL ST, MCARTHUR",24-44,None
3699,"N PEARL ST, MCARTHUR",0-24,None
3700,"LOCUST GROVE RD, MCARTHUR",24-44,None
3701,"E NORTH ST, MCARTHUR",0-24,None
3702,"ST RT 683, MCARTHUR",0-24,None
3703,"BUNKER HILL RD, MCARTHUR",24-44,None
3704,"N MARKET ST, MCARTHUR",24-44,None
3705,"W SOUTH ST, MCARTHUR",24-44,None
3706,"ST RT 324, HAMDEN",24-44,None
3707,"THACKER AVE, HAMDEN",45-64,None
3708,"SCOTT RD, CREOLA",24-44,None
3709,"NORTH FAIRVIEW RD, LOGAN",45-64,None
3710,"MCARTHUR PARK DR, MCARTHUR",24-44,None
3711,"WOLF HILL RD, MCARTHUR",24-44,None
3712,"WOLF HILL RD, MCARTHUR",24-44,None
3713,"CIRCLE DR, MCARTHUR",65+,None
3714,"UNION RIDGE RD, ALBANY",24-44,None
3715,"NORTHVIEW RD, MCARTHUR",45-64,None
3716,"ST RT 93 S, CREOLA",24-44,None
3717,"N MARKET ST, MCARTHUR",45-64,None
3718,"S PEARL ST, MCARTHUR",24-44,None
3719,"DUNKLE CREEK RD, CREOLA",65+,None
3720,"ST RT 56, NEW PLYMOUTH",45-64,R
3721,"OLD RT 50, LONDONDERRY",45-64,R
3722,"MT ZION RD, MCARTHUR",65+,R
3723,"MT ZION RD, MCARTHUR",24-44,R
3724,"MT ZION RD, MCARTHUR",65+,R
3725,"LAKEVIEW RD, HAMDEN",65+,R
3726,"MT ZION RD, MCARTHUR",65+,R
3727,"BENNER RD, HAMDEN",65+,R
3728,"BENNER RD, HAMDEN",65+,R
3729,"WILT RD, LONDONDERRY",45-64,None
3730,"WOODGEARD RD, CREOLA",65+,None
3731,"UNION RIDGE RD, ALBANY",65+,R
3732,"ST RT 93, HAMDEN",65+,R
3733,"MURPHY RD, MCARTHUR",65+,R
3734,"N BOUNDARY AVE, MCARTHUR",65+,R
3735,"N BOUNDARY AVE, MCARTHUR",65+,R
3736,"GOOSECREEK RD, MCARTHUR",45-64,R
3737,"N MAIN ST, HAMDEN",65+,R
3738,"N BOUNDARY AVE, MCARTHUR",45-64,R
3739,"BETHEL RD, NEW PLYMOUTH",45-64,R
3740,"MEEKSVILLE RD, MCARTHUR",65+,None
3741,"ST RT 683, HAMDEN",45-64,R
3742,"MALONE RD, RADCLIFF",45-64,None
3743,"MALONE RD, RADCLIFF",65+,None
3744,"N MAIN ST, HAMDEN",65+,R
3745,"ST RT 683, HAMDEN",45-64,R
3746,"GARRETT RIDGE RD, MCARTHUR",45-64,R
3747,"ZIMMERMAN RD, ALBANY",65+,R
3748,"ST RT 56, CREOLA",65+,None
3749,"N SECOND ST, ZALESKI",65+,R
3750,"US HIGHWAY 50, MCARTHUR",65+,R
3751,"ST RT 56, CREOLA",65+,None
3752,"CHERRY RIDGE RD, NEW PLYMOUTH",45-64,R
3753,"CHERRY RIDGE RD, NEW PLYMOUTH",45-64,R
3754,"ST RT 278, MCARTHUR",65+,R
3755,"E NORTH ST, MCARTHUR",45-64,R
3756,"PRATTSVILLE RD, MCARTHUR",45-64,R
3757,"ST RT 278, MCARTHUR",45-64,R
3758,"PRATTSVILLE RD, MCARTHUR",45-64,R
3759,"UNION RIDGE RD, ALBANY",65+,R
3760,"WHEELABOUT RD, MCARTHUR",45-64,R
3761,"E NORTH ST, MCARTHUR",45-64,R
3762,"ST RT 160, HAMDEN",65+,R
3763,"STEVENS BRANCH RD, LONDONDERRY",65+,D
3764,"MACEDONIA RD, SOUTH BLOOMINGVILLE",65+,R
3765,"OWINGS RD, MCARTHUR",65+,None
3766,"GARRETT RIDGE RD, MCARTHUR",65+,D
3767,"ST RT 683, MCARTHUR",65+,D
3768,"BUTTERMILK RD, RAY",65+,R
3769,"GARRETT RIDGE RD, MCARTHUR",45-64,None
3770,"MOUNT OLIVE RD, MCARTHUR",65+,R
3771,"ST RT 327, LONDONDERRY",45-64,None
3772,"ST RT 327, LONDONDERRY",45-64,D
3773,"SIVERLY CREEK RD, MCARTHUR",65+,None
3774,"CLIPNER RD, LONDONDERRY",45-64,D
3775,"BUTTERMILK RD, RAY",65+,D
3776,"CLIPNER RD, LONDONDERRY",45-64,D
3777,"N MAIN ST, HAMDEN",65+,R
3778,"E MILL ST, MCARTHUR",45-64,None
3779,"MEEKSVILLE RD, MCARTHUR",45-64,R
3780,"MADISON AVE, MCARTHUR",45-64,R
3781,"WOLF HILL RD, MCARTHUR",45-64,R
3782,"MEEKSVILLE RD, MCARTHUR",65+,R
3783,"ZIMMERMAN RD, ALBANY",65+,D
3784,"GARRETT RIDGE RD, MCARTHUR",65+,R
3785,"MADISON AVE, MCARTHUR",24-44,R
3786,"FITZPATRICK RD, RADCLIFF",45-64,None
3787,"CREOLA CEMETERY RD, CREOLA",65+,R
3788,"MEEKSVILLE RD, MCARTHUR",65+,R
3789,"MARTINDILL RD, MCARTHUR",45-64,D
3790,"N MARKET ST, MCARTHUR",45-64,R
3791,"N MARKET ST, MCARTHUR",45-64,R
3792,"INFIRMARY RD, MCARTHUR",65+,R
3793,"INFIRMARY RD, MCARTHUR",65+,R
3794,"BOLAR RD, MCARTHUR",45-64,None
3795,"UNION RIDGE RD, ALBANY",45-64,R
3796,"SIVERLY CREEK RD, MCARTHUR",45-64,None
3797,"E NORTH ST, MCARTHUR",65+,None
3798,"N MCKINNIS AVE, HAMDEN",45-64,R
3799,"ST RT 93, HAMDEN",45-64,None
3800,"ST RT 328, NEW PLYMOUTH",65+,R
3801,"ST RT 328, NEW PLYMOUTH",65+,R
3802,"W HIGH ST, MCARTHUR",65+,R
3803,"CURRY RD, MCARTHUR",45-64,R
3804,"TWO MILE RD, NEW PLYMOUTH",65+,R
3805,"FOUT RD, LONDONDERRY",65+,R
3806,"PONETOWN RD, RAY",45-64,None
3807,"KELLY RD, RAY",24-44,None
3808,"KELLY RD, RAY",24-44,None
3809,"NEWSOM RD, VINTON",65+,R
3810,"US HIGHWAY 50, MCARTHUR",24-44,R
3811,"S BUFFALO ST, HAMDEN",45-64,R
3812,"UNION RIDGE RD, ALBANY",65+,None
3813,"PRETTY RUN RD, MCARTHUR",45-64,R
3814,"PRETTY RUN RD, MCARTHUR",24-44,D
3815,"BEECHGROVE RD, LONDONDERRY",45-64,None
3816,"PIERCE LEMAR, HAMDEN",65+,R
3817,"PIERCE LEMAR, HAMDEN",65+,R
3818,"GOOSECREEK RD, MCARTHUR",24-44,None
3819,"MURPHY RD, MCARTHUR",45-64,None
3820,"SIVERLY CREEK RD, MCARTHUR",65+,None
3821,"SIVERLY CREEK RD, MCARTHUR",65+,None
3822,"US HIGHWAY 50, MCARTHUR",65+,None
3823,"ST RT 671, LONDONDERRY",45-64,None
3824,"WOLF HILL RD, MCARTHUR",45-64,R
3825,"ST RT 93, HAMDEN",45-64,R
3826,"HAWK STATION RD, VINTON",45-64,None
3827,"ALBRIGHT RD, LONDONDERRY",45-64,R
3828,"HAWK STATION RD, VINTON",24-44,D
3829,"PUMPKIN RIDGE RD, NEW PLYMOUTH",65+,R
3830,"PUMPKIN RIDGE RD, NEW PLYMOUTH",65+,R
3831,"OLD DIXON RD, MCARTHUR",24-44,R
3832,"OLD RT 50, LONDONDERRY",45-64,None
3833,"ST RT 683, MCARTHUR",24-44,R
3834,"ROWLAND RD, HAMDEN",24-44,R
3835,"ROWLAND RD, HAMDEN",45-64,R
3836,"BOLAR RD, MCARTHUR",24-44,None
3837,"MOUNT OLIVE RD, MCARTHUR",24-44,D
3838,"CREOLA RD, CREOLA",45-64,None
3839,"S FIRST ST, ZALESKI",65+,None
3840,"SHEETS MCCOY RD, NEW PLYMOUTH",65+,R
3841,"OLD STATE RD, MCARTHUR",24-44,R
3842,"US HIGHWAY 50, RAY",24-44,R
3843,"STANLEY RD, NEW MARSHFIELD",24-44,D
3844,"WILKESVILLE ST, HAMDEN",45-64,None
3845,"TWO MILE RD, NEW PLYMOUTH",45-64,R
3846,"US HIGHWAY 50, MCARTHUR",24-44,R
3847,"ST RT 56, CREOLA",65+,R
3848,"ST RT 56, CREOLA",45-64,R
3849,"NEWSOM RD, VINTON",24-44,None
3850,"ST RT 327, RAY",24-44,R
3851,"DEPUE RD, MCARTHUR",24-44,R
3852,"S BROADWAY ST, ZALESKI",24-44,None
3853,"ST RT 683, MCARTHUR",45-64,D
3854,"N BROADWAY, ZALESKI",65+,R
3855,"CARR RIDGE RD, HAMDEN",65+,None
3856,"ST RT 93 S, CREOLA",45-64,R
3857,"RANDERSON RD, MCARTHUR",45-64,D
3858,"OLD RT 50, LONDONDERRY",45-64,R
3859,"WOLF HILL RD, MCARTHUR",45-64,None
3860,"E NORTH ST, MCARTHUR",24-44,None
3861,"BLEDSOE RD, RAY",24-44,None
3862,"W MAIN ST, MCARTHUR",65+,D
3863,"ST RT 56, NEW PLYMOUTH",24-44,None
3864,"CHURCH ST, HAMDEN",45-64,R
3865,"THOMPSON RD, RAY",24-44,R
3866,"WOODGEARD RD, CREOLA",65+,None
3867,"MCVEY RD, CREOLA",65+,None
3868,"ALBRIGHT RD, LONDONDERRY",45-64,None
3869,"MADISON AVE, MCARTHUR",65+,D
3870,"MARTINDILL RD, MCARTHUR",24-44,None
3871,"MOUNT OLIVE RD, MCARTHUR",24-44,R
3872,"US HIGHWAY 50, MCARTHUR",45-64,R
3873,"THOMPSON ST, MCARTHUR",24-44,None
3874,"CLARK RD, RAY",24-44,None
3875,"CREOLA CEMETERY RD, CREOLA",45-64,None
3876,"AIRPORT RD, NEW PLYMOUTH",24-44,None
3877,"MCARTHUR PARK DR, MCARTHUR",24-44,R
3878,"RANDERSON RD, MCARTHUR",45-64,D
3879,"ST RT 327, RAY",24-44,None
3880,"OLD STATE RD, MCARTHUR",24-44,D
3881,"PRETTY RUN RD, SOUTH BLOOMINGVILLE",45-64,None
3882,"PRETTY RUN RD, SOUTH BLOOMINGVILLE",45-64,None
3883,"BOLAR RD, MCARTHUR",24-44,None
3884,"OLD RT 50, LONDONDERRY",24-44,None
3885,"RANDERSON RD, MCARTHUR",24-44,D
3886,"WOLF HILL RD, MCARTHUR",45-64,None
3887,"PATTON RD, HAMDEN",45-64,None
3888,"DUNKLE CREEK RD, CREOLA",45-64,None
3889,"N PEARL ST, MCARTHUR",24-44,None
3890,"N MARKET ST, MCARTHUR",45-64,R
3891,"US HIGHWAY 50, MCARTHUR",65+,R
3892,"ZION RD, HAMDEN",65+,R
3893,"UNION RIDGE RD, ALBANY",45-64,R
3894,"CURRY RD, MCARTHUR",45-64,None
3895,"RADCLIFF RD, RADCLIFF",24-44,None
3896,"STANTON AVE, HAMDEN",65+,None
3897,"E NORTH ST, MCARTHUR",24-44,None
3898,"W MAIN ST, MCARTHUR",24-44,None
3899,"STANTON AVE, HAMDEN",24-44,None
3900,"N MARKET ST, MCARTHUR",24-44,None
3901,"N MCKINNIS AVE, HAMDEN",24-44,None
3902,"S BROADWAY ST, ZALESKI",24-44,None
3903,"STANTON AVE, HAMDEN",24-44,None
3904,"BUNKER HILL RD, MCARTHUR",45-64,None
3905,"LIVELY RIDGE RD, ALBANY",24-44,D
3906,"PRATTSVILLE RD, MCARTHUR",24-44,None
3907,"CREOLA CEMETERY RD, CREOLA",45-64,None
3908,"RADCLIFF RD, RADCLIFF",45-64,None
3909,"RADCLIFF RD, RADCLIFF",45-64,None
3910,"OLD RT 50, LONDONDERRY",24-44,R
3911,"OLD RT 50, LONDONDERRY",24-44,R
3912,"THOMPSON RD, RAY",65+,D
3913,"NEWSOM RD, VINTON",45-64,R
3914,"PRETTY RUN RD, MCARTHUR",65+,R
3915,"S MAIN, HAMDEN",24-44,None
3916,"MORGAN RD, MCARTHUR",0-24,R
3917,"US HIGHWAY 50, MCARTHUR",0-24,None
3918,"S MARKET ST, MCARTHUR",24-44,R
3919,"ST RT 324, HAMDEN",45-64,R
3920,"W MILL ST, MCARTHUR",45-64,None
3921,"OLD RT 50, LONDONDERRY",24-44,None
3922,"POWDER PLANT RD, MCARTHUR",24-44,R
3923,"S SPRING ST, MCARTHUR",24-44,None
3924,"ST RT 327, LONDONDERRY",65+,None
3925,"ST RT 327, LONDONDERRY",24-44,None
3926,"DICKEY RD, RAY",24-44,None
3927,"RONDARAINE LN, MCARTHUR",45-64,None
3928,"N BOUNDARY AVE, MCARTHUR",45-64,R
3929,"ST RT 278, MCARTHUR",45-64,None
3930,"E HIGH ST, MCARTHUR",45-64,R
3931,"MINERTON CHAPEL RD, VINTON",45-64,None
